<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20181126,3581.29,3581,3581,3581.29,120000000
20181127,3759.87,3760,3760,3759.87,99444
20181128,3947.27,3947,3947,3947.27,205860
20181201,4144.49,4144,4144,4144.49,668591
20181202,4351.51,4352,4352,4351.51,917983
20181203,4568.35,4568,4568,4568.35,942863
20181204,4795.99,4796,4796,4795.99,20016817
20181205,5035.39,5035,5035,5035.39,5392276
20181208,5286.57,5287,5287,5286.57,1631716
20181209,5550.51,5551,5551,5550.51,1191643
20181210,5827.20,6118,5827,6066.61,9806531
20181212,5763.43,5763,5763,5763.43,4683352
20181215,5475.94,5476,5476,5475.94,266967
20181216,5202.19,5202,5202,5202.19,287716
20181217,5259.10,5462,4942,5368.99,86604173
20181218,5396.47,5576,5298,5444.54,53367856
20181219,5479.87,5480,5173,5248.31,17875031
20181222,5200.23,5279,4986,5069.73,10180144
20181223,4985.35,5121,4906,5007.92,16333310
20181224,4947.09,5161,4921,5072.68,12710017
20181225,5102.11,5326,5077,5287.56,15402256
20181226,5396.47,5436,5092,5228.69,11131154
20181229,5105.06,5151,5015,5074.64,6516212
20181230,5014.79,5145,5012,5050.11,5748264
20181231,5053.05,5141,5015,5072.68,6597557
20190101,5102.11,5181,5092,5127.62,6612573
20190102,5141.36,5142,4926,5040.30,6279144
20190105,5004.98,5291,4955,5204.16,12307213
20190106,5464.17,5464,5464,5464.17,2338891
20190107,5736.93,5737,5576,5734.97,39801978
20190108,5769.31,5965,5649,5786.97,17562755
20190109,6004.80,6299,6005,6155.90,21363932
20190112,6181.41,6463,6181,6411.98,13618695
20190113,6377.64,6387,6162,6245.18,6540943
20190114,6372.74,6518,6280,6392.36,11789572
20190115,6465.95,6476,6281,6378.62,3780735
20190116,6415.91,6416,6199,6276.58,5233040
20190119,6191.22,6274,6044,6131.37,4946399
20190120,6181.41,6229,5876,6048.95,4698171
20190121,6034.23,6034,5789,5886.07,5006028
20190122,5889.02,6179,5882,6152.95,9646986
20190123,6269.71,6396,6158,6267.75,4981055
20190126,6278.54,6541,6213,6364.89,5647016
20190127,6279.52,6333,6182,6279.52,3553067
20190128,6181.41,6319,6065,6158.84,2676467
20190129,6083.29,6329,6083,6156.88,8357623
20190130,6279.52,6464,6231,6439.46,13005812
20190202,6622.94,6692,6280,6535.61,5159011
20190203,6358.02,6441,6284,6357.04,1816065
20190204,6377.64,6674,6378,6592.52,7379635
20190205,6721.05,6921,6701,6880.00,33198015
20190206,7015.41,7055,6757,6932.01,18953510
20190210,6870.19,7064,6870,6963.40,5859089
20190212,6917.29,6918,6758,6815.25,3172352
20190213,6819.17,6849,6708,6771.09,3740149
20190216,6771.09,6829,6652,6722.03,4259893
20190217,6750.49,6750,6505,6579.76,3368212
20190218,6527.76,6826,6525,6756.38,2670001
20190219,6756.38,6956,6756,6872.15,2722050
20190220,6868.23,6898,6721,6836.83,2796769
20190223,6826.04,6898,6721,6781.89,3561463
20190224,6760.30,6867,6677,6752.45,6642606
20190225,6809.36,6809,6574,6670.03,4476837
20190226,6573.88,6750,6574,6643.54,1762014
20190227,6681.81,6868,6624,6742.64,2446592
20190302,6868.23,6963,6780,6892.76,3498542
