<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970711,1000000.00,1000000,1000000,1000000.00,2300000,1000000.00,EMobinIJRLOT221002-a
13970714,1000000.00,1000000,1000000,1000000.00,200000,1000000.00,EMobinIJRLOT221002-a
13970729,964000.00,964000,964000,964000.00,5000,964000.00,EMobinIJRLOT221002-a
13970927,948001.00,948001,948001,948001.00,1000,948001.00,EMobinIJRLOT221002-a
13971009,930000.00,930000,930000,930000.00,500,930000.00,EMobinIJRLOT221002-a
13971114,920002.00,920002,920002,920002.00,500,920002.00,EMobinIJRLOT221002-a
13971204,920001.00,920001,890000,893600.00,1000,890000.00,EMobinIJRLOT221002-a
13971206,865000.00,865000,865000,865000.00,3125,865000.00,EMobinIJRLOT221002-a
13971207,870000.00,870000,870000,870000.00,60,870000.00,EMobinIJRLOT221002-a
13971208,864000.00,864000,864000,864000.00,500,864000.00,EMobinIJRLOT221002-a
13971214,881280.00,881280,881280,881280.00,1040,881280.00,EMobinIJRLOT221002-a
13971218,881280.00,947600,881280,882541.00,2103,881280.00,EMobinIJRLOT221002-a
13971220,860000.00,877200,860000,863102.00,610,877200.00,EMobinIJRLOT221002-a
13971221,880363.00,880363,880363,880363.00,10,880363.00,EMobinIJRLOT221002-a
13971225,880363.00,880363,880363,880363.00,43,880363.00,EMobinIJRLOT221002-a
13971226,845000.00,861900,845000,845331.00,1020,861900.00,EMobinIJRLOT221002-a
13971227,822000.00,822000,822000,822000.00,500,822000.00,EMobinIJRLOT221002-a
13971228,838440.00,838440,838440,838440.00,20,838440.00,EMobinIJRLOT221002-a
13980107,806000.00,821100,805000,820179.00,5930,820191.00,EMobinIJRLOT221002-a
13980110,820180.00,820180,820180,820180.00,58,820180.00,EMobinIJRLOT221002-a
13980209,902198.00,902198,800001,802586.00,2055,800001.00,EMobinIJRLOT221002-a
13980210,820000.00,820000,803000,803261.00,3050,803001.00,EMobinIJRLOT221002-a
13980211,803999.00,803999,775001,775059.00,1000,775001.00,EMobinIJRLOT221002-a
13980221,800001.00,800001,800001,800001.00,500,800001.00,EMobinIJRLOT221002-a
13980224,808001.00,808001,808001,808001.00,500,808001.00,EMobinIJRLOT221002-a
13980228,813000.00,813000,813000,813000.00,500,813000.00,EMobinIJRLOT221002-a
13980231,820000.00,820000,800001,801401.00,1000,800001.00,EMobinIJRLOT221002-a
13980301,820000.00,827000,810001,810875.00,1590,810001.00,EMobinIJRLOT221002-a
13980311,830000.00,830001,830000,830000.00,589,830001.00,EMobinIJRLOT221002-a
13980312,830001.00,830001,830001,830001.00,31,830001.00,EMobinIJRLOT221002-a
13980318,850001.00,850001,850001,850001.00,500,850001.00,EMobinIJRLOT221002-a
13980404,871057.00,871057,871057,871057.00,1000,871057.00,EMobinIJRLOT221002-a
13980415,871057.00,871057,871057,871057.00,20,871057.00,EMobinIJRLOT221002-a
13980430,871058.00,871058,871058,871058.00,2,871058.00,EMobinIJRLOT221002-a
13980506,888479.00,888479,888479,888479.00,10,888479.00,EMobinIJRLOT221002-a
13980508,888479.00,888479,888479,888479.00,1,888479.00,EMobinIJRLOT221002-a
13980513,888480.00,888480,888480,888480.00,10,888480.00,EMobinIJRLOT221002-a
13980527,888481.00,888481,888480,888480.00,5125,888480.00,EMobinIJRLOT221002-a
13980606,888481.00,888481,888481,888481.00,10,888481.00,EMobinIJRLOT221002-a
13980701,906250.00,906250,906250,906250.00,4,906250.00,EMobinIJRLOT221002-a
13980707,893117.00,893117,893117,893117.00,4,893117.00,EMobinIJRLOT221002-a
13980820,919386.00,919386,919386,919386.00,126,919386.00,EMobinIJRLOT221002-a
13980905,900002.00,900002,900002,900002.00,136,900002.00,EMobinIJRLOT221002-a
13980923,878800.00,878800,870000,878691.00,1539,878800.00,EMobinIJRLOT221002-a
13980924,878800.00,878800,878800,878800.00,900,878800.00,EMobinIJRLOT221002-a
13980927,865940.00,865940.00,865940.00,865940.00,330,865940.00,EMobinIJRLOT221002-a
