<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,1023999.00,1024000,1023999,1024000.00,230,1024000.00,Joopar (2020-05)-a
13970106,1026999.00,1026999,1026999,1026999.00,215,1026999.00,Joopar (2020-05)-a
13970107,1026999.00,1027000,1020000,1025258.00,182,1020000.00,Joopar (2020-05)-a
13970108,1032354.00,1032354,1030001,1031071.00,2166,1030953.00,Joopar (2020-05)-a
13970118,1028000.00,1040000,1028000,1039748.00,2499,1040000.00,Joopar (2020-05)-a
13970119,1039990.00,1039990,1039990,1039990.00,1,1039990.00,Joopar (2020-05)-a
13970120,1037999.00,1037999,1037999,1037999.00,10,1037999.00,Joopar (2020-05)-a
13970121,1010900.00,1010900,1005001,1005736.00,562,1005001.00,Joopar (2020-05)-a
13970128,1020000.00,1020000,1020000,1020000.00,20,1020000.00,Joopar (2020-05)-a
13970129,1025000.00,1025000,1025000,1025000.00,132,1025000.00,Joopar (2020-05)-a
13970203,1020000.00,1020000,1020000,1020000.00,54,1020000.00,Joopar (2020-05)-a
13970205,1011001.00,1025000,1011001,1022667.00,120,1025000.00,Joopar (2020-05)-a
13970211,1023999.00,1023999,1023999,1023999.00,1,1023999.00,Joopar (2020-05)-a
13970215,1015000.00,1017000,1015000,1016667.00,600,1017000.00,Joopar (2020-05)-a
13970216,1018000.00,1018000,1011000,1013146.00,1110,1011000.00,Joopar (2020-05)-a
13970217,1010001.00,1015000,1010001,1013086.00,1120,1014999.00,Joopar (2020-05)-a
13970218,1010000.00,1010000,1010000,1010000.00,1328,1010000.00,Joopar (2020-05)-a
13970222,1010000.00,1010000,1010000,1010000.00,4427,1010000.00,Joopar (2020-05)-a
13970223,1010000.00,1010000,1010000,1010000.00,208,1010000.00,Joopar (2020-05)-a
13970224,1010050.00,1010500,1010000,1010490.00,5517,1010006.00,Joopar (2020-05)-a
13970229,1015000.00,1015000,1015000,1015000.00,300,1015000.00,Joopar (2020-05)-a
13970230,1015000.00,1015000,1010001,1010398.00,63,1010001.00,Joopar (2020-05)-a
13970231,1010003.00,1010003,1010000,1010000.00,15563,1010000.00,Joopar (2020-05)-a
13970302,1008000.00,1013000,1005000,1010498.00,2943,1013000.00,Joopar (2020-05)-a
13970305,1010000.00,1010001,1010000,1010000.00,2494,1010001.00,Joopar (2020-05)-a
13970306,1010000.00,1013000,1010000,1010005.00,571,1013000.00,Joopar (2020-05)-a
13970308,1010005.00,1010005,1010005,1010005.00,20,1010005.00,Joopar (2020-05)-a
13970309,1010006.00,1010033,1010006,1010016.00,20,1010033.00,Joopar (2020-05)-a
13970312,1010022.00,1011010,1010022,1010732.00,18,1011003.00,Joopar (2020-05)-a
13970313,1011000.00,1015000,1011000,1013286.00,7018,1013000.00,Joopar (2020-05)-a
13970319,1012000.00,1013000,1010002,1010018.00,2000,1010002.00,Joopar (2020-05)-a
13970321,1012000.00,1012000,1012000,1012000.00,2,1012000.00,Joopar (2020-05)-a
13970322,1010010.00,1010100,1010002,1010002.00,8051,1010002.00,Joopar (2020-05)-a
13970323,1005000.00,1006020,1005000,1005462.00,138,1006010.00,Joopar (2020-05)-a
13970327,1005100.00,1005100,1005000,1005004.00,1351,1005000.00,Joopar (2020-05)-a
13970328,1005010.00,1010000,1005000,1006512.00,33168,1010000.00,Joopar (2020-05)-a
13970329,1010000.00,1010001,1010000,1010001.00,200,1010001.00,Joopar (2020-05)-a
13970330,1029984.00,1029984,1029984,1029984.00,30,1029984.00,Joopar (2020-05)-a
13970403,1011000.00,1012000,1010000,1010012.00,20220,1012000.00,Joopar (2020-05)-a
13970404,1007000.00,1010000,1005000,1009699.00,26742,1010000.00,Joopar (2020-05)-a
13970405,1005000.00,1005100,1005000,1005001.00,1349,1005001.00,Joopar (2020-05)-a
13970406,1009000.00,1010000,1009000,1009480.00,50,1010000.00,Joopar (2020-05)-a
13970409,1008000.00,1009000,1005000,1005404.00,604,1005000.00,Joopar (2020-05)-a
13970410,1000010.00,1000010,1000000,1000000.00,26548,1000000.00,Joopar (2020-05)-a
13970411,1000017.00,1000017,1000000,1000002.00,2797,1000000.00,Joopar (2020-05)-a
13970412,1000010.00,1000010,1000000,1000003.00,30,1000000.00,Joopar (2020-05)-a
13970413,1000010.00,1000020,1000010,1000013.00,250,1000011.00,Joopar (2020-05)-a
13970419,1009000.00,1009000,1000100,1000244.00,1783,1000100.00,Joopar (2020-05)-a
13970420,1010510.00,1010510,1010000,1010505.00,1711,1010000.00,Joopar (2020-05)-a
13970423,1010000.00,1010000,1010000,1010000.00,1,1010000.00,Joopar (2020-05)-a
13970424,1000100.00,1000100,1000100,1000100.00,5000,1000100.00,Joopar (2020-05)-a
13970426,1000003.00,1000003,1000000,1000000.00,6155,1000001.00,Joopar (2020-05)-a
13970427,1000002.00,1000002,1000002,1000002.00,84,1000002.00,Joopar (2020-05)-a
13970430,1000050.00,1011989,1000001,1004152.00,867,1011989.00,Joopar (2020-05)-a
13970501,1012000.00,1012000,1000000,1000064.00,17331,1000000.00,Joopar (2020-05)-a
13970502,1000003.00,1000003,1000003,1000003.00,115,1000003.00,Joopar (2020-05)-a
13970503,1011000.00,1011000,1011000,1011000.00,5,1011000.00,Joopar (2020-05)-a
13970506,1000002.00,1000002,1000001,1000001.00,126,1000001.00,Joopar (2020-05)-a
13970507,1000002.00,1000002,1000000,1000000.00,10006,1000000.00,Joopar (2020-05)-a
13970508,1000000.00,1000000,1000000,1000000.00,259,1000000.00,Joopar (2020-05)-a
13970509,1000000.00,1000000,1000000,1000000.00,141,1000000.00,Joopar (2020-05)-a
13970510,1000000.00,1000000,1000000,1000000.00,170,1000000.00,Joopar (2020-05)-a
13970513,1000000.00,1000000,1000000,1000000.00,270,1000000.00,Joopar (2020-05)-a
13970514,1000001.00,1000001,1000000,1000000.00,6135,1000000.00,Joopar (2020-05)-a
13970515,1000000.00,1000000,1000000,1000000.00,3143,1000000.00,Joopar (2020-05)-a
13970516,1000000.00,1000000,1000000,1000000.00,290,1000000.00,Joopar (2020-05)-a
13970517,1000010.00,1000010,1000000,1000002.00,140,1000000.00,Joopar (2020-05)-a
13970520,1000000.00,1000000,1000000,1000000.00,111,1000000.00,Joopar (2020-05)-a
13970522,1000001.00,1000001,1000000,1000000.00,20,1000000.00,Joopar (2020-05)-a
13970523,1000000.00,1001000,1000000,1000004.00,14170,1000000.00,Joopar (2020-05)-a
13970527,1000001.00,1001000,1000000,1000538.00,186,1000001.00,Joopar (2020-05)-a
13970528,1000009.00,1000009,1000001,1000003.00,100,1000001.00,Joopar (2020-05)-a
13970529,1000001.00,1000001,1000000,1000000.00,528,1000000.00,Joopar (2020-05)-a
13970530,1000000.00,1000000,1000000,1000000.00,5592,1000000.00,Joopar (2020-05)-a
13970603,1000001.00,1000001,1000000,1000000.00,705,1000000.00,Joopar (2020-05)-a
13970604,1000000.00,1000000,1000000,1000000.00,20103,1000000.00,Joopar (2020-05)-a
13970605,1000000.00,1000000,1000000,1000000.00,275,1000000.00,Joopar (2020-05)-a
13970606,1000000.00,1000001,1000000,1000001.00,5002,1000000.00,Joopar (2020-05)-a
13970607,1000000.00,1000000,1000000,1000000.00,1299,1000000.00,Joopar (2020-05)-a
13970610,1000000.00,1000000,1000000,1000000.00,300,1000000.00,Joopar (2020-05)-a
13970611,1000000.00,1000000,1000000,1000000.00,390,1000000.00,Joopar (2020-05)-a
13970612,1001000.00,1001000,1001000,1001000.00,35,1001000.00,Joopar (2020-05)-a
13970613,1000000.00,1000000,1000000,1000000.00,102,1000000.00,Joopar (2020-05)-a
13970614,1000000.00,1000000,1000000,1000000.00,447,1000000.00,Joopar (2020-05)-a
13970617,1000000.00,1000090,1000000,1000005.00,3615,1000090.00,Joopar (2020-05)-a
13970618,1001000.00,1001000,1000000,1000014.00,1948,1001000.00,Joopar (2020-05)-a
13970619,1000800.00,1001000,1000000,1000034.00,6151,1001000.00,Joopar (2020-05)-a
13970620,1000000.00,1000000,1000000,1000000.00,1610,1000000.00,Joopar (2020-05)-a
13970621,1000000.00,1000000,1000000,1000000.00,70,1000000.00,Joopar (2020-05)-a
13970624,1000000.00,1000000,1000000,1000000.00,1083,1000000.00,Joopar (2020-05)-a
13970625,1000001.00,1000002,1000001,1000001.00,505,1000002.00,Joopar (2020-05)-a
13970626,1000003.00,1000004,1000002,1000003.00,1884,1000003.00,Joopar (2020-05)-a
13970627,1000003.00,1000003,1000000,1000003.00,2871,1000000.00,Joopar (2020-05)-a
13970631,1000002.00,1000007,1000001,1000004.00,177,1000007.00,Joopar (2020-05)-a
13970701,1000000.00,1000000,1000000,1000000.00,17,1000000.00,Joopar (2020-05)-a
13970702,1000002.00,1001000,1000000,1000000.00,17381,1000000.00,Joopar (2020-05)-a
13970703,1000000.00,1000000,1000000,1000000.00,1507,1000000.00,Joopar (2020-05)-a
13970704,1000000.00,1000000,1000000,1000000.00,282,1000000.00,Joopar (2020-05)-a
13970707,1000001.00,1000990,1000000,1000035.00,1316,1000000.00,Joopar (2020-05)-a
