<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970411,970000.00,970000,970000,970000.00,1010,970000.00,Kourosh MRB200701-a
13970413,970000.00,970000,970000,970000.00,498990,970000.00,Kourosh MRB200701-a
13970626,1000000.00,1000000,1000000,1000000.00,10,1000000.00,Kourosh MRB200701-a
13971205,991000.00,991000,991000,991000.00,10,991000.00,Kourosh MRB200701-a
13971207,988000.00,988000,988000,988000.00,20,988000.00,Kourosh MRB200701-a
13971211,991500.00,991500,991500,991500.00,8,991500.00,Kourosh MRB200701-a
13971213,990000.00,990000,990000,990000.00,5,990000.00,Kourosh MRB200701-a
13971219,985000.00,985000,985000,985000.00,7,985000.00,Kourosh MRB200701-a
13971220,975000.00,975000,975000,975000.00,7,975000.00,Kourosh MRB200701-a
13971221,971000.00,971000,971000,971000.00,1000,971000.00,Kourosh MRB200701-a
13971222,962000.00,962000,962000,962000.00,100,962000.00,Kourosh MRB200701-a
13971226,965100.00,965100,965100,965100.00,30,965100.00,Kourosh MRB200701-a
13971227,958000.00,958000,958000,958000.00,55,958000.00,Kourosh MRB200701-a
13971228,954200.00,954200,954200,954200.00,90,954200.00,Kourosh MRB200701-a
13980105,954200.00,954200,954200,954200.00,4,954200.00,Kourosh MRB200701-a
13980107,951000.00,951000,951000,951000.00,18,951000.00,Kourosh MRB200701-a
13980110,941000.00,941000,941000,941000.00,10,941000.00,Kourosh MRB200701-a
13980118,938500.00,938500,938500,938500.00,25,938500.00,Kourosh MRB200701-a
13980120,934000.00,934000,934000,934000.00,7,934000.00,Kourosh MRB200701-a
13980121,930100.00,930100,916000,923186.00,102,930000.00,Kourosh MRB200701-a
13980124,920000.00,920000,920000,920000.00,40,920000.00,Kourosh MRB200701-a
13980126,911000.00,911000,911000,911000.00,75,911000.00,Kourosh MRB200701-a
13980127,928200.00,928200,915510,919763.00,752,915511.00,Kourosh MRB200701-a
13980128,926000.00,926000,926000,926000.00,100,926000.00,Kourosh MRB200701-a
13980202,928700.00,928700,928700,928700.00,40,928700.00,Kourosh MRB200701-a
13980207,928000.00,928000,928000,928000.00,2,928000.00,Kourosh MRB200701-a
13980209,925000.00,925000,925000,925000.00,50,925000.00,Kourosh MRB200701-a
13980211,941000.00,941000,941000,941000.00,2,941000.00,Kourosh MRB200701-a
13980216,942000.00,942000,921000,922312.00,32,921000.00,Kourosh MRB200701-a
13980217,938000.00,942000,938000,939136.00,873,942000.00,Kourosh MRB200701-a
13980301,920000.00,958272,920000,939136.00,4,958272.00,Kourosh MRB200701-a
13980307,938000.00,938000,938000,938000.00,221,938000.00,Kourosh MRB200701-a
13980312,948000.00,948000,948000,948000.00,50,948000.00,Kourosh MRB200701-a
13980325,920000.00,920000,920000,920000.00,50,920000.00,Kourosh MRB200701-a
13980401,949000.00,950000,949000,949333.00,150,950000.00,Kourosh MRB200701-a
13980416,960000.00,962000,960000,961998.00,149151,962000.00,Kourosh MRB200701-a
13980717,1058197.00,1058197,971300,971323.00,11460,971300.00,Kourosh MRB200701-a
13980818,975000.00,975000,975000,975000.00,3,975000.00,Kourosh MRB200701-a
13980826,971000.00,971000,971000,971000.00,1,971000.00,Kourosh MRB200701-a
13980827,971000.00,971000,971000,971000.00,15,971000.00,Kourosh MRB200701-a
13980902,971000.00,971000,971000,971000.00,3,971000.00,Kourosh MRB200701-a
