<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970202,949999.00,949999,949999,949999.00,200,949999.00,Sovereign Ijara-a
13970209,940001.00,940001,940000,940000.00,50011,940000.00,Sovereign Ijara-a
13970211,959980.00,964800,959980,963572.00,1040,964800.00,Sovereign Ijara-a
13970219,940000.00,941002,940000,940523.00,1990,941000.00,Sovereign Ijara-a
13970222,949999.00,949999,949999,949999.00,81,949999.00,Sovereign Ijara-a
13970230,949998.00,949998,949998,949998.00,79,949998.00,Sovereign Ijara-a
13970231,949998.00,950000,949998,950000.00,3218,950000.00,Sovereign Ijara-a
13970305,910010.00,940000,910010,939940.00,5010,940000.00,Sovereign Ijara-a
13970307,940000.00,940000,940000,940000.00,1996,940000.00,Sovereign Ijara-a
13970308,940000.00,940000,940000,940000.00,137,940000.00,Sovereign Ijara-a
13970309,940000.00,940000,940000,940000.00,1000,940000.00,Sovereign Ijara-a
13970312,940000.00,940000,940000,940000.00,1000,940000.00,Sovereign Ijara-a
13970313,935000.00,935000,935000,935000.00,2002,935000.00,Sovereign Ijara-a
13970319,944000.00,944000,944000,944000.00,80,944000.00,Sovereign Ijara-a
13970321,935000.00,935000,935000,935000.00,2083,935000.00,Sovereign Ijara-a
13970322,935000.00,935500,935000,935016.00,1842,935000.00,Sovereign Ijara-a
13970323,935000.00,935000,935000,935000.00,4158,935000.00,Sovereign Ijara-a
13970327,945000.00,945000,934000,935111.00,1000,934000.00,Sovereign Ijara-a
13970330,950000.00,950000,950000,950000.00,1000,950000.00,Sovereign Ijara-a
13970402,935000.00,935000,935000,935000.00,4900,935000.00,Sovereign Ijara-a
13970403,950000.00,950000,950000,950000.00,1000,950000.00,Sovereign Ijara-a
13970406,950000.00,950000,950000,950000.00,2,950000.00,Sovereign Ijara-a
13970417,934000.00,934000,933000,933476.00,21,933000.00,Sovereign Ijara-a
13970419,949999.00,949999,949999,949999.00,2000,949999.00,Sovereign Ijara-a
13970430,949989.00,949989,949989,949989.00,252,949989.00,Sovereign Ijara-a
13970606,902495.00,902495,902495,902495.00,625,902495.00,Sovereign Ijara-a
13970610,885000.00,885000,885000,885000.00,281,885000.00,Sovereign Ijara-a
13970621,890000.00,890000,890000,890000.00,881,890000.00,Sovereign Ijara-a
13970627,890500.00,890500,890000,890200.00,100,890000.00,Sovereign Ijara-a
13970631,891000.00,891000,891000,891000.00,1,891000.00,Sovereign Ijara-a
13970702,890000.00,890000,890000,890000.00,806,890000.00,Sovereign Ijara-a
13970708,934000.00,934000,934000,934000.00,15000,934000.00,Sovereign Ijara-a
13970820,900000.00,900000,900000,900000.00,1000,900000.00,Sovereign Ijara-a
13970821,920000.00,920000,920000,920000.00,5010,920000.00,Sovereign Ijara-a
13970924,930000.00,930000,930000,930000.00,1000,930000.00,Sovereign Ijara-a
13970925,950000.00,950000,930002,930941.00,5250,940000.00,Sovereign Ijara-a
13970926,976500.00,976500,975000,976458.00,250,975000.00,Sovereign Ijara-a
13970928,950000.00,950000,950000,950000.00,85000,950000.00,Sovereign Ijara-a
13971012,950060.00,951000,950060,950217.00,60,951000.00,Sovereign Ijara-a
13971017,952001.00,952001,952001,952001.00,25000,952001.00,Sovereign Ijara-a
13971029,980000.00,980000,980000,980000.00,88,980000.00,Sovereign Ijara-a
13971101,952001.00,952001,952001,952001.00,88,952001.00,Sovereign Ijara-a
13971110,970000.00,980000,970000,978670.00,332,980000.00,Sovereign Ijara-a
13971114,958000.00,965000,956001,959202.00,332,965000.00,Sovereign Ijara-a
13971123,970000.00,979998,970000,975674.00,200,979998.00,Sovereign Ijara-a
13971129,979999.00,980000,979999,979999.00,112,980000.00,Sovereign Ijara-a
