<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970107,1038000.00,1038000,1038000,1038000.00,300,1038000.00,SOV.MRB2-LTS210206-a
13970119,1025000.00,1038000,1025000,1031500.00,400,1038000.00,SOV.MRB2-LTS210206-a
13970128,1031500.00,1031500,1031500,1031500.00,40000,1031500.00,SOV.MRB2-LTS210206-a
13970129,1031500.00,1031500,1031500,1031500.00,20000,1031500.00,SOV.MRB2-LTS210206-a
13970201,1031500.00,1031500,1031500,1031500.00,30000,1031500.00,SOV.MRB2-LTS210206-a
13970203,1031500.00,1031500,1031500,1031500.00,60000,1031500.00,SOV.MRB2-LTS210206-a
13970205,1031500.00,1031500,1031500,1031500.00,40000,1031500.00,SOV.MRB2-LTS210206-a
13970217,1040000.00,1040000,1040000,1040000.00,20000,1040000.00,SOV.MRB2-LTS210206-a
13970224,1040000.00,1040000,1040000,1040000.00,20000,1040000.00,SOV.MRB2-LTS210206-a
13970225,1040000.00,1040000,1040000,1040000.00,20000,1040000.00,SOV.MRB2-LTS210206-a
13970301,1040000.00,1040000,1040000,1040000.00,5000,1040000.00,SOV.MRB2-LTS210206-a
13970313,1032150.00,1032150,1032150,1032150.00,50000,1032150.00,SOV.MRB2-LTS210206-a
13970319,1039450.00,1039450,1039450,1039450.00,10000,1039450.00,SOV.MRB2-LTS210206-a
13970320,1039450.00,1039450,1039450,1039450.00,70000,1039450.00,SOV.MRB2-LTS210206-a
13970321,1039450.00,1039450,1039450,1039450.00,43000,1039450.00,SOV.MRB2-LTS210206-a
13970322,1039450.00,1039450,1039450,1039450.00,20000,1039450.00,SOV.MRB2-LTS210206-a
13970323,1039450.00,1039450,1039450,1039450.00,10000,1039450.00,SOV.MRB2-LTS210206-a
13970327,1010000.00,1010000,1010000,1010000.00,20000,1010000.00,SOV.MRB2-LTS210206-a
13970328,1000000.00,1000000,1000000,1000000.00,10000,1000000.00,SOV.MRB2-LTS210206-a
13970402,950001.00,950001,950001,950001.00,5000,950001.00,SOV.MRB2-LTS210206-a
13970403,900001.00,900001,900001,900001.00,20000,900001.00,SOV.MRB2-LTS210206-a
13970404,900001.00,900001,900001,900001.00,35000,900001.00,SOV.MRB2-LTS210206-a
13970405,900000.00,900000,900000,900000.00,100000,900000.00,SOV.MRB2-LTS210206-a
13970410,1000000.00,1000000,1000000,1000000.00,200,1000000.00,SOV.MRB2-LTS210206-a
13970411,940000.00,940000,940000,940000.00,200,940000.00,SOV.MRB2-LTS210206-a
13970413,900100.00,900100,900100,900100.00,10000,900100.00,SOV.MRB2-LTS210206-a
13970420,940000.00,940000,940000,940000.00,1000,940000.00,SOV.MRB2-LTS210206-a
13970424,960000.00,960000,960000,960000.00,3600,960000.00,SOV.MRB2-LTS210206-a
13970430,964000.00,964000,964000,964000.00,1200,964000.00,SOV.MRB2-LTS210206-a
13970506,940000.00,940000,940000,940000.00,1000,940000.00,SOV.MRB2-LTS210206-a
13970507,900000.00,903950,900000,900039.00,1010,903950.00,SOV.MRB2-LTS210206-a
13970508,855000.00,858500,855000,855318.00,1100,858500.00,SOV.MRB2-LTS210206-a
13970509,859551.00,859551,800001,808984.00,7690,800001.00,SOV.MRB2-LTS210206-a
13970513,810000.00,810000,810000,810000.00,10,810000.00,SOV.MRB2-LTS210206-a
13970520,817000.00,817000,817000,817000.00,27,817000.00,SOV.MRB2-LTS210206-a
13970522,825020.00,825020,825019,825020.00,20,825019.00,SOV.MRB2-LTS210206-a
13970524,850002.00,850009,850002,850002.00,510,850009.00,SOV.MRB2-LTS210206-a
13970527,870000.00,870000,870000,870000.00,113,870000.00,SOV.MRB2-LTS210206-a
13970529,850000.00,850000,850000,850000.00,500,850000.00,SOV.MRB2-LTS210206-a
13970530,860000.00,860000,860000,860000.00,1000,860000.00,SOV.MRB2-LTS210206-a
13970613,870000.00,870000,870000,870000.00,500,870000.00,SOV.MRB2-LTS210206-a
13970614,870000.00,870000,870000,870000.00,1050,870000.00,SOV.MRB2-LTS210206-a
13970618,890000.00,890000,890000,890000.00,5,890000.00,SOV.MRB2-LTS210206-a
13970619,890000.00,890000,860000,862700.00,1000,860000.00,SOV.MRB2-LTS210206-a
13970620,860000.00,860000,850000,850291.00,515,850000.00,SOV.MRB2-LTS210206-a
13970621,910000.00,930000,815000,833918.00,1700,815000.00,SOV.MRB2-LTS210206-a
13970624,833918.00,869000,833918,835202.00,1038,869000.00,SOV.MRB2-LTS210206-a
13970625,842000.00,842000,842000,842000.00,1000,842000.00,SOV.MRB2-LTS210206-a
13970626,870000.00,870000,870000,870000.00,872,870000.00,SOV.MRB2-LTS210206-a
13970627,870000.00,870000,870000,870000.00,1000,870000.00,SOV.MRB2-LTS210206-a
13970631,870000.00,870000,870000,870000.00,1000,870000.00,SOV.MRB2-LTS210206-a
13970701,840002.00,880000,840002,840467.00,516,880000.00,SOV.MRB2-LTS210206-a
13970703,810000.00,810000,810000,810000.00,500,810000.00,SOV.MRB2-LTS210206-a
13970708,880000.00,950000,880000,947281.00,541,949000.00,SOV.MRB2-LTS210206-a
13970710,880000.00,929999,880000,894356.00,101,929999.00,SOV.MRB2-LTS210206-a
13970711,929999.00,930001,929999,930001.00,478,930001.00,SOV.MRB2-LTS210206-a
13970716,930001.00,930001,930001,930001.00,19,930001.00,SOV.MRB2-LTS210206-a
13970725,930000.00,930000,930000,930000.00,1000,930000.00,SOV.MRB2-LTS210206-a
13970728,910000.00,918000,910000,911333.00,1200,918000.00,SOV.MRB2-LTS210206-a
13970801,920446.00,920446,920446,920446.00,10,920446.00,SOV.MRB2-LTS210206-a
13970802,920447.00,925048,920447,920470.00,1005,925048.00,SOV.MRB2-LTS210206-a
13970805,925072.00,925072,920471,920494.00,1005,920471.00,SOV.MRB2-LTS210206-a
13970806,912001.00,912001,912001,912001.00,1000,912001.00,SOV.MRB2-LTS210206-a
13970807,965001.00,965050,884001,898200.00,782,884001.00,SOV.MRB2-LTS210206-a
13970809,898355.00,898355,892001,892444.00,1075,892001.00,SOV.MRB2-LTS210206-a
13970814,895000.00,895000,895000,895000.00,5,895000.00,SOV.MRB2-LTS210206-a
13970815,895005.00,895005,895005,895005.00,1000,895005.00,SOV.MRB2-LTS210206-a
13970827,910000.00,910000,910000,910000.00,500,910000.00,SOV.MRB2-LTS210206-a
13970828,900001.00,900001,900001,900001.00,500,900001.00,SOV.MRB2-LTS210206-a
13970829,890002.00,890002,890002,890002.00,500,890002.00,SOV.MRB2-LTS210206-a
13970830,900003.00,900005,900003,900005.00,3000,900005.00,SOV.MRB2-LTS210206-a
13970903,910000.00,910000,910000,910000.00,1000,910000.00,SOV.MRB2-LTS210206-a
13970912,878001.00,878001,878001,878001.00,1000,878001.00,SOV.MRB2-LTS210206-a
13970914,890001.00,924000,890001,890058.00,3005,924000.00,SOV.MRB2-LTS210206-a
13970918,924001.00,924001,924001,924001.00,1000,924001.00,SOV.MRB2-LTS210206-a
13970924,924002.00,940000,924002,932001.00,200,940000.00,SOV.MRB2-LTS210206-a
13970926,960000.00,960000,935002,936078.00,1045,935002.00,SOV.MRB2-LTS210206-a
13970928,940001.00,940001,940001,940001.00,1000,940001.00,SOV.MRB2-LTS210206-a
13971001,940100.00,940100,940100,940100.00,135,940100.00,SOV.MRB2-LTS210206-a
13971003,951001.00,951001,951001,951001.00,500,951001.00,SOV.MRB2-LTS210206-a
13971004,900103.00,940000,900103,939920.00,501,940000.00,SOV.MRB2-LTS210206-a
13971011,925001.00,925001,925001,925001.00,500,925001.00,SOV.MRB2-LTS210206-a
13971026,960000.00,960000,960000,960000.00,500,960000.00,SOV.MRB2-LTS210206-a
13971029,990000.00,990000,990000,990000.00,1000,990000.00,SOV.MRB2-LTS210206-a
13971030,990000.00,1014000,990000,1012966.00,1045,1014000.00,SOV.MRB2-LTS210206-a
13971102,1013999.00,1013999,1013999,1013999.00,8,1013999.00,SOV.MRB2-LTS210206-a
13971103,990000.00,999000,990000,998154.00,1000,999000.00,SOV.MRB2-LTS210206-a
13971106,995000.00,995000,995000,995000.00,500,995000.00,SOV.MRB2-LTS210206-a
13971114,985000.00,985000,985000,985000.00,34500,985000.00,SOV.MRB2-LTS210206-a
13971115,980000.00,980000,980000,980000.00,200,980000.00,SOV.MRB2-LTS210206-a
13971116,965000.00,965000,965000,965000.00,200,965000.00,SOV.MRB2-LTS210206-a
13971127,982000.00,982000,982000,982000.00,45,982000.00,SOV.MRB2-LTS210206-a
13971128,982000.00,982000,982000,982000.00,87,982000.00,SOV.MRB2-LTS210206-a
13971129,982001.00,982001,982001,982001.00,3000,982001.00,SOV.MRB2-LTS210206-a
13971130,984001.00,984001,984001,984001.00,3000,984001.00,SOV.MRB2-LTS210206-a
13971206,998999.00,998999,960000,962736.00,4037,969600.00,SOV.MRB2-LTS210206-a
13971208,970000.00,970000,962700,962736.00,2010,962700.00,SOV.MRB2-LTS210206-a
13971211,995000.00,1000000,964000,965829.00,1055,964000.00,SOV.MRB2-LTS210206-a
13971214,975000.00,975000,975000,975000.00,500,975000.00,SOV.MRB2-LTS210206-a
13971218,975000.00,975000,971173,973199.00,255,971173.00,SOV.MRB2-LTS210206-a
13971219,973199.00,973199,973199,973199.00,15474,973199.00,SOV.MRB2-LTS210206-a
13971228,998000.00,998000,954700,955044.00,3024,954700.00,SOV.MRB2-LTS210206-a
13980106,966000.00,966000,966000,966000.00,500,966000.00,SOV.MRB2-LTS210206-a
13980119,980000.00,980000,980000,980000.00,50,980000.00,SOV.MRB2-LTS210206-a
13980121,976149.00,976149,976149,976149.00,500,976149.00,SOV.MRB2-LTS210206-a
13980125,972400.00,972400,972400,972400.00,2000,972400.00,SOV.MRB2-LTS210206-a
13980126,968600.00,968600,968600,968600.00,500,968600.00,SOV.MRB2-LTS210206-a
13980131,968600.00,968600,950000,952232.00,250,950000.00,SOV.MRB2-LTS210206-a
13980202,956500.00,956500,956500,956500.00,500,956500.00,SOV.MRB2-LTS210206-a
13980203,952768.00,952768,952768,952768.00,30,952768.00,SOV.MRB2-LTS210206-a
13980207,950002.00,950002,950002,950002.00,1000,950002.00,SOV.MRB2-LTS210206-a
13980209,941597.00,950000,941597,944748.00,80,950000.00,SOV.MRB2-LTS210206-a
13980211,936500.00,936500,936500,936500.00,500,936500.00,SOV.MRB2-LTS210206-a
13980217,960001.00,960001,960001,960001.00,1000,960001.00,SOV.MRB2-LTS210206-a
13980221,967001.00,967001,967001,967001.00,500,967001.00,SOV.MRB2-LTS210206-a
13980222,970001.00,970001,970001,970001.00,200,970001.00,SOV.MRB2-LTS210206-a
13980224,975000.00,975000,975000,975000.00,200,975000.00,SOV.MRB2-LTS210206-a
13980225,980001.00,980001,980001,980001.00,2000,980001.00,SOV.MRB2-LTS210206-a
13980230,976000.00,976000,976000,976000.00,500,976000.00,SOV.MRB2-LTS210206-a
13980231,972000.00,972000,972000,972000.00,500,972000.00,SOV.MRB2-LTS210206-a
13980304,979000.00,979000,962377,962623.00,1015,962377.00,SOV.MRB2-LTS210206-a
13980305,943001.00,943001,943001,943001.00,200,943001.00,SOV.MRB2-LTS210206-a
13980313,920001.00,920001,920001,920001.00,500,920001.00,SOV.MRB2-LTS210206-a
13980319,970000.00,970000,891000,929533.00,295,970000.00,SOV.MRB2-LTS210206-a
13980320,955000.00,955000,955000,955000.00,30,955000.00,SOV.MRB2-LTS210206-a
13980321,969999.00,969999,955201,956024.00,1119,955201.00,SOV.MRB2-LTS210206-a
13980322,943000.00,943000,943000,943000.00,200,943000.00,SOV.MRB2-LTS210206-a
13980325,940001.00,940001,940001,940001.00,2000,940001.00,SOV.MRB2-LTS210206-a
13980326,969999.00,969999,940010,940012.00,90005,940010.00,SOV.MRB2-LTS210206-a
13980329,969999.00,970000,911000,925889.00,10095,911000.00,SOV.MRB2-LTS210206-a
13980404,969999.00,970000,930010,931599.00,1057,930010.00,SOV.MRB2-LTS210206-a
13980405,970000.00,970000,930100,930377.00,1007,930100.00,SOV.MRB2-LTS210206-a
13980415,989000.00,989000,940000,940244.00,1005,940000.00,SOV.MRB2-LTS210206-a
13980416,940246.00,941100,940246,941100.00,32001,941100.00,SOV.MRB2-LTS210206-a
13980425,946000.00,960001,946000,959659.00,205,960001.00,SOV.MRB2-LTS210206-a
13980507,970000.00,970000,970000,970000.00,100,970000.00,SOV.MRB2-LTS210206-a
13980508,980000.00,980000,980000,980000.00,100,980000.00,SOV.MRB2-LTS210206-a
13980512,972000.00,972000,972000,972000.00,10,972000.00,SOV.MRB2-LTS210206-a
13980514,989000.00,989000,962377,963782.00,540,962377.00,SOV.MRB2-LTS210206-a
13980523,954241.00,954241,954241,954241.00,2200,954241.00,SOV.MRB2-LTS210206-a
13980528,958000.00,958000,958000,958000.00,11,958000.00,SOV.MRB2-LTS210206-a
13980602,960000.00,960000,960000,960000.00,80,960000.00,SOV.MRB2-LTS210206-a
13980605,960010.00,960010,960010,960010.00,1000,960010.00,SOV.MRB2-LTS210206-a
13980610,951100.00,951100,951100,951100.00,1000,951100.00,SOV.MRB2-LTS210206-a
13980617,999000.00,999000,942100,942608.00,1009,942100.00,SOV.MRB2-LTS210206-a
13980620,936000.00,936000,936000,936000.00,9,936000.00,SOV.MRB2-LTS210206-a
13980625,940010.00,940010,940010,940010.00,3000,940010.00,SOV.MRB2-LTS210206-a
13980627,940200.00,940200,940200,940200.00,500,940200.00,SOV.MRB2-LTS210206-a
13980631,940001.00,942600,940001,942584.00,503,942600.00,SOV.MRB2-LTS210206-a
13980713,960001.00,960001,960001,960001.00,155,960001.00,SOV.MRB2-LTS210206-a
13980724,960001.00,960010,960001,960004.00,8096,960010.00,SOV.MRB2-LTS210206-a
13980729,999999.00,1020000,999999,1019410.00,5253,1000000.00,SOV.MRB2-LTS210206-a
13980730,984938.00,984938,984938,984938.00,1000,984938.00,SOV.MRB2-LTS210206-a
13980804,984938.00,984938,984938,984938.00,1,984938.00,SOV.MRB2-LTS210206-a
