<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,715000.00,715000,715000,715000.00,80,715000.00,TreasuryBill200106-a
13970106,715000.00,715000,715000,715000.00,289,715000.00,TreasuryBill200106-a
13970107,710000.00,720000,710000,718467.00,29754,720000.00,TreasuryBill200106-a
13970108,720001.00,723000,720001,722986.00,4634,723000.00,TreasuryBill200106-a
13970114,700013.00,726000,700013,716447.00,664,725000.00,TreasuryBill200106-a
13970115,721000.00,721031,720999,721010.00,31905,720999.00,TreasuryBill200106-a
13970118,720000.00,720000,716200,719115.00,12998,716200.00,TreasuryBill200106-a
13970119,715009.00,722000,715009,720285.00,9815,720000.00,TreasuryBill200106-a
13970120,721000.00,722000,716015,719901.00,27049,716015.00,TreasuryBill200106-a
13970121,720000.00,720000,712000,717533.00,14539,712000.00,TreasuryBill200106-a
13970122,712921.00,712921,712921,712921.00,20,712921.00,TreasuryBill200106-a
13970126,714002.00,720001,714002,719507.00,29499,719000.00,TreasuryBill200106-a
13970128,721000.00,721000,717500,719315.00,810,717500.00,TreasuryBill200106-a
13970129,717000.00,717100,715999,716280.00,17784,716000.00,TreasuryBill200106-a
13970201,716504.00,717500,716503,716545.00,3179,717500.00,TreasuryBill200106-a
13970202,717000.00,717500,717000,717490.00,26530,717500.00,TreasuryBill200106-a
13970203,716200.00,718000,715700,717131.00,68062,718000.00,TreasuryBill200106-a
13970204,719973.00,719973,717813,718570.00,44491,718005.00,TreasuryBill200106-a
13970205,718520.00,718990,717700,718613.00,29639,718760.00,TreasuryBill200106-a
13970208,718614.00,723539,718614,719427.00,3590,720000.00,TreasuryBill200106-a
13970209,719000.00,720000,718801,719560.00,63865,719551.00,TreasuryBill200106-a
13970210,719600.00,721398,719600,719926.00,23131,720001.00,TreasuryBill200106-a
13970211,712002.00,712002,712002,712002.00,4000,712002.00,TreasuryBill200106-a
13970215,722499.00,723390,721000,721918.00,9515,721000.00,TreasuryBill200106-a
13970216,720500.00,726000,720500,721937.00,22768,724500.00,TreasuryBill200106-a
