<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13980716,675016.00,676000,675016,675152.00,71748,675032.00,TreasuryBill211011-a
13980717,675503.00,689999,675503,677574.00,16265,677407.00,TreasuryBill211011-a
13980720,678000.00,699990,675555,680448.00,89307,681100.00,TreasuryBill211011-a
13980721,682480.00,683500,681000,682078.00,89213,682380.00,TreasuryBill211011-a
13980722,685011.00,685011,683000,683870.00,47666,683001.00,TreasuryBill211011-a
13980723,685555.00,685555,683100,683420.00,23243,684000.00,TreasuryBill211011-a
13980724,684302.00,691000,684102,684649.00,4290,686000.00,TreasuryBill211011-a
13980728,687000.00,693500,686005,691686.00,7390,686005.00,TreasuryBill211011-a
13980729,697000.00,697000,680000,683099.00,48510,684999.00,TreasuryBill211011-a
13980730,681001.00,686000,681001,684217.00,24929,684500.00,TreasuryBill211011-a
13980801,683001.00,689264,683001,685182.00,6651,689264.00,TreasuryBill211011-a
13980804,695251.00,695251,683500,686456.00,15692,686900.00,TreasuryBill211011-a
13980806,684001.00,688799,683001,686886.00,130168,686123.00,TreasuryBill211011-a
13980808,686800.00,692999,685020,688731.00,52421,688471.00,TreasuryBill211011-a
13980811,689000.00,691000,687600,689857.00,90114,691000.00,TreasuryBill211011-a
13980812,687000.00,691000,687000,690066.00,44329,689915.00,TreasuryBill211011-a
13980813,700000.00,700000,687252,690334.00,66784,690001.00,TreasuryBill211011-a
13980814,688003.00,691000,688003,690479.00,3514,690000.00,TreasuryBill211011-a
13980818,692777.00,692777,692050,692452.00,7376,692050.00,TreasuryBill211011-a
13980819,693000.00,693500,692504,692691.00,51901,692519.00,TreasuryBill211011-a
13980820,693119.00,694000,691692,693614.00,68838,692201.00,TreasuryBill211011-a
13980821,691000.00,691000,690021,690033.00,10104,690021.00,TreasuryBill211011-a
13980822,693498.00,693500,690021,693070.00,43452,693000.00,TreasuryBill211011-a
13980825,694000.00,697500,692074,693858.00,8825,694001.00,TreasuryBill211011-a
13980826,693999.00,694000,693001,694000.00,29794,694000.00,TreasuryBill211011-a
13980827,690000.00,695800,690000,692573.00,184656,693000.00,TreasuryBill211011-a
13980828,694300.00,697700,693201,693893.00,86035,694100.00,TreasuryBill211011-a
13980829,693502.00,698000,693502,693840.00,57899,695100.00,TreasuryBill211011-a
13980902,694900.00,697000,693000,696144.00,132561,696000.00,TreasuryBill211011-a
13980903,695500.00,695600,695083,695499.00,57589,695505.00,TreasuryBill211011-a
13980904,694501.00,696000,694501,695343.00,106787,696000.00,TreasuryBill211011-a
13980905,694800.00,696000,692251,694443.00,26052,695444.00,TreasuryBill211011-a
13980906,694001.00,695999,694001,694752.00,8458,695001.00,TreasuryBill211011-a
13980909,695000.00,695500,691872,694139.00,202568,695500.00,TreasuryBill211011-a
13980910,694980.00,695001,693272,694910.00,128960,695001.00,TreasuryBill211011-a
13980911,694521.00,695680,694521,694920.00,74547,695001.00,TreasuryBill211011-a
13980912,695000.00,697000,693015,695232.00,25990,695452.00,TreasuryBill211011-a
13980913,696000.00,698000,696000,696915.00,76329,698000.00,TreasuryBill211011-a
13980916,696258.00,698500,696258,698028.00,49014,698005.00,TreasuryBill211011-a
13980917,698005.00,698750,696101,697869.00,110847,697206.00,TreasuryBill211011-a
13980918,696666.00,729987,696555,697918.00,46035,700000.00,TreasuryBill211011-a
13980919,696555.00,700777,696555,700066.00,48940,700200.00,TreasuryBill211011-a
13980920,705000.00,705000,699001,699655.00,52977,699460.00,TreasuryBill211011-a
13980923,698012.00,701077,698012,700733.00,60629,700700.00,TreasuryBill211011-a
13980924,701800.00,701900,700643,701407.00,82120,701102.00,TreasuryBill211011-a
13980925,706998.00,706998,700010,701729.00,10673,701710.00,TreasuryBill211011-a
13980926,700100.00,704300,700010,702094.00,43122,702000.00,TreasuryBill211011-a
13980927,701690.00,705000.00,701690.00,703400.00,39981,701919.00,TreasuryBill211011-a
