<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13980818,1000000.00,1000000,1000000,1000000.00,10000000,1000000.00,SOV.MNF52SP221109-a
13980826,980000.00,980000,980000,980000.00,10000,980000.00,SOV.MNF52SP221109-a
13980827,970000.00,970000,970000,970000.00,10000,970000.00,SOV.MNF52SP221109-a
13980828,960000.00,960000,960000,960000.00,10000,960000.00,SOV.MNF52SP221109-a
13980903,950000.00,950000,950000,950000.00,10000,950000.00,SOV.MNF52SP221109-a
13980904,940000.00,940000,940000,940000.00,10000,940000.00,SOV.MNF52SP221109-a
13980905,920000.00,920000,920000,920000.00,10000,920000.00,SOV.MNF52SP221109-a
13980913,919000.00,919000,919000,919000.00,1000,919000.00,SOV.MNF52SP221109-a
13980925,925000.00,925000,925000,925000.00,1000,925000.00,SOV.MNF52SP221109-a
13980927,888000.00,888000.00,888000.00,888000.00,1000,888000.00,SOV.MNF52SP221109-a
