<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970230,910000.00,910000,910000,910000.00,4335107,910000.00,SukukMokhaberat-a
13970231,910000.00,910000,910000,910000.00,3664893,910000.00,SukukMokhaberat-a
13970307,910580.00,910582,910580,910580.00,193000,910582.00,SukukMokhaberat-a
13970309,910725.00,910727,910725,910727.00,6520,910727.00,SukukMokhaberat-a
13970312,910942.00,910943,910942,910942.00,30420,910943.00,SukukMokhaberat-a
13970313,911014.00,911015,911014,911015.00,10037,911015.00,SukukMokhaberat-a
13970319,911451.00,911451,911451,911451.00,200,911451.00,SukukMokhaberat-a
13970320,911522.00,911522,911522,911522.00,70,911522.00,SukukMokhaberat-a
13970321,911596.00,911596,911596,911596.00,48100,911596.00,SukukMokhaberat-a
13970322,911667.00,911667,911666,911667.00,22210,911667.00,SukukMokhaberat-a
13970323,912028.00,912028,911739,911968.00,1389,911739.00,SukukMokhaberat-a
13970327,912028.00,912030,912028,912030.00,9166,912029.00,SukukMokhaberat-a
13970328,912102.00,912102,912101,912102.00,33300,912102.00,SukukMokhaberat-a
13970330,912246.00,912246,912246,912246.00,15000,912246.00,SukukMokhaberat-a
13970402,912465.00,912466,912465,912465.00,2750,912466.00,SukukMokhaberat-a
13970403,912537.00,912537,912537,912537.00,490,912537.00,SukukMokhaberat-a
13970404,912608.00,912611,912608,912610.00,12020,912611.00,SukukMokhaberat-a
13970406,912755.00,912755,912755,912755.00,30000,912755.00,SukukMokhaberat-a
13970411,913117.00,913117,913043,913098.00,104060,913117.00,SukukMokhaberat-a
13970412,913192.00,913192,913192,913192.00,4600,913192.00,SukukMokhaberat-a
13970413,913263.00,913263,913262,913262.00,72,913262.00,SukukMokhaberat-a
13970416,913481.00,913481,913481,913481.00,151670,913481.00,SukukMokhaberat-a
13970417,920000.00,920000,913697,913860.00,41061,913697.00,SukukMokhaberat-a
13970420,913771.00,913771,913771,913771.00,138,913771.00,SukukMokhaberat-a
13970423,913993.00,913993,913993,913993.00,4400,913993.00,SukukMokhaberat-a
13970424,915000.00,915000,915000,915000.00,30000,915000.00,SukukMokhaberat-a
13970425,914134.00,915000,914134,915000.00,20001,915000.00,SukukMokhaberat-a
13970426,914206.00,914206,914206,914206.00,54,914206.00,SukukMokhaberat-a
13970430,914500.00,914500,914497,914497.00,30000,914497.00,SukukMokhaberat-a
13970501,914644.00,914644,914643,914643.00,11000,914643.00,SukukMokhaberat-a
13970502,914720.00,914720,914720,914720.00,30000,914720.00,SukukMokhaberat-a
