<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,980000.00,985000,975250,976248.00,450,985000.00,Sokuk Saipa143-a
13970114,977000.00,977000,977000,977000.00,63,977000.00,Sokuk Saipa143-a
13970115,977500.00,977500,977500,977500.00,11,977500.00,Sokuk Saipa143-a
13970119,984990.00,985000,984000,984909.00,110,984000.00,Sokuk Saipa143-a
13970201,985000.00,985000,985000,985000.00,1,985000.00,Sokuk Saipa143-a
13970202,985000.00,985000,985000,985000.00,3,985000.00,Sokuk Saipa143-a
13970203,985000.00,985000,985000,985000.00,2,985000.00,Sokuk Saipa143-a
13970215,975250.00,975250,975250,975250.00,37,975250.00,Sokuk Saipa143-a
13970222,985000.00,985000,985000,985000.00,2,985000.00,Sokuk Saipa143-a
13970226,985000.00,985000,975250,980125.00,2,975250.00,Sokuk Saipa143-a
13970306,999999.00,999999,999999,999999.00,100000,999999.00,Sokuk Saipa143-a
13970308,975250.00,975250,975250,975250.00,171,975250.00,Sokuk Saipa143-a
13970309,999999.00,999999,999999,999999.00,80000,999999.00,Sokuk Saipa143-a
13970327,975250.00,975250,975250,975250.00,2,975250.00,Sokuk Saipa143-a
13970330,999998.00,999998,999998,999998.00,50000,999998.00,Sokuk Saipa143-a
13970404,975250.00,975250,975250,975250.00,2800,975250.00,Sokuk Saipa143-a
13970413,975250.00,975250,940000,959854.00,46141,940000.00,Sokuk Saipa143-a
13970416,930694.00,939998,930694,931067.00,12189,939998.00,Sokuk Saipa143-a
13970420,930000.00,930000,930000,930000.00,489,930000.00,Sokuk Saipa143-a
13970426,939988.00,939988,939988,939988.00,217,939988.00,Sokuk Saipa143-a
13970431,930001.00,930001,929999,930000.00,30000,929999.00,Sokuk Saipa143-a
13970501,929999.00,929999,929999,929999.00,20,929999.00,Sokuk Saipa143-a
13970502,939000.00,939000,939000,939000.00,500,939000.00,Sokuk Saipa143-a
13970503,953000.00,953000,953000,953000.00,700,953000.00,Sokuk Saipa143-a
13970509,930000.00,930000,930000,930000.00,202,930000.00,Sokuk Saipa143-a
13970510,915500.00,915500,915500,915500.00,300,915500.00,Sokuk Saipa143-a
13970516,924000.00,924000,924000,924000.00,200,924000.00,Sokuk Saipa143-a
13970517,945000.00,945000,945000,945000.00,700,945000.00,Sokuk Saipa143-a
13970520,950000.00,950000,950000,950000.00,120,950000.00,Sokuk Saipa143-a
13970522,953000.00,953000,953000,953000.00,150,953000.00,Sokuk Saipa143-a
13970523,935550.00,935550,935550,935550.00,10000,935550.00,Sokuk Saipa143-a
13970527,926000.00,926000,926000,926000.00,110,926000.00,Sokuk Saipa143-a
13970529,917000.00,917000,917000,917000.00,140,917000.00,Sokuk Saipa143-a
13970530,930600.00,930600,930600,930600.00,2,930600.00,Sokuk Saipa143-a
13970603,941000.00,941000,941000,941000.00,100,941000.00,Sokuk Saipa143-a
13970611,941000.00,941000,941000,941000.00,50,941000.00,Sokuk Saipa143-a
13970614,941000.00,941000,941000,941000.00,50,941000.00,Sokuk Saipa143-a
13970619,941000.00,941000,941000,941000.00,100,941000.00,Sokuk Saipa143-a
13970624,931590.00,931590,931590,931590.00,100,931590.00,Sokuk Saipa143-a
13970703,931590.00,931590,931590,931590.00,50,931590.00,Sokuk Saipa143-a
13970707,931590.00,931590,931590,931590.00,200,931590.00,Sokuk Saipa143-a
13970708,900000.00,900000,900000,900000.00,115,900000.00,Sokuk Saipa143-a
13970709,931590.00,931590,895000,902318.00,250,895000.00,Sokuk Saipa143-a
13970710,923670.00,923670,923670,923670.00,4,923670.00,Sokuk Saipa143-a
13970716,904000.00,904000,904000,904000.00,154,904000.00,Sokuk Saipa143-a
13970724,891000.00,891000,891000,891000.00,7,891000.00,Sokuk Saipa143-a
13970805,940000.00,940000,940000,940000.00,700,940000.00,Sokuk Saipa143-a
13970806,915000.00,915000,915000,915000.00,4,915000.00,Sokuk Saipa143-a
13970815,939300.00,973997,939300,959614.00,1708,973997.00,Sokuk Saipa143-a
13970830,939000.00,948688,939000,943600.00,4300,948688.00,Sokuk Saipa143-a
13970903,954000.00,954000,954000,954000.00,18,954000.00,Sokuk Saipa143-a
13970905,945000.00,973998,945000,961965.00,53,971600.00,Sokuk Saipa143-a
13970911,951000.00,951000,951000,951000.00,15,951000.00,Sokuk Saipa143-a
13970913,955500.00,955500,955500,955500.00,9,955500.00,Sokuk Saipa143-a
13970917,961000.00,961000,961000,961000.00,12,961000.00,Sokuk Saipa143-a
13970926,968000.00,968000,968000,968000.00,12,968000.00,Sokuk Saipa143-a
