<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20020730,619.07,622,619,620.41,448000
20020731,635.92,636,636,635.92,52000
20020803,651.81,652,652,651.81,23292
20020804,668.07,668,668,668.07,1000
20020805,651.39,668,651,668.07,101277
20020806,659.96,668,657,660.40,40161
20020807,659.92,660,644,643.90,20787
20020810,639.60,644,639,643.79,28643
20020811,642.76,643,643,643.45,3700
20020813,642.07,643,641,641.97,10813
20020814,639.60,641,633,632.79,13091
20020817,632.75,633,633,632.58,1500
20020818,619.03,619,619,619.17,12586
20020819,619.38,620,619,619.65,8769
20020820,627.63,632,628,630.72,18700
20020821,630.72,631,623,622.50,8227
20020828,622.50,623,619,622.47,18029
20020831,622.47,622,619,619.03,20650
20020901,608.71,619,609,619.03,30200
20020903,615.59,619,616,619.03,18190
20020908,610.74,619,602,619.03,11010
20020911,598.40,598,598,598.40,700
20020914,598.40,598,595,598.40,7643
20020915,584.64,585,585,584.64,4000
20020917,555.41,584,555,584.23,1674
20020925,576.94,585,577,584.64,41586
20021006,584.50,585,585,584.64,3288
20021013,584.64,588,555,588.08,25635
20021014,588.05,592,588,591.52,5863
20021016,601.73,602,602,601.77,1000
20021019,601.73,602,602,601.73,2000
20021021,601.60,602,602,601.80,11777
20021029,601.05,601,601,601.15,2000
20021102,601.15,601,601,601.15,3014
20021104,601.80,602,602,601.80,1000
20021105,601.80,602,602,601.80,1612
20021116,584.64,600,585,584.64,5186
20021117,584.64,585,585,584.64,5564
20021118,584.64,585,585,584.64,170
20021119,584.61,585,585,584.64,2000
20021120,567.45,567,567,567.45,1000
20021123,567.45,567,567,567.45,145
20021124,567.86,568,568,567.82,2195
20021130,567.86,568,568,567.82,3633
20021204,584.57,585,585,584.64,7935
20021207,584.64,585,585,584.64,200
20021209,584.54,585,585,584.64,4265
20021211,584.64,585,585,584.64,900
20021215,599.77,600,600,600.12,3071
20021216,600.46,600,600,600.46,2500
20021221,600.46,600,600,600.46,4720
20021222,600.46,600,585,584.64,3280
20021228,584.64,614,585,613.87,1602
20021229,613.87,614,614,613.87,100
20030105,612.91,614,613,613.87,3886
20030106,613.87,614,614,613.87,500
20030107,641.35,641,641,641.35,1650
20030113,640.77,641,641,640.77,42343
20030115,632.79,633,633,632.79,544
20030118,625.91,626,625,624.53,3171
20030119,594.96,595,595,594.99,618
20030122,601.77,619,602,619.10,8261
20030129,601.84,602,588,588.15,2000
20030201,558.74,588,559,558.74,2000
20030205,567.45,567,564,564.01,526
20030209,566.41,578,566,577.76,3415
20030215,577.76,585,578,584.64,3000
20030217,584.64,585,585,584.61,520
20030218,584.64,585,585,584.64,800
20030225,584.64,585,585,584.64,1500
20030226,584.68,585,585,584.68,6301
20030302,601.84,609,602,608.71,2700
20030303,613.22,613,609,608.71,3340
20030304,625.39,625,625,625.39,1000
20030308,618.62,619,619,618.62,9471
20030319,587.70,619,588,619.03,11543
20030331,619.03,619,619,619.00,1695
20030406,619.03,619,619,619.03,4425
20030408,619.03,619,619,619.03,2000
20030409,636.23,636,636,636.23,7612
20030413,636.23,636,636,636.23,29376
20030419,636.23,636,636,636.23,3762
20030420,636.23,636,636,636.23,277
20030421,636.23,636,636,636.23,5850
20030422,636.23,636,636,636.23,5000
20030426,636.23,636,636,636.23,5510
20030428,636.23,636,636,636.23,700
20030429,636.23,636,636,636.23,10200
20030430,636.23,636,636,636.23,5810
20030503,636.16,636,636,636.23,1000
20030504,636.26,636,636,636.26,102
20030505,636.26,636,636,636.26,601
20030514,636.26,636,636,636.23,2428
20030517,636.23,636,335,636.23,61854
20030518,629.35,629,629,629.35,20000
20030526,629.35,629,629,629.35,1562
20030531,629.21,629,629,629.28,5000
20030601,629.21,636,629,636.23,14713
20030629,619.03,619,619,619.03,10000
20030701,619.03,619,619,619.03,3000
20030705,618.34,619,618,619.00,1500
20030707,618.83,619,619,619.03,4302
20030719,618.96,619,619,618.96,10
20031018,309.52,310,310,309.52,2000
20031021,309.52,310,310,309.52,100
20031022,309.48,309,309,309.48,550
20031104,309.17,309,309,309.45,109
20031215,294.01,307,294,306.87,510
20031216,291.53,294,292,293.11,6056
20031228,299.13,299,294,294.25,580
20040110,279.60,292,280,291.60,550
20040111,279.60,290,280,289.74,470
20040112,279.60,281,280,281.49,2450
20040218,274.57,275,275,274.57,44225
20040725,192.59,193,193,192.59,1000
