<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20131112,790.71,791,791,790.71,39233,2,Iranit-a
20131130,790.71,791,395,532.94,87462,5,Iranit-a
20131208,948.86,949,949,948.86,7000,1,Iranit-a
20131211,948.07,949,948,948.86,33511,6,Iranit-a
20131222,1186.07,1265,1147,1171.84,38741,5,Iranit-a
20131225,1148.91,1149,949,1073.79,26666,2,Iranit-a
20131229,1225.61,1226,1226,1225.61,5400,1,Iranit-a
20140101,1265.14,1265,1107,1250.91,17850,4,Iranit-a
20140104,1579.85,1580,1541,1551.38,54647,3,Iranit-a
20140105,1580.64,1581,1581,1580.64,19964,3,Iranit-a
20140107,1581.43,1740,1574,1590.13,84719,10,Iranit-a
20140111,1739.57,1757,1502,1674.73,118836,11,Iranit-a
20140112,1581.43,1581,1581,1581.43,14811,1,Iranit-a
20140126,1739.57,1740,1502,1725.34,62656,4,Iranit-a
20140129,1502.36,1819,1502,1805.20,12055,5,Iranit-a
20140201,1581.43,1581,1581,1581.43,50000,1,Iranit-a
20140203,1265.14,1502,1265,1282.54,15936,5,Iranit-a
20140210,1273.05,1273,1266,1267.52,10669,7,Iranit-a
20140212,1265.14,1265,1265,1265.14,5000,1,Iranit-a
20140216,1265.14,1265,1265,1265.14,10000,2,Iranit-a
20140217,1265.14,1305,1230,1254.07,49149,4,Iranit-a
20140218,1229.56,1265,1230,1239.05,1717,2,Iranit-a
20140223,1229.56,1265,1230,1230.35,20399,4,Iranit-a
20140226,1107.00,1107,1107,1107.00,20000,1,Iranit-a
20140304,1027.93,1028,1028,1027.93,22000,2,Iranit-a
20140308,1099.09,1099,1099,1099.09,10000,1,Iranit-a
20140309,1028.72,1029,1028,1027.93,21991,3,Iranit-a
20140311,1028.72,1029,1029,1028.72,253,1,Iranit-a
20140326,1027.93,1029,1028,1027.93,9812,4,Iranit-a
20140407,1020.02,1028,1020,1026.35,31534,11,Iranit-a
20140409,1030.30,1067,1030,1033.46,11000,2,Iranit-a
20140412,1107.00,1107,1107,1107.00,20800,3,Iranit-a
20140413,1029.51,1030,1020,1025.56,38000,6,Iranit-a
20140426,1099.09,1099,958,1005.00,28416,6,Iranit-a
20140427,1107.00,1107,1107,1107.00,13000,1,Iranit-a
20140428,1186.07,1186,980,1091.19,93058,12,Iranit-a
20140429,1186.07,1226,1107,1143.37,58491,6,Iranit-a
20140430,1344.22,1344,1186,1290.45,23516,5,Iranit-a
20140503,1344.22,1344,1344,1344.22,7000,1,Iranit-a
20140504,1344.22,1344,1249,1261.98,82000,7,Iranit-a
20140505,1265.14,1265,1170,1236.68,50599,6,Iranit-a
