<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,879.04,879,879,866.09,1400,879.04,Alborz Bimeh-a
13970106,904.95,907,872,866.09,16935,873.00,Alborz Bimeh-a
13970107,902.36,902,863,867.82,296092,899.76,Alborz Bimeh-a
13970108,865.22,865,863,867.82,20010,863.50,Alborz Bimeh-a
13970114,896.31,896,833,866.95,131321,866.09,Alborz Bimeh-a
13970115,845.36,867,845,866.95,43072,863.50,Alborz Bimeh-a
13970118,847.95,851,846,865.22,137134,850.55,Alborz Bimeh-a
13970119,854.00,854,822,860.91,201185,833.28,Alborz Bimeh-a
13970120,820.32,844,819,856.59,183776,818.60,Alborz Bimeh-a
13970121,847.95,848,824,856.59,44151,837.59,Alborz Bimeh-a
13970122,818.60,819,814,853.14,124634,814.28,Alborz Bimeh-a
13970126,810.82,819,811,850.55,97238,810.82,Alborz Bimeh-a
13970127,809.96,814,808,846.23,161795,814.28,Alborz Bimeh-a
13970128,826.37,826,805,843.64,116021,804.78,Alborz Bimeh-a
13970129,808.23,826,808,840.18,231129,816.01,Alborz Bimeh-a
13970201,814.28,825,804,835.00,256984,803.92,Alborz Bimeh-a
13970202,834.14,845,797,828.96,320816,798.74,Alborz Bimeh-a
13970203,792.69,810,792,828.09,30662,794.42,Alborz Bimeh-a
13970204,798.74,821,794,825.50,113651,820.32,Alborz Bimeh-a
13970205,818.60,819,799,824.64,52570,801.33,Alborz Bimeh-a
13970208,790.10,800,785,819.46,236687,785.78,Alborz Bimeh-a
13970209,787.51,800,786,815.14,222191,785.78,Alborz Bimeh-a
13970210,784.92,785,777,815.14,16011,783.19,Alborz Bimeh-a
13970211,777.15,803,775,813.42,93007,802.19,Alborz Bimeh-a
13970215,774.56,811,773,810.82,121220,772.83,Alborz Bimeh-a
13970216,771.10,771,771,809.10,53569,771.10,Alborz Bimeh-a
13970217,770.24,771,769,804.78,174422,769.38,Alborz Bimeh-a
13970218,765.06,799,765,797.87,296071,794.42,Alborz Bimeh-a
13970219,758.15,797,758,794.42,247302,797.01,Alborz Bimeh-a
13970222,757.29,776,755,784.06,446943,773.69,Alborz Bimeh-a
13970223,746.93,792,747,781.47,445273,772.83,Alborz Bimeh-a
13970224,761.61,819,760,783.19,288110,790.96,Alborz Bimeh-a
13970225,803.05,812,769,784.92,496637,787.51,Alborz Bimeh-a
13970226,764.20,783,764,783.19,256083,783.19,Alborz Bimeh-a
13970229,777.15,822,777,805.64,1404346,822.05,Alborz Bimeh-a
13970230,816.87,845,817,838.46,1413543,845.36,Alborz Bimeh-a
13970231,862.63,880,828,867.82,1885406,867.82,Alborz Bimeh-a
13970301,854.00,862,825,842.77,945229,824.64,Alborz Bimeh-a
13970302,807.37,851,807,841.91,143344,828.09,Alborz Bimeh-a
13970305,837.59,842,822,838.46,553768,832.41,Alborz Bimeh-a
13970306,823.78,844,822,837.59,136614,843.64,Alborz Bimeh-a
13970307,820.32,821,807,835.87,114886,806.51,Alborz Bimeh-a
13970308,797.01,812,794,833.28,153517,811.69,Alborz Bimeh-a
13970309,807.37,807,794,832.41,55816,796.15,Alborz Bimeh-a
13970312,797.01,812,791,827.23,224037,790.96,Alborz Bimeh-a
13970313,789.24,794,787,824.64,107959,791.83,Alborz Bimeh-a
13970319,787.51,794,784,815.14,390333,794.42,Alborz Bimeh-a
13970320,802.19,802,778,798.74,768224,788.37,Alborz Bimeh-a
13970321,788.37,798,778,793.55,526055,787.51,Alborz Bimeh-a
13970322,787.51,811,788,794.42,126290,797.87,Alborz Bimeh-a
13970323,797.87,819,796,797.87,381823,811.69,Alborz Bimeh-a
13970327,818.60,838,807,806.51,569572,833.28,Alborz Bimeh-a
13970328,836.73,837,807,810.82,685402,807.37,Alborz Bimeh-a
13970329,843.64,844,808,811.69,179718,818.60,Alborz Bimeh-a
13970330,816.01,831,810,815.14,898951,822.91,Alborz Bimeh-a
13970402,818.60,856,812,853.14,2787176,855.73,Alborz Bimeh-a
13970406,892.60,895,850,892.60,167267,890.72,Alborz Bimeh-a
13970409,855.95,928,855,891.66,779720,917.97,Alborz Bimeh-a
13970410,917.97,918,869,889.78,178773,871.93,Alborz Bimeh-a
13970411,878.50,890,848,886.96,139340,888.84,Alborz Bimeh-a
13970412,853.14,882,853,886.02,73648,856.89,Alborz Bimeh-a
13970413,864.41,864,842,851.26,1334402,845.62,Alborz Bimeh-a
13970416,860.65,863,856,851.26,78826,855.95,Alborz Bimeh-a
13970417,845.62,864,832,850.32,108305,864.41,Alborz Bimeh-a
13970419,814.61,825,815,849.38,37043,824.95,Alborz Bimeh-a
13970420,815.55,826,809,839.98,389003,809.92,Alborz Bimeh-a
13970423,814.61,852,815,839.98,74986,845.62,Alborz Bimeh-a
13970424,824.95,836,810,838.10,206076,836.22,Alborz Bimeh-a
13970425,812.73,846,813,838.10,79439,820.25,Alborz Bimeh-a
13970426,826.83,846,819,838.10,71000,826.83,Alborz Bimeh-a
13970427,827.77,832,828,837.16,95865,830.59,Alborz Bimeh-a
13970430,825.89,846,826,837.16,69651,836.22,Alborz Bimeh-a
13970431,832.47,836,812,836.22,116400,811.79,Alborz Bimeh-a
13970501,816.49,816,808,833.40,203341,808.98,Alborz Bimeh-a
13970502,833.40,836,814,833.40,24304,826.83,Alborz Bimeh-a
13970503,817.43,817,799,828.71,333687,803.34,Alborz Bimeh-a
13970506,800.52,808,799,822.13,378272,807.10,Alborz Bimeh-a
13970507,798.64,800,782,802.40,957749,798.64,Alborz Bimeh-a
13970508,770.45,788,763,794.88,340859,769.51,Alborz Bimeh-a
13970509,767.63,821,768,800.52,722301,821.19,Alborz Bimeh-a
13970510,790.18,799,770,793.94,505342,770.45,Alborz Bimeh-a
13970513,779.85,780,767,793.00,118450,779.85,Alborz Bimeh-a
13970514,765.76,793,756,790.18,245487,775.15,Alborz Bimeh-a
13970515,788.31,788,759,786.43,206695,763.88,Alborz Bimeh-a
13970516,755.42,793,755,786.43,320972,776.09,Alborz Bimeh-a
13970517,797.70,825,798,806.16,1060394,824.95,Alborz Bimeh-a
13970520,845.62,846,846,823.07,680119,845.62,Alborz Bimeh-a
13970521,863.47,863,837,859.71,3335670,849.38,Alborz Bimeh-a
13970522,859.71,888,825,873.81,3940635,887.90,Alborz Bimeh-a
13970523,886.96,887,834,870.99,426445,834.34,Alborz Bimeh-a
13970524,837.16,883,836,870.05,893478,852.20,Alborz Bimeh-a
13970527,855.02,855,835,857.83,739621,839.98,Alborz Bimeh-a
13970528,836.22,862,835,855.02,204465,837.16,Alborz Bimeh-a
13970529,836.22,893,817,861.59,980978,864.41,Alborz Bimeh-a
13970530,845.62,858,845,857.83,457225,846.56,Alborz Bimeh-a
13970603,840.92,887,839,870.05,1104846,873.81,Alborz Bimeh-a
13970604,889.78,907,867,891.66,1588916,906.69,Alborz Bimeh-a
13970605,873.81,919,874,893.54,706958,892.60,Alborz Bimeh-a
13970606,919.85,927,893,902.93,925908,912.33,Alborz Bimeh-a
13970607,892.60,911,893,902.93,603722,904.81,Alborz Bimeh-a
13970610,901.99,948,893,919.85,3066944,948.03,Alborz Bimeh-a
13970611,964.95,965,941,964.01,3772912,964.95,Alborz Bimeh-a
13970612,1003.47,1003,941,958.37,927727,964.95,Alborz Bimeh-a
13970613,948.03,986,948,957.43,1306684,956.49,Alborz Bimeh-a
13970614,942.40,976,941,955.55,644765,945.21,Alborz Bimeh-a
13970617,947.09,999,945,986.56,2116595,995.95,Alborz Bimeh-a
13970618,1000.65,1020,978,993.13,1155216,986.56,Alborz Bimeh-a
13970619,960.25,1020,960,1001.59,1643786,995.95,Alborz Bimeh-a
13970620,1016.62,1051,1005,1039.17,4303151,1051.39,Alborz Bimeh-a
13970621,1080.51,1091,1037,1083.33,2474403,1090.85,Alborz Bimeh-a
13970624,1136.89,1137,1072,1118.10,2416480,1097.43,Alborz Bimeh-a
13970625,1117.16,1174,1086,1150.98,4431207,1169.77,Alborz Bimeh-a
13970626,1208.30,1208,1174,1202.66,1624650,1208.30,Alborz Bimeh-a
13970627,1249.64,1263,1211,1224.27,1589467,1255.27,Alborz Bimeh-a
13970631,1281.58,1285,1223,1283.46,2904659,1281.58,Alborz Bimeh-a
13970701,1280.64,1309,1220,1236.48,2241426,1219.57,Alborz Bimeh-a
13970702,1202.66,1287,1177,1241.18,3731441,1287.22,Alborz Bimeh-a
13970703,1287.22,1303,1268,1296.62,4972977,1278.76,Alborz Bimeh-a
13970704,1287.22,1361,1287,1357.69,22533271,1360.51,Alborz Bimeh-a
13970707,1425.34,1425,1419,1425.34,52572884,1425.34,Alborz Bimeh-a
13970708,1495.81,1496,1494,1495.81,16614450,1495.81,Alborz Bimeh-a
13970711,1421.58,1492,1351,1445.07,18420594,1492.05,Alborz Bimeh-a
13970714,1516.48,1516,1374,1466.68,39565654,1373.66,Alborz Bimeh-a
13970715,1393.39,1393,1393,1399.97,1451714,1393.39,Alborz Bimeh-a
13970716,1330.44,1330,1330,1398.09,38054,1330.44,Alborz Bimeh-a
13970717,1328.56,1372,1329,1329.50,13825441,1328.56,Alborz Bimeh-a
13970718,1263.73,1264,1264,1323.86,129659,1263.73,Alborz Bimeh-a
13970721,1258.09,1258,1258,1323.86,789,1258.09,Alborz Bimeh-a
13970722,1258.09,1258,1258,1323.86,1747,1258.09,Alborz Bimeh-a
13970723,1258.09,1314,1258,1259.03,18209924,1258.09,Alborz Bimeh-a
13970724,1240.24,1282,1196,1224.27,13327321,1196.08,Alborz Bimeh-a
13970725,1184.81,1221,1163,1169.77,2389369,1163.20,Alborz Bimeh-a
13970728,1158.50,1221,1154,1180.11,15836405,1204.54,Alborz Bimeh-a
13970729,1212.05,1237,1157,1186.69,5643905,1197.96,Alborz Bimeh-a
13970730,1206.42,1206,1127,1136.89,3522396,1135.95,Alborz Bimeh-a
13970801,1119.04,1119,1081,1083.33,1752020,1080.51,Alborz Bimeh-a
13970802,1035.41,1046,1030,1062.66,639784,1029.78,Alborz Bimeh-a
13970805,1010.05,1010,1010,1052.33,307643,1010.05,Alborz Bimeh-a
13970806,999.71,1019,1000,1001.59,6718741,1010.05,Alborz Bimeh-a
13970807,1029.78,1051,1013,1039.17,3931166,1050.45,Alborz Bimeh-a
13970809,1075.82,1076,1003,1033.53,2198854,1029.78,Alborz Bimeh-a
13970812,1033.53,1034,992,1011.92,1394938,992.19,Alborz Bimeh-a
13970813,989.37,1019,962,978.10,1962273,962.13,Alborz Bimeh-a
13970814,958.37,1027,940,978.10,5956969,1026.02,Alborz Bimeh-a
13970815,1026.02,1027,991,1011.92,4184086,1026.96,Alborz Bimeh-a
13970819,1051.39,1062,1024,1055.15,5003424,1061.72,Alborz Bimeh-a
