<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,699.07,720,688,696.27,2063463,689.28,Bahman Group-a
13970106,689.28,705,688,695.57,1689696,700.47,Bahman Group-a
13970107,689.28,700,682,693.47,1660154,686.48,Bahman Group-a
13970108,685.08,706,685,691.37,3923414,696.27,Bahman Group-a
13970114,692.77,693,679,689.28,1367289,683.68,Bahman Group-a
13970115,690.68,691,676,683.68,2002128,678.78,Bahman Group-a
13970118,678.08,678,656,672.48,3668308,675.28,Bahman Group-a
13970119,675.28,675,654,665.48,3376563,664.78,Bahman Group-a
13970120,670.38,675,635,648.69,11940718,636.79,Bahman Group-a
13970121,664.78,681,661,675.28,11477508,666.88,Bahman Group-a
13970122,662.68,677,649,666.18,5684374,650.79,Bahman Group-a
13970126,643.79,672,644,661.98,3434700,667.58,Bahman Group-a
13970127,678.08,679,665,666.18,2054340,669.68,Bahman Group-a
13970128,665.48,678,659,665.48,1265004,664.78,Bahman Group-a
13970129,673.88,675,658,664.08,1250845,659.89,Bahman Group-a
13970201,659.19,665,654,662.68,853226,654.29,Bahman Group-a
13970202,648.69,665,649,659.19,1470004,652.19,Bahman Group-a
13970203,663.38,663,649,658.49,475304,650.79,Bahman Group-a
13970204,647.29,667,647,663.38,3254537,664.08,Bahman Group-a
13970205,650.09,661,650,660.58,1545583,657.09,Bahman Group-a
13970208,651.49,663,640,652.89,2123804,640.29,Bahman Group-a
13970209,643.79,663,644,654.29,2342097,653.59,Bahman Group-a
13970210,643.79,656,643,652.89,2933671,654.29,Bahman Group-a
13970211,643.79,665,644,659.19,3096362,661.28,Bahman Group-a
13970215,662.68,663,642,654.29,1878555,643.79,Bahman Group-a
13970216,642.39,650,633,647.99,1721693,641.69,Bahman Group-a
13970217,641.69,659,640,650.09,2874956,659.19,Bahman Group-a
13970218,658.49,668,658,664.08,7968995,664.08,Bahman Group-a
13970219,664.08,664,637,645.19,12911530,638.89,Bahman Group-a
13970222,648.69,671,649,648.69,1347888,649.39,Bahman Group-a
13970223,661.98,675,651,661.28,3356312,664.78,Bahman Group-a
13970224,675.28,694,670,692.77,15869398,694.17,Bahman Group-a
13970225,699.77,720,669,693.47,7331997,671.78,Bahman Group-a
13970226,691.37,693,665,685.78,1472583,670.38,Bahman Group-a
13970229,683.68,695,665,679.48,3734050,671.78,Bahman Group-a
13970230,666.18,679,658,672.48,1871517,657.79,Bahman Group-a
13970231,651.49,663,644,660.58,2037038,648.69,Bahman Group-a
13970301,649.39,651,637,640.29,5405463,640.29,Bahman Group-a
13970302,642.39,642,632,636.09,4529466,636.79,Bahman Group-a
13970305,644.49,650,640,641.69,3269284,640.29,Bahman Group-a
13970306,640.29,647,637,640.99,3821279,640.99,Bahman Group-a
13970307,634.69,644,630,637.49,2223779,636.09,Bahman Group-a
13970309,635.39,637,621,624.90,4126055,629.10,Bahman Group-a
13970312,636.09,648,632,638.19,4646079,641.69,Bahman Group-a
13970313,642.39,644,632,636.79,2789100,637.49,Bahman Group-a
13970319,634.69,637,626,633.29,5663495,627.00,Bahman Group-a
13970320,624.90,630,619,627.00,2689873,621.40,Bahman Group-a
13970321,622.10,629,617,622.80,4063037,619.30,Bahman Group-a
13970322,619.30,633,619,627.70,3945042,628.40,Bahman Group-a
13970323,629.79,658,630,652.89,9032594,657.09,Bahman Group-a
13970327,658.49,683,658,668.98,18732826,678.78,Bahman Group-a
13970328,691.37,702,656,671.78,18008782,656.39,Bahman Group-a
13970329,675.28,679,651,660.58,21930454,650.79,Bahman Group-a
13970330,660.58,682,651,666.18,25088334,680.18,Bahman Group-a
13970402,699.07,699,694,699.07,59573525,699.07,Bahman Group-a
13970403,724.96,725,689,710.27,43175510,706.07,Bahman Group-a
13970404,699.77,709,675,683.68,46417316,686.48,Bahman Group-a
13970405,681.58,707,668,692.07,22967794,685.78,Bahman Group-a
13970406,698.37,714,658,674.58,20522916,671.78,Bahman Group-a
13970409,684.38,697,668,680.18,6793270,677.38,Bahman Group-a
13970410,679.48,680,655,663.38,5748403,664.78,Bahman Group-a
13970411,671.78,679,654,662.68,8033199,657.79,Bahman Group-a
13970412,663.38,663,651,656.39,13648138,657.79,Bahman Group-a
13970413,657.79,689,637,666.18,21976726,675.98,Bahman Group-a
