<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,5357.58,5358,5112,5126.45,38285,5247.94,Butane Group-a
13970106,5086.94,5264,5038,5099.78,104769,5037.55,Butane Group-a
13970107,5017.79,5111,4860,5040.51,150056,5045.45,Butane Group-a
13970108,4899.26,5081,4899,5010.88,71166,5026.68,Butane Group-a
13970114,4939.76,5261,4940,5250.90,469921,5205.47,Butane Group-a
13970115,5262.76,5263,4989,5040.51,594841,5017.79,Butane Group-a
13970118,4851.85,5042,4840,4903.21,259037,4928.89,Butane Group-a
13970119,4791.60,4898,4658,4672.08,308296,4658.25,Butane Group-a
13970120,4494.28,4898,4439,4466.63,435977,4438.97,Butane Group-a
13970121,4551.57,4690,4552,4628.62,313483,4689.86,Butane Group-a
13970122,4857.78,4858,4397,4437.98,323358,4397.48,Butane Group-a
13970126,4521.94,4522,4220,4356.99,182909,4409.34,Butane Group-a
13970127,4443.91,4574,4443,4473.54,205430,4574.29,Butane Group-a
13970128,4642.45,4642,4465,4502.18,280196,4543.67,Butane Group-a
13970129,4543.67,4603,4396,4496.26,142816,4415.26,Butane Group-a
13970201,4616.76,4617,4272,4301.67,460891,4351.06,Butane Group-a
13970202,4260.19,4425,4260,4332.29,117496,4279.94,Butane Group-a
13970203,4263.15,4416,4121,4345.13,304957,4405.38,Butane Group-a
13970204,4212.77,4561,4213,4517.99,539724,4561.45,Butane Group-a
13970205,4630.59,4743,4627,4725.42,582577,4743.20,Butane Group-a
13970208,4958.53,4959,4514,4771.84,677564,4611.83,Butane Group-a
13970209,4533.79,4638,4534,4578.24,231703,4533.79,Butane Group-a
13970210,4436.99,4645,4437,4570.34,68193,4504.16,Butane Group-a
13970211,4593.06,4657,4447,4566.39,52178,4543.67,Butane Group-a
13970215,4356.99,4657,4357,4573.30,100537,4455.76,Butane Group-a
13970216,4400.45,4503,4346,4460.70,174632,4503.17,Butane Group-a
13970217,4242.41,4642,4242,4498.23,153714,4494.28,Butane Group-a
13970218,4710.60,4722,4545,4585.16,156394,4544.66,Butane Group-a
13970219,4716.53,4717,4356,4367.85,564083,4356.00,Butane Group-a
13970222,4367.85,4465,4238,4323.40,190130,4316.49,Butane Group-a
13970223,4240.43,4524,4240,4368.84,200523,4441.93,Butane Group-a
13970224,4276.98,4587,4277,4557.50,317505,4587.13,Butane Group-a
13970225,4518.98,4642,4377,4533.79,90319,4499.22,Butane Group-a
13970226,4382.67,4540,4383,4506.14,182670,4523.92,Butane Group-a
