<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970106,6660.73,6668,6661,6753.24,524,6668.13,Daroupakhsh-a
13970108,6664.43,6664,6655,6752.50,3000,6654.81,Daroupakhsh-a
13970115,6415.02,6415,6415,6751.76,1000,6415.02,Daroupakhsh-a
13970118,6415.76,6439,6414,6748.80,3010,6414.28,Daroupakhsh-a
13970119,6586.72,6587,6412,6741.40,8344,6412.06,Daroupakhsh-a
13970120,6412.06,6416,6405,6739.92,1580,6415.76,Daroupakhsh-a
13970121,6403.18,6403,6403,6739.18,913,6403.18,Daroupakhsh-a
13970122,6402.44,6402,6402,6738.44,450,6402.44,Daroupakhsh-a
13970126,6402.44,6402,6402,6737.70,470,6401.70,Daroupakhsh-a
13970127,6400.96,6401,6401,6736.96,1050,6400.96,Daroupakhsh-a
13970128,6400.22,6400,6400,6735.48,1300,6400.22,Daroupakhsh-a
13970129,6398.74,6399,6399,6735.48,200,6398.74,Daroupakhsh-a
13970202,6398.74,6399,6399,6734.74,700,6398.74,Daroupakhsh-a
13970204,6398.00,6398,6398,6734.74,240,6398.00,Daroupakhsh-a
13970205,6398.00,6398,6398,6731.78,2896,6398.00,Daroupakhsh-a
13970208,6395.78,6396,6396,6731.04,370,6395.78,Daroupakhsh-a
13970209,6395.04,6395,6395,6731.04,200,6395.04,Daroupakhsh-a
13970210,6395.04,6395,6395,6730.30,950,6395.04,Daroupakhsh-a
13970211,6394.30,6394,6394,6729.56,1000,6394.30,Daroupakhsh-a
13970215,6393.56,6394,6394,6729.56,300,6393.56,Daroupakhsh-a
13970216,6393.56,6394,6394,6729.56,300,6393.56,Daroupakhsh-a
13970218,6393.56,6394,6394,6729.56,300,6393.56,Daroupakhsh-a
13970219,6393.56,6394,6394,6729.56,162,6393.56,Daroupakhsh-a
13970223,6393.56,6394,6394,6727.34,2402,6393.56,Daroupakhsh-a
13970224,6391.34,6391,6391,6723.64,3996,6391.34,Daroupakhsh-a
13970226,6387.64,6388,6388,6723.64,116,6387.64,Daroupakhsh-a
13970229,6387.64,6388,6388,6722.90,700,6387.64,Daroupakhsh-a
13970230,6386.90,6387,6387,6722.90,250,6386.90,Daroupakhsh-a
13970301,6386.90,6387,6387,6722.16,450,6386.90,Daroupakhsh-a
13970302,6386.16,6394,6386,6638.53,83784,6394.30,Daroupakhsh-a
13970305,6394.30,6661,6307,6605.96,34393,6306.97,Daroupakhsh-a
13970306,6638.53,6936,6302,6607.44,3377,6302.53,Daroupakhsh-a
13970307,6936.78,6937,6937,6607.44,10,6936.78,Daroupakhsh-a
13970308,6282.55,6809,6283,6605.22,2550,6808.74,Daroupakhsh-a
13970309,6415.02,6415,6415,6605.22,580,6415.02,Daroupakhsh-a
13970312,6290.69,6935,6275,6603.74,4846,6933.82,Daroupakhsh-a
13970313,6274.41,6931,6274,6601.52,5476,6290.69,Daroupakhsh-a
13970319,6272.19,6278,6271,6597.08,4660,6271.45,Daroupakhsh-a
13970320,6283.29,6291,6276,6594.12,2947,6276.63,Daroupakhsh-a
13970321,6383.20,6383,6383,6593.38,880,6383.20,Daroupakhsh-a
13970322,6383.20,6661,6382,6592.64,1654,6382.46,Daroupakhsh-a
13970323,6263.30,6661,6263,6568.22,26158,6264.04,Daroupakhsh-a
13970327,6241.10,6661,6240,6477.93,106353,6240.36,Daroupakhsh-a
13970328,6161.91,6189,6155,6469.79,8711,6154.51,Daroupakhsh-a
13970329,6147.11,6151,6146,6434.26,36905,6146.37,Daroupakhsh-a
13970330,6121.95,6122,6113,6423.16,11651,6113.07,Daroupakhsh-a
13970402,6409.10,6744,6409,6727.34,552839,6647.41,Daroupakhsh-a
13970403,6749.54,6920,6391,6515.67,246317,6391.34,Daroupakhsh-a
13970404,6395.04,6659,6394,6506.05,33537,6453.51,Daroupakhsh-a
13970405,6586.72,6587,6298,6484.59,60346,6386.90,Daroupakhsh-a
13970406,6372.84,6565,6365,6486.81,39048,6549.72,Daroupakhsh-a
13970409,6475.71,6594,6399,6483.11,243486,6401.70,Daroupakhsh-a
13970410,6426.86,6439,6402,6480.89,9942,6423.90,Daroupakhsh-a
13970411,6577.84,6771,6578,6484.59,4783,6771.00,Daroupakhsh-a
13970412,6512.71,6587,6513,6485.33,1500,6586.72,Daroupakhsh-a
13970413,6586.72,6764,6439,6495.69,23160,6439.44,Daroupakhsh-a
13970416,6765.82,6766,6676,6497.91,3265,6749.54,Daroupakhsh-a
13970417,6660.73,6661,6417,6497.91,4299,6515.67,Daroupakhsh-a
13970419,6512.71,6513,6513,6497.91,114,6512.71,Daroupakhsh-a
13970420,6423.90,6698,6417,6497.17,3880,6438.70,Daroupakhsh-a
13970423,6446.10,6446,6419,6496.43,3700,6418.72,Daroupakhsh-a
13970424,6512.71,6520,6513,6497.91,37860,6512.71,Daroupakhsh-a
13970425,6577.84,6624,6513,6500.87,13362,6512.71,Daroupakhsh-a
13970426,6586.72,6587,6439,6500.13,9123,6438.70,Daroupakhsh-a
13970427,6512.71,6513,6439,6499.39,10673,6512.71,Daroupakhsh-a
13970502,6805.78,6824,6806,6816.35,28750,6810.19,Daroupakhsh-a
13970503,6810.19,6810,6515,6814.59,2000,6515.24,Daroupakhsh-a
13970506,6559.26,7039,6515,6814.59,7076,7039.10,Daroupakhsh-a
13970507,6480.02,6612,6474,6791.70,25028,6473.86,Daroupakhsh-a
13970508,6453.61,6454,6453,6778.49,13139,6452.73,Daroupakhsh-a
13970509,6440.40,6867,6440,6737.11,42343,6440.40,Daroupakhsh-a
13970510,6863.89,6864,6401,6705.41,33123,6400.78,Daroupakhsh-a
13970513,6370.85,6371,6371,6701.89,3710,6370.85,Daroupakhsh-a
13970514,6368.21,6371,6367,6636.74,65864,6367.33,Daroupakhsh-a
13970515,6308.34,6312,6306,6630.58,6676,6305.69,Daroupakhsh-a
