<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,3029.16,3142,3027,3156.54,8854,3142.10,Khorasan Steel Co.-a
13970106,3142.10,3142,3142,3156.54,2000,3142.10,Khorasan Steel Co.-a
13970107,3142.95,3143,3142,3156.54,45260,3142.10,Khorasan Steel Co.-a
13970108,3156.54,3157,3142,3156.54,14198,3142.10,Khorasan Steel Co.-a
13970114,3142.10,3142,3142,3155.69,100000,3142.10,Khorasan Steel Co.-a
13970118,3142.10,3261,3142,3155.69,4288,3260.99,Khorasan Steel Co.-a
13970119,3142.10,3151,3142,3155.69,14315,3142.10,Khorasan Steel Co.-a
13970120,3142.10,3142,3142,3155.69,861,3142.10,Khorasan Steel Co.-a
13970121,3188.81,3189,3142,3155.69,5487,3142.10,Khorasan Steel Co.-a
13970122,3142.10,3142,3142,3155.69,27010,3142.10,Khorasan Steel Co.-a
13970126,3142.10,3142,3142,3155.69,1000,3142.10,Khorasan Steel Co.-a
13970127,3142.10,3142,3142,3155.69,21307,3142.10,Khorasan Steel Co.-a
13970128,3142.10,3142,3142,3153.14,572274,3142.10,Khorasan Steel Co.-a
13970129,3150.60,3151,3142,3153.14,40446,3142.10,Khorasan Steel Co.-a
13970201,3142.10,3142,3142,3153.14,1709,3142.10,Khorasan Steel Co.-a
13970202,2996.04,3016,2996,3152.29,13141,3015.57,Khorasan Steel Co.-a
13970203,3057.18,3142,3057,3151.44,36972,3142.10,Khorasan Steel Co.-a
13970204,3142.10,3142,3142,3151.44,58589,3142.10,Khorasan Steel Co.-a
13970205,3142.10,3168,3142,3151.44,30324,3142.10,Khorasan Steel Co.-a
13970209,3141.25,3142,3141,3151.44,21419,3142.10,Khorasan Steel Co.-a
13970210,3142.10,3142,3142,3151.44,668,3142.10,Khorasan Steel Co.-a
13970215,3144.65,3145,3143,3151.44,17642,3142.95,Khorasan Steel Co.-a
13970216,3168.43,3309,3159,3167.58,297323,3308.55,Khorasan Steel Co.-a
13970217,3311.10,3326,3311,3171.83,70438,3325.53,Khorasan Steel Co.-a
13970218,3328.08,3330,3328,3329.78,3501244,3329.78,Khorasan Steel Co.-a
13970219,3495.38,3496,3440,3456.31,2146280,3496.23,Khorasan Steel Co.-a
13970222,3628.70,3629,3626,3628.70,3991382,3628.70,Khorasan Steel Co.-a
13970231,3809.90,3810,3810,3809.90,519250,3809.90,Khorasan Steel Co.-a
13970301,3999.81,4000,4000,3895.16,1139468,3999.81,Khorasan Steel Co.-a
13970302,4089.92,4090,4022,4071.51,2315747,4089.92,Khorasan Steel Co.-a
13970305,4273.05,4275,4031,4110.27,937573,4274.99,Khorasan Steel Co.-a
13970306,4273.05,4316,4273,4176.16,784076,4315.69,Khorasan Steel Co.-a
13970307,4379.64,4384,4380,4179.07,36335,4384.48,Khorasan Steel Co.-a
13970308,4224.61,4387,4223,4200.38,345541,4254.64,Khorasan Steel Co.-a
13970309,4409.68,4410,4312,4208.13,87858,4409.68,Khorasan Steel Co.-a
13970312,4244.95,4418,4245,4221.70,153868,4418.40,Khorasan Steel Co.-a
13970313,4431.96,4432,4360,4342.82,1332591,4431.96,Khorasan Steel Co.-a
13970319,4544.36,4560,4137,4417.43,812409,4559.86,Khorasan Steel Co.-a
13970320,4637.38,4637,4535,4468.78,894695,4637.38,Khorasan Steel Co.-a
13970321,4670.32,4670,4556,4523.04,920993,4584.09,Khorasan Steel Co.-a
13970322,4554.05,4749,4535,4535.64,218559,4748.81,Khorasan Steel Co.-a
13970323,4762.37,4762,4699,4553.08,174323,4762.37,Khorasan Steel Co.-a
13970327,4779.81,4780,4780,4557.92,42230,4779.81,Khorasan Steel Co.-a
13970328,4785.63,4786,4786,4569.55,109769,4785.63,Khorasan Steel Co.-a
13970329,4797.25,4797,4796,4576.33,63812,4797.25,Khorasan Steel Co.-a
13970330,4805.01,4805,4777,4581.18,49257,4805.01,Khorasan Steel Co.-a
13970402,4805.01,4810,4805,4584.09,25261,4809.85,Khorasan Steel Co.-a
13970403,4812.76,4813,4813,4594.74,95275,4812.76,Khorasan Steel Co.-a
13970404,4824.38,4824,4824,4601.53,63091,4824.38,Khorasan Steel Co.-a
13970405,4831.17,4831,4825,4612.19,94529,4831.17,Khorasan Steel Co.-a
13970406,4842.79,4843,4843,4624.78,111689,4842.79,Khorasan Steel Co.-a
13970409,4855.39,4855,4855,4626.72,14101,4855.39,Khorasan Steel Co.-a
13970410,4857.33,4857,4857,4628.66,21609,4857.33,Khorasan Steel Co.-a
13970411,4859.27,4859,4859,4633.50,47546,4859.27,Khorasan Steel Co.-a
13970413,4857.33,4865,4857,4865.08,50410,4865.08,Khorasan Steel Co.-a
13970416,5108.29,5108,5108,4865.08,1365,5108.29,Khorasan Steel Co.-a
13970417,5108.29,5108,5108,4868.96,31976,5108.29,Khorasan Steel Co.-a
13970419,5112.16,5112,5112,4880.58,97521,5112.16,Khorasan Steel Co.-a
13970420,5123.79,5124,5124,4885.43,37597,5123.79,Khorasan Steel Co.-a
13970423,5129.60,5130,5130,4898.99,108829,5129.60,Khorasan Steel Co.-a
13970424,5143.17,5143,5143,4908.68,77618,5143.17,Khorasan Steel Co.-a
13970425,5153.83,5154,5154,4909.65,6203,5153.83,Khorasan Steel Co.-a
13970426,5154.80,5155,5155,4916.43,51813,5154.80,Khorasan Steel Co.-a
13970427,5161.58,5162,5162,4932.91,133161,5161.58,Khorasan Steel Co.-a
13970430,5179.02,5179,5179,4935.81,21743,5179.02,Khorasan Steel Co.-a
13970431,5181.93,5182,5182,5181.93,7990,5181.93,Khorasan Steel Co.-a
13970501,5440.63,5441,5441,5196.46,103056,5440.63,Khorasan Steel Co.-a
13970502,5456.14,5456,5456,5214.87,132888,5456.14,Khorasan Steel Co.-a
13970503,5475.52,5476,5476,5215.84,3868,5475.52,Khorasan Steel Co.-a
13970506,5476.49,5476,5476,5216.81,5025,5476.49,Khorasan Steel Co.-a
13970507,5477.45,5477,5477,5233.28,117435,5477.45,Khorasan Steel Co.-a
13970508,5494.90,5495,5495,5234.25,4487,5494.90,Khorasan Steel Co.-a
13970509,5495.86,5496,5496,5495.86,2100700,5495.86,Khorasan Steel Co.-a
13970510,5770.08,5770,5770,5501.68,38246,5770.08,Khorasan Steel Co.-a
13970513,5775.89,5776,5776,5519.12,110050,5775.89,Khorasan Steel Co.-a
13970514,5794.30,5794,5794,5519.12,51,5794.30,Khorasan Steel Co.-a
13970515,7172.14,7531,7172,7523.87,10029853,7530.65,Khorasan Steel Co.-a
13970516,7899.82,7900,7900,7557.78,117366,7899.82,Khorasan Steel Co.-a
13970517,7935.67,7936,7936,7561.66,14306,7935.67,Khorasan Steel Co.-a
13970520,7939.55,7940,7940,7574.25,43728,7939.55,Khorasan Steel Co.-a
13970521,7952.14,7952,7952,7889.16,1067687,7952.14,Khorasan Steel Co.-a
13970522,8283.52,8284,8284,7900.79,36957,8283.52,Khorasan Steel Co.-a
13970523,8295.15,8295,8295,7915.32,46035,8295.15,Khorasan Steel Co.-a
13970524,8310.65,8311,8311,7934.70,64081,8310.65,Khorasan Steel Co.-a
13970527,9209.84,9670,9204,9337.74,1477181,9670.09,Khorasan Steel Co.-a
13970528,9803.80,9804,8881,9766.01,1845992,9779.58,Khorasan Steel Co.-a
13970529,9776.67,9804,9279,9574.16,603680,9427.85,Khorasan Steel Co.-a
13970530,9095.50,9496,9096,9095.50,2858002,9095.50,Khorasan Steel Co.-a
13970603,8710.83,8721,8708,8915.28,505804,8709.86,Khorasan Steel Co.-a
13970604,8672.07,8914,8500,8675.95,2944417,8798.03,Khorasan Steel Co.-a
13970605,8914.31,8914,8537,8661.41,150142,8541.26,Khorasan Steel Co.-a
13970606,8546.11,8667,8541,8646.88,317568,8541.26,Khorasan Steel Co.-a
13970607,8386.23,8667,8386,8615.87,205574,8492.82,Khorasan Steel Co.-a
13970610,8255.42,8430,8255,8553.86,231813,8342.63,Khorasan Steel Co.-a
13970611,8517.04,8517,8215,8479.25,352963,8332.94,Khorasan Steel Co.-a
13970612,8429.83,8430,8144,8455.03,128611,8294.18,Khorasan Steel Co.-a
13970613,8420.15,8420,8236,8396.89,331991,8331.97,Khorasan Steel Co.-a
13970614,8453.09,8522,8207,8377.51,149163,8217.64,Khorasan Steel Co.-a
13970617,8289.34,8413,8188,8362.98,211633,8352.32,Khorasan Steel Co.-a
13970618,8284.49,8284,8060,8334.88,176730,8158.53,Khorasan Steel Co.-a
13970619,8187.60,8527,8159,8356.19,421311,8429.83,Khorasan Steel Co.-a
13970620,8523.82,8774,8397,8707.92,1350066,8773.81,Khorasan Steel Co.-a
13970621,9142.98,9599,9143,9092.59,560021,9301.89,Khorasan Steel Co.-a
