<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,2985.44,2985,2918,2943.36,1842122,2939.70,Khouz. Steel-a
13970106,2975.07,2975,2932,2954.95,3833657,2947.02,Khouz. Steel-a
13970107,2957.39,2992,2946,2968.37,1695055,2991.54,Khouz. Steel-a
13970108,2991.54,3117,2992,3107.42,10573802,3098.27,Khouz. Steel-a
13970114,3172.68,3256,3154,3180.61,3491757,3165.36,Khouz. Steel-a
13970115,3183.66,3184,3124,3167.80,830026,3162.31,Khouz. Steel-a
13970118,3207.44,3207,3110,3125.72,1712224,3110.47,Khouz. Steel-a
13970119,3104.37,3217,3104,3169.02,5288923,3180.61,Khouz. Steel-a
13970120,3232.45,3394,3232,3329.42,10198144,3394.07,Khouz. Steel-a
13970121,3335.52,3336,3171,3247.09,10718214,3231.23,Khouz. Steel-a
13970122,3252.58,3293,3141,3223.30,4708661,3291.61,Khouz. Steel-a
13970126,3287.34,3290,3172,3245.87,2391581,3189.76,Khouz. Steel-a
13970127,3195.86,3264,3084,3161.70,2792537,3092.17,Khouz. Steel-a
13970128,3049.48,3201,3049,3163.53,893230,3168.41,Khouz. Steel-a
13970129,3171.46,3232,3165,3197.69,1903386,3165.97,Khouz. Steel-a
13970201,3220.25,3220,3142,3180.00,888334,3153.16,Khouz. Steel-a
13970202,3140.97,3182,3084,3142.80,1003909,3128.77,Khouz. Steel-a
13970203,3098.88,3168,3099,3144.63,480628,3162.92,Khouz. Steel-a
13970204,3164.14,3232,3159,3201.96,2155146,3195.86,Khouz. Steel-a
13970205,3255.63,3256,3175,3207.44,860772,3225.74,Khouz. Steel-a
13970208,3232.45,3251,3135,3200.74,343295,3147.07,Khouz. Steel-a
13970209,3147.07,3164,3121,3178.78,736795,3141.58,Khouz. Steel-a
13970210,3159.26,3202,3123,3165.97,517106,3128.77,Khouz. Steel-a
13970211,3110.47,3170,3092,3146.46,947520,3136.09,Khouz. Steel-a
13970215,3108.03,3134,3081,3131.82,961993,3081.20,Khouz. Steel-a
13970216,3097.66,3170,3056,3119.62,2668551,3165.97,Khouz. Steel-a
13970217,3110.47,3201,3110,3164.75,1355200,3183.05,Khouz. Steel-a
13970218,3201.96,3232,3193,3185.49,1021983,3201.35,Khouz. Steel-a
13970219,3214.15,3266,3110,3191.59,10734683,3147.07,Khouz. Steel-a
13970222,3195.86,3217,3142,3185.49,1947010,3183.66,Khouz. Steel-a
13970223,3192.81,3197,3182,3188.54,1992670,3195.86,Khouz. Steel-a
13970224,3204.40,3245,3204,3214.76,2653150,3226.35,Khouz. Steel-a
13970225,3232.45,3263,3230,3230.01,984952,3239.16,Khouz. Steel-a
13970226,3269.04,3305,3246,3271.48,2767074,3305.03,Khouz. Steel-a
13970229,3317.84,3384,3270,3343.45,2031125,3383.70,Khouz. Steel-a
13970230,3391.02,3391,3343,3369.07,2937582,3384.92,Khouz. Steel-a
13970231,3403.22,3414,3356,3381.27,2623263,3414.20,Khouz. Steel-a
13970301,3413.59,3414,3355,3394.07,1790147,3411.76,Khouz. Steel-a
13970302,3412.37,3445,3367,3406.88,3534847,3443.47,Khouz. Steel-a
13970305,3449.57,3577,3409,3521.54,5215741,3536.18,Khouz. Steel-a
13970306,3625.22,3629,3478,3518.49,2032723,3478.24,Khouz. Steel-a
13970307,3530.69,3536,3428,3513.61,1398839,3509.95,Khouz. Steel-a
13970308,3518.49,3573,3453,3531.30,2808206,3537.40,Khouz. Steel-a
13970309,3543.50,3580,3537,3563.62,1731364,3569.72,Khouz. Steel-a
13970312,3580.09,3629,3580,3611.20,3449959,3601.44,Khouz. Steel-a
13970313,3628.88,3629,3581,3616.69,2435063,3616.69,Khouz. Steel-a
13970319,3659.99,3660,3537,3589.24,791377,3555.70,Khouz. Steel-a
13970320,3546.55,3658,3476,3551.43,3333294,3477.02,Khouz. Steel-a
13970321,3567.89,3568,3458,3524.59,3581365,3536.79,Khouz. Steel-a
13970322,3537.40,3700,3530,3649.62,11035661,3700.24,Khouz. Steel-a
13970323,3732.57,3832,3733,3827.10,9069346,3831.98,Khouz. Steel-a
13970327,4018.00,4018,4018,4018.00,12768198,4018.00,Khouz. Steel-a
13970328,4214.38,4219,4123,4201.58,33873675,4189.99,Khouz. Steel-a
13970403,4660.81,4893,4654,4734.73,22466467,4791.53,Khouz. Steel-a
13970404,4970.85,4971,4928,4970.85,55087964,4970.85,Khouz. Steel-a
13970405,4927.73,5117,4722,4888.72,30928549,5030.39,Khouz. Steel-a
13970406,4996.17,5037,4644,4730.62,20760683,4644.39,Khouz. Steel-a
13970409,4755.95,4852,4586,4734.04,6774077,4640.28,Khouz. Steel-a
13970410,4688.19,4688,4498,4504.08,21101954,4497.92,Khouz. Steel-a
13970411,4517.09,4729,4358,4673.13,10609756,4674.50,Khouz. Steel-a
13970412,4722.41,4907,4709,4867.50,14267965,4906.52,Khouz. Steel-a
13970413,4859.29,4963,4702,4844.92,7179036,4790.85,Khouz. Steel-a
13970416,4778.53,4779,4603,4688.19,2647558,4653.97,Khouz. Steel-a
13970417,4695.03,4792,4607,4700.51,6199766,4681.35,Khouz. Steel-a
13970419,4688.19,4832,4653,4689.56,2500912,4653.28,Khouz. Steel-a
13970420,4722.41,4722,4551,4569.79,2375599,4612.90,Khouz. Steel-a
13970423,4687.50,4688,4394,4563.63,2685402,4428.11,Khouz. Steel-a
13970424,4434.96,4654,4415,4506.14,2698948,4562.94,Khouz. Steel-a
13970425,4482.87,4647,4483,4582.79,2305033,4612.90,Khouz. Steel-a
13970426,4585.53,4757,4449,4627.28,5932988,4633.44,Khouz. Steel-a
13970427,4631.38,4688,4586,4654.65,2455161,4647.81,Khouz. Steel-a
13970430,4653.97,4690,4518,4620.43,2506081,4599.22,Khouz. Steel-a
13970431,4653.97,4777,4592,4703.25,2676389,4612.90,Khouz. Steel-a
13970501,4715.57,4716,4523,4630.01,848533,4522.56,Khouz. Steel-a
13970502,4583.47,4584,4429,4504.08,1325295,4429.48,Khouz. Steel-a
13970503,4502.71,4638,4385,4521.88,3238217,4638.23,Khouz. Steel-a
13970506,4747.73,4748,4743,4747.73,11649490,4747.73,Khouz. Steel-a
13970507,4825.07,4962,4661,4811.38,7244266,4818.23,Khouz. Steel-a
13970508,4886.67,5052,4829,5033.81,16384598,5051.61,Khouz. Steel-a
13970509,5284.99,5285,5285,5284.99,6891894,5284.99,Khouz. Steel-a
13970510,5549.17,5549,5549,5549.17,7512914,5549.17,Khouz. Steel-a
13970513,5558.76,5715,5348,5569.71,12233957,5511.53,Khouz. Steel-a
13970514,5646.36,5848,5646,5838.68,26923835,5847.58,Khouz. Steel-a
13970515,6130.24,6130,5955,6129.55,62537851,6091.22,Khouz. Steel-a
13970516,6125.44,6432,5957,6120.65,13174586,6124.76,Khouz. Steel-a
13970517,6282.86,6283,6093,6187.04,9434487,6204.15,Khouz. Steel-a
13970520,6227.42,6227,5920,6129.55,5546790,6083.01,Khouz. Steel-a
13970521,6083.70,6331,5989,6158.98,6730207,6206.89,Khouz. Steel-a
13970522,6272.59,6282,5852,5934.49,9984311,6043.32,Khouz. Steel-a
13970523,6084.38,6231,5954,6198.68,12114361,6186.36,Khouz. Steel-a
13970524,6132.29,6310,6132,6230.16,6048922,6296.55,Khouz. Steel-a
13970527,6280.80,6494,6277,6369.78,7198881,6433.43,Khouz. Steel-a
13970528,6541.56,6687,6433,6560.04,6042807,6501.18,Khouz. Steel-a
13970529,6625.06,6888,6622,6874.19,30622569,6844.07,Khouz. Steel-a
13970530,6803.01,6947,6570,6768.10,2715858,6741.41,Khouz. Steel-a
13970603,6771.52,7047,6476,6625.06,3968837,6523.08,Khouz. Steel-a
13970604,6536.09,6824,6433,6727.04,5010330,6768.79,Khouz. Steel-a
13970605,6707.87,7005,6677,6843.39,5450498,6707.19,Khouz. Steel-a
13970606,6707.19,6733,6502,6508.71,16558590,6501.87,Khouz. Steel-a
13970607,6604.53,6605,6312,6406.05,2168834,6351.98,Khouz. Steel-a
13970610,6467.65,6468,6086,6214.42,3739221,6296.55,Khouz. Steel-a
13970611,6287.65,6288,5954,6041.26,2885407,6093.28,Khouz. Steel-a
13970612,6186.36,6319,6036,6135.71,2578513,6276.01,Khouz. Steel-a
13970613,6412.21,6412,6292,6361.56,7553402,6292.44,Khouz. Steel-a
13970614,6364.99,6399,6159,6212.36,2046369,6159.66,Khouz. Steel-a
13970617,6276.01,6364,6127,6259.59,4236887,6241.11,Khouz. Steel-a
13970618,6162.40,6324,6125,6191.15,7861311,6260.96,Khouz. Steel-a
13970619,6310.23,6500,6307,6451.22,7500546,6460.12,Khouz. Steel-a
13970620,6568.94,6774,6312,6710.61,21283819,6773.58,Khouz. Steel-a
13970621,7045.97,7046,6844,7040.50,21522723,7045.97,Khouz. Steel-a
13970624,7018.60,7019,6668,6744.83,7038236,6774.95,Khouz. Steel-a
13970625,6536.09,6611,6408,6478.60,4450053,6490.23,Khouz. Steel-a
13970626,6481.34,6568,6283,6397.84,4757744,6293.12,Khouz. Steel-a
13970627,6297.23,6365,6185,6239.74,2159536,6327.34,Khouz. Steel-a
13970631,6358.14,6487,6229,6377.99,4326613,6234.95,Khouz. Steel-a
13970701,6365.67,6427,6310,6380.04,5893290,6364.30,Khouz. Steel-a
13970702,6459.44,6602,6365,6530.61,9212950,6570.99,Khouz. Steel-a
13970703,6638.75,6830,6639,6746.89,15742080,6776.32,Khouz. Steel-a
13970704,6837.91,7084,6716,6997.38,26545388,7083.61,Khouz. Steel-a
13970707,7347.11,7347,7276,7345.06,19762326,7347.11,Khouz. Steel-a
13970708,7711.22,7711,7665,7710.53,4203227,7706.42,Khouz. Steel-a
13970709,7542.17,7919,7405,7763.23,14876590,7460.04,Khouz. Steel-a
13970710,7375.17,7375,7375,7375.17,1341318,7375.17,Khouz. Steel-a
13970711,7006.96,7145,7007,7016.54,20292261,7017.91,Khouz. Steel-a
13970714,6987.11,7367,6666,6938.52,11920555,6694.87,Khouz. Steel-a
13970715,6729.78,6813,6592,6601.11,28929483,6592.21,Khouz. Steel-a
13970716,6539.51,6931,6494,6744.83,7900472,6912.51,Khouz. Steel-a
13970717,7049.39,7082,6741,7065.82,16055987,7049.39,Khouz. Steel-a
13970718,7079.51,7325,6851,7154.11,4473023,7069.93,Khouz. Steel-a
13970721,7186.28,7186,6797,6914.57,8261928,6803.69,Khouz. Steel-a
13970722,6945.36,7260,6930,7117.83,2351798,7152.06,Khouz. Steel-a
13970723,7391.60,7474,7255,7449.09,11723772,7473.73,Khouz. Steel-a
13970724,7528.48,7789,7449,7597.60,10194147,7788.55,Khouz. Steel-a
13970725,7631.14,7835,7527,7620.87,9809402,7646.20,Khouz. Steel-a
13970728,7774.18,7938,7665,7807.72,3337143,7803.61,Khouz. Steel-a
13970729,7870.68,7936,7528,7729.01,4023537,7575.70,Khouz. Steel-a
13970730,7596.92,7768,7414,7600.34,5445747,7528.48,Khouz. Steel-a
13970801,7220.50,7528,7220,7243.77,13250617,7323.16,Khouz. Steel-a
13970802,7315.63,7323,6882,7020.65,5048539,6896.77,Khouz. Steel-a
13970805,7020.65,7118,6954,7025.44,4357384,6954.26,Khouz. Steel-a
13970806,6980.95,7330,6954,7223.92,5908360,7270.46,Khouz. Steel-a
13970807,7186.28,7392,6974,7091.14,4356551,6981.64,Khouz. Steel-a
13970809,7104.15,7234,6842,7018.60,5146850,6980.95,Khouz. Steel-a
13970812,6974.11,7255,6776,7037.07,5423722,7185.59,Khouz. Steel-a
13970813,7179.43,7241,6843,7052.13,6119063,6913.88,Khouz. Steel-a
13970814,6980.27,7132,6913,7070.61,1960743,6980.95,Khouz. Steel-a
13970815,6974.11,7186,6947,7056.92,2973571,7070.61,Khouz. Steel-a
13970819,7076.77,7118,6878,7026.81,2978774,7011.75,Khouz. Steel-a
13970820,7011.75,7015,6776,6948.10,4462984,6994.64,Khouz. Steel-a
13970821,7086.35,7118,6940,7017.91,3397139,7069.93,Khouz. Steel-a
13970822,7087.04,7179,6957,7063.08,4959230,7068.56,Khouz. Steel-a
13970823,7116.47,7186,6947,7077.45,2602492,7034.34,Khouz. Steel-a
