<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,2869.11,2896,2869,2818.31,3000,2896.39,Iran Ferr.-a
13970106,2678.15,2847,2678,2816.43,11000,2847.48,Iran Ferr.-a
13970107,2816.43,2816,2813,2816.43,7664,2812.67,Iran Ferr.-a
13970108,2817.37,2903,2817,2832.42,97600,2902.98,Iran Ferr.-a
13970114,2902.04,2902,2902,2834.31,10000,2902.04,Iran Ferr.-a
13970115,2902.98,2916,2902,2868.17,162509,2916.15,Iran Ferr.-a
13970118,2963.18,2963,2725,2915.21,1333062,2916.15,Iran Ferr.-a
13970119,2955.66,2956,2956,2915.21,1000,2955.66,Iran Ferr.-a
13970120,2925.55,3060,2920,3007.39,380897,3060.07,Iran Ferr.-a
13970121,2989.52,3074,2990,3007.39,39697,3069.48,Iran Ferr.-a
13970122,3047.84,3069,2909,2985.76,139689,2944.37,Iran Ferr.-a
13970126,2858.76,3065,2859,2988.58,18575,3064.78,Iran Ferr.-a
13970127,3010.22,3104,3010,3019.62,123521,3104.28,Iran Ferr.-a
13970128,3099.58,3100,2899,3019.62,51964,2900.15,Iran Ferr.-a
13970129,3042.20,3104,2954,3023.39,31566,3104.28,Iran Ferr.-a
13970201,3104.28,3109,3048,3062.89,185250,3108.99,Iran Ferr.-a
13970202,3062.89,3132,2991,3063.84,289478,3104.28,Iran Ferr.-a
13970203,3103.34,3113,3057,3081.71,373736,3104.28,Iran Ferr.-a
13970204,3104.28,3123,2928,2938.72,2500455,2928.38,Iran Ferr.-a
13970205,3038.44,3038,3038,2938.72,315,3038.44,Iran Ferr.-a
13970208,3010.22,3010,2840,2938.72,53296,2839.95,Iran Ferr.-a
13970209,2791.98,2958,2792,2935.90,8598,2796.68,Iran Ferr.-a
13970210,2823.02,2935,2823,2933.08,26603,2934.96,Iran Ferr.-a
13970211,2972.59,3010,2870,2990.46,696179,3000.81,Iran Ferr.-a
13970215,3009.27,3046,3009,3000.81,133881,3019.62,Iran Ferr.-a
13970216,2916.15,3076,2916,3055.37,348295,3066.66,Iran Ferr.-a
13970217,3065.72,3208,3010,3150.38,699335,3205.88,Iran Ferr.-a
13970218,3216.23,3307,3216,3277.37,411050,3307.47,Iran Ferr.-a
13970219,3385.55,3386,3198,3252.91,279160,3203.06,Iran Ferr.-a
13970222,3376.14,3386,3227,3328.17,258071,3386.49,Iran Ferr.-a
13970223,3386.49,3480,3219,3352.63,195679,3385.55,Iran Ferr.-a
13970224,3385.55,3520,3264,3439.17,824917,3418.48,Iran Ferr.-a
13970225,3292.42,3481,3292,3457.99,341022,3460.81,Iran Ferr.-a
13970226,3499.38,3593,3481,3516.31,485985,3574.63,Iran Ferr.-a
13970229,3610.38,3691,3492,3637.66,894810,3691.28,Iran Ferr.-a
13970230,3818.27,3818,3489,3618.84,61797,3667.76,Iran Ferr.-a
13970231,3618.84,3763,3614,3649.89,334224,3668.70,Iran Ferr.-a
13970301,3706.33,3791,3645,3660.23,66138,3759.95,Iran Ferr.-a
13970302,3741.13,3742,3615,3657.41,169200,3715.73,Iran Ferr.-a
13970305,3739.25,3762,3589,3674.34,74331,3668.70,Iran Ferr.-a
13970306,3753.36,3753,3598,3674.34,17348,3649.89,Iran Ferr.-a
13970307,3658.35,3669,3575,3652.71,141168,3668.70,Iran Ferr.-a
13970308,3668.70,3669,3491,3634.84,97650,3648.95,Iran Ferr.-a
13970309,3480.56,3640,3481,3607.56,259200,3621.67,Iran Ferr.-a
13970312,3483.38,3631,3428,3595.33,39635,3602.85,Iran Ferr.-a
13970313,3480.56,3574,3475,3594.39,4151,3569.93,Iran Ferr.-a
13970319,3424.12,3424,3415,3558.64,69500,3414.71,Iran Ferr.-a
13970320,3386.49,3396,3381,3512.55,90868,3380.85,Iran Ferr.-a
13970321,3377.09,3405,3338,3473.04,93023,3367.68,Iran Ferr.-a
13970322,3303.71,3304,3300,3466.45,14326,3299.95,Iran Ferr.-a
13970323,3375.20,3480,3295,3454.22,142873,3479.62,Iran Ferr.-a
13970327,3478.68,3565,3360,3479.62,172385,3562.40,Iran Ferr.-a
13970328,3546.41,3546,3307,3420.36,153022,3386.49,Iran Ferr.-a
13970329,3425.06,3426,3251,3399.66,102679,3424.12,Iran Ferr.-a
13970330,3523.83,3550,3434,3432.59,119687,3433.53,Iran Ferr.-a
13970402,3565.22,3565,3386,3430.71,66662,3386.49,Iran Ferr.-a
13970403,3367.68,3499,3280,3360.15,266915,3301.83,Iran Ferr.-a
13970404,3386.49,3528,3253,3359.21,521913,3269.85,Iran Ferr.-a
13970405,3252.91,3358,3192,3195.53,1092490,3254.80,Iran Ferr.-a
13970406,3261.38,3355,3161,3237.86,230881,3320.64,Iran Ferr.-a
13970409,3399.66,3400,3291,3337.58,284285,3339.46,Iran Ferr.-a
13970410,3461.75,3462,3171,3283.96,179504,3171.07,Iran Ferr.-a
13970419,3445.71,3446,3444,3444.76,7000,3443.80,Iran Ferr.-a
13970420,3443.80,3447,3273,3417.96,57050,3273.43,Iran Ferr.-a
13970423,3350.00,3350,3248,3409.34,23468,3247.59,Iran Ferr.-a
13970424,3247.59,3248,3239,3393.07,34300,3238.97,Iran Ferr.-a
13970425,3223.66,3224,3224,3393.07,338,3223.66,Iran Ferr.-a
13970426,3223.66,3224,3224,3381.59,24541,3223.66,Iran Ferr.-a
13970427,3213.13,3213,3213,3376.80,10000,3213.13,Iran Ferr.-a
13970430,3208.34,3349,3208,3352.87,51271,3349.04,Iran Ferr.-a
13970431,3209.30,3212,3185,3337.56,34205,3185.37,Iran Ferr.-a
13970501,3171.01,3171,3171,3284.91,110000,3171.01,Iran Ferr.-a
13970502,3121.24,3121,3121,3274.39,22640,3121.24,Iran Ferr.-a
13970503,3158.57,3182,3111,3252.37,48223,3110.71,Iran Ferr.-a
13970506,3110.71,3328,3091,3232.27,55871,3158.57,Iran Ferr.-a
13970507,3072.43,3316,3072,3223.66,33347,3225.57,Iran Ferr.-a
13970508,3384.46,3384,3092,3245.67,172507,3254.29,Iran Ferr.-a
13970509,3254.29,3359,3111,3241.84,1300770,3308.84,Iran Ferr.-a
13970510,3225.57,3316,3080,3103.06,700985,3080.09,Iran Ferr.-a
13970513,2948.00,2948,2948,3081.04,49934,2948.00,Iran Ferr.-a
13970514,2927.90,3191,2928,2949.91,4145021,2927.90,Iran Ferr.-a
13970515,2981.50,3097,2967,3034.14,1243112,3097.31,Iran Ferr.-a
13970516,3185.37,3185,2989,3110.71,737048,3108.80,Iran Ferr.-a
13970517,3073.39,3187,2956,3000.64,848673,3013.09,Iran Ferr.-a
13970520,2900.14,2985,2895,2975.76,127978,2985.33,Iran Ferr.-a
13970521,2881.00,2950,2833,2869.51,387463,2835.06,Iran Ferr.-a
13970522,2828.36,2909,2727,2780.50,375651,2834.10,Iran Ferr.-a
13970523,2751.79,2919,2751,2837.93,1016817,2919.29,Iran Ferr.-a
13970524,2979.59,2980,2919,2979.59,358091,2979.59,Iran Ferr.-a
13970527,3127.94,3128,3128,3127.94,1059885,3127.94,Iran Ferr.-a
13970528,3195.90,3284,3128,3270.56,1388736,3283.96,Iran Ferr.-a
13970529,3433.27,3433,3433,3433.27,349796,3433.27,Iran Ferr.-a
13970530,3604.60,3694,3446,3582.59,1356558,3637.14,Iran Ferr.-a
13970603,3636.19,3762,3636,3729.99,1034324,3637.14,Iran Ferr.-a
13970604,3727.11,3916,3628,3730.94,5259585,3915.67,Iran Ferr.-a
13970605,3916.63,3917,3917,3916.63,504158,3916.63,Iran Ferr.-a
13970606,4111.89,4112,4112,4111.89,387599,4111.89,Iran Ferr.-a
13970607,4316.71,4317,4317,4316.71,512652,4316.71,Iran Ferr.-a
13970610,4532.07,4758,4532,4754.13,1246181,4757.96,Iran Ferr.-a
13970613,4991.50,5240,4991,5213.56,529899,5240.36,Iran Ferr.-a
13970614,5473.90,5474,5474,5473.90,349796,5473.90,Iran Ferr.-a
13970617,5694.04,5747,5475,5681.60,2586515,5746.69,Iran Ferr.-a
13970618,5964.91,5965,5965,5964.91,541982,5964.91,Iran Ferr.-a
13970619,6262.59,6263,6263,6262.59,360971,6262.59,Iran Ferr.-a
13970620,6573.66,6902,6245,6644.49,1445949,6776.57,Iran Ferr.-a
13970621,6890.47,6891,6312,6567.91,2185077,6499.00,Iran Ferr.-a
13970624,6546.86,6794,6240,6358.30,2830602,6466.46,Iran Ferr.-a
13970625,6671.29,6676,6376,6555.47,783016,6676.07,Iran Ferr.-a
13970626,6882.81,6883,6883,6882.81,433757,6882.81,Iran Ferr.-a
13970627,7226.43,7226,7226,7106.79,227536,7226.43,Iran Ferr.-a
13970631,7461.89,7462,7462,7167.09,58957,7461.89,Iran Ferr.-a
13970702,7525.06,7901,7525,7901.21,1033267,7901.21,Iran Ferr.-a
13970703,8295.56,8296,8296,8295.56,973628,8295.56,Iran Ferr.-a
13970704,8710.00,8710,8710,8710.00,352961,8710.00,Iran Ferr.-a
13970707,9145.50,9146,8826,9080.41,4813373,9145.50,Iran Ferr.-a
13970708,9496.77,9497,9083,9316.83,905305,9142.63,Iran Ferr.-a
