<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13980528,8400.00,8400,8400,8400.00,82499884,8400.00,GhaltakSaznSepahan-a
13980530,8820.00,8820,8820,8650.00,89239,8820.00,GhaltakSaznSepahan-a
13980602,9082.00,9082,9082,9082.00,160633,9082.00,GhaltakSaznSepahan-a
13980603,9536.00,9536,9536,9536.00,193512,9536.00,GhaltakSaznSepahan-a
13980604,10012.00,10012,10012,10012.00,168779,10012.00,GhaltakSaznSepahan-a
13980605,10512.00,10512,10512,10512.00,317099,10512.00,GhaltakSaznSepahan-a
13980606,11037.00,11037,11037,11037.00,341603,11037.00,GhaltakSaznSepahan-a
13980609,11588.00,11588,11588,11588.00,431237,11588.00,GhaltakSaznSepahan-a
13980610,12167.00,12167,12167,12167.00,500109,12167.00,GhaltakSaznSepahan-a
13980611,12775.00,12775,12775,12775.00,365614,12775.00,GhaltakSaznSepahan-a
13980613,13413.00,14083,13413,13952.00,3147444,14083.00,GhaltakSaznSepahan-a
13980616,14649.00,14649,14649,14649.00,1077517,14649.00,GhaltakSaznSepahan-a
13980617,15381.00,15381,15381,15381.00,1280906,15381.00,GhaltakSaznSepahan-a
13980620,16150.00,16150,16150,16150.00,6652867,16150.00,GhaltakSaznSepahan-a
13980623,16200.00,16957,15343,16481.00,19915474,16850.00,GhaltakSaznSepahan-a
13980624,17305.00,17305,17000,17301.00,7849597,17305.00,GhaltakSaznSepahan-a
13980625,18166.00,18166,18166,18166.00,1149134,18166.00,GhaltakSaznSepahan-a
13980626,18777.00,19074,18166,18959.00,24375668,19074.00,GhaltakSaznSepahan-a
13980627,19250.00,19890,18150,19050.00,14946030,19842.00,GhaltakSaznSepahan-a
13980630,19750.00,20002,19750,19957.00,2865839,20002.00,GhaltakSaznSepahan-a
13980631,20954.00,20954,20954,20954.00,150145,20954.00,GhaltakSaznSepahan-a
13980702,22001.00,23101,21951,22655.00,12703666,22700.00,GhaltakSaznSepahan-a
13980703,22997.00,22997,21606,21985.00,13864404,21750.00,GhaltakSaznSepahan-a
13980706,21400.00,22950,20954,21900.00,10702617,21830.00,GhaltakSaznSepahan-a
13980707,21877.00,21890,20810,21076.00,9020019,20905.00,GhaltakSaznSepahan-a
13980708,20700.00,21649,20200,20849.00,8594988,20800.00,GhaltakSaznSepahan-a
13980709,21010.00,21660,20533,21131.00,6611432,20850.00,GhaltakSaznSepahan-a
13980710,20871.00,21500,20700,21152.00,3200332,21140.00,GhaltakSaznSepahan-a
13980713,21140.00,21180,20561,20909.00,4333089,20700.00,GhaltakSaznSepahan-a
13980714,20501.00,20700,19864,20134.00,3490903,20080.00,GhaltakSaznSepahan-a
13980715,20050.00,21140,19926,20985.00,7516224,21140.00,GhaltakSaznSepahan-a
13980716,21174.00,22021,20001,21547.00,8154007,21004.00,GhaltakSaznSepahan-a
13980717,20805.00,21500,20500,20828.00,2822044,20950.00,GhaltakSaznSepahan-a
13980720,20800.00,21454,20202,20662.00,2829200,20595.00,GhaltakSaznSepahan-a
13980721,20700.00,20880,19829,20237.00,2205617,19990.00,GhaltakSaznSepahan-a
13980722,19800.00,19800,19226,19285.00,1197513,19226.00,GhaltakSaznSepahan-a
13980723,18500.00,19055,18321,18457.00,1253359,18321.00,GhaltakSaznSepahan-a
13980724,17535.00,17535,17535,17535.00,636008,17535.00,GhaltakSaznSepahan-a
13980728,16659.00,16659,16659,16659.00,156118,16659.00,GhaltakSaznSepahan-a
13980729,15827.00,15827,15827,15827.00,2222106,15827.00,GhaltakSaznSepahan-a
13980730,16202.00,16618,15040,16088.00,5742828,16300.00,GhaltakSaznSepahan-a
13980801,16100.00,16100,15284,15424.00,2743334,15284.00,GhaltakSaznSepahan-a
13980804,15110.00,15200,14653,14788.00,2424821,14800.00,GhaltakSaznSepahan-a
13980806,14501.00,15527,14501,15407.00,1299290,15527.00,GhaltakSaznSepahan-a
13980808,16090.00,16177,15746,16119.00,1439005,16177.00,GhaltakSaznSepahan-a
13980811,16850.00,16850,15752,16302.00,2228668,16328.00,GhaltakSaznSepahan-a
13980812,16350.00,16500,15750,16127.00,1940170,16134.00,GhaltakSaznSepahan-a
13980813,16002.00,16300,15545,15965.00,1344240,15799.00,GhaltakSaznSepahan-a
13980814,16190.00,16290,15800,16030.00,1135777,16233.00,GhaltakSaznSepahan-a
13980818,16289.00,16831,16100,16709.00,995800,16831.00,GhaltakSaznSepahan-a
13980819,17544.00,17544,17040,17439.00,4523693,17543.00,GhaltakSaznSepahan-a
13980820,17380.00,17898,17000,17429.00,1499857,17228.00,GhaltakSaznSepahan-a
13980821,17100.00,17552,16900,17148.00,1438173,17061.00,GhaltakSaznSepahan-a
13980822,17010.00,17269,16621,16944.00,1427726,17250.00,GhaltakSaznSepahan-a
13980825,17200.00,17791,16831,17662.00,3425621,17495.00,GhaltakSaznSepahan-a
13980826,16955.00,17066,16779,16806.00,874793,16779.00,GhaltakSaznSepahan-a
13980827,15967.00,17499,15967,16458.00,2282338,16640.00,GhaltakSaznSepahan-a
13980828,16988.00,17110,16601,16929.00,1255321,16850.00,GhaltakSaznSepahan-a
13980829,16990.00,17200,16756,16937.00,1226629,17090.00,GhaltakSaznSepahan-a
13980902,17240.00,17783,16875,17613.00,2503412,17783.00,GhaltakSaznSepahan-a
13980903,17783.00,18493,17650,18243.00,2399321,18493.00,GhaltakSaznSepahan-a
13980904,18888.00,19155,18500,18961.00,3850013,19155.00,GhaltakSaznSepahan-a
13980905,19100.00,19390,18681,18913.00,1764259,18700.00,GhaltakSaznSepahan-a
13980906,18500.00,18700,17980,18319.00,2023146,18320.00,GhaltakSaznSepahan-a
13980909,18000.00,19190,17900,18530.00,2521586,18858.00,GhaltakSaznSepahan-a
13980910,18560.00,19234,18560,18968.00,2306683,18888.00,GhaltakSaznSepahan-a
13980911,19100.00,19200,18020,18283.00,3544256,18385.00,GhaltakSaznSepahan-a
13980912,18900.00,19134,18380,18911.00,2364429,18996.00,GhaltakSaznSepahan-a
13980913,18700.00,19100,18601,18838.00,1597153,19000.00,GhaltakSaznSepahan-a
13980916,19299.00,19500,18953,19180.00,2042741,18961.00,GhaltakSaznSepahan-a
13980917,18810.00,19160,18617,18932.00,1627263,18925.00,GhaltakSaznSepahan-a
13980918,19001.00,19300,18952,19123.00,1987492,19125.00,GhaltakSaznSepahan-a
13980919,19102.00,20079,19102,19886.00,4040552,19600.00,GhaltakSaznSepahan-a
13980920,19404.00,20050,19000,19780.00,1619579,19700.00,GhaltakSaznSepahan-a
13980923,19403.00,20350,19403,19927.00,1555916,20027.00,GhaltakSaznSepahan-a
13980924,19686.00,20700,19686,20342.00,2308732,20179.00,GhaltakSaznSepahan-a
13980925,20000.00,20920,20000,20312.00,1957116,20200.00,GhaltakSaznSepahan-a
13980926,20000.00,20497,19861,19991.00,2578621,19983.00,GhaltakSaznSepahan-a
13980927,19503.00,20000.00,19502.00,19738.00,1899692,19760.00,GhaltakSaznSepahan-a
