<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970115,12745.89,12746,12746,13412.73,200,12745.89,Melli Ind. Grp.-a
13970118,13357.74,13358,13358,13412.73,50,13357.74,Melli Ind. Grp.-a
13970120,13357.74,13358,13358,13412.73,266,13357.74,Melli Ind. Grp.-a
13970121,12742.89,12743,12743,13412.73,7,12742.89,Melli Ind. Grp.-a
13970122,13356.74,13357,13357,13412.73,50,13356.74,Melli Ind. Grp.-a
13970128,13355.74,13356,13356,13412.73,75,13355.74,Melli Ind. Grp.-a
13970302,12742.89,12743,12743,12742.89,445,12742.89,Melli Ind. Grp.-a
13970305,12106.05,12106,12106,12741.89,93,12106.05,Melli Ind. Grp.-a
13970306,12105.05,12106,12105,12740.89,150,12106.05,Melli Ind. Grp.-a
13970307,12106.05,12106,12104,12739.89,157,12104.05,Melli Ind. Grp.-a
13970308,12103.05,12103,12103,12736.89,420,12103.05,Melli Ind. Grp.-a
13970309,12103.05,12103,12101,12733.89,485,12103.05,Melli Ind. Grp.-a
13970312,12098.05,12099,12098,12721.90,1855,12098.05,Melli Ind. Grp.-a
13970313,12098.05,13358,12098,12736.89,3112,12469.96,Melli Ind. Grp.-a
13970319,12100.05,13374,12100,13005.83,49891,13296.76,Melli Ind. Grp.-a
13970320,13373.74,13655,13374,13008.83,500,13654.67,Melli Ind. Grp.-a
13970321,13596.68,13597,12372,13369.74,71575,13496.71,Melli Ind. Grp.-a
13970322,13196.78,14027,12987,13370.74,15455,13375.74,Melli Ind. Grp.-a
13970327,14036.58,14039,14037,13378.74,1210,14038.58,Melli Ind. Grp.-a
13970328,14047.57,14048,14048,13464.72,12770,14047.57,Melli Ind. Grp.-a
13970329,13996.59,14138,13997,13469.72,939,14137.55,Melli Ind. Grp.-a
13970330,14142.55,14143,14143,13489.71,3000,14142.55,Melli Ind. Grp.-a
13970403,14163.55,14164,14164,13490.71,208,14163.55,Melli Ind. Grp.-a
13970405,13773.64,13774,13497,13490.71,1114,13497.71,Melli Ind. Grp.-a
13970406,14164.55,14165,13897,13491.71,219,14162.55,Melli Ind. Grp.-a
13970409,14165.55,14166,14166,13493.71,248,14165.55,Melli Ind. Grp.-a
13970410,14167.55,14168,14168,13493.71,18,14167.55,Melli Ind. Grp.-a
13970411,13596.68,13597,13597,13497.71,3725,13596.68,Melli Ind. Grp.-a
13970412,13596.68,13597,12898,13497.71,159,12897.85,Melli Ind. Grp.-a
13970413,13596.68,13597,13597,13497.71,1,13596.68,Melli Ind. Grp.-a
13970416,13596.68,14165,12823,13377.74,18933,14164.55,Melli Ind. Grp.-a
13970417,13396.73,13397,13397,13382.74,25008,13396.73,Melli Ind. Grp.-a
13970419,13496.71,13497,13497,13382.74,6,13496.71,Melli Ind. Grp.-a
13970420,13496.71,13497,12797,13381.74,367,12796.88,Melli Ind. Grp.-a
13970423,12896.85,13497,12797,13379.74,481,12996.83,Melli Ind. Grp.-a
13970424,13496.71,13497,12717,12933.85,132123,13096.81,Melli Ind. Grp.-a
13970425,13579.69,13580,12997,13071.81,21711,13576.69,Melli Ind. Grp.-a
13970426,13724.65,13725,13197,13339.75,81156,13595.68,Melli Ind. Grp.-a
13970503,14005.68,14007,14006,13340.75,107,14006.68,Melli Ind. Grp.-a
13970506,12673.81,13074,12674,13339.75,124,13073.77,Melli Ind. Grp.-a
13970513,13528.73,13529,13529,13415.74,40000,13528.73,Melli Ind. Grp.-a
13970514,14007.68,14008,13000,13478.73,72558,13517.73,Melli Ind. Grp.-a
13970515,14152.67,14153,12999,13472.73,2297,12998.78,Melli Ind. Grp.-a
13970516,13197.76,13699,13198,13562.73,40537,13698.71,Melli Ind. Grp.-a
13970517,12999.78,13198,12999,13556.73,1262,12999.78,Melli Ind. Grp.-a
13970520,13197.76,13198,13198,13555.73,199,13197.76,Melli Ind. Grp.-a
13970521,13197.76,13198,13000,13551.73,1047,13197.76,Melli Ind. Grp.-a
13970522,13898.69,13998,13899,13775.71,49777,13997.69,Melli Ind. Grp.-a
13970523,13198.76,13899,13089,13774.71,443,13088.77,Melli Ind. Grp.-a
13970524,13798.70,13812,13799,13774.71,1413,13798.70,Melli Ind. Grp.-a
13970527,14462.64,14463,14463,13775.71,75,14462.64,Melli Ind. Grp.-a
13970528,13897.69,14399,13898,14394.65,100886,14398.65,Melli Ind. Grp.-a
13970529,15113.58,15114,13899,14391.65,874,13898.69,Melli Ind. Grp.-a
13970530,14998.59,15111,14499,14392.65,140,14498.64,Melli Ind. Grp.-a
13970605,15108.58,15109,15109,14393.65,70,15108.58,Melli Ind. Grp.-a
13970607,14393.65,14394,14394,14393.65,622,14393.65,Melli Ind. Grp.-a
13970611,13674.72,13675,13675,14392.65,96,13674.72,Melli Ind. Grp.-a
13970613,15109.58,15110,15110,14392.65,5,15109.58,Melli Ind. Grp.-a
13970617,15109.58,15112,15099,14395.65,388,15098.58,Melli Ind. Grp.-a
13970618,15114.58,15115,15115,14398.65,372,15114.58,Melli Ind. Grp.-a
13970619,15114.58,15119,15115,14402.65,510,15118.58,Melli Ind. Grp.-a
13970620,15122.58,15123,15123,14412.65,1378,15122.58,Melli Ind. Grp.-a
13970621,15132.58,15133,15133,14415.65,350,15132.58,Melli Ind. Grp.-a
13970624,15135.58,15136,15136,14425.64,1340,15135.58,Melli Ind. Grp.-a
13970626,15146.58,15147,15147,14426.64,147,15146.58,Melli Ind. Grp.-a
13970627,15147.58,15148,15148,14433.64,1000,15147.58,Melli Ind. Grp.-a
13970631,15154.58,15155,15155,14460.64,3730,15154.58,Melli Ind. Grp.-a
13970701,15183.57,15184,14049,14998.59,1008262,15183.57,Melli Ind. Grp.-a
13970702,15748.52,15749,15749,15032.59,4529,15748.52,Melli Ind. Grp.-a
13970703,15783.52,15784,15784,15099.58,8781,15783.52,Melli Ind. Grp.-a
13970704,14344.65,15855,14345,15184.57,11301,15854.51,Melli Ind. Grp.-a
13970707,15943.50,15944,15944,15184.57,5,15943.50,Melli Ind. Grp.-a
13970708,15943.50,15944,15944,15188.57,580,15943.50,Melli Ind. Grp.-a
13970709,15947.50,15948,15948,15341.56,19910,15947.50,Melli Ind. Grp.-a
13970710,16108.49,16108,16108,15435.55,12076,16108.49,Melli Ind. Grp.-a
13970711,16206.48,16206,16206,15629.53,24836,16206.48,Melli Ind. Grp.-a
13970714,16408.46,16408,15942,15663.53,4774,16407.46,Melli Ind. Grp.-a
13970715,16398.46,16446,14999,16342.46,108156,15998.50,Melli Ind. Grp.-a
13970716,16446.46,16898,15526,16227.48,17009,15525.54,Melli Ind. Grp.-a
13970717,15416.55,16998,15417,16083.49,27973,15416.55,Melli Ind. Grp.-a
13970718,15279.56,15280,15280,15901.51,22425,15279.56,Melli Ind. Grp.-a
13970722,15106.58,15107,15107,15898.51,317,15106.58,Melli Ind. Grp.-a
13970723,15998.50,15998,15104,15821.51,9924,15818.51,Melli Ind. Grp.-a
13970724,15109.58,15222,15109,15811.51,1491,15221.57,Melli Ind. Grp.-a
13970725,15021.59,15799,15022,15788.52,3311,15798.52,Melli Ind. Grp.-a
13970728,15798.52,16398,15099,15788.52,756,15998.50,Melli Ind. Grp.-a
13970730,15199.57,15200,15200,15784.52,735,15199.57,Melli Ind. Grp.-a
13970802,14995.59,14996,14996,15775.52,1119,14995.59,Melli Ind. Grp.-a
13970809,15158.58,15159,15159,15774.52,171,15158.58,Melli Ind. Grp.-a
13970812,14988.59,14989,14989,15769.52,606,14988.59,Melli Ind. Grp.-a
13970813,14987.59,15284,14988,15761.52,998,15283.56,Melli Ind. Grp.-a
13970814,14987.59,14999,14977,15755.52,835,14998.59,Melli Ind. Grp.-a
13970819,14968.59,14969,14969,15750.52,649,14968.59,Melli Ind. Grp.-a
13970821,14963.59,14968,14964,15674.53,9550,14967.59,Melli Ind. Grp.-a
13970829,14909.60,14919,14892,15665.53,1219,14891.60,Melli Ind. Grp.-a
13970830,14883.60,14884,14884,15638.53,3424,14883.60,Melli Ind. Grp.-a
13970905,15427.55,15428,14857,15622.53,5659,14856.60,Melli Ind. Grp.-a
13970906,14878.60,14994,14842,15562.54,7672,14841.61,Melli Ind. Grp.-a
13970907,14784.61,14785,14785,15522.54,5074,14784.61,Melli Ind. Grp.-a
13970914,14746.61,14747,14747,15517.54,664,14746.61,Melli Ind. Grp.-a
13970917,14746.61,14747,14743,15515.54,208,14742.62,Melli Ind. Grp.-a
13970919,14740.62,14741,14741,15504.54,1420,14740.62,Melli Ind. Grp.-a
13970920,14739.62,14740,14740,15503.54,100,14739.62,Melli Ind. Grp.-a
13970921,14728.62,14729,14729,15438.55,8251,14728.62,Melli Ind. Grp.-a
13970924,14738.62,14739,14739,15438.55,36,14738.62,Melli Ind. Grp.-a
13970925,14666.62,14669,14667,15430.55,1018,14668.62,Melli Ind. Grp.-a
13970926,14659.62,14660,14660,15429.55,69,14659.62,Melli Ind. Grp.-a
13970927,14658.62,14659,14659,15427.55,270,14658.62,Melli Ind. Grp.-a
13971001,14656.62,15433,14657,15125.58,46072,15432.55,Melli Ind. Grp.-a
13971003,14798.61,14799,14370,15106.58,2485,14369.65,Melli Ind. Grp.-a
13971004,14369.65,14370,14370,15103.58,435,14369.65,Melli Ind. Grp.-a
13971005,14369.65,14370,14370,14872.60,31200,14369.65,Melli Ind. Grp.-a
13971008,14559.63,14560,14130,14871.60,81,14129.67,Melli Ind. Grp.-a
13971009,14558.63,14560,14129,14841.61,9439,14558.63,Melli Ind. Grp.-a
13971010,14527.64,14528,14527,14835.61,2010,14526.64,Melli Ind. Grp.-a
13971011,14094.68,14095,14095,14835.61,6,14094.68,Melli Ind. Grp.-a
13971012,14094.68,14523,14095,14577.63,34476,14522.64,Melli Ind. Grp.-a
13971015,14522.64,14523,13999,14519.64,10531,13998.69,Melli Ind. Grp.-a
13971016,13998.69,13999,13999,14466.64,10000,13998.69,Melli Ind. Grp.-a
13971017,14159.67,14160,14160,14465.64,161,14159.67,Melli Ind. Grp.-a
13971018,14159.67,14160,13743,14463.64,425,13742.71,Melli Ind. Grp.-a
13971025,14521.64,14523,14522,14463.64,414,14522.64,Melli Ind. Grp.-a
13971026,13740.71,13741,13741,14458.64,617,13740.71,Melli Ind. Grp.-a
13971029,13735.71,13736,13736,14454.64,600,13735.71,Melli Ind. Grp.-a
13971030,14448.64,14449,14449,14454.64,60,14448.64,Melli Ind. Grp.-a
13971101,14448.64,14449,14449,14454.64,240,14448.64,Melli Ind. Grp.-a
13971103,13732.71,14445,13733,14446.64,1188,14444.64,Melli Ind. Grp.-a
13971106,14438.64,14439,13725,14439.64,1145,13724.71,Melli Ind. Grp.-a
13971109,13717.71,13718,13718,14410.65,4026,13717.71,Melli Ind. Grp.-a
13971113,13690.71,13691,13691,14405.65,681,13690.71,Melli Ind. Grp.-a
13971117,13685.71,13686,13686,14403.65,340,13685.71,Melli Ind. Grp.-a
13971121,13683.71,13684,13684,14402.65,167,13683.71,Melli Ind. Grp.-a
13971124,13682.71,14518,13683,14352.65,15918,13682.71,Melli Ind. Grp.-a
13971127,13635.72,13636,13636,14349.65,404,13635.72,Melli Ind. Grp.-a
13971128,13632.72,14199,13633,14344.65,788,14198.67,Melli Ind. Grp.-a
13971129,13627.72,13628,13628,14333.65,1475,13627.72,Melli Ind. Grp.-a
13971130,13617.72,13618,13618,14330.65,425,13617.72,Melli Ind. Grp.-a
13971201,13614.72,13615,13615,14319.65,1468,13614.72,Melli Ind. Grp.-a
13971204,13603.72,13606,13604,14292.66,3757,13603.72,Melli Ind. Grp.-a
13971205,13578.72,13579,13579,14289.66,364,13578.72,Melli Ind. Grp.-a
13971208,13575.72,13576,13576,14287.66,270,13575.72,Melli Ind. Grp.-a
13971211,13573.72,13574,13574,14281.66,814,13573.72,Melli Ind. Grp.-a
13971212,13567.73,14497,13568,14263.66,4548,14223.66,Melli Ind. Grp.-a
13971213,13550.73,13551,13551,14190.67,10099,13550.73,Melli Ind. Grp.-a
13971215,13481.73,13482,13482,14189.67,79,13481.73,Melli Ind. Grp.-a
13971218,13481.73,13482,13481,14187.67,314,13480.73,Melli Ind. Grp.-a
13971219,13798.70,13998,13481,14175.67,2765,13480.73,Melli Ind. Grp.-a
13971220,14298.66,14499,13468,14298.66,41551,14498.64,Melli Ind. Grp.-a
13971221,13583.72,15014,13584,14804.61,148351,13613.72,Melli Ind. Grp.-a
13971222,14064.68,15544,14065,14816.61,6524,15243.57,Melli Ind. Grp.-a
13971225,15556.54,15557,15557,14911.60,12639,15556.54,Melli Ind. Grp.-a
13971226,14998.59,15657,14999,15012.59,1857982,14998.59,Melli Ind. Grp.-a
13971227,15198.57,15763,14999,14998.59,4279722,15762.52,Melli Ind. Grp.-a
13971228,15553.54,15554,15554,14998.59,70,15553.54,Melli Ind. Grp.-a
13980105,15698.53,15749,15699,15117.58,15766,15748.52,Melli Ind. Grp.-a
13980106,15872.51,15873,15734,15166.58,6950,15798.52,Melli Ind. Grp.-a
13980107,15924.50,15925,15925,15301.56,17562,15924.50,Melli Ind. Grp.-a
13980110,16066.49,16066,16066,15308.56,960,16066.49,Melli Ind. Grp.-a
13980111,16073.49,16073,16073,15375.56,8694,16073.49,Melli Ind. Grp.-a
13980117,16143.48,16143,14609,15427.55,9400,15150.58,Melli Ind. Grp.-a
13980118,16198.48,16198,16113,15454.55,3417,16198.48,Melli Ind. Grp.-a
13980119,15498.54,16226,15499,15457.55,494,16226.48,Melli Ind. Grp.-a
13980120,16229.48,16229,16229,15466.55,1155,16229.48,Melli Ind. Grp.-a
13980121,16239.47,16239,16239,15493.54,3500,16239.47,Melli Ind. Grp.-a
13980124,16267.47,16267,16267,15520.54,3500,16267.47,Melli Ind. Grp.-a
13980125,16296.47,16296,16296,15549.54,3679,16296.47,Melli Ind. Grp.-a
13980126,16326.47,16326,16326,15551.54,239,16326.47,Melli Ind. Grp.-a
13980127,16328.47,16328,16328,15568.54,2105,16328.47,Melli Ind. Grp.-a
13980128,16346.46,16346,16346,15569.54,100,16346.46,Melli Ind. Grp.-a
13980131,16347.46,16347,16347,15586.54,2135,16347.46,Melli Ind. Grp.-a
13980202,16365.46,16365,16365,15596.53,1214,16365.46,Melli Ind. Grp.-a
13980203,16375.46,16375,16375,15635.53,5000,16375.46,Melli Ind. Grp.-a
13980208,16416.46,16416,16416,15636.53,100,16416.46,Melli Ind. Grp.-a
13980209,16417.46,16417,16417,15638.53,194,16417.46,Melli Ind. Grp.-a
13980210,16420.46,16420,16420,15641.53,434,16420.46,Melli Ind. Grp.-a
13980211,16423.46,16423,16423,15645.53,520,16423.46,Melli Ind. Grp.-a
13980214,16427.46,16427,16427,15645.53,10,16427.46,Melli Ind. Grp.-a
13980215,16427.46,16427,16427,15664.53,2429,16427.46,Melli Ind. Grp.-a
13980216,16447.46,16447,16447,15666.53,200,16447.46,Melli Ind. Grp.-a
13980217,16449.45,16449,16449,15670.53,562,16449.45,Melli Ind. Grp.-a
13980218,16453.45,16453,16453,15670.53,10,16453.45,Melli Ind. Grp.-a
13980221,16453.45,16453,16453,15694.53,3010,16453.45,Melli Ind. Grp.-a
13980222,16478.45,16478,16478,16478.45,10,16478.45,Melli Ind. Grp.-a
13980223,17302.37,17302,17302,16478.45,20,17302.37,Melli Ind. Grp.-a
13980224,17302.37,17302,17302,16479.45,110,17302.37,Melli Ind. Grp.-a
13980225,17303.37,17303,17303,16487.45,1010,17303.37,Melli Ind. Grp.-a
13980228,17311.37,17311,17311,16487.45,50,17311.37,Melli Ind. Grp.-a
13980229,17311.37,17311,17311,16488.45,70,17311.37,Melli Ind. Grp.-a
13980230,17312.37,17312,17312,16488.45,20,17312.37,Melli Ind. Grp.-a
13980231,17312.37,17312,17312,16488.45,60,17312.37,Melli Ind. Grp.-a
13980301,17312.37,17312,17312,16488.45,10,17312.37,Melli Ind. Grp.-a
13980304,17312.37,17312,17312,16488.45,10,17312.37,Melli Ind. Grp.-a
13980305,17312.37,17312,17312,16488.45,15,17312.37,Melli Ind. Grp.-a
13980307,17312.37,17312,17312,17312.37,6,17312.37,Melli Ind. Grp.-a
13980308,18177.29,18177,18177,17531.35,25030,18177.29,Melli Ind. Grp.-a
13980311,18407.27,18407,18407,17978.31,50500,18407.27,Melli Ind. Grp.-a
13980312,18877.23,18877,18877,18205.29,25005,18877.23,Melli Ind. Grp.-a
13980313,19115.20,19115,19115,18437.27,25209,19115.20,Melli Ind. Grp.-a
13980318,19358.18,19358,19358,18688.24,27010,19358.18,Melli Ind. Grp.-a
13980319,19622.16,19622,19622,18929.22,25509,19622.16,Melli Ind. Grp.-a
13980320,19875.13,19875,19875,19182.20,26460,19875.13,Melli Ind. Grp.-a
13980321,20141.11,20141,20141,19426.18,25160,20141.11,Melli Ind. Grp.-a
13980322,20397.08,20397,20397,19677.15,25540,20397.08,Melli Ind. Grp.-a
13980325,20660.06,20660,20660,20025.12,35000,20660.06,Melli Ind. Grp.-a
13980326,21026.02,21026,21026,21026.02,27900,21026.02,Melli Ind. Grp.-a
13980327,22076.93,22077,22077,21292.00,25020,22076.93,Melli Ind. Grp.-a
13980404,22356.00,22356,22356,22356.00,20000,22356.00,Melli Ind. Grp.-a
13980405,23473.00,23473,23473,22583.00,20100,23473.00,Melli Ind. Grp.-a
13980409,23712.00,23712,23712,23158.00,50400,23712.00,Melli Ind. Grp.-a
13980410,24315.00,24315,24315,23392.00,20010,24315.00,Melli Ind. Grp.-a
13980411,24561.00,24561,24561,23689.00,25115,24561.00,Melli Ind. Grp.-a
13980412,24873.00,24873,24873,23988.00,25010,24873.00,Melli Ind. Grp.-a
13980415,25187.00,25187,25187,24291.00,25010,25187.00,Melli Ind. Grp.-a
13980416,25505.00,25505,25505,25505.00,529321,25505.00,Melli Ind. Grp.-a
13980417,26780.00,26780,26780,26730.00,95050,26780.00,Melli Ind. Grp.-a
13980418,28066.00,28066,28066,28016.00,95220,28066.00,Melli Ind. Grp.-a
13980419,29416.00,29416,29416,29367.00,95450,29416.00,Melli Ind. Grp.-a
13980422,40444.00,42466,38422,41617.00,891830,42466.00,Melli Ind. Grp.-a
13980423,43697.00,43697,43697,43697.00,99944,43697.00,Melli Ind. Grp.-a
13980424,45881.00,45881,45881,45881.00,101747,45881.00,Melli Ind. Grp.-a
13980425,48175.00,48175,48175,48175.00,104590,48175.00,Melli Ind. Grp.-a
13980426,50583.00,50583,50583,50583.00,325722,50583.00,Melli Ind. Grp.-a
13980429,53112.00,53112,49502,52708.00,852908,53111.00,Melli Ind. Grp.-a
13980430,55343.00,55343,55342,55343.00,193148,55343.00,Melli Ind. Grp.-a
13980431,58110.00,58110,58110,58110.00,218888,58110.00,Melli Ind. Grp.-a
13980501,61015.00,61015,61015,61015.00,98945,61015.00,Melli Ind. Grp.-a
13980502,64065.00,64065,64065,64065.00,99240,64065.00,Melli Ind. Grp.-a
13980507,67268.00,70631,67268,70496.00,212039,70631.00,Melli Ind. Grp.-a
13980508,74020.00,74020,74020,74020.00,104910,74020.00,Melli Ind. Grp.-a
13980509,77721.00,77721,77721,77721.00,100179,77721.00,Melli Ind. Grp.-a
13980512,81607.00,81607,73835,80474.00,963164,79500.00,Melli Ind. Grp.-a
13980513,77401.00,81001,76451,78025.00,232999,76451.00,Melli Ind. Grp.-a
13980514,74124.00,74124,74124,75751.00,57665,74124.00,Melli Ind. Grp.-a
