<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,2623.09,2623,2623,2743.53,16800,2623.09,Gorji Biscuit-a
13970106,2608.96,2609,2609,2743.53,10,2608.96,Gorji Biscuit-a
13970107,2606.73,2607,2607,2742.05,1700,2606.73,Gorji Biscuit-a
13970108,2605.24,2605,2605,2733.12,8543,2605.24,Gorji Biscuit-a
13970118,2597.06,2597,2597,2732.38,700,2597.06,Gorji Biscuit-a
13970120,2596.32,2596,2596,2732.38,50,2596.32,Gorji Biscuit-a
13970121,2596.32,2596,2596,2730.89,1763,2596.32,Gorji Biscuit-a
13970126,2594.83,2731,2595,2688.51,114955,2596.32,Gorji Biscuit-a
13970127,2688.51,2732,2689,2692.98,20398,2732.38,Gorji Biscuit-a
13970128,2824.58,2828,2824,2809.71,120735,2827.55,Gorji Biscuit-a
13970129,2949.48,2949,2810,2816.40,8990,2944.28,Gorji Biscuit-a
13970201,2944.28,2957,2712,2820.11,4037,2956.92,Gorji Biscuit-a
13970202,2679.59,2961,2680,2831.27,21190,2960.64,Gorji Biscuit-a
13970203,2972.53,2973,2973,2849.85,17220,2972.53,Gorji Biscuit-a
13970204,2899.67,2992,2900,2891.49,39934,2991.86,Gorji Biscuit-a
13970205,3035.73,3036,3036,2907.85,15000,3035.73,Gorji Biscuit-a
13970208,2916.03,2916,2911,2907.85,474,2910.82,Gorji Biscuit-a
13970209,2910.82,3048,2911,2908.59,1006,3048.37,Gorji Biscuit-a
13970210,3048.37,3048,2970,2920.49,13424,3048.37,Gorji Biscuit-a
13970211,3052.83,3063,2967,2921.97,3400,2966.59,Gorji Biscuit-a
13970215,2788.14,2788,2788,2921.23,969,2788.14,Gorji Biscuit-a
13970216,2974.02,2974,2915,2925.69,24455,2974.02,Gorji Biscuit-a
13970218,2826.06,3034,2826,2921.97,5612,3033.50,Gorji Biscuit-a
13970219,3033.50,3063,2825,2921.97,381,2825.32,Gorji Biscuit-a
13970222,3063.24,3063,3063,2926.44,3832,3063.24,Gorji Biscuit-a
13970301,3033.50,3034,3034,2927.18,1000,3033.50,Gorji Biscuit-a
13970302,3033.50,3073,3034,2966.59,37385,3072.91,Gorji Biscuit-a
13970305,3114.54,3115,3100,2968.07,1500,3100.42,Gorji Biscuit-a
13970306,3114.54,3115,3048,2971.05,3000,3048.37,Gorji Biscuit-a
13970307,3040.94,3041,3041,2971.05,50,3040.94,Gorji Biscuit-a
13970309,3040.94,3041,3041,2971.05,360,3040.94,Gorji Biscuit-a
13970313,2974.02,2974,2974,2971.05,300,2974.02,Gorji Biscuit-a
13970319,3113.80,3115,3048,2973.28,1943,3048.37,Gorji Biscuit-a
13970321,3113.80,3114,2870,2973.28,1037,2869.93,Gorji Biscuit-a
13970328,2825.32,2941,2825,2968.82,4127,2826.06,Gorji Biscuit-a
13970329,2820.86,2822,2821,2965.10,3004,2821.60,Gorji Biscuit-a
13970330,2974.02,3106,2974,2976.99,18271,3106.36,Gorji Biscuit-a
13970402,3085.55,3086,2828,2976.99,4056,3063.24,Gorji Biscuit-a
13970404,3085.55,3126,3086,3009.71,31013,3125.70,Gorji Biscuit-a
13970409,3049.86,3160,3050,3020.86,10580,3159.90,Gorji Biscuit-a
13970410,3049.86,3050,3048,3021.60,2464,3047.63,Gorji Biscuit-a
13970411,2974.02,3173,2974,3043.17,20381,3172.54,Gorji Biscuit-a
13970412,2903.39,2903,2903,3043.17,6,2903.39,Gorji Biscuit-a
13970413,2892.23,2892,2891,3029.04,11450,2891.49,Gorji Biscuit-a
