<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,6428.38,6428,6382,6386.47,96984,6382.24,Iran Mobil Tele-a
13970106,6407.25,6407,6340,6381.18,131006,6375.55,Iran Mobil Tele-a
13970107,6403.37,6403,6337,6372.73,124011,6338.56,Iran Mobil Tele-a
13970108,6339.97,6340,6323,6355.47,255143,6340.32,Iran Mobil Tele-a
13970114,6379.07,6379,6323,6347.01,197093,6322.71,Iran Mobil Tele-a
13970115,6339.97,6340,6295,6333.63,223656,6294.53,Iran Mobil Tele-a
13970118,6304.75,6305,6196,6300.17,241412,6254.02,Iran Mobil Tele-a
13970119,6297.70,6298,6183,6257.55,314659,6183.22,Iran Mobil Tele-a
13970120,6231.13,6231,6133,6173.71,634210,6158.92,Iran Mobil Tele-a
13970121,6144.48,6165,6129,6161.03,226415,6163.50,Iran Mobil Tele-a
13970122,6217.04,6300,6200,6257.90,561588,6201.19,Iran Mobil Tele-a
13970126,6200.13,6340,6199,6276.21,303113,6327.64,Iran Mobil Tele-a
13970127,6335.39,6340,6245,6308.62,300298,6339.62,Iran Mobil Tele-a
13970128,6308.62,6333,6228,6258.25,532280,6227.60,Iran Mobil Tele-a
13970129,6269.52,6304,6199,6255.08,400315,6234.30,Iran Mobil Tele-a
13970201,6252.26,6252,6161,6218.09,383874,6164.20,Iran Mobil Tele-a
13970202,6177.94,6178,6129,6163.50,421820,6128.98,Iran Mobil Tele-a
13970203,6136.02,6164,6094,6115.59,557293,6104.32,Iran Mobil Tele-a
13970204,6115.59,6129,6059,6098.69,1397470,6105.03,Iran Mobil Tele-a
13970205,6128.98,6235,6087,6119.47,1834443,6093.75,Iran Mobil Tele-a
13970216,6200.09,6249,6088,6145.77,630186,6119.04,Iran Mobil Tele-a
13970217,6100.93,6146,6038,6096.18,517593,6075.06,Iran Mobil Tele-a
13970218,6095.75,6096,6045,6074.63,410942,6053.50,Iran Mobil Tele-a
13970219,6122.49,6211,6043,6139.73,1727890,6122.49,Iran Mobil Tele-a
13970222,6165.60,6187,6123,6158.27,1089753,6178.54,Iran Mobil Tele-a
13970223,6189.32,6252,6189,6225.53,1855880,6230.28,Iran Mobil Tele-a
13970224,6251.83,6252,6212,6225.10,1299933,6225.10,Iran Mobil Tele-a
13970225,6251.83,6252,6209,6224.67,754479,6218.63,Iran Mobil Tele-a
13970226,6251.83,6252,6166,6225.53,1454471,6165.60,Iran Mobil Tele-a
13970229,6187.16,6230,6105,6149.65,1153390,6142.32,Iran Mobil Tele-a
13970230,6186.73,6187,6112,6136.71,1010682,6165.60,Iran Mobil Tele-a
