<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,7154.41,7154,7040,7153.55,9400,7152.40,Inf. Services-a
13970106,7177.98,7184,7170,7156.43,40902,7184.01,Inf. Services-a
13970107,7184.01,7184,7141,7157.00,8747,7143.78,Inf. Services-a
13970108,7140.91,7167,7133,7157.00,4119,7155.28,Inf. Services-a
13970114,7166.77,7167,7115,7155.85,16666,7146.66,Inf. Services-a
13970115,7155.28,7170,7122,7154.70,25578,7155.28,Inf. Services-a
13970118,7169.64,7184,7118,7162.46,173167,7184.01,Inf. Services-a
13970119,7156.14,7521,7156,7348.96,259427,7520.51,Inf. Services-a
13970120,7716.20,7716,7615,7642.06,334465,7690.05,Inf. Services-a
13970121,7690.05,7690,7471,7616.78,149060,7471.37,Inf. Services-a
13970122,7471.37,7615,7471,7607.87,34530,7543.21,Inf. Services-a
13970126,7365.05,7586,7336,7604.71,18214,7586.03,Inf. Services-a
13970127,7356.72,7615,7357,7595.80,53910,7615.05,Inf. Services-a
13970128,7543.21,7708,7601,7599.82,71963,7707.58,Inf. Services-a
13970129,7701.26,7711,7615,7611.89,69087,7643.79,Inf. Services-a
13970201,7616.49,7713,7616,7693.21,412106,7630.00,Inf. Services-a
13970202,7758.45,7787,7695,7701.26,140722,7758.16,Inf. Services-a
13970203,7902.41,7988,7676,7831.15,509556,7888.05,Inf. Services-a
13970204,7985.46,7989,7902,7923.68,351669,7954.14,Inf. Services-a
13970205,7983.74,8320,7960,8221.10,1036683,8247.25,Inf. Services-a
13970208,8528.00,8618,8333,8436.62,274994,8333.45,Inf. Services-a
13970209,8564.78,8565,8190,8439.49,398671,8247.82,Inf. Services-a
13970210,8320.81,8354,8048,8380.29,125070,8199.83,Inf. Services-a
13970211,8332.02,8332,8109,8317.65,97813,8117.93,Inf. Services-a
13970215,8273.97,8274,7902,8219.37,105293,7901.84,Inf. Services-a
13970216,7902.41,8046,7808,8015.63,212372,7808.45,Inf. Services-a
13970217,7816.21,7856,7618,7981.15,62143,7856.15,Inf. Services-a
13970218,7957.01,8013,7793,7975.98,91684,7982.59,Inf. Services-a
