<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,858.71,871,812,842.65,97976,812.38,Parsian-a
13970106,840.18,840,801,823.50,572099,800.64,Parsian-a
13970107,792.61,794,783,818.56,170372,790.76,Parsian-a
13970108,816.70,853,812,819.79,149830,811.76,Parsian-a
13970114,844.50,845,805,819.79,39674,833.38,Parsian-a
13970115,821.65,822,804,819.17,72640,821.03,Parsian-a
13970118,835.24,835,780,816.70,165125,803.11,Parsian-a
13970119,818.56,819,778,813.00,285474,778.40,Parsian-a
13970120,782.11,782,773,791.37,642034,772.84,Parsian-a
13970121,761.72,773,752,775.93,516300,751.84,Parsian-a
13970122,742.57,743,738,761.72,451210,737.63,Parsian-a
13970126,725.89,772,724,737.01,887399,724.04,Parsian-a
13970127,711.06,741,701,701.18,3972947,711.06,Parsian-a
13970128,728.98,736,723,728.98,1414662,735.77,Parsian-a
13970129,741.33,765,729,746.89,1680476,765.43,Parsian-a
13970201,766.66,784,767,768.52,775009,772.22,Parsian-a
13970202,803.11,807,785,782.73,488309,806.82,Parsian-a
13970203,811.14,822,803,798.79,629820,821.65,Parsian-a
13970204,827.82,837,809,803.73,319511,815.47,Parsian-a
13970205,821.65,822,809,805.58,233649,816.70,Parsian-a
13970208,814.23,826,806,807.44,385758,805.58,Parsian-a
13970209,825.97,826,806,807.44,37386,806.82,Parsian-a
13970210,827.82,828,807,808.05,202527,811.14,Parsian-a
13970211,821.03,821,811,808.05,19800,811.14,Parsian-a
13970215,811.76,823,806,808.67,216025,815.47,Parsian-a
13970216,815.47,825,809,809.91,253476,819.79,Parsian-a
13970217,822.88,823,803,811.14,414911,821.65,Parsian-a
13970218,820.41,822,811,811.14,107288,811.14,Parsian-a
13970219,818.56,822,773,810.53,599708,821.65,Parsian-a
13970222,820.41,821,803,810.53,495197,815.47,Parsian-a
13970223,816.09,816,816,810.53,6499,816.09,Parsian-a
13970224,815.47,822,814,811.14,79800,814.23,Parsian-a
13970225,821.65,822,815,811.14,46610,821.65,Parsian-a
13970226,816.09,819,811,811.14,96670,818.56,Parsian-a
13970229,821.65,822,812,811.14,35548,821.03,Parsian-a
13970230,821.65,822,809,811.14,754828,812.38,Parsian-a
13970231,813.00,821,809,811.14,191328,821.03,Parsian-a
13970301,821.65,822,811,811.76,242150,811.76,Parsian-a
13970302,821.65,822,822,811.76,4000,821.65,Parsian-a
13970305,821.65,822,797,809.91,399788,796.93,Parsian-a
13970306,814.85,815,778,809.91,21262,810.53,Parsian-a
13970307,779.02,821,773,808.67,82838,821.03,Parsian-a
13970308,779.64,815,778,808.05,82370,814.85,Parsian-a
13970309,784.58,821,785,808.05,6350,821.03,Parsian-a
13970312,787.67,820,780,806.20,113192,819.79,Parsian-a
