<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970115,6765.45,6765,6765,7118.85,291,6765.45,P. Animal Feed-a
13970118,6763.49,6763,6763,7117.87,221,6763.49,P. Animal Feed-a
13970120,6762.51,6763,6763,7117.87,80,6762.51,P. Animal Feed-a
13970121,6762.51,6763,6763,7116.89,158,6762.51,P. Animal Feed-a
13970126,6761.53,6762,6762,7113.95,638,6761.53,P. Animal Feed-a
13970127,6758.60,6759,6759,6758.60,190,6758.60,P. Animal Feed-a
13970203,6420.86,6421,6421,6757.62,166,6420.86,P. Animal Feed-a
13970204,6419.88,6420,6420,6755.66,408,6419.88,P. Animal Feed-a
13970208,6417.93,6418,6418,6747.83,1785,6417.93,P. Animal Feed-a
13970215,6411.07,6411,6411,6746.85,286,6411.07,P. Animal Feed-a
13970223,6410.10,6410,6410,6745.87,151,6410.10,P. Animal Feed-a
13970225,6409.12,6409,6409,6740.98,1151,6409.12,P. Animal Feed-a
13970226,6404.22,6404,6404,6740.00,304,6404.22,P. Animal Feed-a
13970229,6403.24,6403,6403,6543.23,42537,6403.24,P. Animal Feed-a
13970231,6216.27,6216,6216,6542.25,157,6216.27,P. Animal Feed-a
13970301,6215.29,6215,6215,6541.27,158,6215.29,P. Animal Feed-a
13970312,6214.31,6214,6214,6537.36,1000,6214.31,P. Animal Feed-a
13970321,6211.37,6211,6211,6525.61,2752,6211.37,P. Animal Feed-a
13970327,6199.62,6200,6200,6514.84,2440,6199.62,P. Animal Feed-a
13970328,6189.83,6190,6190,6369.96,33429,6189.83,P. Animal Feed-a
13970329,6051.80,6052,6052,6316.12,12583,6051.80,P. Animal Feed-a
13970330,6000.90,6001,6001,6309.26,1729,6000.90,P. Animal Feed-a
13970402,5994.05,5994,5994,6307.31,568,5994.05,P. Animal Feed-a
13970403,5992.09,5992,5992,6298.50,2239,5992.09,P. Animal Feed-a
13970404,5984.26,5984,5984,6293.60,1139,5984.26,P. Animal Feed-a
13970405,5979.36,5979,5979,6290.66,651,5979.36,P. Animal Feed-a
13970406,5976.42,5976,5976,6281.85,2282,5976.42,P. Animal Feed-a
13970409,5968.59,5969,5969,6280.88,277,5968.59,P. Animal Feed-a
13970411,5967.61,5968,5968,6277.94,816,5967.61,P. Animal Feed-a
13970412,5964.68,5965,5965,6275.00,740,5964.68,P. Animal Feed-a
13970413,5961.74,5962,5962,6241.72,8172,5961.74,P. Animal Feed-a
13970416,5930.41,5930,5930,6240.74,230,5930.41,P. Animal Feed-a
13970417,5929.44,5929,5929,6238.78,500,5929.44,P. Animal Feed-a
13970419,5927.48,5927,5927,6237.80,166,5927.48,P. Animal Feed-a
13970420,5926.50,5926,5926,6232.91,1150,5926.50,P. Animal Feed-a
13970423,5921.60,5922,5922,6226.05,1750,5921.60,P. Animal Feed-a
13970425,5914.75,5915,5915,6225.08,172,5914.75,P. Animal Feed-a
13970426,5914.75,5915,5915,6224.10,194,5914.75,P. Animal Feed-a
13970427,5913.77,5914,5914,6223.12,181,5913.77,P. Animal Feed-a
13970430,5912.79,5913,5913,6215.29,2000,5912.79,P. Animal Feed-a
13970431,5904.96,5905,5905,6206.48,2320,5904.96,P. Animal Feed-a
13970503,5896.15,5896,5896,6205.50,203,5896.15,P. Animal Feed-a
13970507,5896.15,6515,5896,6027.33,193990,6416.95,P. Animal Feed-a
13970508,5764.97,5765,5727,5989.15,10192,5726.80,P. Animal Feed-a
13970509,5697.43,6288,5691,6203.54,87467,6287.73,P. Animal Feed-a
13970510,6314.16,6513,6314,6260.32,14630,6512.88,P. Animal Feed-a
13970513,5948.04,5948,5948,6249.55,2610,5948.04,P. Animal Feed-a
13970514,6561.83,6562,6562,6258.36,2250,6561.83,P. Animal Feed-a
13970515,6570.64,6571,6571,6267.17,2150,6570.64,P. Animal Feed-a
13970520,6580.43,6580,6580,6322.97,13892,6580.43,P. Animal Feed-a
13970523,6007.75,6008,6008,6192.77,32182,6007.75,P. Animal Feed-a
13970524,5883.43,6020,5883,6077.26,43300,5971.53,P. Animal Feed-a
13970527,5773.78,6069,5774,6055.72,23162,5922.58,P. Animal Feed-a
13970528,6358.21,6358,6358,6055.72,5,6358.21,P. Animal Feed-a
13970529,5753.23,5875,5753,5847.20,123653,5873.64,P. Animal Feed-a
13970604,5555.48,5776,5555,5712.11,40637,5775.74,P. Animal Feed-a
13970605,5996.98,5997,5427,5714.07,4676,5996.98,P. Animal Feed-a
13970606,5873.64,5999,5716,5752.25,22327,5991.11,P. Animal Feed-a
13970607,5754.21,6039,5753,5797.28,18697,6038.10,P. Animal Feed-a
13970610,6087.05,6087,5874,5870.70,24076,5884.40,P. Animal Feed-a
13970611,6163.40,6163,5933,5881.47,3526,5961.74,P. Animal Feed-a
13970612,5980.34,6069,5588,5887.34,10365,6069.42,P. Animal Feed-a
13970613,6069.42,6070,6060,5891.26,1675,6059.63,P. Animal Feed-a
13970614,5726.80,5874,5629,5862.87,10534,5763.02,P. Animal Feed-a
13970617,5677.85,6156,5678,6044.95,73082,6155.57,P. Animal Feed-a
13970618,6345.49,6346,6345,6211.37,46017,6346.46,P. Animal Feed-a
13970619,6265.21,6522,6265,6245.63,9681,6521.69,P. Animal Feed-a
13970620,6557.91,6558,6558,6391.50,39058,6557.91,P. Animal Feed-a
13970621,6710.63,6711,6711,6471.77,21102,6710.63,P. Animal Feed-a
13970624,6794.82,6795,6795,6497.22,6043,6794.82,P. Animal Feed-a
13970625,6821.25,6821,6821,6529.53,7500,6821.25,P. Animal Feed-a
13970626,6855.51,6856,6856,6571.62,9668,6855.51,P. Animal Feed-a
13970627,6899.56,6900,6900,6594.14,5164,6899.56,P. Animal Feed-a
13970701,6923.06,6923,6923,6620.57,6000,6923.06,P. Animal Feed-a
13970702,6951.45,6951,6951,6742.93,27445,6951.45,P. Animal Feed-a
13970703,7079.69,7080,7080,6773.28,6619,7079.69,P. Animal Feed-a
13970704,7111.02,7111,7111,6780.13,1560,7111.02,P. Animal Feed-a
13970707,7118.85,7119,7119,6833.00,11356,7118.85,P. Animal Feed-a
13970708,7174.65,7175,7175,6833.00,75,7174.65,P. Animal Feed-a
13970709,7174.65,7175,7175,6880.96,10200,7174.65,P. Animal Feed-a
13970710,7224.57,7225,7225,7088.50,43617,7224.57,P. Animal Feed-a
13970711,7442.88,7443,7443,7111.02,4500,7442.88,P. Animal Feed-a
13970714,7466.37,7466,7466,7141.36,5845,7466.37,P. Animal Feed-a
13970717,7497.70,7498,7498,7148.22,1332,7497.70,P. Animal Feed-a
13970718,7505.53,7506,7506,7160.94,2359,7505.53,P. Animal Feed-a
13970721,7518.25,7518,7518,7494.76,63768,7518.25,P. Animal Feed-a
13970722,7868.71,7869,7869,7509.44,2700,7868.71,P. Animal Feed-a
13970723,7884.38,7884,7884,7548.60,7194,7884.38,P. Animal Feed-a
13970724,7925.49,7925,7925,7554.48,1104,7925.49,P. Animal Feed-a
13970830,7931.37,7931,7931,7931.37,23536,7931.37,P. Animal Feed-a
13970903,8327.84,8328,8328,8309.24,58856,8327.84,P. Animal Feed-a
13970905,8724.31,8724,8724,8522.65,31730,8724.31,P. Animal Feed-a
13970906,8948.48,8948,8948,8943.59,60950,8948.48,P. Animal Feed-a
13970907,9389.99,9390,8908,9296.99,304433,9104.14,P. Animal Feed-a
13970910,8908.35,8908,8833,9260.77,4403,8832.97,P. Animal Feed-a
13970911,8797.73,8798,8798,9257.83,290,8797.73,P. Animal Feed-a
13970912,8795.77,8796,8796,8942.61,35965,8795.77,P. Animal Feed-a
13970913,8496.21,8496,8496,8889.75,6257,8496.21,P. Animal Feed-a
13970914,8445.31,8445,8445,8886.81,352,8445.31,P. Animal Feed-a
13970917,8443.35,8443,8443,8883.87,368,8443.35,P. Animal Feed-a
13970921,8440.42,8440,8440,8880.94,380,8440.42,P. Animal Feed-a
13970924,8437.48,8437,8437,8437.48,55977,8437.48,P. Animal Feed-a
13970925,8016.53,8017,8017,8016.53,55825,8016.53,P. Animal Feed-a
13970926,7616.15,7831,7616,7624.96,70095,7616.15,P. Animal Feed-a
13970927,7245.13,7256,7244,7248.07,59798,7244.15,P. Animal Feed-a
13970928,6886.84,6970,6887,7216.74,4959,6970.05,P. Animal Feed-a
13971001,7244.15,7244,7244,7217.72,2200,7244.15,P. Animal Feed-a
13971002,6858.45,7009,6858,7204.01,3389,6999.42,P. Animal Feed-a
13971003,6844.74,6854,6845,7195.20,1606,6852.58,P. Animal Feed-a
13971004,6871.18,6872,6871,7190.31,1118,6872.15,P. Animal Feed-a
13971005,6887.82,6998,6888,7171.71,5517,6981.80,P. Animal Feed-a
13971008,6813.42,6950,6813,7133.53,7825,6950.47,P. Animal Feed-a
13971009,7293.10,7391,7293,7139.40,1620,7390.99,P. Animal Feed-a
13971011,7342.05,7434,7293,7178.56,12099,7342.05,P. Animal Feed-a
13971012,7432.11,7432,6828,7184.44,2345,7342.05,P. Animal Feed-a
13971017,7342.05,7342,7342,7184.44,140,7342.05,P. Animal Feed-a
13971018,7244.15,7244,6911,7180.52,3055,7146.26,P. Animal Feed-a
13971019,6862.37,7145,6862,7171.71,4434,7135.49,P. Animal Feed-a
13971022,6813.42,6999,6813,7155.07,3499,6999.42,P. Animal Feed-a
13971023,6803.63,6853,6804,7154.09,295,6852.58,P. Animal Feed-a
13971024,6853.55,6854,6854,7150.17,900,6853.55,P. Animal Feed-a
13971025,6852.58,6950,6853,7041.51,26633,6901.52,P. Animal Feed-a
13971026,7145.28,7146,6922,7061.09,13638,6922.08,P. Animal Feed-a
13971029,6902.50,6999,6804,7041.51,6681,6803.63,P. Animal Feed-a
13971030,6853.55,6854,6755,7008.23,8808,6803.63,P. Animal Feed-a
13971102,6658.75,6676,6659,7008.23,100,6676.37,P. Animal Feed-a
13971103,6979.84,6980,6942,7004.31,4574,6941.66,P. Animal Feed-a
13971106,6658.75,7049,6659,6999.42,14137,7048.36,P. Animal Feed-a
13971107,7144.30,7349,7144,7338.13,223316,7348.90,P. Animal Feed-a
13971108,7704.25,7704,7704,7370.43,6157,7704.25,P. Animal Feed-a
13971109,7738.52,7739,7739,7394.91,4735,7738.52,P. Animal Feed-a
13971110,7763.97,7764,7764,7534.90,26457,7763.97,P. Animal Feed-a
13971113,7910.81,7911,7784,7672.93,24495,7910.81,P. Animal Feed-a
13971114,8055.69,8056,8056,7729.71,9705,8055.69,P. Animal Feed-a
13971115,8115.41,8115,8115,7736.56,1115,8115.41,P. Animal Feed-a
13971116,8123.24,8123,8123,7771.80,5914,8123.24,P. Animal Feed-a
13971117,8159.46,8159,8159,7780.61,1534,8159.46,P. Animal Feed-a
13971121,8169.25,8169,8169,7827.60,7563,8169.25,P. Animal Feed-a
13971123,8218.20,8218,8218,7923.54,15446,8218.20,P. Animal Feed-a
13971124,8319.03,8319,7538,8129.11,39753,8319.03,P. Animal Feed-a
13971127,8535.37,8535,8534,8477.62,51668,8535.37,P. Animal Feed-a
13971128,8901.50,8901,8901,8901.50,94413,8901.50,P. Animal Feed-a
13971129,9345.93,9346,8929,9336.14,116070,9345.93,P. Animal Feed-a
13971130,9802.12,9802,9802,9637.66,38951,9802.12,P. Animal Feed-a
13971201,10119.30,10119,10119,9881.41,30470,10119.30,P. Animal Feed-a
13971204,10374.80,10375,10375,9967.56,8654,10374.80,P. Animal Feed-a
13971205,10465.84,10466,10466,10187.82,21939,10465.84,P. Animal Feed-a
13971206,10696.87,10697,10697,10453.11,25806,10696.87,P. Animal Feed-a
13971207,10974.89,10975,10975,10730.15,26293,10974.89,P. Animal Feed-a
