<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,3591.75,3592,3464,3644.31,35287,3464.24,IRI Marine Co.-a
13970106,3464.24,3464,3464,3644.31,285,3464.24,IRI Marine Co.-a
13970107,3466.19,3466,3462,3642.37,30000,3462.29,IRI Marine Co.-a
13970108,3461.32,3465,3460,3638.47,63577,3465.21,IRI Marine Co.-a
13970114,3460.35,3465,3457,3634.58,59734,3457.43,IRI Marine Co.-a
13970115,3453.53,3454,3454,3634.58,4342,3453.53,IRI Marine Co.-a
13970118,3453.53,3454,3454,3633.61,10857,3453.53,IRI Marine Co.-a
13970119,3452.56,3453,3453,3632.63,15000,3452.56,IRI Marine Co.-a
13970120,3451.59,3452,3452,3626.79,92956,3451.59,IRI Marine Co.-a
13970121,3445.74,3446,3446,3625.82,13185,3445.74,IRI Marine Co.-a
13970122,3444.77,3445,3445,3622.90,41000,3444.77,IRI Marine Co.-a
13970126,3441.85,3442,3442,3621.93,11076,3441.85,IRI Marine Co.-a
13970127,3440.88,3441,3441,3618.03,52000,3440.88,IRI Marine Co.-a
13970128,3437.96,3438,3438,3614.14,54937,3437.96,IRI Marine Co.-a
13970129,3434.06,3434,3434,3611.22,50424,3434.06,IRI Marine Co.-a
13970201,3590.78,3592,3412,3587.86,1337078,3411.68,IRI Marine Co.-a
13970202,3408.76,3409,3409,3583.96,60000,3408.76,IRI Marine Co.-a
13970203,3404.86,3405,3405,3580.07,53342,3404.86,IRI Marine Co.-a
13970204,3401.94,3402,3402,3578.12,30290,3401.94,IRI Marine Co.-a
13970205,3400.00,3400,3400,3518.75,911300,3400.00,IRI Marine Co.-a
13970208,3343.54,3344,3344,3456.45,979173,3343.54,IRI Marine Co.-a
13970209,3293.90,3339,3284,3357.17,1723247,3306.55,IRI Marine Co.-a
13970210,3400.97,3418,3339,3361.06,1720165,3357.17,IRI Marine Co.-a
13970211,3406.81,3407,3261,3362.03,549232,3363.98,IRI Marine Co.-a
13970215,3397.08,3397,3271,3362.03,202954,3363.98,IRI Marine Co.-a
13970216,3309.47,3366,3222,3359.11,911068,3361.06,IRI Marine Co.-a
13970217,3396.10,3396,3212,3351.33,293468,3270.54,IRI Marine Co.-a
13970218,3347.43,3519,3212,3363.01,1979235,3473.97,IRI Marine Co.-a
13970219,3421.41,3455,3295,3376.64,2991014,3406.81,IRI Marine Co.-a
13970222,3494.41,3494,3293,3371.77,711730,3382.48,IRI Marine Co.-a
13970223,3397.08,3407,3203,3372.74,2681491,3385.40,IRI Marine Co.-a
13970224,3382.48,3465,3358,3372.74,361377,3372.74,IRI Marine Co.-a
13970225,3406.81,3453,3339,3373.72,1161013,3376.64,IRI Marine Co.-a
13970226,3397.08,3437,3261,3374.69,612482,3435.04,IRI Marine Co.-a
13970229,3387.34,3431,3368,3375.66,485180,3424.33,IRI Marine Co.-a
13970230,3416.54,3417,3375,3376.64,522324,3382.48,IRI Marine Co.-a
13970231,3380.53,3407,3261,3377.61,295736,3406.81,IRI Marine Co.-a
13970301,3406.81,3407,3377,3379.56,342182,3394.16,IRI Marine Co.-a
13970302,3405.84,3406,3378,3380.53,232406,3396.10,IRI Marine Co.-a
13970305,3410.70,3504,3388,3385.40,321461,3449.64,IRI Marine Co.-a
13970306,3465.21,3465,3387,3387.34,381283,3445.74,IRI Marine Co.-a
13970307,3426.28,3455,3407,3391.24,349076,3455.48,IRI Marine Co.-a
13970308,3436.01,3455,3402,3397.08,583616,3445.74,IRI Marine Co.-a
13970309,3445.74,3461,3407,3400.00,337676,3453.53,IRI Marine Co.-a
13970312,3460.35,3542,3407,3437.96,2322047,3533.35,IRI Marine Co.-a
13970313,3532.38,3542,3407,3443.80,420947,3470.08,IRI Marine Co.-a
13970319,3467.16,3536,3451,3449.64,298562,3504.15,IRI Marine Co.-a
13970320,3504.15,3533,3487,3457.43,357550,3521.67,IRI Marine Co.-a
13970321,3512.91,3514,3310,3459.37,210663,3464.24,IRI Marine Co.-a
13970322,3465.21,3504,3407,3458.40,237831,3499.28,IRI Marine Co.-a
13970323,3474.95,3514,3407,3458.40,190277,3470.08,IRI Marine Co.-a
