<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,2937.09,2937,2933,2815.21,7677,2934.09,Iran Brake L.-a
13970106,2940.08,2941,2748,2821.20,13146,2931.09,Iran Brake L.-a
13970107,2817.21,2962,2817,2860.16,59950,2962.06,Iran Brake L.-a
13970108,2904.12,2987,2882,2865.16,26489,2987.04,Iran Brake L.-a
13970114,2987.04,2987,2818,2864.16,18074,2986.04,Iran Brake L.-a
13970115,2749.27,2966,2747,2862.16,12789,2951.07,Iran Brake L.-a
13970118,2951.07,2951,2887,2874.15,69347,2941.08,Iran Brake L.-a
13970119,2827.20,2892,2731,2832.19,70758,2892.13,Iran Brake L.-a
13970120,2937.09,2940,2738,2825.20,43603,2738.28,Iran Brake L.-a
13970121,2797.23,2926,2724,2806.22,133969,2747.28,Iran Brake L.-a
13970122,2737.29,2747,2666,2721.30,113900,2666.36,Iran Brake L.-a
13970126,2742.28,2856,2585,2656.37,88877,2585.44,Iran Brake L.-a
13970127,2524.50,2737,2524,2642.38,26901,2557.46,Iran Brake L.-a
13970128,2708.31,2763,2647,2653.37,26353,2747.28,Iran Brake L.-a
13970129,2772.25,2772,2697,2655.37,5575,2697.32,Iran Brake L.-a
13970201,2646.38,2787,2646,2725.30,102359,2787.24,Iran Brake L.-a
13970202,2860.16,2861,2860,2789.23,89271,2861.16,Iran Brake L.-a
13970203,2755.27,2928,2755,2855.17,92519,2863.16,Iran Brake L.-a
13970204,2847.18,2997,2847,2973.05,202866,2997.03,Iran Brake L.-a
13970205,2997.03,3119,2997,3028.00,101480,3046.98,Iran Brake L.-a
13970208,2879.14,3116,2879,3012.01,23745,2995.03,Iran Brake L.-a
13970209,2867.16,3051,2867,3006.02,47101,2927.10,Iran Brake L.-a
13970210,2871.15,3027,2868,3000.02,25502,2918.11,Iran Brake L.-a
13970211,2997.03,3036,2937,3000.02,31466,2997.03,Iran Brake L.-a
13970215,3017.01,3027,2959,3003.02,86458,2959.07,Iran Brake L.-a
13970216,2862.16,2877,2853,2990.03,14344,2877.15,Iran Brake L.-a
13970218,2990.03,3136,2990,3073.95,208423,3107.92,Iran Brake L.-a
13970219,3132.89,3133,2957,3073.95,2772,2997.03,Iran Brake L.-a
13970222,3085.94,3086,2934,3063.96,15498,2934.09,Iran Brake L.-a
13970223,3005.02,3063,2917,2949.08,162602,3062.96,Iran Brake L.-a
13970224,3027.00,3096,3027,3065.96,199862,3067.96,Iran Brake L.-a
13970225,3101.92,3146,2913,3043.98,60399,2987.04,Iran Brake L.-a
13970226,2987.04,3056,2892,3005.02,43302,2892.13,Iran Brake L.-a
13970229,2859.16,3077,2857,2919.10,206562,2936.09,Iran Brake L.-a
13970230,2963.06,3065,2879,2910.11,184185,2977.05,Iran Brake L.-a
13970231,2854.17,2854,2765,2803.22,199826,2765.26,Iran Brake L.-a
13970301,2667.35,2881,2663,2693.33,151821,2777.25,Iran Brake L.-a
13970302,2777.25,2827,2707,2744.28,105860,2826.20,Iran Brake L.-a
13970305,2825.20,2881,2797,2768.25,33766,2837.19,Iran Brake L.-a
13970306,2737.29,2877,2737,2787.24,67804,2817.21,Iran Brake L.-a
13970307,2724.30,2925,2724,2805.22,100907,2847.18,Iran Brake L.-a
13970308,2779.24,2945,2778,2910.11,174912,2945.08,Iran Brake L.-a
13970309,2968.06,3035,2967,2955.07,76390,3029.99,Iran Brake L.-a
13970312,2997.03,2997,2995,2956.07,5970,2995.03,Iran Brake L.-a
