<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,1322.30,1322,1242,1281.50,154090,1298.98,Iranian Lizing-a
13970106,1236.53,1295,1232,1253.19,373253,1232.37,Iranian Lizing-a
13970107,1229.04,1232,1199,1207.39,455987,1215.72,Iranian Lizing-a
13970108,1199.06,1248,1182,1211.55,242741,1194.07,Iranian Lizing-a
13970114,1244.86,1245,1176,1192.40,1464394,1182.41,Iranian Lizing-a
13970115,1191.57,1222,1171,1197.40,1167120,1199.90,Iranian Lizing-a
13970118,1215.72,1232,1187,1206.56,1139230,1211.55,Iranian Lizing-a
13970119,1213.22,1232,1178,1214.05,1284811,1180.74,Iranian Lizing-a
13970120,1176.58,1183,1154,1164.92,787709,1154.10,Iranian Lizing-a
13970121,1164.92,1202,1138,1164.09,1022801,1155.76,Iranian Lizing-a
13970122,1164.09,1165,1107,1117.46,2221861,1115.79,Iranian Lizing-a
13970126,1124.12,1149,1100,1124.12,445850,1115.79,Iranian Lizing-a
13970127,1107.47,1156,1107,1134.95,274239,1155.76,Iranian Lizing-a
13970128,1149.10,1157,1105,1119.12,393870,1121.62,Iranian Lizing-a
13970129,1124.12,1141,1117,1129.95,442255,1124.12,Iranian Lizing-a
13970201,1115.79,1186,1116,1156.60,768810,1185.74,Iranian Lizing-a
13970202,1206.56,1207,1150,1182.41,478066,1150.77,Iranian Lizing-a
13970203,1165.76,1240,1157,1202.39,564138,1189.07,Iranian Lizing-a
13970204,1202.39,1216,1178,1194.07,241944,1190.74,Iranian Lizing-a
13970205,1174.08,1177,1157,1167.42,512516,1157.43,Iranian Lizing-a
13970208,1134.95,1157,1132,1146.60,1022333,1134.11,Iranian Lizing-a
13970209,1125.79,1154,1116,1123.29,652627,1132.45,Iranian Lizing-a
13970210,1109.13,1141,1108,1131.62,312864,1128.28,Iranian Lizing-a
13970211,1140.77,1141,1116,1126.62,256891,1124.12,Iranian Lizing-a
13970215,1140.77,1149,1124,1129.12,153659,1135.78,Iranian Lizing-a
13970216,1117.46,1130,1094,1118.29,232806,1107.47,Iranian Lizing-a
13970217,1103.30,1132,1099,1107.47,559659,1113.30,Iranian Lizing-a
13970218,1132.45,1160,1118,1130.78,298142,1124.95,Iranian Lizing-a
13970219,1129.95,1130,1075,1084.98,760365,1098.31,Iranian Lizing-a
13970222,1107.47,1107,1046,1066.67,1411823,1069.16,Iranian Lizing-a
13970223,1045.85,1120,1046,1111.63,660593,1119.96,Iranian Lizing-a
13970224,1161.59,1167,1157,1164.09,1149413,1166.59,Iranian Lizing-a
13970225,1173.25,1216,1112,1197.40,1608994,1179.91,Iranian Lizing-a
13970226,1144.94,1160,1138,1143.27,1103585,1139.11,Iranian Lizing-a
13970229,1137.44,1181,1112,1139.94,676759,1132.45,Iranian Lizing-a
13970230,1156.60,1157,1117,1130.78,260316,1124.12,Iranian Lizing-a
13970231,1149.10,1149,1112,1128.28,89331,1129.95,Iranian Lizing-a
13970301,1113.30,1137,1112,1115.79,522185,1111.63,Iranian Lizing-a
13970302,1134.11,1134,1107,1110.80,798906,1123.29,Iranian Lizing-a
13970305,1103.30,1136,1097,1121.62,835938,1135.78,Iranian Lizing-a
13970306,1128.28,1144,1120,1132.45,696239,1132.45,Iranian Lizing-a
13970307,1141.61,1148,1108,1123.29,1269144,1140.77,Iranian Lizing-a
13970308,1109.97,1145,1110,1126.62,2465626,1140.77,Iranian Lizing-a
13970319,1146.29,1183,1131,1180.00,334617,1182.81,Iranian Lizing-a
13970320,1217.46,1239,1203,1230.57,1654711,1239.00,Iranian Lizing-a
13970321,1231.51,1269,1228,1244.62,340024,1267.10,Iranian Lizing-a
13970322,1270.84,1271,1208,1224.95,1162059,1214.65,Iranian Lizing-a
13970323,1253.98,1264,1208,1240.87,1239408,1225.89,Iranian Lizing-a
13970327,1264.29,1303,1242,1290.51,2051948,1302.68,Iranian Lizing-a
13970328,1302.68,1346,1276,1291.44,784062,1275.52,Iranian Lizing-a
13970329,1246.49,1310,1246,1283.02,391336,1264.29,Iranian Lizing-a
13970330,1256.79,1278,1219,1234.32,1950810,1266.16,Iranian Lizing-a
13970402,1291.44,1291,1255,1273.65,530053,1286.76,Iranian Lizing-a
13970403,1310.17,1310,1264,1283.95,538902,1280.21,Iranian Lizing-a
13970404,1253.05,1281,1222,1249.30,1405356,1229.63,Iranian Lizing-a
13970405,1220.27,1227,1187,1194.98,1569189,1187.49,Iranian Lizing-a
13970406,1168.76,1211,1143,1164.08,888679,1146.29,Iranian Lizing-a
13970409,1198.73,1222,1197,1217.46,1125187,1221.21,Iranian Lizing-a
13970410,1250.24,1250,1181,1206.22,260909,1184.68,Iranian Lizing-a
13970411,1225.89,1227,1192,1203.41,184335,1200.60,Iranian Lizing-a
13970412,1211.84,1212,1171,1180.94,341309,1175.32,Iranian Lizing-a
13970413,1171.57,1207,1158,1176.25,607249,1201.54,Iranian Lizing-a
13970416,1197.79,1217,1184,1196.86,361931,1208.10,Iranian Lizing-a
13970417,1184.68,1217,1163,1168.76,1543768,1163.14,Iranian Lizing-a
13970419,1152.84,1171,1144,1150.03,387098,1155.65,Iranian Lizing-a
13970420,1143.48,1157,1116,1136.92,618580,1123.81,Iranian Lizing-a
13970423,1155.65,1170,1146,1150.03,238892,1146.29,Iranian Lizing-a
13970424,1147.22,1152,1136,1149.10,25944,1136.92,Iranian Lizing-a
13970425,1135.98,1206,1105,1137.86,874183,1160.33,Iranian Lizing-a
13970426,1143.48,1162,1123,1136.92,249194,1151.90,Iranian Lizing-a
13970427,1117.25,1152,1112,1128.49,207187,1111.63,Iranian Lizing-a
13970430,1133.17,1157,1114,1126.62,1172256,1133.17,Iranian Lizing-a
13970431,1142.54,1143,1096,1121.00,521006,1111.63,Iranian Lizing-a
13970501,1101.33,1122,1078,1090.10,584292,1077.92,Iranian Lizing-a
13970502,1068.56,1104,1051,1061.06,854702,1050.76,Iranian Lizing-a
13970503,1051.70,1112,1051,1091.97,849086,1110.70,Iranian Lizing-a
13970506,1097.59,1128,1078,1099.46,436423,1104.14,Iranian Lizing-a
13970507,1080.73,1099,1055,1072.30,705709,1083.54,Iranian Lizing-a
13970508,1086.35,1086,1020,1031.10,1897001,1034.84,Iranian Lizing-a
13970509,1075.11,1075,1025,1057.32,1985275,1062.00,Iranian Lizing-a
13970510,1030.16,1063,1025,1039.52,1048570,1032.03,Iranian Lizing-a
13970513,1023.60,1024,988,991.76,1108476,988.02,Iranian Lizing-a
13970514,952.43,1015,943,948.68,3921880,955.24,Iranian Lizing-a
13970515,962.73,963,902,906.54,2966037,902.79,Iranian Lizing-a
13970516,903.73,951,899,942.13,1407954,951.49,Iranian Lizing-a
13970517,960.86,970,910,931.83,1368277,927.14,Iranian Lizing-a
13970520,937.44,955,936,942.13,1452090,954.30,Iranian Lizing-a
13970521,955.24,989,951,988.02,5152585,988.95,Iranian Lizing-a
13970522,1011.43,1011,974,988.02,4509993,1009.56,Iranian Lizing-a
13970523,1004.87,1037,985,1025.48,3283823,1036.71,Iranian Lizing-a
13970528,1040.46,1086,1021,1052.63,4694863,1027.35,Iranian Lizing-a
13970529,1020.79,1030,1000,1013.30,2521429,1020.79,Iranian Lizing-a
13970530,1011.43,1052,1011,1033.90,548689,1039.52,Iranian Lizing-a
13970603,1057.32,1077,1040,1064.81,1882508,1062.00,Iranian Lizing-a
13970604,1079.79,1105,1029,1071.37,4765070,1099.46,Iranian Lizing-a
13970605,1113.51,1125,1073,1115.38,5117643,1094.78,Iranian Lizing-a
13970606,1122.87,1123,1068,1089.16,2154192,1068.56,Iranian Lizing-a
13970607,1067.62,1102,1066,1072.30,1620447,1076.98,Iranian Lizing-a
13970610,1113.51,1114,1067,1073.24,1879527,1085.41,Iranian Lizing-a
13970611,1071.37,1124,1070,1105.08,2710139,1102.27,Iranian Lizing-a
13970612,1114.44,1115,1080,1093.84,1122242,1095.71,Iranian Lizing-a
13970613,1091.03,1104,1077,1086.35,2082753,1095.71,Iranian Lizing-a
13970614,1094.78,1106,1092,1099.46,1408945,1101.33,Iranian Lizing-a
13970617,1112.57,1154,1113,1146.29,1465404,1153.78,Iranian Lizing-a
13970618,1203.41,1203,1203,1203.41,732878,1203.41,Iranian Lizing-a
13970619,1263.35,1263,1219,1262.41,12625064,1259.60,Iranian Lizing-a
13970620,1268.97,1311,1217,1267.10,5764364,1289.57,Iranian Lizing-a
13970621,1311.11,1320,1264,1294.25,4428804,1274.59,Iranian Lizing-a
13970624,1310.17,1359,1310,1351.38,5178496,1350.44,Iranian Lizing-a
13970625,1339.21,1394,1284,1346.70,3131731,1376.67,Iranian Lizing-a
13970626,1395.40,1413,1391,1407.57,1497625,1413.19,Iranian Lizing-a
13970627,1418.81,1478,1407,1458.14,2631123,1477.81,Iranian Lizing-a
13970631,1526.51,1530,1497,1523.70,2684252,1530.25,Iranian Lizing-a
13970701,1581.76,1582,1452,1501.22,3095245,1510.59,Iranian Lizing-a
13970702,1551.79,1553,1470,1510.59,3164702,1505.90,Iranian Lizing-a
13970703,1561.16,1576,1510,1543.37,3300635,1553.67,Iranian Lizing-a
13970704,1552.73,1555,1505,1529.32,5218279,1538.68,Iranian Lizing-a
13970707,1582.70,1605,1565,1601.43,3479562,1605.17,Iranian Lizing-a
13970708,1680.10,1681,1648,1679.16,3576580,1681.03,Iranian Lizing-a
13970709,1759.70,1760,1596,1610.79,3378264,1595.81,Iranian Lizing-a
13970710,1534.94,1535,1530,1533.06,414902,1530.25,Iranian Lizing-a
13970711,1457.21,1457,1457,1508.71,126300,1457.21,Iranian Lizing-a
13970714,1433.79,1434,1434,1433.79,607066,1433.79,Iranian Lizing-a
13970715,1362.62,1363,1363,1421.62,66224,1362.62,Iranian Lizing-a
13970716,1351.38,1351,1351,1420.68,5896,1351.38,Iranian Lizing-a
13970717,1350.44,1350,1350,1384.16,208181,1350.44,Iranian Lizing-a
13970718,1315.79,1316,1316,1320.48,370254,1315.79,Iranian Lizing-a
13970721,1254.92,1255,1255,1320.48,1000,1254.92,Iranian Lizing-a
13970723,1254.92,1305,1255,1257.73,6646124,1254.92,Iranian Lizing-a
13970724,1296.13,1317,1231,1297.06,2437905,1269.90,Iranian Lizing-a
13970725,1346.70,1347,1232,1243.68,3089213,1233.38,Iranian Lizing-a
13970728,1182.81,1273,1183,1239.94,2937572,1249.30,Iranian Lizing-a
13970729,1254.92,1261,1181,1217.46,1942003,1204.35,Iranian Lizing-a
13970730,1174.38,1199,1157,1163.14,1546492,1156.59,Iranian Lizing-a
13970801,1135.05,1135,1105,1116.32,706562,1105.08,Iranian Lizing-a
13970802,1061.06,1122,1061,1062.94,1824923,1062.94,Iranian Lizing-a
13970805,1105.08,1115,1063,1106.02,2249482,1115.38,Iranian Lizing-a
13970806,1123.81,1161,1116,1152.84,2172503,1161.27,Iranian Lizing-a
13970807,1156.59,1180,1134,1159.40,1381997,1178.13,Iranian Lizing-a
13970809,1170.63,1180,1136,1148.16,712648,1136.92,Iranian Lizing-a
13970812,1161.27,1161,1104,1113.51,653510,1106.95,Iranian Lizing-a
13970813,1168.76,1169,1111,1132.24,722494,1123.81,Iranian Lizing-a
13970814,1113.51,1159,1114,1142.54,962292,1159.40,Iranian Lizing-a
13970815,1117.25,1143,1107,1129.43,921958,1134.11,Iranian Lizing-a
13970819,1123.81,1169,1106,1131.30,597982,1137.86,Iranian Lizing-a
13970823,1161.27,1165,1136,1159.40,721426,1161.27,Iranian Lizing-a
13970826,1127.56,1161,1110,1121.00,894455,1109.76,Iranian Lizing-a
13970827,1109.76,1121,1066,1081.67,933978,1074.17,Iranian Lizing-a
13970828,1065.75,1114,1066,1091.03,441079,1095.71,Iranian Lizing-a
13970829,1072.30,1113,1069,1085.41,726836,1095.71,Iranian Lizing-a
13970905,1065.75,1066,1032,1037.65,388474,1039.52,Iranian Lizing-a
13970906,1084.48,1088,1050,1067.62,386276,1088.22,Iranian Lizing-a
13970907,1118.19,1118,1069,1091.03,453119,1076.98,Iranian Lizing-a
13970910,1117.25,1117,1049,1079.79,169430,1056.38,Iranian Lizing-a
