<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,4998.48,5198,4998,5072.45,4080,5198.41,Iran M. & P. M.-a
13970106,5148.43,5198,5000,5065.46,63347,5097.45,Iran M. & P. M.-a
13970107,5088.45,5108,5008,5054.46,119612,5098.45,Iran M. & P. M.-a
13970108,5058.46,5137,4988,5031.47,200265,5123.44,Iran M. & P. M.-a
13970114,5098.45,5148,5006,5048.46,105997,5051.46,Iran M. & P. M.-a
13970115,5088.45,5073,5011,5035.46,196526,5024.47,Iran M. & P. M.-a
13970118,5020.47,5098,4949,5005.47,233234,4998.48,Iran M. & P. M.-a
13970119,5178.42,5178,4756,4786.54,840669,4755.55,Iran M. & P. M.-a
13970120,4878.51,4948,4551,4700.57,277483,4768.55,Iran M. & P. M.-a
13970121,4703.57,4868,4466,4599.60,642010,4508.62,Iran M. & P. M.-a
13970122,4498.63,4698,4410,4506.63,842356,4558.61,Iran M. & P. M.-a
13970126,4696.57,4697,4359,4469.64,138998,4358.67,Iran M. & P. M.-a
13970127,4348.67,4499,4247,4285.69,464304,4246.70,Iran M. & P. M.-a
13970128,4396.66,4399,4250,4386.66,1673539,4398.66,Iran M. & P. M.-a
13970129,4298.69,4369,4179,4260.70,239474,4298.69,Iran M. & P. M.-a
13970201,4328.68,4474,4322,4453.64,2675114,4473.64,Iran M. & P. M.-a
13970202,4498.63,4676,4499,4653.58,319956,4675.57,Iran M. & P. M.-a
13970203,4885.51,4886,4886,4885.51,223229,4885.51,Iran M. & P. M.-a
13970204,5129.44,5129,5129,5129.44,344582,5129.44,Iran M. & P. M.-a
13970208,5385.36,5548,5148,5356.37,3010586,5148.43,Iran M. & P. M.-a
13970209,5447.34,5447,5089,5246.40,1344679,5283.39,Iran M. & P. M.-a
13970210,5248.40,5446,5248,5385.36,639996,5367.36,Iran M. & P. M.-a
13970211,5354.37,5412,5251,5349.37,454294,5268.39,Iran M. & P. M.-a
13970215,5199.41,5287,5082,5094.45,248910,5082.45,Iran M. & P. M.-a
13970216,4998.48,4998,4841,4844.52,270053,4840.52,Iran M. & P. M.-a
13970217,4618.59,5086,4619,4969.48,1036369,5086.45,Iran M. & P. M.-a
13970218,5217.41,5217,5152,5215.41,1450101,5216.41,Iran M. & P. M.-a
13970224,5558.30,5836,5558,5734.25,1722269,5657.27,Iran M. & P. M.-a
13970225,5758.24,5758,5448,5491.33,982089,5448.34,Iran M. & P. M.-a
13970226,5217.41,5228,5217,5218.41,455584,5217.41,Iran M. & P. M.-a
13970229,4957.49,5192,4957,5039.46,2014343,5085.45,Iran M. & P. M.-a
13970230,5168.42,5291,5129,5252.40,928836,5291.39,Iran M. & P. M.-a
13970231,5328.37,5514,5328,5475.33,2170453,5508.32,Iran M. & P. M.-a
13970301,5398.35,5487,5202,5239.40,822911,5250.40,Iran M. & P. M.-a
13970302,5199.41,5348,5008,5237.40,689603,5197.41,Iran M. & P. M.-a
13970305,5285.39,5285,4976,5009.47,1965906,5036.46,Iran M. & P. M.-a
13970306,4998.48,5079,4809,4974.48,1083702,4961.49,Iran M. & P. M.-a
13970307,4818.53,4987,4757,4829.53,2174108,4797.54,Iran M. & P. M.-a
13970322,5068.45,5218,5068,5136.43,893634,5100.44,Iran M. & P. M.-a
13970323,5048.46,5309,4918,5105.44,2532506,4993.48,Iran M. & P. M.-a
13970327,5108.44,5232,4899,5018.47,4843001,5067.45,Iran M. & P. M.-a
13970328,5108.44,5198,4911,5047.46,2448978,4943.49,Iran M. & P. M.-a
13970329,4929.50,4998,4818,4894.51,3467613,4839.52,Iran M. & P. M.-a
13970330,4978.48,4978,4799,4854.52,3309054,4896.51,Iran M. & P. M.-a
13970402,4973.48,4973,4859,4896.51,1942333,4928.50,Iran M. & P. M.-a
13970403,4889.51,4961,4796,4854.52,4422857,4898.51,Iran M. & P. M.-a
13970404,4988.48,5096,4978,5066.45,3331945,5096.45,Iran M. & P. M.-a
13970405,5177.42,5308,4849,5079.45,3897079,4998.48,Iran M. & P. M.-a
13970406,4998.48,5058,4826,4878.51,1452630,4851.52,Iran M. & P. M.-a
13970409,4968.48,4968,4799,4839.52,994549,4798.54,Iran M. & P. M.-a
13970410,4798.54,4799,4598,4658.58,1554982,4619.59,Iran M. & P. M.-a
13970411,4748.55,4849,4500,4556.61,2665051,4563.61,Iran M. & P. M.-a
13970412,4568.61,4669,4569,4604.60,1381763,4598.60,Iran M. & P. M.-a
13970413,4598.60,4648,4504,4553.61,1114965,4538.62,Iran M. & P. M.-a
13970416,4648.58,4781,4599,4729.56,2089971,4780.54,Iran M. & P. M.-a
13970417,4848.52,4957,4770,4851.52,1583887,4876.51,Iran M. & P. M.-a
13970419,4867.52,4868,4656,4701.57,819411,4688.57,Iran M. & P. M.-a
13970420,4698.57,4799,4515,4567.61,1486824,4598.60,Iran M. & P. M.-a
13970423,4695.57,4696,4502,4575.60,864621,4528.62,Iran M. & P. M.-a
13970424,4519.62,4697,4520,4609.59,506058,4558.61,Iran M. & P. M.-a
13970425,4521.62,4619,4380,4453.64,904339,4418.65,Iran M. & P. M.-a
13970426,4448.64,4459,4279,4336.68,1216773,4338.68,Iran M. & P. M.-a
13970427,4339.68,4394,4179,4244.71,1656301,4218.71,Iran M. & P. M.-a
13970430,4357.67,4457,4299,4375.67,810120,4441.65,Iran M. & P. M.-a
13970431,4498.63,4529,4349,4419.65,718766,4358.67,Iran M. & P. M.-a
13970501,4492.63,4493,4199,4225.71,1284364,4198.72,Iran M. & P. M.-a
13970502,4197.72,4299,4040,4141.74,872053,4118.74,Iran M. & P. M.-a
13970503,4253.70,4254,4070,4125.74,645868,4089.75,Iran M. & P. M.-a
13970506,4278.70,4332,4199,4302.69,2973859,4322.68,Iran M. & P. M.-a
13970507,4308.69,4389,4153,4283.69,1634102,4373.67,Iran M. & P. M.-a
13970508,4384.66,4398,4201,4329.68,2584663,4292.69,Iran M. & P. M.-a
13970509,4298.69,4546,4299,4500.63,2929384,4545.61,Iran M. & P. M.-a
13970510,4725.56,4726,4339,4578.60,3560601,4398.66,Iran M. & P. M.-a
13970513,4518.62,4519,4350,4367.67,809544,4349.67,Iran M. & P. M.-a
13970514,4329.68,4499,4150,4264.70,4476934,4158.73,Iran M. & P. M.-a
13970515,4368.67,4369,4054,4158.73,5544199,4128.74,Iran M. & P. M.-a
13970516,4178.73,4367,3951,4186.72,8458886,4366.67,Iran M. & P. M.-a
13970517,4395.66,4396,4396,4395.66,893300,4395.66,Iran M. & P. M.-a
13970520,4614.59,4615,4410,4538.62,3946483,4562.61,Iran M. & P. M.-a
13970521,4576.60,4577,4312,4371.67,1937693,4357.67,Iran M. & P. M.-a
13970522,4298.69,4546,4240,4440.65,1822084,4429.65,Iran M. & P. M.-a
13970523,4496.63,4497,4302,4365.67,1159103,4306.69,Iran M. & P. M.-a
13970524,4308.69,4418,4179,4233.71,3458957,4188.72,Iran M. & P. M.-a
