<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,1243.82,1259,1244,1237.34,525868,1258.63,Ind. & M. L.-a
13970106,1258.63,1259,1231,1249.37,6255446,1249.37,Ind. & M. L.-a
13970107,1249.37,1249,1187,1245.67,2823803,1189.22,Ind. & M. L.-a
13970108,1203.10,1231,1203,1238.27,177567,1230.86,Ind. & M. L.-a
13970114,1240.12,1240,1203,1238.27,12504,1204.03,Ind. & M. L.-a
13970115,1235.49,1243,1235,1238.27,2652359,1238.27,Ind. & M. L.-a
13970118,1238.27,1239,1237,1238.27,267076,1237.34,Ind. & M. L.-a
13970119,1246.60,1247,1203,1238.27,141983,1238.27,Ind. & M. L.-a
13970120,1239.19,1239,1203,1236.42,370352,1238.27,Ind. & M. L.-a
13970121,1230.86,1231,1200,1236.42,1763,1200.32,Ind. & M. L.-a
13970122,1229.94,1230,1175,1175.34,816149,1175.34,Ind. & M. L.-a
13970126,1175.34,1175,1175,1175.34,17400,1175.34,Ind. & M. L.-a
13970127,1175.34,1222,1175,1175.34,4098,1221.61,Ind. & M. L.-a
13970128,1221.61,1222,1175,1179.96,136949,1203.10,Ind. & M. L.-a
13970129,1203.10,1216,1203,1182.74,101050,1203.10,Ind. & M. L.-a
13970201,1160.53,1200,1161,1182.74,4136,1200.32,Ind. & M. L.-a
13970202,1161.45,1161,1155,1181.81,39469,1154.98,Ind. & M. L.-a
13970203,1125.36,1179,1125,1173.48,154910,1129.99,Ind. & M. L.-a
13970204,1119.81,1178,1115,1172.56,16474,1178.11,Ind. & M. L.-a
13970205,1171.63,1124,1115,1167.01,75488,1117.96,Ind. & M. L.-a
13970208,1116.11,1116,1116,1167.01,805,1116.11,Ind. & M. L.-a
13970209,1108.70,1121,1109,1165.16,29400,1110.55,Ind. & M. L.-a
13970210,1110.55,1111,1108,1154.98,148518,1107.78,Ind. & M. L.-a
13970211,1097.60,1099,1098,1097.60,1159278,1099.45,Ind. & M. L.-a
13970215,1045.77,1064,1046,1097.60,5510,1051.32,Ind. & M. L.-a
13970216,1064.28,1083,1064,1092.97,109885,1082.79,Ind. & M. L.-a
13970217,1064.28,1092,1064,1092.97,51171,1073.54,Ind. & M. L.-a
13970218,1073.54,1074,1064,1091.12,43000,1064.28,Ind. & M. L.-a
13970219,1087.42,1111,1087,1091.12,119085,1091.12,Ind. & M. L.-a
13970222,1097.60,1145,1098,1092.97,40000,1144.80,Ind. & M. L.-a
13970223,1088.34,1094,1088,1092.97,93446,1092.97,Ind. & M. L.-a
13970224,1110.55,1118,1111,1099.45,267418,1110.55,Ind. & M. L.-a
13970225,1117.96,1124,1097,1100.37,52061,1100.37,Ind. & M. L.-a
13970226,1100.37,1115,1100,1101.30,139351,1115.18,Ind. & M. L.-a
13970230,1092.97,1101,1092,1101.30,32210,1101.30,Ind. & M. L.-a
13970231,1101.30,1120,1101,1101.30,44138,1119.81,Ind. & M. L.-a
13970301,1112.40,1156,1111,1121.66,414709,1155.90,Ind. & M. L.-a
13970306,1119.81,1120,1120,1121.66,35268,1119.81,Ind. & M. L.-a
13970307,1119.81,1120,1093,1121.66,16701,1092.97,Ind. & M. L.-a
13970308,1092.97,1137,1093,1121.66,2550,1137.39,Ind. & M. L.-a
13970309,1077.24,1099,1077,1121.66,9000,1097.60,Ind. & M. L.-a
13970312,1082.79,1083,1079,1121.66,6779,1079.09,Ind. & M. L.-a
13970313,1079.09,1089,1066,1103.15,343529,1066.13,Ind. & M. L.-a
13970319,1049.47,1083,1049,1103.15,11010,1082.79,Ind. & M. L.-a
13970320,1066.13,1115,1066,1102.22,39126,1113.33,Ind. & M. L.-a
13970321,1064.28,1075,1064,1099.45,63100,1064.28,Ind. & M. L.-a
