<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,896.00,920,886,911.00,29092,920.00,Leasing Iran-a
13970106,930.00,930,915,911.00,2747,915.00,Leasing Iran-a
13970107,910.00,932,901,911.00,6897,905.00,Leasing Iran-a
13970108,901.00,901,874,896.00,422888,900.00,Leasing Iran-a
13970114,890.00,895,888,896.00,43221,891.00,Leasing Iran-a
13970115,888.00,895,852,865.00,1751994,889.00,Leasing Iran-a
13970118,870.00,893,852,864.00,153808,852.00,Leasing Iran-a
13970119,845.00,858,821,827.00,749239,821.00,Leasing Iran-a
13970120,793.00,830,789,815.00,210343,789.00,Leasing Iran-a
13970121,807.00,808,775,782.00,686333,803.00,Leasing Iran-a
13970122,776.00,776,745,772.00,277340,754.00,Leasing Iran-a
13970126,753.00,809,753,774.00,105873,761.00,Leasing Iran-a
13970127,753.00,800,750,772.00,112575,800.00,Leasing Iran-a
13970128,770.00,770,752,771.00,32260,759.00,Leasing Iran-a
13970129,755.00,809,755,785.00,326377,809.00,Leasing Iran-a
13970201,800.00,800,770,781.00,246940,797.00,Leasing Iran-a
13970202,775.00,820,771,812.00,1082542,802.00,Leasing Iran-a
13970203,786.00,850,784,824.00,723950,830.00,Leasing Iran-a
13970204,830.00,850,829,844.00,685147,850.00,Leasing Iran-a
13970205,852.00,885,846,851.00,194362,850.00,Leasing Iran-a
13970208,848.00,858,811,841.00,407762,811.00,Leasing Iran-a
13970209,800.00,850,800,838.00,65871,842.00,Leasing Iran-a
13970210,820.00,848,820,836.00,63005,820.00,Leasing Iran-a
13970211,847.00,847,816,830.00,205685,816.00,Leasing Iran-a
13970215,820.00,820,820,828.00,107771,820.00,Leasing Iran-a
13970216,820.00,840,817,823.00,327717,820.00,Leasing Iran-a
13970217,820.00,821,782,808.00,532723,809.00,Leasing Iran-a
13970218,800.00,815,786,808.00,320690,815.00,Leasing Iran-a
13970219,770.00,847,769,808.00,215479,800.00,Leasing Iran-a
13970222,827.00,827,790,808.00,99608,810.00,Leasing Iran-a
13970223,811.00,836,806,809.00,186366,833.00,Leasing Iran-a
13970224,828.00,848,828,839.00,587435,835.00,Leasing Iran-a
13970225,856.00,870,805,834.00,138300,809.00,Leasing Iran-a
13970226,803.00,829,800,831.00,96631,822.00,Leasing Iran-a
13970229,820.00,822,790,798.00,775283,792.00,Leasing Iran-a
13970230,815.00,817,801,800.00,61217,817.00,Leasing Iran-a
13970231,811.00,811,775,799.00,114949,790.00,Leasing Iran-a
13970301,782.00,810,772,796.00,99066,772.00,Leasing Iran-a
13970302,796.00,815,796,800.00,156268,810.00,Leasing Iran-a
13970305,829.00,829,800,801.00,110087,800.00,Leasing Iran-a
13970306,824.00,826,802,802.00,58595,802.00,Leasing Iran-a
13970307,802.00,810,790,801.00,310846,790.00,Leasing Iran-a
13970308,790.00,790,765,773.00,640556,767.00,Leasing Iran-a
13970309,770.00,775,767,773.00,157449,770.00,Leasing Iran-a
13970312,771.00,787,766,772.00,219602,767.00,Leasing Iran-a
13970313,768.00,810,765,805.00,1321442,810.00,Leasing Iran-a
13970319,839.00,843,801,813.00,339159,805.00,Leasing Iran-a
13970320,825.00,853,813,837.00,2275669,853.00,Leasing Iran-a
13970321,856.00,878,850,877.00,4244459,878.00,Leasing Iran-a
13970328,893.00,915,834,870.00,2003014,834.00,Leasing Iran-a
13970329,830.00,897,830,854.00,1146274,847.00,Leasing Iran-a
13970330,835.00,869,827,835.00,1603955,828.00,Leasing Iran-a
13970402,849.00,866,835,841.00,238798,850.00,Leasing Iran-a
13970403,875.00,875,840,846.00,1026298,850.00,Leasing Iran-a
13970404,874.00,874,828,840.00,2066928,849.00,Leasing Iran-a
13970405,839.00,839,800,818.00,400136,825.00,Leasing Iran-a
13970406,805.00,840,780,815.00,222657,810.00,Leasing Iran-a
13970409,805.00,849,782,824.00,482958,828.00,Leasing Iran-a
13970410,849.00,849,810,820.00,211949,813.00,Leasing Iran-a
13970411,808.00,845,806,819.00,159304,829.00,Leasing Iran-a
13970412,831.00,839,802,823.00,326568,802.00,Leasing Iran-a
13970413,802.00,846,802,821.00,344974,838.00,Leasing Iran-a
13970416,807.00,839,807,821.00,94189,826.00,Leasing Iran-a
13970417,820.00,839,815,824.00,424167,820.00,Leasing Iran-a
13970419,820.00,841,815,823.00,312504,841.00,Leasing Iran-a
