<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,2042.20,2129,2042,2092.54,121232,2049.15,Magsal Agri.-a
13970106,2049.15,2113,1988,2044.81,187330,2099.49,Magsal Agri.-a
13970107,2043.94,2044,2022,2043.94,42807,2023.11,Magsal Agri.-a
13970108,2027.45,2081,2027,2053.49,142370,2036.13,Magsal Agri.-a
13970114,1991.00,2081,1991,2050.01,42560,2079.52,Magsal Agri.-a
13970115,1997.94,2079,1998,2037.86,92472,2011.83,Magsal Agri.-a
13970118,1981.45,2005,1944,1997.94,122560,1994.47,Magsal Agri.-a
13970119,1936.32,1937,1909,1966.69,83082,1909.41,Magsal Agri.-a
13970120,1900.73,1909,1869,1877.30,229754,1868.62,Magsal Agri.-a
13970121,1866.02,1909,1866,1879.90,16446,1900.73,Magsal Agri.-a
13970122,1909.41,1948,1883,1894.66,118395,1883.37,Magsal Agri.-a
13970126,1833.04,1909,1833,1895.53,59845,1875.56,Magsal Agri.-a
13970127,1839.98,1927,1840,1896.39,21318,1900.73,Magsal Agri.-a
13970128,1839.98,1876,1836,1882.51,69888,1874.70,Magsal Agri.-a
13970129,1842.58,1909,1843,1884.24,31448,1900.73,Magsal Agri.-a
13970201,1883.37,1909,1866,1885.11,63175,1908.54,Magsal Agri.-a
13970202,1926.77,1927,1892,1885.98,25747,1892.05,Magsal Agri.-a
13970203,1894.66,1927,1892,1891.19,48210,1926.77,Magsal Agri.-a
13970204,1926.77,1928,1797,1837.38,250764,1811.34,Magsal Agri.-a
13970205,1836.51,1875,1788,1808.73,217415,1792.24,Magsal Agri.-a
13970208,1809.60,1899,1810,1879.04,337266,1899.00,Magsal Agri.-a
13970209,1926.77,1927,1900,1885.11,44287,1901.60,Magsal Agri.-a
13970210,1822.62,1852,1791,1833.04,146359,1852.13,Magsal Agri.-a
13970211,1861.68,1924,1814,1873.83,179776,1924.17,Magsal Agri.-a
13970215,1928.51,1929,1799,1866.88,85323,1799.19,Magsal Agri.-a
13970216,1799.19,1853,1799,1859.07,37697,1805.26,Magsal Agri.-a
13970217,1853.00,1853,1791,1854.73,27942,1826.96,Magsal Agri.-a
13970218,1810.47,1883,1810,1852.13,44075,1832.17,Magsal Agri.-a
13970219,1791.38,1814,1788,1829.56,100076,1789.64,Magsal Agri.-a
13970222,1851.26,1870,1814,1830.43,12950,1813.94,Magsal Agri.-a
13970223,1800.05,1879,1800,1859.07,200249,1879.04,Magsal Agri.-a
13970224,1800.05,1918,1800,1875.56,88620,1909.41,Magsal Agri.-a
13970225,1901.60,1902,1880,1876.43,18913,1879.90,Magsal Agri.-a
13970226,1879.90,1909,1871,1876.43,8499,1871.22,Magsal Agri.-a
13970229,1892.05,1909,1875,1879.90,40693,1879.90,Magsal Agri.-a
13970230,1896.39,1970,1879,1896.39,87242,1957.15,Magsal Agri.-a
13970231,1886.85,1923,1803,1878.17,109500,1876.43,Magsal Agri.-a
13970301,1866.02,1870,1840,1875.56,19661,1845.19,Magsal Agri.-a
13970302,1874.70,1889,1827,1870.36,42961,1848.66,Magsal Agri.-a
13970305,1841.71,1849,1817,1828.70,252244,1822.62,Magsal Agri.-a
13970306,1866.88,1920,1867,1911.15,235855,1919.83,Magsal Agri.-a
13970307,1909.41,1909,1862,1892.92,154488,1872.09,Magsal Agri.-a
13970308,1874.70,1883,1857,1891.19,22207,1883.37,Magsal Agri.-a
13970309,1857.34,1930,1857,1892.05,84637,1884.24,Magsal Agri.-a
13970312,1857.34,1901,1841,1876.43,93475,1892.05,Magsal Agri.-a
13970313,1861.68,1892,1840,1868.62,65937,1892.05,Magsal Agri.-a
