<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13980422,25856.20,25856,25856,25856.20,311419200,25856.20,NORI Petrochemical-a
13980423,27148.60,27149,27149,27148.60,434364,27148.60,NORI Petrochemical-a
13980424,28505.53,28506,28506,28505.53,954438,28505.53,NORI Petrochemical-a
13980425,29930.31,29930,27081,29926.18,84339091,29930.31,NORI Petrochemical-a
13980426,30046.98,31422,28430,30680.76,29523727,31069.64,NORI Petrochemical-a
13980429,31358.40,31441,30615,31159.00,37314859,31321.17,NORI Petrochemical-a
13980505,33640.00,34497,32720,33575.00,29768929,33690.00,NORI Petrochemical-a
13980506,33649.00,33650,32202,32797.00,20427597,32900.00,NORI Petrochemical-a
13980507,32270.00,33000,32001,32406.00,12099255,32801.00,NORI Petrochemical-a
13980508,32520.00,33499,32520,33115.00,8015598,33311.00,NORI Petrochemical-a
13980509,33310.00,34770,33310,34508.00,12556920,34770.00,NORI Petrochemical-a
13980512,35000.00,35989,34770,35329.00,10527198,35212.00,NORI Petrochemical-a
13980513,35333.00,35340,34200,34754.00,12079759,34590.00,NORI Petrochemical-a
13980514,34500.00,34500,33756,33950.00,9576325,34170.00,NORI Petrochemical-a
13980515,33685.00,34399,33326,33616.00,7846883,33900.00,NORI Petrochemical-a
13980516,33503.00,33850,33314,33422.00,5871238,33371.00,NORI Petrochemical-a
13980519,33297.00,33297,32850,32925.00,7407129,33120.00,NORI Petrochemical-a
13980520,32900.00,33999,32790,33367.00,4764456,33600.00,NORI Petrochemical-a
13980522,33370.00,33399,33000,33098.00,5495102,33119.00,NORI Petrochemical-a
13980523,33056.00,33702,33055,33313.00,5834904,33430.00,NORI Petrochemical-a
13980526,33302.00,33312,32875,32985.00,5508897,32961.00,NORI Petrochemical-a
13980527,32862.00,32896,32500,32717.00,5722335,32670.00,NORI Petrochemical-a
13980528,32530.00,32670,32461,32522.00,4770491,32613.00,NORI Petrochemical-a
13980530,32540.00,33400,32539,32901.00,4481194,33040.00,NORI Petrochemical-a
13980602,33003.00,34000,32825,33039.00,7511714,34000.00,NORI Petrochemical-a
13980603,33499.00,33599,32885,33144.00,4460916,33200.00,NORI Petrochemical-a
13980605,33180.00,34222,33002,33563.00,5489901,33010.00,NORI Petrochemical-a
13980606,32900.00,33500,32636,32951.00,4825932,32974.00,NORI Petrochemical-a
13980609,33005.00,33499,32850,33021.00,5746848,32939.00,NORI Petrochemical-a
