<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,3301.00,3447,3301,3438.00,171176,3447.00,Pars Refract.-a
13970106,3498.00,3549,3341,3452.00,96802,3450.00,Pars Refract.-a
13970107,3537.00,3537,3402,3454.00,4398,3470.00,Pars Refract.-a
13970108,3351.00,3351,3341,3424.00,42590,3350.00,Pars Refract.-a
13970114,3340.00,3350,3270,3340.00,100330,3298.00,Pars Refract.-a
13970115,3268.00,3325,3220,3321.00,58805,3320.00,Pars Refract.-a
13970118,3200.00,3310,3170,3215.00,128275,3265.00,Pars Refract.-a
13970119,3183.00,3190,3083,3137.00,119396,3100.00,Pars Refract.-a
13970120,3090.00,3090,2981,3011.00,307021,2981.00,Pars Refract.-a
13970121,3077.00,3129,2862,3005.00,77871,3042.00,Pars Refract.-a
13970122,3051.00,3150,2855,2887.00,234481,2855.00,Pars Refract.-a
13970126,2745.00,2756,2743,2744.00,628951,2743.00,Pars Refract.-a
13970127,2627.00,2794,2627,2702.00,173750,2750.00,Pars Refract.-a
13970204,2701.00,2837,2701,2728.00,39724,2837.00,Pars Refract.-a
13970205,2864.00,2864,2755,2765.00,92053,2844.00,Pars Refract.-a
13970208,2740.00,2890,2633,2715.00,173545,2633.00,Pars Refract.-a
13970209,2628.00,2700,2628,2683.00,74917,2634.00,Pars Refract.-a
13970218,2770.00,2770,2711,2692.00,23442,2713.00,Pars Refract.-a
13970219,2632.00,2632,2558,2560.00,220628,2558.00,Pars Refract.-a
13970222,2639.00,2650,2460,2534.00,357370,2620.00,Pars Refract.-a
13970223,2638.00,2660,2600,2634.00,160419,2660.00,Pars Refract.-a
13970224,2680.00,2765,2680,2683.00,92218,2765.00,Pars Refract.-a
13970225,2779.00,2804,2640,2694.00,113551,2640.00,Pars Refract.-a
13970226,2734.00,2751,2651,2695.00,54175,2665.00,Pars Refract.-a
13970229,2759.00,2829,2759,2783.00,139736,2829.00,Pars Refract.-a
13970230,2920.00,2922,2900,2878.00,129605,2922.00,Pars Refract.-a
13970231,3019.00,3019,2883,2967.00,160095,2911.00,Pars Refract.-a
13970423,3551.00,3551,3374,3492.00,312696,3374.00,Pars Refract.-a
13970424,3318.00,3318,3318,3418.00,60650,3318.00,Pars Refract.-a
13970425,3248.00,3248,3248,3248.00,333025,3248.00,Pars Refract.-a
13970426,3086.00,3086,3086,3162.00,75989,3086.00,Pars Refract.-a
13970502,3086.00,3100,2932,2994.00,299365,2932.00,Pars Refract.-a
13970503,2851.00,2900,2845,2849.00,478306,2845.00,Pars Refract.-a
