<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,2468.91,2469,2335,2366.12,1503689,2347.37,Shazand Petr.-a
13970106,2341.12,2361,2320,2357.79,1037134,2327.23,Shazand Petr.-a
13970107,2357.79,2358,2292,2336.26,1467789,2291.81,Shazand Petr.-a
13970108,2319.59,2320,2268,2326.54,735088,2319.59,Shazand Petr.-a
13970114,2291.81,2318,2276,2318.20,672285,2275.84,Shazand Petr.-a
13970115,2291.81,2320,2277,2310.56,910414,2298.06,Shazand Petr.-a
13970118,2293.20,2293,2223,2283.48,1369029,2236.25,Shazand Petr.-a
13970119,2230.00,2252,2195,2211.95,3786267,2236.25,Shazand Petr.-a
13970120,2245.98,2322,2245,2319.59,10368166,2322.37,Shazand Petr.-a
13970121,2205.69,2306,2204,2229.31,6779686,2203.61,Shazand Petr.-a
13970122,2225.83,2226,2118,2137.63,8156453,2118.19,Shazand Petr.-a
13970126,2118.19,2119,2033,2107.08,1525674,2041.80,Shazand Petr.-a
13970127,2114.72,2152,2049,2096.66,1907938,2059.16,Shazand Petr.-a
13970128,2090.41,2118,2070,2095.97,983619,2102.91,Shazand Petr.-a
13970129,2104.30,2108,2077,2094.58,745682,2089.72,Shazand Petr.-a
13970201,2096.66,2097,2044,2079.99,1484091,2048.74,Shazand Petr.-a
13970202,2041.80,2042,1977,2027.91,1955173,1992.49,Shazand Petr.-a
13970203,1993.88,2000,1979,2018.18,912069,1996.65,Shazand Petr.-a
13970204,1986.24,2062,1974,2007.77,2112207,1977.21,Shazand Petr.-a
13970205,2020.96,2021,1972,2000.82,1748092,1972.35,Shazand Petr.-a
13970208,1969.57,2077,1970,2007.07,1517763,2066.10,Shazand Petr.-a
13970209,2048.05,2062,2000,2017.49,1377947,2026.52,Shazand Petr.-a
13970210,2037.63,2047,1988,2014.71,589163,2006.38,Shazand Petr.-a
13970211,2011.93,2045,2000,2015.40,549789,2011.24,Shazand Petr.-a
13970215,2000.82,2048,1952,2014.02,446684,2000.13,Shazand Petr.-a
13970216,2012.63,2013,1972,2009.85,1171208,2007.07,Shazand Petr.-a
