<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,822.00,822,802,806.00,10923209,805.00,Pars Khodro-a
13970106,816.00,816,804,807.00,7533897,808.00,Pars Khodro-a
13970107,805.00,807,785,796.00,16589181,799.00,Pars Khodro-a
13970108,803.00,823,795,811.00,12983625,822.00,Pars Khodro-a
13970114,825.00,828,812,815.00,4987727,813.00,Pars Khodro-a
13970115,815.00,820,799,802.00,11556162,800.00,Pars Khodro-a
13970118,801.00,809,785,790.00,15018963,788.00,Pars Khodro-a
13970119,788.00,788,764,770.00,19971300,769.00,Pars Khodro-a
13970120,780.00,780,732,742.00,48526054,732.00,Pars Khodro-a
13970121,776.00,779,745,777.00,31822590,779.00,Pars Khodro-a
13970122,783.00,783,739,743.00,27214712,750.00,Pars Khodro-a
13970126,742.00,769,742,751.00,15293584,759.00,Pars Khodro-a
13970127,750.00,787,750,779.00,21850091,770.00,Pars Khodro-a
13970128,767.00,779,755,764.00,6705777,759.00,Pars Khodro-a
13970129,757.00,770,751,759.00,6912461,760.00,Pars Khodro-a
13970201,765.00,765,753,758.00,6346758,758.00,Pars Khodro-a
13970202,750.00,755,737,743.00,10559406,743.00,Pars Khodro-a
13970203,752.00,764,740,751.00,11808288,742.00,Pars Khodro-a
13970204,750.00,769,750,760.00,10563966,755.00,Pars Khodro-a
13970205,765.00,765,743,749.00,7005882,749.00,Pars Khodro-a
13970208,742.00,742,712,721.00,20215673,717.00,Pars Khodro-a
13970209,717.00,737,707,715.00,17399585,713.00,Pars Khodro-a
13970210,709.00,725,709,715.00,6380080,715.00,Pars Khodro-a
13970211,713.00,733,712,722.00,13325741,729.00,Pars Khodro-a
13970215,719.00,726,705,713.00,13079176,705.00,Pars Khodro-a
13970216,707.00,707,689,697.00,16349002,700.00,Pars Khodro-a
13970217,691.00,731,691,714.00,15391715,731.00,Pars Khodro-a
13970218,729.00,749,725,744.00,26036690,744.00,Pars Khodro-a
13970219,748.00,750,707,724.00,74548955,707.00,Pars Khodro-a
13970222,723.00,733,708,722.00,15105673,720.00,Pars Khodro-a
13970223,722.00,758,721,750.00,40101116,758.00,Pars Khodro-a
13970224,768.00,787,761,785.00,34062555,787.00,Pars Khodro-a
13970225,800.00,824,786,808.00,56481961,786.00,Pars Khodro-a
13970226,789.00,810,771,783.00,28498771,772.00,Pars Khodro-a
13970229,790.00,808,770,792.00,23612899,780.00,Pars Khodro-a
13970230,788.00,802,775,786.00,13994760,777.00,Pars Khodro-a
13970231,747.00,785,747,750.00,36142341,747.00,Pars Khodro-a
13970301,735.00,749,719,731.00,15931188,727.00,Pars Khodro-a
13970302,725.00,755,721,742.00,16035995,749.00,Pars Khodro-a
13970305,760.00,760,732,742.00,14724588,740.00,Pars Khodro-a
13970306,742.00,755,730,741.00,12167178,740.00,Pars Khodro-a
13970307,738.00,750,718,724.00,19343280,724.00,Pars Khodro-a
13970308,730.00,734,715,720.00,16033690,716.00,Pars Khodro-a
13970309,717.00,734,715,721.00,17775183,720.00,Pars Khodro-a
13970312,716.00,728,707,713.00,12214308,710.00,Pars Khodro-a
13970313,707.00,724,707,713.00,21168828,715.00,Pars Khodro-a
13970319,696.00,703,678,680.00,43741806,678.00,Pars Khodro-a
13970320,671.00,688,670,676.00,13117982,677.00,Pars Khodro-a
13970321,672.00,694,672,681.00,13508909,678.00,Pars Khodro-a
13970322,682.00,708,680,695.00,15640570,698.00,Pars Khodro-a
13970323,705.00,729,702,728.00,33734598,729.00,Pars Khodro-a
13970327,763.00,764,755,764.00,60985692,763.00,Pars Khodro-a
13970328,799.00,799,735,767.00,46900615,739.00,Pars Khodro-a
13970329,735.00,765,729,742.00,34325047,730.00,Pars Khodro-a
13970330,732.00,775,730,757.00,49863503,772.00,Pars Khodro-a
13970402,794.00,794,794,794.00,20717645,794.00,Pars Khodro-a
13970403,831.00,833,771,814.00,96609458,817.00,Pars Khodro-a
13970404,810.00,819,774,788.00,67556692,777.00,Pars Khodro-a
13970405,780.00,792,749,759.00,40604358,749.00,Pars Khodro-a
13970406,747.00,775,729,746.00,25654563,731.00,Pars Khodro-a
13970409,745.00,770,737,751.00,20215900,745.00,Pars Khodro-a
13970410,736.00,748,721,728.00,21491403,726.00,Pars Khodro-a
13970411,726.00,739,719,727.00,13000413,723.00,Pars Khodro-a
13970412,730.00,730,710,716.00,23655842,721.00,Pars Khodro-a
13970413,714.00,751,710,742.00,61337751,751.00,Pars Khodro-a
13970416,739.00,770,732,744.00,26356850,733.00,Pars Khodro-a
13970417,730.00,730,711,715.00,27641022,713.00,Pars Khodro-a
13970419,710.00,710,682,692.00,26933578,694.00,Pars Khodro-a
13970420,692.00,709,680,690.00,35205174,692.00,Pars Khodro-a
13970423,703.00,723,688,706.00,31935432,706.00,Pars Khodro-a
13970424,718.00,721,695,705.00,36109476,701.00,Pars Khodro-a
13970501,713.00,713,681,689.00,7026874,693.00,Pars Khodro-a
13970502,686.00,708,675,691.00,29798093,687.00,Pars Khodro-a
13970503,695.00,698,666,674.00,26497579,680.00,Pars Khodro-a
13970506,670.00,685,651,658.00,38513330,651.00,Pars Khodro-a
13970507,649.00,687,648,671.00,45796474,666.00,Pars Khodro-a
13970508,673.00,679,638,642.00,66012717,642.00,Pars Khodro-a
13970509,656.00,674,650,671.00,17107199,674.00,Pars Khodro-a
13970510,704.00,704,661,687.00,73630407,679.00,Pars Khodro-a
13970513,672.00,672,654,659.00,22577283,658.00,Pars Khodro-a
13970514,665.00,683,654,664.00,31996382,669.00,Pars Khodro-a
13970515,670.00,682,631,652.00,52597388,640.00,Pars Khodro-a
13970516,650.00,684,638,673.00,75025342,684.00,Pars Khodro-a
13970517,695.00,695,664,678.00,36391633,675.00,Pars Khodro-a
13970520,675.00,699,650,675.00,31701159,676.00,Pars Khodro-a
13970521,675.00,708,658,694.00,78276542,696.00,Pars Khodro-a
13970522,697.00,715,668,684.00,48174303,674.00,Pars Khodro-a
13970523,670.00,694,663,677.00,23731320,674.00,Pars Khodro-a
13970524,687.00,690,675,680.00,19530502,679.00,Pars Khodro-a
13970527,682.00,694,678,686.00,22949290,684.00,Pars Khodro-a
13970528,680.00,700,680,689.00,26948067,684.00,Pars Khodro-a
13970529,691.00,697,674,680.00,29507510,676.00,Pars Khodro-a
13970530,706.00,714,688,709.00,99145066,714.00,Pars Khodro-a
13970603,728.00,744,720,740.00,69267140,744.00,Pars Khodro-a
13970604,768.00,777,750,773.00,48289488,777.00,Pars Khodro-a
13970605,810.00,810,740,771.00,94658079,749.00,Pars Khodro-a
13970606,760.00,809,748,789.00,102628390,779.00,Pars Khodro-a
13970607,793.00,806,760,784.00,54091583,765.00,Pars Khodro-a
13970610,779.00,779,745,749.00,44985092,745.00,Pars Khodro-a
13970611,739.00,759,720,739.00,37755852,738.00,Pars Khodro-a
13970612,741.00,774,741,761.00,42929160,765.00,Pars Khodro-a
13970613,770.00,781,745,764.00,41978758,771.00,Pars Khodro-a
13970614,770.00,783,754,766.00,34429090,757.00,Pars Khodro-a
13970617,768.00,804,767,797.00,85851702,804.00,Pars Khodro-a
13970618,824.00,836,806,820.00,81983641,811.00,Pars Khodro-a
13970619,818.00,849,798,822.00,90994731,810.00,Pars Khodro-a
13970620,825.00,830,800,813.00,62422935,810.00,Pars Khodro-a
13970621,820.00,853,816,843.00,95949297,853.00,Pars Khodro-a
13970624,885.00,885,885,885.00,16965143,885.00,Pars Khodro-a
13970625,929.00,929,861,917.00,139257267,929.00,Pars Khodro-a
13970626,950.00,962,936,958.00,36488458,962.00,Pars Khodro-a
13970627,1005.00,1005,1005,987.00,5524193,1005.00,Pars Khodro-a
13970631,1036.00,1087,1036,1085.00,96033528,1087.00,Pars Khodro-a
13970701,1110.00,1111,1034,1073.00,188532748,1060.00,Pars Khodro-a
13970702,1068.00,1110,1050,1087.00,109719199,1094.00,Pars Khodro-a
13970703,1114.00,1141,1105,1133.00,103006839,1105.00,Pars Khodro-a
13970704,1125.00,1147,1078,1102.00,125372006,1092.00,Pars Khodro-a
13970707,1112.00,1157,1112,1150.00,77308720,1157.00,Pars Khodro-a
13970709,1207.00,1257,1160,1198.00,77273405,1174.00,Pars Khodro-a
13970710,1195.00,1195,1139,1155.00,20573919,1139.00,Pars Khodro-a
13970711,1098.00,1098,1098,1098.00,40466905,1098.00,Pars Khodro-a
13970714,1100.00,1134,1044,1082.00,59579447,1044.00,Pars Khodro-a
13970715,1028.00,1028,1028,1035.00,7926118,1028.00,Pars Khodro-a
13970716,984.00,984,984,984.00,9759422,984.00,Pars Khodro-a
13970717,935.00,1018,935,960.00,184352425,935.00,Pars Khodro-a
13970718,931.00,945,912,915.00,34540387,912.00,Pars Khodro-a
13970721,878.00,900,870,877.00,18216094,870.00,Pars Khodro-a
13970722,834.00,860,834,835.00,41353252,834.00,Pars Khodro-a
13970723,852.00,876,852,874.00,51147703,876.00,Pars Khodro-a
13970724,917.00,917,891,914.00,79954098,917.00,Pars Khodro-a
13970725,917.00,930,869,907.00,80987653,920.00,Pars Khodro-a
13970728,949.00,952,941,951.00,68544236,952.00,Pars Khodro-a
13970729,961.00,988,926,946.00,54723083,935.00,Pars Khodro-a
13970730,925.00,930,899,904.00,41803242,899.00,Pars Khodro-a
13970801,859.00,872,859,860.00,12164460,859.00,Pars Khodro-a
13970802,817.00,817,817,823.00,7885133,817.00,Pars Khodro-a
13970805,782.00,841,782,799.00,65385339,795.00,Pars Khodro-a
13970806,796.00,838,796,817.00,39160659,838.00,Pars Khodro-a
13970807,855.00,857,835,854.00,63738757,857.00,Pars Khodro-a
13970809,868.00,896,854,884.00,46120904,894.00,Pars Khodro-a
13970812,885.00,893,842,866.00,32952603,842.00,Pars Khodro-a
13970813,836.00,872,823,841.00,41167626,830.00,Pars Khodro-a
13970814,841.00,883,836,880.00,40353308,883.00,Pars Khodro-a
13970815,890.00,913,869,891.00,40022942,889.00,Pars Khodro-a
13970819,906.00,935,886,920.00,64598653,925.00,Pars Khodro-a
13970820,930.00,930,874,891.00,43321943,896.00,Pars Khodro-a
13970821,904.00,935,896,925.00,71587659,935.00,Pars Khodro-a
13970822,954.00,954,900,924.00,58052560,902.00,Pars Khodro-a
13970823,903.00,920,880,898.00,37944344,895.00,Pars Khodro-a
13970826,895.00,923,888,904.00,40046437,902.00,Pars Khodro-a
13970827,920.00,921,859,874.00,58830041,871.00,Pars Khodro-a
13970828,880.00,899,870,887.00,22654400,883.00,Pars Khodro-a
13970829,886.00,894,852,877.00,25180262,888.00,Pars Khodro-a
13970830,890.00,920,890,915.00,56008675,920.00,Pars Khodro-a
13970903,960.00,960,930,958.00,92332775,960.00,Pars Khodro-a
13970905,970.00,979,920,942.00,39154355,940.00,Pars Khodro-a
13970906,943.00,964,933,947.00,30108600,943.00,Pars Khodro-a
13970907,919.00,940,901,911.00,32307733,918.00,Pars Khodro-a
13970910,932.00,932,870,890.00,37730579,888.00,Pars Khodro-a
13970911,900.00,934,900,927.00,38928992,934.00,Pars Khodro-a
13970912,942.00,954,897,920.00,43567903,912.00,Pars Khodro-a
13970913,903.00,928,892,909.00,24359908,909.00,Pars Khodro-a
13970914,940.00,954,930,953.00,76715048,954.00,Pars Khodro-a
13970917,1000.00,1000,990,1000.00,76838640,1000.00,Pars Khodro-a
13970918,1050.00,1050,960,1006.00,152367906,970.00,Pars Khodro-a
13970919,980.00,1000,957,975.00,61996497,961.00,Pars Khodro-a
13970920,980.00,987,942,970.00,35534093,970.00,Pars Khodro-a
13970921,980.00,985,950,964.00,25753164,955.00,Pars Khodro-a
13970924,964.00,969,920,932.00,24705675,925.00,Pars Khodro-a
13970925,931.00,940,891,915.00,23197601,921.00,Pars Khodro-a
13970926,960.00,960,935,952.00,46328982,937.00,Pars Khodro-a
13970927,946.00,946,906,916.00,21831676,908.00,Pars Khodro-a
13970928,917.00,943,904,924.00,22675566,937.00,Pars Khodro-a
13971001,935.00,945,921,932.00,20049303,922.00,Pars Khodro-a
13971002,940.00,961,935,948.00,27860311,942.00,Pars Khodro-a
13971003,960.00,960,932,944.00,20610399,937.00,Pars Khodro-a
13971004,931.00,934,915,922.00,25635372,921.00,Pars Khodro-a
13971005,931.00,967,921,955.00,56443163,957.00,Pars Khodro-a
13971008,963.00,976,929,944.00,33881070,932.00,Pars Khodro-a
13971009,929.00,968,925,945.00,28396787,949.00,Pars Khodro-a
13971010,950.00,985,950,965.00,46299310,956.00,Pars Khodro-a
13971011,959.00,966,932,944.00,41821195,936.00,Pars Khodro-a
13971012,950.00,970,933,954.00,45365419,949.00,Pars Khodro-a
13971015,941.00,965,934,946.00,32206898,938.00,Pars Khodro-a
13971016,953.00,953,924,929.00,35944496,930.00,Pars Khodro-a
13971017,927.00,956,927,941.00,30077812,937.00,Pars Khodro-a
13971018,940.00,950,920,928.00,26888723,928.00,Pars Khodro-a
13971019,930.00,941,910,921.00,42729002,921.00,Pars Khodro-a
13971022,934.00,967,915,950.00,63166290,967.00,Pars Khodro-a
13971023,997.00,997,963,989.00,159097641,972.00,Pars Khodro-a
13971024,973.00,973,940,948.00,53450538,940.00,Pars Khodro-a
13971025,931.00,949,907,926.00,48705622,919.00,Pars Khodro-a
13971026,918.00,930,900,907.00,54112385,906.00,Pars Khodro-a
13971029,912.00,926,886,903.00,46991104,905.00,Pars Khodro-a
13971030,910.00,913,882,892.00,37675264,883.00,Pars Khodro-a
13971101,853.00,855,848,848.00,71032537,848.00,Pars Khodro-a
13971102,844.00,878,830,859.00,42104586,875.00,Pars Khodro-a
13971103,878.00,885,856,868.00,19174620,868.00,Pars Khodro-a
13971106,855.00,859,825,831.00,50874154,825.00,Pars Khodro-a
13971107,812.00,851,812,829.00,38781375,823.00,Pars Khodro-a
13971108,826.00,849,815,823.00,75804346,815.00,Pars Khodro-a
13971109,822.00,837,812,818.00,26270607,828.00,Pars Khodro-a
13971110,827.00,842,817,828.00,35669522,821.00,Pars Khodro-a
13971113,822.00,831,795,813.00,28137578,807.00,Pars Khodro-a
13971114,819.00,819,779,790.00,26903647,793.00,Pars Khodro-a
13971115,791.00,808,785,794.00,19629219,791.00,Pars Khodro-a
13971116,800.00,800,780,787.00,28871590,782.00,Pars Khodro-a
13971117,794.00,811,777,793.00,29282707,799.00,Pars Khodro-a
13971121,811.00,811,790,799.00,14779482,792.00,Pars Khodro-a
13971123,800.00,800,773,781.00,16900206,776.00,Pars Khodro-a
13971124,775.00,790,760,773.00,22534597,778.00,Pars Khodro-a
13971127,783.00,799,776,786.00,17062286,780.00,Pars Khodro-a
13971128,784.00,784,760,767.00,10950344,770.00,Pars Khodro-a
13971129,780.00,783,763,772.00,16865109,766.00,Pars Khodro-a
13971130,775.00,783,772,777.00,15273385,783.00,Pars Khodro-a
13971201,784.00,790,771,775.00,14099927,775.00,Pars Khodro-a
13971204,775.00,813,770,793.00,103413446,809.00,Pars Khodro-a
13971205,810.00,828,787,803.00,44896020,790.00,Pars Khodro-a
