<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,4136.24,4176,4091,4235.54,39062,4090.77,Iran Glass Wool-a
13970106,4090.77,4181,4083,4210.48,21000,4083.34,Iran Glass Wool-a
13970107,4010.03,4014,4001,4149.23,31525,4000.75,Iran Glass Wool-a
13970108,3943.21,4175,3942,4103.76,24940,4175.22,Iran Glass Wool-a
13970114,3954.35,3954,3944,4095.41,5939,3944.14,Iran Glass Wool-a
13970115,3954.35,3954,3950,4089.84,4400,3949.71,Iran Glass Wool-a
13970118,4176.15,4245,4130,4176.15,208841,4244.82,Iran Glass Wool-a
13970119,4176.15,4329,4130,4215.12,72362,4130.67,Iran Glass Wool-a
13970120,4129.74,4176,4004,4136.24,59555,4174.29,Iran Glass Wool-a
13970121,4302.36,4303,4302,4137.17,800,4303.29,Iran Glass Wool-a
13970122,4001.68,4002,3931,4027.66,63751,3931.15,Iran Glass Wool-a
13970126,3827.21,3972,3826,4007.24,12171,3971.98,Iran Glass Wool-a
13970127,3809.57,3814,3808,3970.12,21954,3807.72,Iran Glass Wool-a
13970128,3824.42,3851,3823,3953.42,13233,3851.33,Iran Glass Wool-a
13970129,4007.24,4149,3789,3954.35,1014,3789.16,Iran Glass Wool-a
13970201,4139.02,4139,3823,3955.27,1906,3823.49,Iran Glass Wool-a
13970202,3825.35,3825,3758,3768.74,118131,3757.60,Iran Glass Wool-a
13970203,3853.19,3853,3650,3760.39,16486,3680.58,Iran Glass Wool-a
13970204,3712.13,3942,3712,3798.44,32300,3933.93,Iran Glass Wool-a
13970205,3897.74,3987,3609,3794.72,65154,3938.57,Iran Glass Wool-a
13970208,3970.12,3970,3712,3793.80,2260,3897.74,Iran Glass Wool-a
13970209,3804.93,3805,3608,3784.52,6984,3621.18,Iran Glass Wool-a
13970210,3784.52,3899,3619,3859.69,150174,3712.13,Iran Glass Wool-a
13970211,3912.58,3944,3913,3868.04,15647,3944.14,Iran Glass Wool-a
13970215,3962.70,3963,3675,3840.20,24810,3878.25,Iran Glass Wool-a
13970216,3786.37,3823,3651,3838.34,2000,3823.49,Iran Glass Wool-a
13970217,3648.10,3712,3647,3774.31,44811,3712.13,Iran Glass Wool-a
13970218,3897.74,3898,3712,3774.31,7000,3712.13,Iran Glass Wool-a
13970223,3962.70,3963,3963,3804.00,19380,3962.70,Iran Glass Wool-a
13970224,3953.42,3953,3714,3804.93,17898,3713.99,Iran Glass Wool-a
13970225,3713.06,3805,3713,3804.00,4785,3804.93,Iran Glass Wool-a
13970226,3712.13,3786,3712,3800.29,5174,3786.37,Iran Glass Wool-a
13970229,3804.00,3804,3666,3752.03,49712,3677.79,Iran Glass Wool-a
13970230,3596.13,3759,3566,3735.33,29024,3712.13,Iran Glass Wool-a
13970306,3921.86,3922,3626,3704.88,6973,3625.89,Iran Glass Wool-a
13970307,3711.54,3807,3628,3709.64,21718,3627.79,Iran Glass Wool-a
13970308,3563.08,3712,3559,3707.73,2800,3711.54,Iran Glass Wool-a
13970309,3523.11,3523,3523,3625.89,57254,3523.11,Iran Glass Wool-a
13970312,3445.07,3807,3445,3548.80,1194172,3806.71,Iran Glass Wool-a
13970313,3725.81,3726,3550,3717.25,1666981,3710.59,Iran Glass Wool-a
13970319,3710.59,3712,3532,3562.13,460901,3531.67,Iran Glass Wool-a
13970320,3531.67,3563,3428,3471.72,127447,3454.59,Iran Glass Wool-a
13970321,3426.04,3587,3426,3485.04,117581,3454.59,Iran Glass Wool-a
13970322,3454.59,3458,3427,3445.07,144412,3436.50,Iran Glass Wool-a
13970323,3569.74,3607,3464,3506.93,175569,3523.11,Iran Glass Wool-a
13970327,3435.55,3617,3436,3600.19,286592,3615.42,Iran Glass Wool-a
13970328,3616.37,3616,3455,3522.15,203079,3475.52,Iran Glass Wool-a
13970329,3446.02,3568,3426,3490.75,230146,3564.03,Iran Glass Wool-a
13970330,3574.50,3574,3317,3413.66,445508,3316.59,Iran Glass Wool-a
13970402,3453.63,3454,3365,3407.95,99211,3399.39,Iran Glass Wool-a
13970403,3256.64,3578,3257,3564.03,964346,3578.30,Iran Glass Wool-a
13970404,3740.09,3742,3532,3643.97,1048389,3540.24,Iran Glass Wool-a
13970405,3654.44,3654,3462,3493.60,205365,3462.20,Iran Glass Wool-a
13970406,3527.86,3534,3319,3418.42,276290,3418.42,Iran Glass Wool-a
13970409,3283.28,3397,3248,3297.56,422012,3330.87,Iran Glass Wool-a
13970410,3235.70,3236,3133,3169.08,305039,3132.92,Iran Glass Wool-a
13970411,3132.92,3291,3011,3046.32,389399,3016.81,Iran Glass Wool-a
13970412,3111.98,3112,2903,2988.26,303378,2950.20,Iran Glass Wool-a
13970413,3035.85,3138,2999,3106.27,770660,3137.68,Iran Glass Wool-a
13970416,3226.18,3226,3026,3168.13,333551,3115.79,Iran Glass Wool-a
13970417,3022.52,3121,3023,3096.76,86948,3037.75,Iran Glass Wool-a
13970419,3007.30,3068,3007,3032.99,284668,3029.19,Iran Glass Wool-a
13970420,2960.67,3159,2960,3030.14,302023,3085.34,Iran Glass Wool-a
13970423,3148.15,3148,3045,3076.77,153745,3102.47,Iran Glass Wool-a
13970424,3045.36,3163,2988,3072.96,124015,2997.78,Iran Glass Wool-a
13970425,3139.58,3149,2999,3049.17,244957,3073.92,Iran Glass Wool-a
13970426,3026.33,3135,2942,3044.41,35867,2997.78,Iran Glass Wool-a
13970427,2954.00,3073,2954,3033.94,49381,3063.45,Iran Glass Wool-a
13970430,3116.74,3120,3045,3100.56,255870,3045.36,Iran Glass Wool-a
13970431,3139.58,3140,2990,3046.32,271214,3045.36,Iran Glass Wool-a
13970501,3071.06,3072,2970,3023.48,70446,2998.73,Iran Glass Wool-a
13970502,2952.10,3040,2873,2907.37,297519,2879.77,Iran Glass Wool-a
13970503,2856.93,2995,2857,2893.10,57265,2912.13,Iran Glass Wool-a
13970506,2855.03,3016,2855,2929.26,121619,3015.86,Iran Glass Wool-a
13970507,3011.10,3011,2912,2959.71,121627,2994.93,Iran Glass Wool-a
13970508,2973.04,2997,2812,2888.34,210976,2855.03,Iran Glass Wool-a
13970509,2988.26,3032,2988,3031.09,784096,3032.04,Iran Glass Wool-a
13970510,3150.05,3150,2951,3017.77,104909,2952.10,Iran Glass Wool-a
13970513,2879.77,3026,2867,2895.00,220394,2867.40,Iran Glass Wool-a
13970514,3019.67,3020,2819,2848.37,255792,2855.03,Iran Glass Wool-a
13970515,2849.32,2990,2707,2901.66,1576198,2990.17,Iran Glass Wool-a
13970516,3046.32,3046,3046,2970.18,75000,3046.32,Iran Glass Wool-a
13970517,3118.64,3119,3119,3090.09,127301,3118.64,Iran Glass Wool-a
13970520,3244.27,3244,3244,3244.27,235259,3244.27,Iran Glass Wool-a
13970521,3321.35,3406,3255,3321.35,1186842,3406.05,Iran Glass Wool-a
13970522,3425.08,3425,3236,3356.56,285953,3349.90,Iran Glass Wool-a
13970523,3330.87,3524,3199,3431.75,881936,3521.20,Iran Glass Wool-a
13970524,3523.11,3523,3397,3468.86,101804,3505.98,Iran Glass Wool-a
13970527,3411.76,3588,3340,3476.47,481101,3571.64,Iran Glass Wool-a
13970528,3614.47,3650,3569,3623.98,1078504,3649.68,Iran Glass Wool-a
13970529,3794.33,3794,3618,3662.05,567647,3654.44,Iran Glass Wool-a
13970530,3711.54,3739,3602,3700.12,593126,3739.14,Iran Glass Wool-a
13970603,3711.54,3772,3597,3649.68,309448,3616.37,Iran Glass Wool-a
13970604,3711.54,3745,3522,3555.46,444794,3545.95,Iran Glass Wool-a
13970605,3473.62,3729,3474,3608.76,493502,3545.00,Iran Glass Wool-a
13970606,3522.15,3540,3429,3450.78,483308,3440.31,Iran Glass Wool-a
13970607,3583.06,3583,3285,3516.44,505450,3474.57,Iran Glass Wool-a
13970610,3516.44,3615,3430,3485.99,233931,3438.41,Iran Glass Wool-a
13970611,3379.40,3607,3355,3442.21,116466,3445.07,Iran Glass Wool-a
13970612,3592.58,3593,3448,3542.14,378129,3511.69,Iran Glass Wool-a
13970613,3428.89,3482,3418,3458.39,181137,3464.10,Iran Glass Wool-a
13970614,3426.04,3521,3286,3343.24,934783,3355.61,Iran Glass Wool-a
13970617,3506.93,3510,3502,3508.83,220774,3509.78,Iran Glass Wool-a
13970618,3683.94,3684,3684,3683.94,356693,3683.94,Iran Glass Wool-a
13970619,3867.61,3868,3831,3867.61,2285865,3867.61,Iran Glass Wool-a
13970620,4060.80,4061,4061,4060.80,386771,4060.80,Iran Glass Wool-a
13970624,4263.51,4477,4051,4337.74,3323419,4476.69,Iran Glass Wool-a
13970625,4553.77,4554,4206,4529.03,1073406,4553.77,Iran Glass Wool-a
13970626,4754.58,4755,4755,4754.58,244799,4754.58,Iran Glass Wool-a
13970627,4991.54,4992,4992,4991.54,152818,4991.54,Iran Glass Wool-a
13970631,5240.88,5241,5241,5238.98,94603,5240.88,Iran Glass Wool-a
13970702,5500.69,5729,5226,5492.13,881261,5710.06,Iran Glass Wool-a
13970703,5766.21,5766,5605,5751.93,899423,5752.88,Iran Glass Wool-a
13970704,6039.34,6039,5806,6033.63,1923155,6039.34,Iran Glass Wool-a
13970707,6335.31,6335,6335,6335.31,180987,6335.31,Iran Glass Wool-a
13970710,6166.86,6167,5859,6049.81,46138,5858.52,Iran Glass Wool-a
13970711,5748.13,6043,5748,5751.93,1978744,6033.63,Iran Glass Wool-a
13970714,6024.11,6024,5465,5554.94,1298134,5464.53,Iran Glass Wool-a
13970715,5278.00,5278,5278,5341.76,63718,5278.00,Iran Glass Wool-a
13970716,5075.29,5075,5075,5083.86,79964,5075.29,Iran Glass Wool-a
13970717,4829.76,4830,4830,4829.76,139521,4829.76,Iran Glass Wool-a
13970718,5070.53,5071,4817,4952.52,900065,4817.39,Iran Glass Wool-a
13970721,4705.09,5043,4705,4858.31,37219,4705.09,Iran Glass Wool-a
13970722,4615.63,4616,4616,4707.94,59500,4615.63,Iran Glass Wool-a
13970723,4520.46,4895,4520,4720.32,514317,4887.81,Iran Glass Wool-a
13970724,4521.42,4949,4521,4722.22,505825,4863.07,Iran Glass Wool-a
13970725,4615.63,4739,4486,4511.90,789991,4521.42,Iran Glass Wool-a
13970728,4737.45,4737,4737,4737.45,236408,4737.45,Iran Glass Wool-a
13970729,4896.38,4938,4737,4839.28,325103,4842.13,Iran Glass Wool-a
13970730,4842.13,4842,4598,4677.49,470990,4600.40,Iran Glass Wool-a
13970801,4568.05,4568,4444,4447.18,225814,4568.05,Iran Glass Wool-a
13970802,4235.91,4558,4225,4414.83,93972,4237.82,Iran Glass Wool-a
13970805,4414.83,4548,4195,4310.14,78667,4194.99,Iran Glass Wool-a
13970806,4424.34,4497,4325,4408.17,216695,4448.14,Iran Glass Wool-a
13970807,4313.00,4568,4313,4463.36,194599,4567.10,Iran Glass Wool-a
13970809,4609.92,4610,4340,4447.18,78773,4342.50,Iran Glass Wool-a
