<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,1408.98,1426,1409,1410.33,1664397,1421.54,Palayesh Tehran-a
13970106,1422.22,1441,1417,1418.82,1324512,1421.20,Palayesh Tehran-a
13970107,1425.27,1439,1416,1421.54,844611,1418.82,Palayesh Tehran-a
13970108,1419.50,1426,1404,1415.09,1504892,1405.58,Palayesh Tehran-a
13970114,1404.22,1410,1385,1406.94,1100008,1398.79,Palayesh Tehran-a
13970115,1409.99,1419,1399,1406.26,575651,1398.79,Palayesh Tehran-a
13970118,1401.17,1401,1358,1371.97,2443097,1358.05,Palayesh Tehran-a
13970119,1359.75,1392,1303,1364.16,5741962,1358.39,Palayesh Tehran-a
13970120,1383.51,1396,1372,1387.25,3625824,1392.68,Palayesh Tehran-a
13970121,1439.19,1453,1409,1433.76,4994954,1420.86,Palayesh Tehran-a
13970122,1441.23,1453,1393,1426.97,3551139,1398.79,Palayesh Tehran-a
13970126,1425.95,1446,1396,1427.31,1998274,1402.18,Palayesh Tehran-a
13970127,1439.19,1439,1399,1419.16,1751686,1408.98,Palayesh Tehran-a
13970128,1425.95,1457,1409,1430.36,4457835,1424.93,Palayesh Tehran-a
13970129,1436.14,1443,1412,1424.59,2174801,1412.37,Palayesh Tehran-a
13970201,1441.23,1442,1420,1431.38,2325836,1425.95,Palayesh Tehran-a
13970202,1422.56,1432,1416,1425.61,2281481,1425.61,Palayesh Tehran-a
13970203,1408.98,1429,1409,1425.27,3424056,1425.61,Palayesh Tehran-a
13970204,1414.75,1467,1415,1449.72,6207558,1450.06,Palayesh Tehran-a
13970205,1466.69,1491,1455,1467.71,6514772,1473.14,Palayesh Tehran-a
13970208,1459.90,1460,1420,1431.38,2612641,1424.93,Palayesh Tehran-a
13970209,1435.80,1457,1418,1426.97,2837589,1425.95,Palayesh Tehran-a
13970210,1427.31,1457,1426,1442.93,3147536,1446.32,Palayesh Tehran-a
13970211,1439.53,1477,1440,1457.19,2233998,1449.38,Palayesh Tehran-a
13970215,1451.41,1460,1421,1444.96,5728941,1454.47,Palayesh Tehran-a
13970216,1429.35,1443,1421,1429.35,2851621,1442.59,Palayesh Tehran-a
13970217,1426.29,1458,1426,1437.83,1816149,1449.72,Palayesh Tehran-a
13970218,1459.56,1460,1434,1451.41,2313551,1442.59,Palayesh Tehran-a
13970219,1451.41,1486,1436,1451.41,20593508,1446.32,Palayesh Tehran-a
13970222,1462.62,1463,1436,1454.47,2391384,1439.53,Palayesh Tehran-a
13970223,1456.51,1457,1440,1450.06,1658219,1439.87,Palayesh Tehran-a
13970224,1459.90,1460,1449,1454.47,2626969,1450.06,Palayesh Tehran-a
13970225,1460.24,1460,1443,1453.79,1753632,1449.72,Palayesh Tehran-a
13970226,1456.51,1459,1443,1452.09,4146567,1454.13,Palayesh Tehran-a
13970229,1463.30,1493,1463,1480.27,6094294,1480.95,Palayesh Tehran-a
13970230,1485.37,1501,1474,1482.99,9112314,1483.67,Palayesh Tehran-a
13970231,1493.17,1494,1474,1487.06,3813386,1480.61,Palayesh Tehran-a
13970301,1490.12,1493,1446,1477.56,4009765,1454.81,Palayesh Tehran-a
13970302,1471.45,1476,1426,1453.79,6140734,1441.57,Palayesh Tehran-a
13970305,1429.35,1452,1385,1409.99,6183989,1400.49,Palayesh Tehran-a
13970306,1406.60,1407,1382,1391.32,2488468,1386.91,Palayesh Tehran-a
13970307,1392.00,1409,1391,1400.49,2592935,1395.06,Palayesh Tehran-a
13970308,1392.00,1409,1389,1398.11,1196239,1392.00,Palayesh Tehran-a
13970309,1390.98,1418,1391,1407.96,2112443,1402.18,Palayesh Tehran-a
13970312,1412.37,1412,1392,1402.86,1555723,1392.00,Palayesh Tehran-a
13970313,1402.86,1403,1380,1390.64,2840051,1392.00,Palayesh Tehran-a
13970319,1392.00,1392,1364,1371.63,2821234,1364.50,Palayesh Tehran-a
13970320,1371.63,1372,1331,1342.43,3371192,1334.28,Palayesh Tehran-a
13970321,1358.05,1358,1324,1334.96,2440438,1324.78,Palayesh Tehran-a
13970322,1357.71,1358,1324,1334.62,3232629,1334.28,Palayesh Tehran-a
13970323,1327.49,1401,1327,1396.75,20371869,1401.17,Palayesh Tehran-a
13970327,1458.20,1466,1409,1460.92,21042050,1466.35,Palayesh Tehran-a
13970328,1486.72,1491,1388,1420.52,9820271,1388.26,Palayesh Tehran-a
13970329,1389.28,1459,1389,1413.39,6745195,1406.94,Palayesh Tehran-a
13970330,1425.95,1484,1426,1482.99,49392225,1484.01,Palayesh Tehran-a
13970402,1521.01,1551,1498,1527.13,17764149,1527.46,Palayesh Tehran-a
13970403,1524.41,1562,1512,1535.61,14580088,1527.80,Palayesh Tehran-a
13970404,1561.76,1612,1548,1611.32,61992871,1612.34,Palayesh Tehran-a
13970405,1612.68,1657,1531,1577.03,15563047,1571.26,Palayesh Tehran-a
13970406,1571.94,1595,1498,1522.71,16303898,1510.83,Palayesh Tehran-a
13970409,1543.08,1562,1499,1529.16,5734914,1522.37,Palayesh Tehran-a
13970410,1503.02,1521,1453,1474.50,9770886,1498.95,Palayesh Tehran-a
13970411,1499.29,1531,1480,1522.37,5270900,1525.77,Palayesh Tehran-a
13970412,1511.51,1596,1512,1572.62,6014067,1575.34,Palayesh Tehran-a
13970413,1595.71,1613,1534,1558.70,6132725,1541.38,Palayesh Tehran-a
13970416,1551.57,1613,1518,1559.04,12085554,1534.59,Palayesh Tehran-a
13970417,1554.97,1578,1515,1533.24,2773846,1519.66,Palayesh Tehran-a
13970419,1514.90,1545,1504,1513.54,1991570,1506.08,Palayesh Tehran-a
13970420,1527.46,1569,1514,1545.46,5983163,1548.18,Palayesh Tehran-a
13970423,1540.37,1540,1506,1516.26,2100827,1514.22,Palayesh Tehran-a
13970424,1537.99,1538,1471,1487.74,3265870,1479.59,Palayesh Tehran-a
13970425,1490.46,1494,1462,1477.56,1488281,1463.98,Palayesh Tehran-a
13970426,1459.56,1528,1426,1477.56,8849766,1493.85,Palayesh Tehran-a
13970503,1648.14,1653,1604,1624.52,11034736,1621.90,Palayesh Tehran-a
13970506,1705.36,1705,1680,1705.36,28906777,1705.36,Palayesh Tehran-a
13970507,1790.39,1790,1671,1721.63,17599801,1703.78,Palayesh Tehran-a
13970508,1749.45,1808,1685,1802.46,30302492,1807.71,Palayesh Tehran-a
13970509,1892.22,1892,1892,1892.22,19383419,1892.22,Palayesh Tehran-a
13970510,1986.70,1987,1987,1986.70,4219023,1986.70,Palayesh Tehran-a
13970513,2073.30,2147,2005,2068.05,32112779,2036.56,Palayesh Tehran-a
