<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,2118.54,2119,2085,2090.04,448331,2085.17,Etebari Iran Co-a
13970106,2117.15,2117,2085,2098.38,1102233,2114.37,Etebari Iran Co-a
13970107,2115.06,2115,2085,2103.94,579359,2105.33,Etebari Iran Co-a
13970108,2117.15,2117,2084,2090.04,1590233,2085.17,Etebari Iran Co-a
13970114,2114.37,2115,2084,2102.55,762435,2089.34,Etebari Iran Co-a
13970115,2115.06,2115,2078,2095.60,556855,2085.17,Etebari Iran Co-a
13970118,2085.17,2085,2016,2068.49,524055,2031.65,Etebari Iran Co-a
13970119,2077.53,2078,1981,2026.09,828045,2007.33,Etebari Iran Co-a
13970120,2049.03,2068,2016,2036.52,1002638,2036.52,Etebari Iran Co-a
13970121,2043.47,2065,2023,2043.47,453828,2042.08,Etebari Iran Co-a
13970122,2042.08,2085,1982,2037.91,804426,2078.22,Etebari Iran Co-a
13970126,2074.75,2075,2016,2034.44,286245,2043.47,Etebari Iran Co-a
13970127,2036.52,2043,1983,2028.87,229848,2042.78,Etebari Iran Co-a
13970128,1983.70,2043,1984,2028.87,129567,2025.40,Etebari Iran Co-a
13970129,2034.44,2081,2023,2033.05,354342,2036.52,Etebari Iran Co-a
13970201,2036.52,2080,2009,2033.74,240931,2021.23,Etebari Iran Co-a
13970202,2041.39,2047,1983,2028.18,500142,2038.61,Etebari Iran Co-a
13970203,2037.91,2064,1981,2019.14,776762,2056.68,Etebari Iran Co-a
13970204,2036.52,2054,1984,2022.62,162443,2026.09,Etebari Iran Co-a
13970205,2025.40,2050,1981,2018.45,1096937,2015.67,Etebari Iran Co-a
13970208,1983.70,2036,1965,2006.63,635292,1967.71,Etebari Iran Co-a
13970209,1960.06,2028,1937,1991.34,845976,2015.67,Etebari Iran Co-a
13970210,1938.52,2019,1932,2006.63,670316,2012.19,Etebari Iran Co-a
13970211,1948.94,2107,1949,2049.03,1105765,2096.99,Etebari Iran Co-a
13970215,2015.67,2119,2009,2057.37,723953,2110.20,Etebari Iran Co-a
13970216,2069.19,2069,2024,2055.29,80986,2046.95,Etebari Iran Co-a
13970217,2076.14,2102,2025,2055.98,65149,2069.19,Etebari Iran Co-a
13970218,2069.88,2096,1955,1993.43,864495,1968.40,Etebari Iran Co-a
13970219,2010.80,2012,1925,1973.27,417462,1953.11,Etebari Iran Co-a
13970222,2022.62,2040,1983,2035.13,2336999,2009.41,Etebari Iran Co-a
13970223,2029.57,2040,2009,2028.18,309635,2014.97,Etebari Iran Co-a
13970224,2037.22,2100,2027,2076.14,855883,2096.30,Etebari Iran Co-a
13970225,2085.87,2106,2057,2085.87,587080,2057.37,Etebari Iran Co-a
13970226,2085.17,2098,2041,2076.14,249062,2051.12,Etebari Iran Co-a
13970229,2092.13,2092,2050,2071.27,270838,2064.32,Etebari Iran Co-a
13970230,2083.09,2085,2038,2073.36,732852,2046.95,Etebari Iran Co-a
13970231,2050.42,2075,2043,2060.15,470161,2044.86,Etebari Iran Co-a
