<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,3136.47,3189,3027,3126.86,254609,3084.92,Iran Zinc Mines-a
13970106,3145.20,3186,3118,3146.08,1259529,3146.08,Iran Zinc Mines-a
13970107,3179.28,3303,3179,3270.14,3133657,3257.91,Iran Zinc Mines-a
13970108,3283.24,3283,3192,3233.44,586492,3231.70,Iran Zinc Mines-a
13970114,3197.62,3249,3198,3217.72,1011095,3224.71,Iran Zinc Mines-a
13970115,3232.57,3233,3180,3202.86,677476,3180.15,Iran Zinc Mines-a
13970118,3223.83,3224,3058,3101.52,1662512,3067.45,Iran Zinc Mines-a
13970119,3057.84,3058,2998,3029.01,2128014,3003.67,Iran Zinc Mines-a
13970120,3074.44,3180,3031,3156.56,3264063,3180.15,Iran Zinc Mines-a
13970121,3006.29,3314,3006,3222.09,11700308,3145.20,Iran Zinc Mines-a
13970122,3188.89,3276,3071,3156.56,2568797,3101.52,Iran Zinc Mines-a
13970126,3061.33,3067,2999,3009.78,2838998,2999.30,Iran Zinc Mines-a
13970127,3040.36,3040,2860,2921.54,1449860,2859.51,Iran Zinc Mines-a
13970128,2926.79,2979,2883,2925.04,557637,2926.79,Iran Zinc Mines-a
13970129,2951.25,2970,2932,2927.66,123433,2961.73,Iran Zinc Mines-a
13970201,2970.47,3058,2970,3011.53,2290412,3035.99,Iran Zinc Mines-a
13970202,2980.08,3058,2970,3022.89,1979008,2970.47,Iran Zinc Mines-a
13970203,3005.42,3014,2944,2973.09,2860723,2961.73,Iran Zinc Mines-a
13970204,2973.96,2986,2883,2944.26,1960276,2922.42,Iran Zinc Mines-a
13970205,2944.26,2944,2866,2889.22,6460721,2894.46,Iran Zinc Mines-a
13970208,2840.29,2857,2770,2808.84,1671456,2776.52,Iran Zinc Mines-a
13970209,2717.11,2839,2680,2781.76,3353514,2771.27,Iran Zinc Mines-a
13970210,2710.12,2839,2710,2780.01,2579537,2779.14,Iran Zinc Mines-a
13970211,2752.05,2796,2691,2759.04,731858,2778.26,Iran Zinc Mines-a
13970215,2674.30,2708,2622,2634.98,6421006,2622.75,Iran Zinc Mines-a
