<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,979.42,994,976,998.51,325340,983.57,Rayan Saipa-a
13970106,972.78,984,963,990.21,1087380,962.82,Rayan Saipa-a
13970107,958.67,973,945,959.50,2684648,950.37,Rayan Saipa-a
13970108,950.37,966,942,954.52,1729593,951.20,Rayan Saipa-a
13970114,945.39,963,939,952.03,918484,938.75,Rayan Saipa-a
13970115,962.82,963,934,947.05,1684383,937.92,Rayan Saipa-a
13970118,937.92,942,916,934.60,2259823,929.62,Rayan Saipa-a
13970119,925.47,943,921,930.45,7849893,935.43,Rayan Saipa-a
13970120,929.62,931,914,925.47,4560363,919.66,Rayan Saipa-a
13970121,925.47,945,918,927.13,996415,930.45,Rayan Saipa-a
13970122,935.43,935,886,903.06,5394331,893.10,Rayan Saipa-a
13970126,888.95,918,888,902.23,1437664,897.25,Rayan Saipa-a
13970127,904.72,916,891,902.23,1074227,896.42,Rayan Saipa-a
13970128,908.87,909,897,903.06,722267,907.21,Rayan Saipa-a
13970129,909.70,929,905,905.55,1015675,913.02,Rayan Saipa-a
13970201,922.15,935,907,912.19,1513238,922.15,Rayan Saipa-a
13970202,929.62,930,908,918.00,2362347,913.02,Rayan Saipa-a
13970203,912.19,921,906,915.51,1229452,913.85,Rayan Saipa-a
13970204,927.96,951,916,934.60,2888014,935.43,Rayan Saipa-a
13970205,949.54,950,922,936.26,1471923,937.92,Rayan Saipa-a
13970208,928.79,945,905,932.11,863759,910.53,Rayan Saipa-a
13970209,907.21,913,896,916.34,2029245,909.70,Rayan Saipa-a
13970210,911.36,916,892,907.21,2592082,896.42,Rayan Saipa-a
13970211,896.42,912,896,905.55,739211,896.42,Rayan Saipa-a
13970215,898.08,906,864,873.18,3798298,879.82,Rayan Saipa-a
13970216,864.05,879,861,869.86,1350555,873.18,Rayan Saipa-a
13970217,863.22,896,863,873.18,875864,888.95,Rayan Saipa-a
13970218,899.74,904,881,879.82,1084745,900.57,Rayan Saipa-a
13970219,859.90,911,849,866.54,8428652,851.60,Rayan Saipa-a
13970222,852.43,876,852,866.54,391982,871.52,Rayan Saipa-a
13970223,864.05,903,864,883.97,2923446,889.78,Rayan Saipa-a
13970224,904.72,928,904,925.47,15399300,927.96,Rayan Saipa-a
13970225,932.11,950,913,930.45,3246017,917.17,Rayan Saipa-a
13970226,919.66,920,901,920.49,1467350,903.89,Rayan Saipa-a
13970229,913.02,935,896,919.66,2408404,921.32,Rayan Saipa-a
13970230,900.57,937,888,920.49,2612308,930.45,Rayan Saipa-a
13970231,913.02,938,906,925.47,2520882,934.60,Rayan Saipa-a
13970301,928.79,936,912,924.64,3510260,919.66,Rayan Saipa-a
13970302,925.47,926,909,922.98,955192,914.68,Rayan Saipa-a
13970305,940.41,963,938,949.54,7635155,960.33,Rayan Saipa-a
13970306,961.99,994,962,981.08,24970748,979.42,Rayan Saipa-a
13970307,991.04,1003,964,981.91,19610267,983.57,Rayan Saipa-a
13970313,986.06,1009,963,992.70,11959761,991.87,Rayan Saipa-a
13970319,995.19,1011,985,991.87,9087705,988.55,Rayan Saipa-a
13970320,978.59,1015,979,998.51,9631227,987.72,Rayan Saipa-a
13970321,1003.49,1004,988,996.02,4571013,990.21,Rayan Saipa-a
13970322,983.57,994,970,985.23,5737501,989.38,Rayan Saipa-a
13970323,1001.83,1034,988,1020.09,24095336,1034.20,Rayan Saipa-a
13970327,1042.50,1068,1038,1050.80,23772599,1045.82,Rayan Saipa-a
13970328,1068.23,1068,999,1020.09,16167524,998.51,Rayan Saipa-a
13970329,987.72,1017,980,997.68,12262409,986.06,Rayan Saipa-a
13970330,987.72,1003,985,991.04,31827757,987.72,Rayan Saipa-a
13970402,1004.32,1040,1004,1035.03,20138714,1040.01,Rayan Saipa-a
13970403,1062.42,1062,1029,1041.67,15166320,1037.52,Rayan Saipa-a
13970404,1069.89,1093,1042,1077.36,44838577,1069.06,Rayan Saipa-a
13970405,1068.23,1068,1026,1046.65,8575604,1045.82,Rayan Saipa-a
13970406,1045.82,1070,994,1030.88,17826077,1032.54,Rayan Saipa-a
13970409,1045.82,1069,1038,1051.63,5300868,1043.33,Rayan Saipa-a
13970410,1040.01,1050,1018,1029.22,5441974,1026.73,Rayan Saipa-a
13970411,1023.41,1062,1023,1046.65,9354562,1054.12,Rayan Saipa-a
13970412,1064.08,1069,1032,1050.80,7030778,1054.12,Rayan Saipa-a
13970413,1057.44,1103,1038,1085.66,24316918,1093.96,Rayan Saipa-a
13970416,1104.75,1132,1062,1109.73,17633222,1109.73,Rayan Saipa-a
13970417,1087.32,1134,1086,1109.73,11279649,1110.56,Rayan Saipa-a
13970419,1111.39,1111,1056,1069.89,7344188,1079.02,Rayan Saipa-a
13970420,1069.89,1087,1033,1055.78,7978581,1053.29,Rayan Saipa-a
13970423,1050.80,1077,1051,1065.74,5158793,1061.59,Rayan Saipa-a
13970424,1062.42,1096,1059,1071.55,10847003,1069.89,Rayan Saipa-a
13970425,1093.13,1093,1018,1033.37,26567764,1032.54,Rayan Saipa-a
13970426,1032.54,1033,1008,1019.26,10885153,1015.11,Rayan Saipa-a
13970427,1012.62,1028,999,1010.13,8614008,1015.94,Rayan Saipa-a
13970430,1027.56,1060,1017,1056.61,75306212,1059.93,Rayan Saipa-a
13970431,1087.32,1100,1052,1074.87,41202341,1053.29,Rayan Saipa-a
13970501,1062.42,1070,1023,1034.20,13776242,1029.22,Rayan Saipa-a
13970502,1037.52,1057,1017,1030.88,8220971,1029.22,Rayan Saipa-a
13970503,1029.22,1077,1029,1055.78,27580325,1054.12,Rayan Saipa-a
13970506,1064.91,1072,1003,1020.09,16435561,1014.28,Rayan Saipa-a
13970507,1020.09,1046,996,1013.45,12504363,1005.98,Rayan Saipa-a
13970508,1013.45,1013,964,973.61,22467666,975.27,Rayan Saipa-a
13970509,986.89,1022,983,1013.45,26472782,1021.75,Rayan Saipa-a
13970510,1045.82,1046,976,996.85,16455816,982.74,Rayan Saipa-a
13970513,996.02,996,955,966.14,10741964,963.65,Rayan Saipa-a
13970514,970.29,989,957,966.97,14397790,968.63,Rayan Saipa-a
13970515,971.12,975,939,949.54,20738020,950.37,Rayan Saipa-a
13970516,946.22,997,945,985.23,14854363,996.85,Rayan Saipa-a
13970517,1021.75,1024,998,1010.96,16582045,1000.17,Rayan Saipa-a
13970520,1012.62,1025,984,1001.00,14779932,1001.00,Rayan Saipa-a
13970521,1002.66,1037,988,1015.94,21436708,1022.58,Rayan Saipa-a
13970522,1025.07,1037,991,1003.49,12303869,992.70,Rayan Saipa-a
