<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,719.00,724,704,712.00,259325,715.00,Doroud Cement-a
13970106,723.00,723,706,712.00,301903,716.00,Doroud Cement-a
13970107,714.00,719,700,709.00,1166646,710.00,Doroud Cement-a
13970108,712.00,717,700,705.00,445917,704.00,Doroud Cement-a
13970114,705.00,710,700,704.00,615441,708.00,Doroud Cement-a
13970115,702.00,710,700,703.00,750035,701.00,Doroud Cement-a
13970118,700.00,701,690,694.00,1670822,690.00,Doroud Cement-a
13970119,687.00,690,667,680.00,1938449,670.00,Doroud Cement-a
13970120,671.00,695,646,653.00,2765853,646.00,Doroud Cement-a
13970121,666.00,683,661,668.00,834931,661.00,Doroud Cement-a
13970122,665.00,665,635,637.00,2965595,635.00,Doroud Cement-a
13970126,643.00,652,622,644.00,918897,649.00,Doroud Cement-a
13970127,648.00,649,617,640.00,420064,640.00,Doroud Cement-a
13970128,638.00,655,636,647.00,810211,636.00,Doroud Cement-a
13970129,627.00,649,625,642.00,531854,645.00,Doroud Cement-a
13970201,642.00,642,625,638.00,306920,629.00,Doroud Cement-a
13970202,630.00,637,617,629.00,538048,625.00,Doroud Cement-a
13970203,613.00,622,613,617.00,829654,622.00,Doroud Cement-a
13970204,613.00,647,613,642.00,3317691,647.00,Doroud Cement-a
13970205,647.00,669,645,654.00,2079286,662.00,Doroud Cement-a
13970208,633.00,659,622,624.00,809700,624.00,Doroud Cement-a
13970209,622.00,636,616,621.00,449260,616.00,Doroud Cement-a
13970210,624.00,628,611,621.00,242995,620.00,Doroud Cement-a
13970211,615.00,616,611,618.00,293924,612.00,Doroud Cement-a
13970215,602.00,618,600,606.00,686661,600.00,Doroud Cement-a
13970216,599.00,599,576,579.00,1727653,577.00,Doroud Cement-a
13970217,577.00,592,577,584.00,467705,587.00,Doroud Cement-a
13970218,600.00,613,600,605.00,1134183,602.00,Doroud Cement-a
13970219,576.00,608,576,582.00,765664,582.00,Doroud Cement-a
13970222,575.00,606,565,587.00,5809954,595.00,Doroud Cement-a
13970223,616.00,616,615,616.00,1502313,616.00,Doroud Cement-a
13970224,640.00,646,638,643.00,1707554,646.00,Doroud Cement-a
13970225,675.00,675,651,670.00,7221901,660.00,Doroud Cement-a
13970226,660.00,668,637,650.00,5954718,662.00,Doroud Cement-a
13970229,682.00,682,678,682.00,2376545,682.00,Doroud Cement-a
13970230,691.00,716,690,709.00,11283385,695.00,Doroud Cement-a
13970231,697.00,708,674,678.00,3364189,674.00,Doroud Cement-a
13970306,666.00,695,666,673.00,664165,667.00,Doroud Cement-a
13970307,686.00,686,640,651.00,1817942,650.00,Doroud Cement-a
13970308,644.00,650,620,628.00,1406933,627.00,Doroud Cement-a
13970309,624.00,659,624,657.00,3137353,659.00,Doroud Cement-a
13970312,650.00,689,650,682.00,2717824,689.00,Doroud Cement-a
13970313,716.00,716,696,714.00,7259262,716.00,Doroud Cement-a
13970319,735.00,749,732,747.00,3244630,749.00,Doroud Cement-a
13970320,764.00,764,755,763.00,673066,764.00,Doroud Cement-a
13970321,749.00,760,725,735.00,8706636,749.00,Doroud Cement-a
13970322,748.00,770,730,754.00,3123172,731.00,Doroud Cement-a
13970323,730.00,784,730,771.00,5264025,776.00,Doroud Cement-a
13970327,785.00,800,760,782.00,6245128,780.00,Doroud Cement-a
13970328,790.00,790,745,759.00,4242567,745.00,Doroud Cement-a
13970329,744.00,747,723,731.00,3851646,731.00,Doroud Cement-a
13970330,730.00,767,730,749.00,5754752,767.00,Doroud Cement-a
13970402,786.00,786,775,785.00,8430435,786.00,Doroud Cement-a
13970403,796.00,810,789,797.00,3560325,796.00,Doroud Cement-a
13970404,791.00,791,758,766.00,2458092,763.00,Doroud Cement-a
13970405,759.00,759,728,732.00,3388941,728.00,Doroud Cement-a
13970406,728.00,733,696,707.00,2566840,710.00,Doroud Cement-a
13970409,711.00,730,711,721.00,719757,717.00,Doroud Cement-a
13970410,717.00,717,685,700.00,1394805,695.00,Doroud Cement-a
13970411,705.00,710,686,695.00,1896096,708.00,Doroud Cement-a
13970412,706.00,715,680,694.00,1650677,705.00,Doroud Cement-a
13970413,700.00,705,661,682.00,2093957,698.00,Doroud Cement-a
13970416,701.00,709,687,697.00,2055048,709.00,Doroud Cement-a
13970417,692.00,710,678,695.00,1496439,690.00,Doroud Cement-a
13970419,696.00,697,673,682.00,1028790,686.00,Doroud Cement-a
13970420,673.00,675,650,663.00,2182784,666.00,Doroud Cement-a
13970423,671.00,696,665,695.00,2802076,696.00,Doroud Cement-a
13970424,700.00,729,697,727.00,6578136,729.00,Doroud Cement-a
13970425,740.00,750,701,728.00,4008225,722.00,Doroud Cement-a
13970426,729.00,729,701,714.00,2180649,714.00,Doroud Cement-a
13970427,716.00,749,701,735.00,9133694,749.00,Doroud Cement-a
13970430,771.00,771,771,771.00,3380133,771.00,Doroud Cement-a
13970431,809.00,809,770,795.00,15392016,779.00,Doroud Cement-a
13970501,770.00,777,756,759.00,5332582,756.00,Doroud Cement-a
13970502,755.00,796,747,794.00,7203146,796.00,Doroud Cement-a
13970503,833.00,833,800,826.00,17173716,826.00,Doroud Cement-a
13970506,811.00,821,785,789.00,6318194,785.00,Doroud Cement-a
13970507,793.00,817,762,780.00,6093832,773.00,Doroud Cement-a
13970508,795.00,819,758,799.00,9360048,795.00,Doroud Cement-a
13970509,838.00,879,838,873.00,8595554,879.00,Doroud Cement-a
13970510,888.00,902,830,855.00,8126062,830.00,Doroud Cement-a
13970513,820.00,822,813,815.00,4966695,813.00,Doroud Cement-a
13970514,809.00,838,781,803.00,10534835,800.00,Doroud Cement-a
13970515,785.00,841,785,818.00,10283282,840.00,Doroud Cement-a
13970516,842.00,858,828,846.00,8509361,839.00,Doroud Cement-a
13970517,830.00,841,815,828.00,4324239,835.00,Doroud Cement-a
13970520,840.00,840,810,821.00,3999129,816.00,Doroud Cement-a
13970521,811.00,813,784,795.00,8695526,794.00,Doroud Cement-a
13970522,800.00,805,767,783.00,3768097,776.00,Doroud Cement-a
13970523,789.00,799,771,782.00,3596343,779.00,Doroud Cement-a
13970524,768.00,784,768,775.00,1902578,780.00,Doroud Cement-a
13970527,773.00,813,765,808.00,4110166,813.00,Doroud Cement-a
13970528,846.00,846,806,820.00,3544697,811.00,Doroud Cement-a
13970529,815.00,816,799,804.00,3090921,809.00,Doroud Cement-a
13970530,812.00,813,800,803.00,2159085,802.00,Doroud Cement-a
13970603,816.00,843,799,831.00,10814314,843.00,Doroud Cement-a
13970604,849.00,857,832,849.00,8729965,850.00,Doroud Cement-a
13970605,869.00,869,840,855.00,9022652,863.00,Doroud Cement-a
13970606,869.00,880,843,864.00,3877165,846.00,Doroud Cement-a
13970610,970.00,989,928,956.00,14774127,960.00,Doroud Cement-a
13970611,1003.00,1003,923,959.00,12507003,933.00,Doroud Cement-a
13970612,924.00,950,912,918.00,9887398,924.00,Doroud Cement-a
13970613,932.00,963,918,961.00,13777756,963.00,Doroud Cement-a
13970614,1006.00,1006,964,985.00,11105074,980.00,Doroud Cement-a
13970617,988.00,1034,980,1026.00,11763154,1034.00,Doroud Cement-a
13970618,1077.00,1077,1077,1058.00,322699,1077.00,Doroud Cement-a
13970619,1110.00,1110,1110,1110.00,508550,1110.00,Doroud Cement-a
13970620,1165.00,1220,1146,1189.00,17140943,1219.00,Doroud Cement-a
