<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,1371.00,1453,1371,1423.00,311865,1420.00,Tehran Cement-a
13970106,1404.00,1424,1404,1423.00,43025,1420.00,Tehran Cement-a
13970107,1410.00,1450,1410,1424.00,75749,1420.00,Tehran Cement-a
13970108,1411.00,1477,1411,1443.00,449164,1477.00,Tehran Cement-a
13970114,1423.00,1482,1423,1456.00,252540,1445.00,Tehran Cement-a
13970115,1445.00,1470,1441,1455.00,117923,1448.00,Tehran Cement-a
13970118,1460.00,1463,1410,1442.00,381790,1440.00,Tehran Cement-a
13970119,1394.00,1401,1380,1398.00,615756,1383.00,Tehran Cement-a
13970120,1380.00,1390,1329,1333.00,1220875,1329.00,Tehran Cement-a
13970121,1347.00,1347,1300,1334.00,328730,1334.00,Tehran Cement-a
13970122,1354.00,1354,1270,1304.00,432808,1270.00,Tehran Cement-a
13970126,1251.00,1295,1251,1298.00,93607,1253.00,Tehran Cement-a
13970127,1290.00,1298,1241,1283.00,291490,1270.00,Tehran Cement-a
13970128,1278.00,1307,1270,1297.00,1175333,1273.00,Tehran Cement-a
13970129,1241.00,1300,1241,1287.00,335196,1286.00,Tehran Cement-a
13970201,1251.00,1278,1245,1282.00,160691,1278.00,Tehran Cement-a
13970202,1280.00,1283,1261,1276.00,358540,1270.00,Tehran Cement-a
13970203,1271.00,1271,1259,1272.00,270550,1261.00,Tehran Cement-a
13970204,1256.00,1284,1251,1265.00,396621,1283.00,Tehran Cement-a
13970205,1285.00,1285,1260,1264.00,466301,1260.00,Tehran Cement-a
13970208,1262.00,1262,1211,1241.00,541834,1220.00,Tehran Cement-a
13970209,1205.00,1239,1203,1230.00,331302,1210.00,Tehran Cement-a
13970210,1218.00,1247,1218,1231.00,380399,1234.00,Tehran Cement-a
13970211,1207.00,1230,1201,1212.00,1454354,1201.00,Tehran Cement-a
13970215,1200.00,1201,1182,1201.00,473455,1185.00,Tehran Cement-a
13970216,1180.00,1180,1142,1161.00,915686,1159.00,Tehran Cement-a
13970217,1194.00,1194,1164,1169.00,276134,1189.00,Tehran Cement-a
13970218,1198.00,1219,1190,1185.00,284952,1190.00,Tehran Cement-a
13970219,1156.00,1216,1140,1184.00,283362,1166.00,Tehran Cement-a
13970222,1198.00,1222,1197,1210.00,656064,1209.00,Tehran Cement-a
13970223,1227.00,1270,1227,1269.00,837709,1270.00,Tehran Cement-a
13970224,1319.00,1332,1270,1314.00,1831213,1332.00,Tehran Cement-a
13970225,1379.00,1379,1315,1372.00,3007586,1315.00,Tehran Cement-a
13970226,1338.00,1370,1304,1317.00,2423160,1320.00,Tehran Cement-a
13970229,1346.00,1382,1346,1380.00,3455963,1360.00,Tehran Cement-a
13970230,1365.00,1428,1365,1399.00,2001916,1383.00,Tehran Cement-a
13970231,1382.00,1385,1332,1366.00,627368,1376.00,Tehran Cement-a
13970305,1298.00,1345,1298,1329.00,1101863,1327.00,Tehran Cement-a
13970306,1299.00,1340,1286,1321.00,195031,1318.00,Tehran Cement-a
13970307,1283.00,1290,1255,1262.00,1490555,1290.00,Tehran Cement-a
13970308,1260.00,1263,1255,1261.00,316947,1255.00,Tehran Cement-a
13970309,1290.00,1319,1266,1276.00,251029,1300.00,Tehran Cement-a
13970312,1300.00,1339,1300,1337.00,2292364,1339.00,Tehran Cement-a
13970313,1387.00,1403,1341,1390.00,3735939,1403.00,Tehran Cement-a
13970319,1405.00,1459,1405,1457.00,3829670,1459.00,Tehran Cement-a
13970320,1456.00,1528,1456,1504.00,2689014,1479.00,Tehran Cement-a
13970321,1459.00,1470,1430,1447.00,1139016,1435.00,Tehran Cement-a
13970322,1470.00,1496,1438,1471.00,1252339,1485.00,Tehran Cement-a
13970323,1481.00,1544,1429,1491.00,3198317,1544.00,Tehran Cement-a
13970327,1565.00,1565,1558,1565.00,3789446,1558.00,Tehran Cement-a
13970328,1610.00,1633,1500,1579.00,1404857,1509.00,Tehran Cement-a
13970329,1510.00,1580,1510,1527.00,834411,1512.00,Tehran Cement-a
13970330,1570.00,1570,1490,1522.00,980336,1530.00,Tehran Cement-a
13970402,1550.00,1598,1550,1593.00,3041625,1598.00,Tehran Cement-a
13970403,1643.00,1650,1550,1600.00,1907312,1570.00,Tehran Cement-a
13970404,1561.00,1597,1520,1525.00,3654378,1520.00,Tehran Cement-a
13970405,1549.00,1549,1449,1452.00,2935195,1479.00,Tehran Cement-a
13970406,1452.00,1499,1380,1409.00,1533850,1396.00,Tehran Cement-a
13970409,1370.00,1443,1370,1411.00,735831,1400.00,Tehran Cement-a
13970410,1381.00,1449,1345,1362.00,707450,1380.00,Tehran Cement-a
13970411,1362.00,1391,1342,1363.00,403871,1380.00,Tehran Cement-a
13970412,1388.00,1420,1350,1385.00,1750888,1370.00,Tehran Cement-a
13970413,1390.00,1417,1331,1360.00,1056190,1360.00,Tehran Cement-a
13970416,1360.00,1420,1360,1391.00,808823,1410.00,Tehran Cement-a
13970417,1410.00,1416,1363,1384.00,719533,1397.00,Tehran Cement-a
13970419,1370.00,1407,1365,1383.00,631506,1375.00,Tehran Cement-a
13970420,1375.00,1375,1316,1329.00,2027110,1327.00,Tehran Cement-a
13970423,1319.00,1368,1300,1335.00,1895740,1320.00,Tehran Cement-a
13970424,1326.00,1368,1323,1353.00,1245042,1340.00,Tehran Cement-a
13970425,1367.00,1380,1367,1355.00,69920,1375.00,Tehran Cement-a
13970426,1370.00,1370,1288,1288.00,1991597,1288.00,Tehran Cement-a
13970501,1263.00,1280,1210,1234.00,1094523,1250.00,Tehran Cement-a
13970502,1193.00,1295,1192,1269.00,463932,1295.00,Tehran Cement-a
13970503,1332.00,1332,1320,1332.00,2368869,1332.00,Tehran Cement-a
13970506,1360.00,1360,1268,1300.00,1446313,1268.00,Tehran Cement-a
13970507,1267.00,1301,1248,1285.00,763991,1279.00,Tehran Cement-a
13970508,1300.00,1349,1273,1330.00,2599386,1349.00,Tehran Cement-a
13970509,1394.00,1396,1392,1389.00,639341,1396.00,Tehran Cement-a
13970510,1454.00,1454,1340,1379.00,1362267,1350.00,Tehran Cement-a
13970513,1340.00,1370,1312,1346.00,496344,1320.00,Tehran Cement-a
13970514,1301.00,1367,1279,1308.00,1228438,1305.00,Tehran Cement-a
13970515,1320.00,1320,1260,1275.00,3134616,1285.00,Tehran Cement-a
13970516,1295.00,1315,1256,1292.00,1365987,1305.00,Tehran Cement-a
