<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,1769.42,1801,1769,1725.54,38570,1800.56,Oroumiyeh Cem.-a
13970106,1703.60,1704,1704,1725.54,2000,1703.60,Oroumiyeh Cem.-a
13970107,1706.43,1706,1699,1724.83,4899,1699.35,Oroumiyeh Cem.-a
13970115,1737.57,1751,1734,1726.25,39826,1751.02,Oroumiyeh Cem.-a
13970118,1734.03,1734,1727,1726.96,45960,1730.49,Oroumiyeh Cem.-a
13970119,1734.03,1734,1699,1726.25,24342,1729.79,Oroumiyeh Cem.-a
13970120,1684.49,1700,1664,1693.69,176751,1688.03,Oroumiyeh Cem.-a
13970121,1698.65,1699,1699,1694.40,37118,1698.65,Oroumiyeh Cem.-a
13970122,1644.15,1684,1644,1690.86,28878,1663.96,Oroumiyeh Cem.-a
13970126,1649.10,1649,1645,1680.24,71591,1644.85,Oroumiyeh Cem.-a
13970127,1651.22,1681,1649,1680.24,41311,1680.95,Oroumiyeh Cem.-a
13970128,1680.95,1681,1642,1679.54,58160,1666.09,Oroumiyeh Cem.-a
13970129,1649.10,1684,1649,1679.54,447447,1679.54,Oroumiyeh Cem.-a
13970201,1642.02,1699,1642,1681.66,316200,1680.24,Oroumiyeh Cem.-a
13970202,1697.94,1699,1692,1687.32,138273,1691.57,Oroumiyeh Cem.-a
13970203,1635.65,1651,1603,1666.80,95188,1650.52,Oroumiyeh Cem.-a
13970204,1663.26,1684,1663,1678.12,510398,1677.41,Oroumiyeh Cem.-a
13970205,1705.02,1705,1699,1679.54,15500,1698.65,Oroumiyeh Cem.-a
13970208,1679.54,1699,1646,1679.54,34000,1684.49,Oroumiyeh Cem.-a
13970209,1606.64,1607,1597,1598.85,292297,1600.97,Oroumiyeh Cem.-a
13970210,1602.39,1620,1602,1606.64,329245,1609.47,Oroumiyeh Cem.-a
13970211,1602.39,1656,1602,1612.30,54800,1649.10,Oroumiyeh Cem.-a
13970215,1600.97,1660,1534,1567.00,173485,1572.66,Oroumiyeh Cem.-a
13970216,1620.79,1621,1539,1558.51,124225,1555.68,Oroumiyeh Cem.-a
13970217,1586.82,1592,1546,1566.29,74301,1592.48,Oroumiyeh Cem.-a
13970218,1620.08,1620,1620,1566.29,82,1620.08,Oroumiyeh Cem.-a
13970219,1620.79,1635,1526,1561.34,159097,1599.56,Oroumiyeh Cem.-a
13970222,1605.93,1607,1557,1579.74,231271,1587.53,Oroumiyeh Cem.-a
13970223,1585.40,1658,1585,1637.78,213850,1658.30,Oroumiyeh Cem.-a
13970230,1712.14,1719,1712,1719.06,2079300,1719.06,Oroumiyeh Cem.-a
13970231,1804.67,1805,1805,1804.67,7276024,1804.67,Oroumiyeh Cem.-a
13970301,1853.96,1858,1773,1830.61,1560358,1797.75,Oroumiyeh Cem.-a
13970302,1831.47,1831,1764,1781.32,637121,1812.45,Oroumiyeh Cem.-a
13970305,1815.91,1816,1767,1798.61,441418,1767.48,Oroumiyeh Cem.-a
13970306,1769.21,1798,1757,1776.13,162940,1757.11,Oroumiyeh Cem.-a
13970307,1749.33,1816,1749,1790.83,307857,1774.40,Oroumiyeh Cem.-a
13970308,1805.53,1806,1702,1731.17,1314048,1730.30,Oroumiyeh Cem.-a
13970309,1705.23,1764,1705,1731.17,76144,1763.16,Oroumiyeh Cem.-a
13970312,1755.38,1818,1755,1804.67,257520,1817.64,Oroumiyeh Cem.-a
13970313,1894.60,1895,1838,1888.55,2780444,1883.36,Oroumiyeh Cem.-a
13970319,1902.38,1983,1902,1973.29,2667769,1958.59,Oroumiyeh Cem.-a
13970320,2039.01,2039,1921,1962.91,1032738,1920.54,Oroumiyeh Cem.-a
13970321,1995.77,1996,1865,1881.63,796586,1893.73,Oroumiyeh Cem.-a
13970322,1893.73,1966,1894,1926.59,391346,1918.81,Oroumiyeh Cem.-a
13970323,1952.53,2023,1946,1976.75,1586390,2022.58,Oroumiyeh Cem.-a
