<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970107,17895.26,17895,17895,18833.51,130,17895.26,Sazeh Pouyesh-a
13970108,17892.07,19712,17892,18812.82,871,19712.08,Sazeh Pouyesh-a
13970114,19497.21,19497,19497,18813.61,41,19497.21,Sazeh Pouyesh-a
13970115,19019.73,19020,18968,18968.80,30209,18968.00,Sazeh Pouyesh-a
13970118,18020.99,18021,18021,18967.20,80,18020.99,Sazeh Pouyesh-a
13970201,18019.40,18019,18019,18943.33,1000,18019.40,Sazeh Pouyesh-a
13970203,18780.19,18780,18780,18943.33,1,18780.19,Sazeh Pouyesh-a
13970205,17996.32,17996,17996,18943.33,10,17996.32,Sazeh Pouyesh-a
13970215,17996.32,17996,17996,18919.46,1000,17996.32,Sazeh Pouyesh-a
13970218,17974.04,17974,17974,18914.68,210,17974.04,Sazeh Pouyesh-a
13970223,17969.27,17969,17969,18911.50,150,17969.27,Sazeh Pouyesh-a
13970224,17966.08,17969,17966,18880.46,1299,17966.08,Sazeh Pouyesh-a
13970225,17936.64,17937,17937,18874.89,244,17936.64,Sazeh Pouyesh-a
13970230,17931.86,17932,17932,18867.73,300,17931.86,Sazeh Pouyesh-a
13970323,17924.70,17925,17925,18866.93,45,17924.70,Sazeh Pouyesh-a
13970327,17923.90,17925,17924,18689.47,7541,17924.70,Sazeh Pouyesh-a
13970328,17755.19,17755,17755,18234.27,19500,17755.19,Sazeh Pouyesh-a
13970329,17323.07,17323,17323,18159.46,3300,17323.07,Sazeh Pouyesh-a
13970330,17252.25,17252,17252,18006.67,6728,17252.25,Sazeh Pouyesh-a
13970402,17106.61,17107,17107,17806.92,8868,17106.61,Sazeh Pouyesh-a
13970403,16917.21,16917,16917,17505.31,13556,16917.21,Sazeh Pouyesh-a
13970404,16630.72,16631,16631,17430.51,3417,16630.72,Sazeh Pouyesh-a
13970405,16559.10,16559,16559,17426.53,200,16559.10,Sazeh Pouyesh-a
13970406,16555.92,16556,16556,17420.96,241,16555.92,Sazeh Pouyesh-a
13970409,16550.35,16631,16550,17385.14,1650,16550.35,Sazeh Pouyesh-a
13970411,16516.13,16516,16516,17346.15,1789,16516.13,Sazeh Pouyesh-a
13970412,16479.52,16480,16480,17336.60,425,16479.52,Sazeh Pouyesh-a
13970413,16469.97,16909,16470,16524.88,38197,16469.97,Sazeh Pouyesh-a
13970416,15758.52,15759,15699,15701.22,50331,15698.84,Sazeh Pouyesh-a
13970417,14917.36,16486,14917,15727.48,12585,15518.19,Sazeh Pouyesh-a
13970419,15518.98,15519,14941,15289.79,22544,15518.19,Sazeh Pouyesh-a
13970425,16052.70,16054,16053,16053.66,809,16053.66,Sazeh Pouyesh-a
13970426,16855.96,16856,16054,16106.50,492369,16053.66,Sazeh Pouyesh-a
13970427,16911.68,16912,16911,16591.73,24117,16911.68,Sazeh Pouyesh-a
13970430,17420.93,17421,16815,17229.72,38585,16814.64,Sazeh Pouyesh-a
13970431,16369.77,16370,16369,17110.58,5520,16368.81,Sazeh Pouyesh-a
13970501,16255.43,16256,16255,17029.87,3755,16255.43,Sazeh Pouyesh-a
13970502,16178.57,16179,16179,16988.55,1921,16178.57,Sazeh Pouyesh-a
13970503,16139.17,16139,16139,16969.33,919,16139.17,Sazeh Pouyesh-a
13970506,16120.92,16121,16121,16120.92,133307,16120.92,Sazeh Pouyesh-a
13970507,15344.56,15351,15316,15803.84,15996,15315.73,Sazeh Pouyesh-a
13970508,15014.99,15018,15014,15725.05,4008,15014.03,Sazeh Pouyesh-a
13970509,14939.09,16511,14939,15433.92,396711,16502.37,Sazeh Pouyesh-a
13970510,16205.47,16205,14894,15132.21,38980,14893.93,Sazeh Pouyesh-a
13970513,14939.09,15583,14894,15129.33,5438,15564.59,Sazeh Pouyesh-a
13970514,14895.85,15373,14676,14965.03,17593,15373.38,Sazeh Pouyesh-a
13970515,15361.85,15363,14217,14669.09,23176,14441.37,Sazeh Pouyesh-a
13970516,14941.01,14941,14229,14671.97,622,14229.03,Sazeh Pouyesh-a
13970517,14234.79,15095,14234,14672.93,2150,15089.94,Sazeh Pouyesh-a
13970520,15103.39,15103,14233,14646.03,2733,14233.83,Sazeh Pouyesh-a
13970521,15058.23,15058,14797,14648.91,727,14796.88,Sazeh Pouyesh-a
13970522,14220.38,14220,14220,14646.99,199,14220.38,Sazeh Pouyesh-a
13970523,14207.89,14208,14135,14457.71,16292,14134.87,Sazeh Pouyesh-a
13970524,14434.65,14458,14435,14457.71,332131,14457.71,Sazeh Pouyesh-a
13970527,14412.55,14701,14413,14462.51,1276,14700.80,Sazeh Pouyesh-a
13970528,14047.43,14047,14029,14434.65,2681,14029.17,Sazeh Pouyesh-a
13970529,14003.23,14422,13930,14228.07,19320,14412.55,Sazeh Pouyesh-a
13970530,14508.63,14509,13836,14231.91,1453,14508.63,Sazeh Pouyesh-a
13970603,14657.56,14659,13933,14257.85,8581,14657.56,Sazeh Pouyesh-a
13970604,14628.74,14685,14258,14270.34,354257,14604.72,Sazeh Pouyesh-a
13970605,14690.23,14690,14182,14275.15,2293,14687.35,Sazeh Pouyesh-a
13970606,14690.23,14701,14413,14391.41,22426,14691.19,Sazeh Pouyesh-a
13970607,14796.88,14797,14415,14420.23,5278,14604.72,Sazeh Pouyesh-a
13970610,14605.68,14893,14414,14669.09,25358,14892.01,Sazeh Pouyesh-a
13970611,14989.05,15402,14690,15058.23,65969,15329.19,Sazeh Pouyesh-a
13970612,15584.77,15811,15510,15742.35,115476,15810.57,Sazeh Pouyesh-a
13970613,16214.12,16529,15854,16426.46,115634,16529.27,Sazeh Pouyesh-a
13970614,16918.41,17247,16918,17196.09,112229,17247.02,Sazeh Pouyesh-a
13970617,17583.31,18055,16681,17267.19,167085,18054.12,Sazeh Pouyesh-a
13970618,17698.61,17957,17679,17843.70,54038,17948.43,Sazeh Pouyesh-a
13970619,17876.36,18290,17309,17820.64,44564,17308.51,Sazeh Pouyesh-a
13970620,17381.53,17727,17197,17394.02,33953,17344.06,Sazeh Pouyesh-a
13970621,17247.02,18264,17247,18088.71,183902,18263.58,Sazeh Pouyesh-a
13970624,18992.86,18993,18993,18992.86,90312,18992.86,Sazeh Pouyesh-a
13970625,19942.16,19942,18746,19718.29,312283,19942.16,Sazeh Pouyesh-a
13970626,20211.20,20704,20211,20468.70,78233,20704.11,Sazeh Pouyesh-a
13970627,20980.83,21185,20759,20923.18,29752,21185.48,Sazeh Pouyesh-a
13970631,21968.57,22518,21969,21638.04,23960,22003.16,Sazeh Pouyesh-a
13970702,22178.99,22179,21097,21487.19,31961,21098.05,Sazeh Pouyesh-a
13970703,21344.02,21600,20950,21312.32,94658,21160.50,Sazeh Pouyesh-a
13970704,21972.41,22378,21369,21694.73,451168,22377.88,Sazeh Pouyesh-a
13970707,22235.68,22779,22229,22439.38,116980,22778.55,Sazeh Pouyesh-a
13970708,23000.50,23224,21878,22624.82,75104,22629.62,Sazeh Pouyesh-a
13970709,23188.83,23643,22688,23201.32,129236,22689.19,Sazeh Pouyesh-a
13970710,22620.97,23348,22042,22305.82,95154,22041.59,Sazeh Pouyesh-a
13970711,21191.25,21907,21191,21474.70,62968,21414.16,Sazeh Pouyesh-a
13970714,20937.59,22003,20508,20818.45,68702,20762.72,Sazeh Pouyesh-a
13970715,20297.67,20896,19778,20104.54,58038,19777.86,Sazeh Pouyesh-a
13970716,19602.03,20607,19501,19856.65,18564,19501.14,Sazeh Pouyesh-a
13970717,19985.40,20353,19360,19822.06,29125,19359.90,Sazeh Pouyesh-a
13970718,20317.85,20318,19889,20070.91,24722,19889.32,Sazeh Pouyesh-a
13970721,19579.93,19591,19580,20043.05,2308,19591.46,Sazeh Pouyesh-a
13970722,20355.32,20355,20355,20060.35,2250,20355.32,Sazeh Pouyesh-a
13970723,20561.90,21062,20057,20160.27,474579,20196.78,Sazeh Pouyesh-a
13970724,20369.73,20665,20178,20288.06,20310,20664.71,Sazeh Pouyesh-a
13970725,19780.74,20754,19781,20297.67,6496,20754.07,Sazeh Pouyesh-a
13970728,20898.19,20946,20298,20364.93,434150,20321.69,Sazeh Pouyesh-a
13970729,20177.57,20703,19987,20353.40,5928,19987.32,Sazeh Pouyesh-a
13970730,20859.76,20860,19641,19982.52,37597,19743.27,Sazeh Pouyesh-a
13970801,19294.56,19505,18984,19116.80,36396,19024.56,Sazeh Pouyesh-a
13970802,18660.41,20071,18660,20053.62,802341,20068.99,Sazeh Pouyesh-a
13970805,20188.14,20214,20186,20061.31,2199,20186.21,Sazeh Pouyesh-a
13970806,20177.57,20466,19063,19088.94,412053,20465.82,Sazeh Pouyesh-a
13970807,19575.12,19575,19063,19067.80,383641,19218.65,Sazeh Pouyesh-a
13970809,19216.73,19544,19217,19171.57,12451,19504.98,Sazeh Pouyesh-a
13970812,19601.07,19601,19598,19184.06,1193,19599.14,Sazeh Pouyesh-a
13970813,19658.72,19664,19217,19236.91,4548,19661.60,Sazeh Pouyesh-a
13970814,19717.33,19717,19217,19309.93,7626,19216.73,Sazeh Pouyesh-a
13970815,19216.73,19792,19217,19329.15,4617,19301.28,Sazeh Pouyesh-a
13970819,19810.53,19811,19397,19335.87,1094,19616.44,Sazeh Pouyesh-a
13970820,19216.73,19819,19217,19365.66,3400,19819.18,Sazeh Pouyesh-a
13970821,19294.56,19849,19292,19419.47,6336,19848.96,Sazeh Pouyesh-a
13970822,19697.15,19697,19697,19420.43,86,19697.15,Sazeh Pouyesh-a
13970823,19677.93,19678,19678,19427.15,1000,19677.93,Sazeh Pouyesh-a
13970826,18960.19,18981,18948,19364.70,5499,18976.52,Sazeh Pouyesh-a
13970827,18881.40,18928,18880,19271.50,7756,18880.44,Sazeh Pouyesh-a
13970828,18832.40,19744,18789,19207.12,17026,19730.78,Sazeh Pouyesh-a
13970829,19686.58,19687,19601,19232.10,2172,19639.50,Sazeh Pouyesh-a
13970830,19682.74,19683,19649,19276.30,4181,19649.11,Sazeh Pouyesh-a
13970903,18995.74,19236,18996,19268.62,1389,19235.95,Sazeh Pouyesh-a
13970905,18842.97,18843,18842,19243.63,2370,18842.00,Sazeh Pouyesh-a
13970906,19216.73,19409,19083,19238.83,1802,19408.90,Sazeh Pouyesh-a
13970907,19216.73,19217,18887,19200.40,7569,19216.73,Sazeh Pouyesh-a
13970910,18842.00,19217,18842,19189.83,2750,19120.65,Sazeh Pouyesh-a
13970911,18709.41,19409,18709,19110.08,9624,19312.81,Sazeh Pouyesh-a
13970912,19293.60,19294,19080,19112.96,1035,19080.29,Sazeh Pouyesh-a
13970914,19312.81,19590,19109,19207.12,10477,19548.22,Sazeh Pouyesh-a
13970917,19684.66,19685,19505,19253.24,4680,19677.93,Sazeh Pouyesh-a
13970918,19681.78,19682,18790,19167.73,8300,18790.12,Sazeh Pouyesh-a
13970919,18790.12,18790,18790,19117.76,5305,18790.12,Sazeh Pouyesh-a
13970920,19120.65,19121,19118,19117.76,6960,19117.76,Sazeh Pouyesh-a
13970921,19117.76,19118,18790,19080.29,5411,19111.04,Sazeh Pouyesh-a
13970925,19555.91,19556,18658,19097.59,11094,18736.31,Sazeh Pouyesh-a
13970926,18640.23,18655,18640,19086.06,1041,18654.64,Sazeh Pouyesh-a
13970927,18640.23,18993,18609,18992.86,7980,18992.86,Sazeh Pouyesh-a
13970928,18640.23,18993,18517,18870.83,10460,18992.86,Sazeh Pouyesh-a
13971001,18399.06,18399,18399,18761.29,9247,18399.06,Sazeh Pouyesh-a
13971002,18294.33,18294,18294,18749.76,1000,18294.33,Sazeh Pouyesh-a
13971003,18280.88,18746,18281,18735.35,8604,18736.31,Sazeh Pouyesh-a
13971008,18275.11,18275,18275,18729.59,500,18275.11,Sazeh Pouyesh-a
13971009,18275.11,18275,18261,18665.21,5606,18260.70,Sazeh Pouyesh-a
13971010,18214.58,18304,18198,18412.51,22447,18198.24,Sazeh Pouyesh-a
13971011,18845.85,18846,17952,18410.59,411,17952.27,Sazeh Pouyesh-a
13971015,17949.39,17950,17949,18282.80,11080,17949.39,Sazeh Pouyesh-a
13971016,17949.39,17950,17644,17791.81,38868,17643.84,Sazeh Pouyesh-a
13971017,17644.80,17646,17352,17417.08,65518,17352.71,Sazeh Pouyesh-a
13971018,17852.34,17852,17850,17419.01,165,17850.42,Sazeh Pouyesh-a
13971019,17854.26,17854,17854,17419.97,55,17854.26,Sazeh Pouyesh-a
13971022,17855.23,17855,17855,17420.93,69,17855.23,Sazeh Pouyesh-a
13971023,17856.19,17943,17637,17574.66,14099,17871.56,Sazeh Pouyesh-a
13971024,17871.56,17872,17141,17575.62,1263,17141.32,Sazeh Pouyesh-a
13971025,17136.52,17852,17137,17550.64,2602,17851.38,Sazeh Pouyesh-a
13971026,17153.81,17154,17112,17498.75,5000,17111.54,Sazeh Pouyesh-a
