<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,1272.84,1273,1273,1294.33,700,1272.84,Toosgostar Inv.-a
13970106,1229.85,1230,1230,1290.35,24000,1229.85,Toosgostar Inv.-a
13970107,1230.65,1231,1230,1289.56,2600,1229.85,Toosgostar Inv.-a
13970108,1225.08,1266,1225,1285.58,21500,1249.76,Toosgostar Inv.-a
13970114,1229.06,1229,1222,1281.60,21550,1221.89,Toosgostar Inv.-a
13970118,1217.91,1218,1218,1277.62,22252,1217.91,Toosgostar Inv.-a
13970119,1213.93,1214,1214,1277.62,2159,1213.93,Toosgostar Inv.-a
13970120,1213.93,1214,1214,1276.82,2301,1213.93,Toosgostar Inv.-a
13970121,1213.14,1213,1213,1267.27,52180,1213.14,Toosgostar Inv.-a
13970122,1204.38,1204,1204,1260.90,36595,1204.38,Toosgostar Inv.-a
13970129,1198.01,1198,1198,1251.35,54800,1198.01,Toosgostar Inv.-a
13970201,1189.26,1189,1189,1248.16,20670,1189.26,Toosgostar Inv.-a
13970203,1186.07,1186,1186,1248.16,1433,1186.07,Toosgostar Inv.-a
13970204,1186.07,1186,1186,1248.16,2000,1186.07,Toosgostar Inv.-a
13970205,1186.07,1186,1186,1243.39,27308,1186.07,Toosgostar Inv.-a
13970210,1181.30,1181,1181,1243.39,2043,1181.30,Toosgostar Inv.-a
13970219,1181.30,1181,1181,1243.39,2000,1181.30,Toosgostar Inv.-a
13970222,1181.30,1215,1181,1198.01,271374,1181.30,Toosgostar Inv.-a
13970223,1162.99,1190,1141,1178.91,162395,1178.11,Toosgostar Inv.-a
13970224,1154.23,1165,1120,1130.35,422752,1120.00,Toosgostar Inv.-a
13970225,1154.23,1154,1074,1091.35,335258,1082.59,Toosgostar Inv.-a
13970226,1076.22,1122,1075,1082.59,450210,1122.39,Toosgostar Inv.-a
13970229,1126.37,1137,1126,1104.08,150421,1136.72,Toosgostar Inv.-a
13970230,1159.01,1159,1159,1138.31,227830,1159.01,Toosgostar Inv.-a
13970231,1131.15,1162,1131,1140.70,53515,1139.90,Toosgostar Inv.-a
13970301,1140.70,1182,1133,1151.05,213758,1159.80,Toosgostar Inv.-a
13970302,1183.69,1194,1181,1185.28,329124,1180.50,Toosgostar Inv.-a
13970305,1154.23,1154,1134,1168.56,145515,1135.92,Toosgostar Inv.-a
13970306,1136.72,1148,1126,1156.62,129221,1126.37,Toosgostar Inv.-a
13970307,1115.23,1138,1114,1151.05,50900,1114.43,Toosgostar Inv.-a
13970308,1095.33,1146,1094,1143.88,119811,1119.21,Toosgostar Inv.-a
13970309,1091.35,1153,1091,1148.66,300785,1131.15,Toosgostar Inv.-a
13970312,1112.04,1204,1112,1163.78,387282,1189.26,Toosgostar Inv.-a
13970313,1197.22,1197,1128,1161.40,29305,1134.33,Toosgostar Inv.-a
13970319,1127.96,1183,1128,1160.60,46921,1136.72,Toosgostar Inv.-a
13970320,1131.94,1134,1117,1159.01,16212,1116.82,Toosgostar Inv.-a
13970321,1115.23,1178,1111,1155.82,24900,1112.04,Toosgostar Inv.-a
13970322,1154.23,1122,1099,1105.68,401103,1098.51,Toosgostar Inv.-a
13970323,1116.82,1142,1055,1104.08,133341,1107.27,Toosgostar Inv.-a
13970327,1118.41,1138,1118,1107.27,48465,1123.19,Toosgostar Inv.-a
13970328,1104.08,1129,1103,1108.06,46027,1108.86,Toosgostar Inv.-a
13970329,1108.06,1108,1102,1108.06,33132,1102.49,Toosgostar Inv.-a
13970330,1086.57,1094,1075,1101.70,82015,1082.59,Toosgostar Inv.-a
13970402,1114.43,1157,1114,1153.44,567404,1156.62,Toosgostar Inv.-a
13970403,1123.19,1205,1123,1175.73,246491,1174.93,Toosgostar Inv.-a
13970404,1146.27,1192,1125,1167.77,139029,1128.76,Toosgostar Inv.-a
13970405,1120.00,1124,1120,1164.58,28749,1123.19,Toosgostar Inv.-a
13970406,1106.47,1114,1106,1160.60,24113,1107.27,Toosgostar Inv.-a
13970409,1104.08,1116,1104,1156.62,26440,1108.86,Toosgostar Inv.-a
13970410,1108.86,1109,1099,1152.64,23544,1099.31,Toosgostar Inv.-a
13970411,1095.33,1106,1095,1149.46,22715,1097.72,Toosgostar Inv.-a
13970412,1092.14,1099,1092,1147.07,18258,1098.51,Toosgostar Inv.-a
13970413,1089.75,1114,1090,1133.54,92986,1114.43,Toosgostar Inv.-a
13970416,1112.84,1114,1113,1132.74,11364,1114.43,Toosgostar Inv.-a
13970417,1079.41,1122,1079,1127.96,36838,1122.39,Toosgostar Inv.-a
13970419,1079.41,1127,1079,1127.96,5100,1127.17,Toosgostar Inv.-a
13970420,1077.81,1078,1076,1126.37,12038,1076.22,Toosgostar Inv.-a
13970423,1079.41,1083,1079,1125.58,6263,1079.41,Toosgostar Inv.-a
13970424,1078.61,1114,1076,1120.80,39183,1077.81,Toosgostar Inv.-a
13970425,1078.61,1112,1079,1116.82,39050,1112.04,Toosgostar Inv.-a
13970426,1079.41,1083,1061,1107.27,74179,1082.59,Toosgostar Inv.-a
13970427,1113.64,1151,1071,1111.25,96055,1151.05,Toosgostar Inv.-a
13970430,1164.58,1165,1122,1116.02,43406,1122.39,Toosgostar Inv.-a
13970431,1164.58,1165,1118,1116.82,20500,1152.64,Toosgostar Inv.-a
13970501,1061.10,1061,1061,1112.84,25467,1061.10,Toosgostar Inv.-a
13970502,1057.91,1058,1058,1112.04,7515,1057.91,Toosgostar Inv.-a
13970503,1057.12,1057,1057,1101.70,66625,1057.12,Toosgostar Inv.-a
13970506,1046.77,1047,1047,1098.51,23475,1046.77,Toosgostar Inv.-a
13970507,1043.59,1044,1044,1098.51,1552,1043.59,Toosgostar Inv.-a
13970508,1043.59,1044,1044,1098.51,800,1043.59,Toosgostar Inv.-a
13970509,1043.59,1044,1044,1069.85,189898,1043.59,Toosgostar Inv.-a
13970510,1016.52,1017,1017,1065.08,31667,1016.52,Toosgostar Inv.-a
13970513,1012.54,1013,1013,1041.99,162590,1012.54,Toosgostar Inv.-a
13970514,990.25,990,990,1040.40,9521,990.25,Toosgostar Inv.-a
13970515,874.83,915,832,839.80,802446,831.84,Toosgostar Inv.-a
13970516,831.84,881,806,862.09,570960,881.20,Toosgostar Inv.-a
13970517,905.08,905,836,875.62,978695,835.82,Toosgostar Inv.-a
13970520,903.49,903,849,872.44,171333,848.56,Toosgostar Inv.-a
13970521,835.82,855,829,848.56,262447,854.93,Toosgostar Inv.-a
13970522,870.05,870,820,848.56,14233,835.82,Toosgostar Inv.-a
13970523,819.90,844,814,844.58,67342,819.90,Toosgostar Inv.-a
13970524,835.82,845,820,842.99,37516,842.99,Toosgostar Inv.-a
13970527,851.74,884,848,878.01,1043130,884.38,Toosgostar Inv.-a
13970528,921.79,922,853,882.79,678054,853.34,Toosgostar Inv.-a
13970529,875.62,882,847,872.44,190300,881.99,Toosgostar Inv.-a
13970530,871.64,888,860,872.44,138425,859.70,Toosgostar Inv.-a
13970603,881.20,915,855,913.83,3472818,915.43,Toosgostar Inv.-a
13970604,924.98,958,925,936.12,317954,947.27,Toosgostar Inv.-a
13970605,963.19,963,913,928.96,392551,924.98,Toosgostar Inv.-a
13970606,945.67,946,905,928.16,253180,905.08,Toosgostar Inv.-a
13970607,926.57,928,886,921.79,189328,885.97,Toosgostar Inv.-a
13970610,946.47,958,923,948.86,444996,957.62,Toosgostar Inv.-a
13970611,966.37,966,929,948.06,95232,949.65,Toosgostar Inv.-a
13970612,935.33,954,917,944.88,59421,953.64,Toosgostar Inv.-a
13970613,916.22,967,916,944.08,154673,955.23,Toosgostar Inv.-a
13970614,916.22,932,916,939.31,107041,932.14,Toosgostar Inv.-a
13970617,955.23,979,948,964.78,548115,978.31,Toosgostar Inv.-a
13970618,979.90,981,970,975.13,1338702,978.31,Toosgostar Inv.-a
13970619,979.11,1024,971,1010.15,2342894,1023.69,Toosgostar Inv.-a
13970620,1060.30,1060,1010,1053.14,6111715,1060.30,Toosgostar Inv.-a
13970621,1105.68,1106,1106,1075.43,178032,1105.68,Toosgostar Inv.-a
13970624,1128.76,1129,1129,1126.37,351923,1128.76,Toosgostar Inv.-a
13970625,1182.09,1182,1182,1182.09,1081317,1182.09,Toosgostar Inv.-a
13970626,1241.00,1302,1241,1299.90,848580,1302.29,Toosgostar Inv.-a
13970627,1364.38,1364,1276,1350.05,5889727,1364.38,Toosgostar Inv.-a
13970631,1416.92,1417,1417,1385.08,187914,1416.92,Toosgostar Inv.-a
13970702,1454.33,1527,1454,1512.44,1488452,1526.77,Toosgostar Inv.-a
13970703,1588.07,1588,1580,1588.07,1823611,1588.07,Toosgostar Inv.-a
13970704,1666.87,1750,1667,1735.33,2361051,1749.66,Toosgostar Inv.-a
13970707,1822.10,1822,1821,1822.10,2791723,1822.10,Toosgostar Inv.-a
13970708,1912.84,1913,1913,1912.84,913657,1912.84,Toosgostar Inv.-a
13970709,2008.36,2008,1817,1958.22,4097312,2008.36,Toosgostar Inv.-a
13970710,2056.13,2056,1862,2029.86,5938824,2056.13,Toosgostar Inv.-a
13970711,2130.95,2131,2131,2119.01,318572,2130.95,Toosgostar Inv.-a
13970714,2224.88,2336,2118,2255.93,3709577,2298.91,Toosgostar Inv.-a
13970715,2252.74,2368,2144,2245.58,3573064,2143.69,Toosgostar Inv.-a
13970716,2133.34,2216,2133,2146.87,3233807,2133.34,Toosgostar Inv.-a
13970717,2040.21,2254,2040,2230.46,3314839,2253.54,Toosgostar Inv.-a
13970718,2341.90,2342,2342,2341.90,450444,2341.90,Toosgostar Inv.-a
13970721,2458.91,2459,2225,2434.24,13741208,2391.25,Toosgostar Inv.-a
13970722,2443.79,2507,2313,2348.27,597580,2388.07,Toosgostar Inv.-a
13970723,2411.95,2465,2237,2403.19,3711522,2465.28,Toosgostar Inv.-a
13970724,2515.43,2523,2465,2521.00,3958640,2522.60,Toosgostar Inv.-a
13970725,2646.78,2647,2647,2646.78,395749,2646.78,Toosgostar Inv.-a
13970728,2778.91,2917,2640,2713.64,6200163,2655.53,Toosgostar Inv.-a
13970729,2650.76,2651,2578,2587.07,897260,2578.32,Toosgostar Inv.-a
13970730,2458.12,2547,2458,2468.47,2560879,2458.12,Toosgostar Inv.-a
13970801,2345.08,2466,2345,2348.27,1409816,2345.08,Toosgostar Inv.-a
13970802,2231.25,2231,2231,2231.25,1659982,2231.25,Toosgostar Inv.-a
13970805,2119.81,2120,2120,2220.90,32510,2119.81,Toosgostar Inv.-a
13970806,2110.26,2181,2110,2120.60,1836484,2172.35,Toosgostar Inv.-a
13970807,2134.14,2226,2134,2219.31,639636,2226.48,Toosgostar Inv.-a
13970809,2329.96,2330,2330,2259.91,131884,2329.96,Toosgostar Inv.-a
13970812,2372.15,2372,2158,2329.16,2022710,2264.68,Toosgostar Inv.-a
13970813,2212.94,2388,2213,2259.11,1664202,2304.49,Toosgostar Inv.-a
13970814,2309.26,2371,2285,2347.47,999745,2371.35,Toosgostar Inv.-a
13970815,2426.28,2426,2309,2361.00,322268,2369.76,Toosgostar Inv.-a
13970819,2370.56,2387,2245,2292.54,458912,2287.77,Toosgostar Inv.-a
13970820,2245.58,2308,2178,2237.62,1167386,2228.86,Toosgostar Inv.-a
13970821,2308.47,2349,2209,2302.10,1510948,2349.06,Toosgostar Inv.-a
13970822,2411.15,2411,2293,2353.04,590827,2348.27,Toosgostar Inv.-a
13970823,2340.31,2372,2256,2314.04,425788,2269.46,Toosgostar Inv.-a
13970826,2369.76,2412,2277,2337.12,602227,2285.38,Toosgostar Inv.-a
13970827,2269.46,2369,2221,2248.76,305616,2275.83,Toosgostar Inv.-a
13970828,2308.47,2308,2140,2184.29,429018,2172.35,Toosgostar Inv.-a
13970829,2189.06,2267,2150,2234.44,558446,2189.06,Toosgostar Inv.-a
13970830,2276.62,2277,2189,2227.27,163866,2231.25,Toosgostar Inv.-a
13970903,2228.86,2243,2155,2232.05,644166,2190.65,Toosgostar Inv.-a
13970905,2189.06,2190,2121,2140.50,529151,2126.18,Toosgostar Inv.-a
13970906,2038.61,2062,2034,2034.63,734122,2033.84,Toosgostar Inv.-a
13970907,1933.54,2020,1934,1934.33,786314,1933.54,Toosgostar Inv.-a
13970910,1838.02,1902,1838,1838.81,422858,1838.02,Toosgostar Inv.-a
13970911,1834.04,1930,1834,1916.82,555568,1930.35,Toosgostar Inv.-a
13970912,1978.12,1989,1942,1933.54,134668,1950.26,Toosgostar Inv.-a
13970913,1950.26,1950,1840,1920.01,81534,1933.54,Toosgostar Inv.-a
13970914,1950.26,1950,1824,1842.00,589853,1824.48,Toosgostar Inv.-a
13970917,1775.93,1860,1750,1771.95,1488057,1798.21,Toosgostar Inv.-a
