<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,880.67,904,878,878.48,273757,890.13,Tosee Melli Inv-a
13970106,895.22,895,886,882.12,535084,888.67,Tosee Melli Inv-a
13970107,900.32,900,888,885.76,649791,898.86,Tosee Melli Inv-a
13970108,895.22,925,895,894.49,544285,920.70,Tosee Melli Inv-a
13970114,923.61,939,924,937.44,2108035,938.89,Tosee Melli Inv-a
13970115,981.83,982,953,971.64,1697092,975.28,Tosee Melli Inv-a
13970118,976.74,977,943,963.64,680549,946.17,Tosee Melli Inv-a
13970119,942.53,955,932,957.81,529128,931.61,Tosee Melli Inv-a
13970120,932.34,944,911,934.52,1044591,917.06,Tosee Melli Inv-a
13970121,925.06,938,924,933.80,534488,924.33,Tosee Melli Inv-a
13970122,930.89,932,910,930.89,278697,912.69,Tosee Melli Inv-a
13970126,923.61,924,902,928.70,160473,904.68,Tosee Melli Inv-a
13970127,903.96,928,904,927.97,259417,925.06,Tosee Melli Inv-a
13970128,938.16,944,917,930.16,381729,938.16,Tosee Melli Inv-a
13970129,938.89,939,921,929.43,333084,925.06,Tosee Melli Inv-a
13970201,925.06,925,884,890.85,1697667,883.58,Tosee Melli Inv-a
13970202,884.30,884,846,876.30,864361,865.38,Tosee Melli Inv-a
13970203,880.67,881,837,860.29,1237500,847.91,Tosee Melli Inv-a
13970204,845.73,866,846,858.10,417528,850.82,Tosee Melli Inv-a
13970205,872.66,873,849,856.65,476653,849.37,Tosee Melli Inv-a
13970208,852.28,855,831,842.82,1340792,831.17,Tosee Melli Inv-a
13970209,834.08,834,801,804.24,3062522,801.33,Tosee Melli Inv-a
13970210,800.60,801,771,800.60,522618,798.42,Tosee Melli Inv-a
13970211,807.88,808,769,779.50,1617019,768.58,Tosee Melli Inv-a
13970215,775.13,786,750,772.22,1188686,751.84,Tosee Melli Inv-a
13970216,754.02,771,748,770.04,346562,760.57,Tosee Melli Inv-a
13970217,756.94,779,746,767.85,879488,777.31,Tosee Melli Inv-a
13970218,778.77,795,768,775.86,674711,794.78,Tosee Melli Inv-a
13970219,786.05,790,759,777.31,956454,789.69,Tosee Melli Inv-a
13970222,792.60,804,789,781.68,525400,803.52,Tosee Melli Inv-a
13970223,800.60,820,801,789.69,383220,820.26,Tosee Melli Inv-a
13970224,828.99,829,829,799.88,463250,828.99,Tosee Melli Inv-a
13970225,839.18,839,810,836.27,2508323,834.81,Tosee Melli Inv-a
13970226,837.00,837,817,834.81,410832,816.62,Tosee Melli Inv-a
13970229,828.26,829,816,827.53,1110968,822.44,Tosee Melli Inv-a
13970230,822.44,822,801,818.07,1044094,809.34,Tosee Melli Inv-a
13970231,800.60,820,801,816.62,539267,815.16,Tosee Melli Inv-a
13970301,820.26,822,815,818.07,1012245,815.16,Tosee Melli Inv-a
13970302,819.53,830,801,816.62,853774,820.26,Tosee Melli Inv-a
13970305,806.43,822,801,815.16,858306,816.62,Tosee Melli Inv-a
13970306,820.98,852,812,820.98,1434865,851.55,Tosee Melli Inv-a
13970307,822.44,848,822,826.81,611957,842.82,Tosee Melli Inv-a
13970308,846.46,846,827,830.45,533459,837.72,Tosee Melli Inv-a
13970309,837.00,837,822,829.72,402367,829.72,Tosee Melli Inv-a
13970312,839.91,840,801,823.17,711627,814.43,Tosee Melli Inv-a
13970313,834.81,835,806,820.98,599359,821.71,Tosee Melli Inv-a
13970319,827.53,828,803,820.98,782810,821.71,Tosee Melli Inv-a
13970320,823.17,823,815,818.80,909664,820.98,Tosee Melli Inv-a
13970321,820.98,822,808,817.34,984472,807.88,Tosee Melli Inv-a
13970322,807.88,824,808,818.80,965326,823.90,Tosee Melli Inv-a
13970323,824.62,860,825,845.00,1630490,845.73,Tosee Melli Inv-a
13970327,866.11,887,866,887.22,4989501,887.22,Tosee Melli Inv-a
13970328,930.89,931,892,914.15,1720988,910.51,Tosee Melli Inv-a
13970329,914.87,959,915,950.54,3561361,959.27,Tosee Melli Inv-a
13970330,960.73,998,960,997.12,1865704,997.84,Tosee Melli Inv-a
13970402,959.27,1018,956,994.93,449466,975.28,Tosee Melli Inv-a
13970403,1044.43,1044,997,1032.78,3929039,1042.24,Tosee Melli Inv-a
13970404,1044.43,1084,1044,1083.00,6939050,1083.73,Tosee Melli Inv-a
13970405,1084.46,1084,1029,1048.06,3450678,1037.15,Tosee Melli Inv-a
13970406,1068.44,1068,996,997.84,2009777,995.66,Tosee Melli Inv-a
13970409,983.29,983,961,986.20,1089525,965.82,Tosee Melli Inv-a
13970410,998.57,1004,937,976.01,737456,940.35,Tosee Melli Inv-a
13970411,990.57,991,927,959.27,1017172,958.54,Tosee Melli Inv-a
13970412,946.90,975,929,957.09,433380,974.55,Tosee Melli Inv-a
13970413,946.17,950,931,951.99,492464,946.17,Tosee Melli Inv-a
13970416,946.17,967,915,947.63,448823,917.78,Tosee Melli Inv-a
13970417,931.61,946,929,944.71,635253,929.43,Tosee Melli Inv-a
13970419,911.23,922,902,919.97,1199568,902.50,Tosee Melli Inv-a
13970420,899.59,945,883,911.96,1431802,945.44,Tosee Melli Inv-a
13970423,927.25,927,917,912.69,138814,917.06,Tosee Melli Inv-a
13970424,933.07,934,911,914.15,141538,930.89,Tosee Melli Inv-a
13970425,917.06,924,892,913.42,170783,900.32,Tosee Melli Inv-a
13970426,902.50,921,899,912.69,139979,903.96,Tosee Melli Inv-a
13970427,895.22,927,892,911.23,391512,904.68,Tosee Melli Inv-a
13970430,903.96,914,878,905.41,653784,914.15,Tosee Melli Inv-a
13970431,883.58,904,882,900.32,686358,895.22,Tosee Melli Inv-a
13970501,887.94,911,885,899.59,425563,909.78,Tosee Melli Inv-a
13970502,902.50,912,892,899.59,296568,892.31,Tosee Melli Inv-a
13970503,888.67,916,887,898.86,246471,914.15,Tosee Melli Inv-a
13970506,909.78,943,910,941.07,2330891,943.26,Tosee Melli Inv-a
13970507,944.71,945,911,933.80,731064,917.06,Tosee Melli Inv-a
13970508,940.35,980,940,977.47,5422556,980.38,Tosee Melli Inv-a
13970509,1026.23,1026,1004,1026.23,8859781,1026.23,Tosee Melli Inv-a
13970510,1064.08,1077,1005,1044.43,6002825,1018.95,Tosee Melli Inv-a
13970513,1018.95,1037,993,1003.67,2311488,992.75,Tosee Melli Inv-a
13970514,1004.40,1053,993,1030.60,3133523,1015.31,Tosee Melli Inv-a
13970515,1081.54,1082,1047,1078.63,5173751,1046.61,Tosee Melli Inv-a
13970516,1055.34,1055,1025,1031.32,1662949,1024.77,Tosee Melli Inv-a
13970517,1004.40,1017,980,1021.14,458942,998.57,Tosee Melli Inv-a
13970520,995.66,1012,983,1004.40,975492,990.57,Tosee Melli Inv-a
13970521,1005.85,1015,992,1004.40,325700,994.93,Tosee Melli Inv-a
13970522,986.93,1001,975,998.57,556583,987.66,Tosee Melli Inv-a
13970523,1010.95,1019,991,1004.40,867868,998.57,Tosee Melli Inv-a
13970524,1014.58,1015,991,1003.67,423240,997.12,Tosee Melli Inv-a
13970527,1015.31,1015,980,998.57,543205,1008.03,Tosee Melli Inv-a
13970528,1013.86,1019,991,1006.58,1005953,1008.03,Tosee Melli Inv-a
13970529,1008.03,1030,983,1019.68,2743623,1018.95,Tosee Melli Inv-a
13970530,997.84,1020,998,1018.22,1028988,1018.95,Tosee Melli Inv-a
13970603,1024.77,1068,1024,1066.26,9394924,1068.44,Tosee Melli Inv-a
13970604,1082.27,1119,1082,1117.94,2916608,1113.57,Tosee Melli Inv-a
13970605,1113.57,1120,1063,1066.99,4682576,1063.35,Tosee Melli Inv-a
13970606,1084.46,1084,1026,1052.43,1886889,1062.62,Tosee Melli Inv-a
13970607,1062.62,1090,1059,1058.25,865761,1062.62,Tosee Melli Inv-a
13970610,1060.44,1090,1060,1060.44,432801,1069.90,Tosee Melli Inv-a
13970611,1063.35,1063,1019,1051.70,647426,1042.24,Tosee Melli Inv-a
13970612,1038.60,1068,1034,1051.70,483614,1064.80,Tosee Melli Inv-a
13970613,1034.96,1084,1035,1057.53,542481,1054.61,Tosee Melli Inv-a
13970614,1043.70,1076,1044,1057.53,284609,1062.62,Tosee Melli Inv-a
13970617,1069.17,1095,1049,1077.18,3250463,1084.46,Tosee Melli Inv-a
13970618,1084.46,1122,1058,1096.83,2259607,1110.66,Tosee Melli Inv-a
13970619,1068.44,1151,1068,1146.32,8925773,1142.68,Tosee Melli Inv-a
13970620,1135.40,1194,1106,1162.33,5413974,1165.24,Tosee Melli Inv-a
13970621,1200.18,1220,1168,1210.37,4779341,1196.54,Tosee Melli Inv-a
13970624,1264.23,1271,1200,1233.66,2111647,1200.91,Tosee Melli Inv-a
13970625,1233.66,1239,1173,1187.81,3077934,1196.54,Tosee Melli Inv-a
13970626,1187.08,1247,1186,1224.20,3623766,1216.19,Tosee Melli Inv-a
