<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970620,4687.30,4687,4687,4687.30,15006450,4687.30,Atrin Nakh Qom-a
13970621,4921.00,4921,4921,4921.00,36555,4921.00,Atrin Nakh Qom-a
13970624,5166.14,5166,5166,5166.14,79250,5166.14,Atrin Nakh Qom-a
13970625,5423.69,5424,5424,5423.69,108949,5423.69,Atrin Nakh Qom-a
13970626,5694.58,5695,5695,5694.58,161656,5694.58,Atrin Nakh Qom-a
13970627,5978.84,5979,5979,5978.84,157722,5978.84,Atrin Nakh Qom-a
13970631,6277.40,6277,6277,6277.40,340899,6277.40,Atrin Nakh Qom-a
13970701,6591.22,6591,6591,6591.22,107890,6591.22,Atrin Nakh Qom-a
13970702,6920.30,6920,6920,6920.30,253124,6920.30,Atrin Nakh Qom-a
13970703,7265.60,7266,7266,7265.60,311660,7265.60,Atrin Nakh Qom-a
13970704,7628.07,7628,7628,7628.07,320048,7628.07,Atrin Nakh Qom-a
13970707,8008.66,8009,8009,8008.66,201105,8008.66,Atrin Nakh Qom-a
13970708,8408.33,8408,8408,8408.33,426821,8408.33,Atrin Nakh Qom-a
13970709,8828.04,8828,8828,8828.04,1739341,8828.04,Atrin Nakh Qom-a
13970710,9268.72,9269,9269,9268.72,208477,9268.72,Atrin Nakh Qom-a
13970715,8806.10,8806,8366,8581.94,628674,8366.36,Atrin Nakh Qom-a
13970716,8153.65,8690,8154,8311.99,8597087,8680.19,Atrin Nakh Qom-a
13970717,8726.93,8727,8393,8697.36,5022160,8701.17,Atrin Nakh Qom-a
13970718,8718.34,8890,8263,8594.34,4083814,8651.57,Atrin Nakh Qom-a
13970721,8774.62,8775,8165,8282.42,2719553,8184.18,Atrin Nakh Qom-a
13970722,8394.03,8696,8299,8602.92,2361426,8696.40,Atrin Nakh Qom-a
13970723,9032.16,9032,8795,9030.25,2165807,9032.16,Atrin Nakh Qom-a
13970724,9481.43,9481,8823,9188.60,3941505,9061.73,Atrin Nakh Qom-a
13970725,8818.50,8991,8730,8767.94,2339985,8776.53,Atrin Nakh Qom-a
13970728,8689.72,9109,8690,8851.88,1676175,8821.36,Atrin Nakh Qom-a
13970729,8689.72,8852,8500,8635.35,1783056,8508.49,Atrin Nakh Qom-a
13970730,8487.50,8488,8204,8262.39,1612285,8322.49,Atrin Nakh Qom-a
13970801,7973.37,8537,7970,8191.81,1219962,8146.02,Atrin Nakh Qom-a
13970802,8191.81,8318,8070,8169.87,529740,8205.16,Atrin Nakh Qom-a
13970805,8155.56,8578,8129,8377.81,736256,8477.97,Atrin Nakh Qom-a
13970806,8279.56,8795,8280,8653.48,1876193,8756.50,Atrin Nakh Qom-a
13970807,8775.57,9014,8349,8590.52,1272277,8508.49,Atrin Nakh Qom-a
13970809,8565.72,8776,8252,8554.28,650640,8584.80,Atrin Nakh Qom-a
13970812,8417.87,8528,8338,8423.60,406724,8498.95,Atrin Nakh Qom-a
13970813,8441.72,8766,8394,8551.41,649414,8484.64,Atrin Nakh Qom-a
13970814,8404.52,8728,8405,8606.74,343569,8584.80,Atrin Nakh Qom-a
13970815,8414.06,8661,8413,8477.01,731811,8424.55,Atrin Nakh Qom-a
13970819,8394.03,8479,8308,8372.09,184253,8308.18,Atrin Nakh Qom-a
13970820,8309.13,8724,8309,8721.20,2500896,8724.06,Atrin Nakh Qom-a
13970821,8965.39,8965,8442,8649.66,1026136,8570.49,Atrin Nakh Qom-a
13970822,8394.98,8612,8341,8447.44,930809,8374.95,Atrin Nakh Qom-a
13970823,8348.24,8585,8348,8485.60,534724,8556.18,Atrin Nakh Qom-a
13970826,8394.98,8632,8395,8556.18,878892,8491.32,Atrin Nakh Qom-a
13970827,8584.80,8671,8318,8517.07,692739,8492.27,Atrin Nakh Qom-a
13970828,8398.80,8570,8399,8465.57,318252,8536.15,Atrin Nakh Qom-a
13970829,8442.67,8632,8372,8464.61,770133,8537.11,Atrin Nakh Qom-a
13970830,8394.98,8680,8395,8564.77,643038,8680.19,Atrin Nakh Qom-a
13970903,8618.18,8728,8414,8607.69,394999,8567.63,Atrin Nakh Qom-a
13970905,8609.60,8610,8204,8405.47,497116,8430.27,Atrin Nakh Qom-a
13970906,8308.18,8585,8203,8395.93,452821,8457.93,Atrin Nakh Qom-a
13970907,8255.72,8499,8256,8375.90,299688,8394.03,Atrin Nakh Qom-a
13970910,8270.02,8449,8136,8257.62,663665,8146.02,Atrin Nakh Qom-a
13970911,8393.07,8393,8203,8282.42,182451,8336.79,Atrin Nakh Qom-a
13970912,8198.48,8394,8198,8270.98,284681,8298.64,Atrin Nakh Qom-a
13970913,8126.94,8298,8127,8187.99,351369,8137.44,Atrin Nakh Qom-a
13970914,8117.40,8540,8022,8249.99,569233,8203.25,Atrin Nakh Qom-a
13970917,8441.72,8613,8213,8522.80,643065,8539.01,Atrin Nakh Qom-a
13970918,8613.42,8613,8356,8518.98,463450,8584.80,Atrin Nakh Qom-a
13970919,8589.57,8632,8394,8573.35,217833,8539.01,Atrin Nakh Qom-a
13970921,8670.65,8802,8502,8722.16,949679,8668.74,Atrin Nakh Qom-a
13970924,8669.69,8919,8586,8795.60,502768,8860.47,Atrin Nakh Qom-a
13970925,8632.49,8828,8632,8755.54,267012,8718.34,Atrin Nakh Qom-a
13970926,8584.80,8841,8585,8671.60,493219,8678.28,Atrin Nakh Qom-a
13970927,8584.80,8632,8485,8545.69,295557,8489.41,Atrin Nakh Qom-a
13970928,8494.18,8619,8356,8448.40,177250,8521.84,Atrin Nakh Qom-a
13971001,8632.49,8632,8318,8436.00,244620,8317.72,Atrin Nakh Qom-a
13971002,8531.38,8601,8395,8528.52,204970,8488.46,Atrin Nakh Qom-a
13971003,8690.68,8765,8419,8467.47,171016,8488.46,Atrin Nakh Qom-a
13971004,8581.94,8582,8442,8492.27,78119,8575.26,Atrin Nakh Qom-a
13971005,8508.49,8632,8426,8493.23,101664,8428.36,Atrin Nakh Qom-a
13971008,8494.18,8495,8351,8412.15,273787,8395.93,Atrin Nakh Qom-a
13971009,8394.03,8466,8308,8369.23,248421,8391.16,Atrin Nakh Qom-a
13971010,8373.04,8461,8251,8324.39,669392,8298.64,Atrin Nakh Qom-a
13971011,8346.33,8498,8299,8346.33,337462,8444.58,Atrin Nakh Qom-a
13971012,8309.13,8394,8157,8249.04,686120,8184.18,Atrin Nakh Qom-a
13971015,8250.95,8405,8203,8238.55,249361,8322.49,Atrin Nakh Qom-a
13971016,8370.18,8370,8181,8224.24,478133,8203.25,Atrin Nakh Qom-a
13971017,8250.95,8384,8126,8242.36,267011,8298.64,Atrin Nakh Qom-a
13971018,8298.64,8654,8281,8444.58,2130414,8654.43,Atrin Nakh Qom-a
13971019,8866.19,8866,8866,8866.19,183647,8866.19,Atrin Nakh Qom-a
13971022,9308.78,9773,9309,9566.33,1749177,9727.53,Atrin Nakh Qom-a
13971023,9545.34,10044,9445,9876.33,2776022,10044.21,Atrin Nakh Qom-a
13971024,10365.67,10369,9934,10288.40,2007340,10369.48,Atrin Nakh Qom-a
13971025,10110.99,10803,9774,10483.95,3443379,10802.54,Atrin Nakh Qom-a
13971026,10864.54,10954,10133,10526.87,1412614,10204.46,Atrin Nakh Qom-a
13971029,10527.83,10969,10528,10753.89,998638,10609.86,Atrin Nakh Qom-a
13971030,11052.45,11207,10217,10445.79,2493166,10216.86,Atrin Nakh Qom-a
13971101,10301.76,10397,9924,9986.98,1127197,9924.03,Atrin Nakh Qom-a
13971102,9861.07,10486,9740,10292.22,1869859,10485.86,Atrin Nakh Qom-a
13971103,10513.52,10806,10493,10728.14,1095844,10754.85,Atrin Nakh Qom-a
13971106,10521.15,10874,10206,10444.84,1521793,10587.92,Atrin Nakh Qom-a
13971107,10492.53,10550,10312,10405.73,472201,10482.99,Atrin Nakh Qom-a
13971108,10349.45,10856,10312,10725.28,669498,10687.12,Atrin Nakh Qom-a
13971109,10722.41,11261,10555,11173.59,970031,11261.35,Atrin Nakh Qom-a
13971110,11446.40,11732,11284,11577.08,1969953,11731.60,Atrin Nakh Qom-a
13971113,12114.11,12114,11446,11679.14,1307039,11541.79,Atrin Nakh Qom-a
