<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,3971.23,4044,3949,4018.06,149392,3994.18,Atieh Dade Pardaz-a
13970106,3971.23,4057,3951,4039.63,373588,4012.09,Atieh Dade Pardaz-a
13970107,4046.98,4086,3992,4071.77,495287,4034.58,Atieh Dade Pardaz-a
13970108,4027.24,4085,3969,4052.03,377867,3998.77,Atieh Dade Pardaz-a
13970114,4007.96,4036,3937,3981.33,115327,3948.27,Atieh Dade Pardaz-a
13970115,3971.23,3994,3879,3951.03,249374,3938.63,Atieh Dade Pardaz-a
13970118,3856.91,3994,3857,3970.77,505993,3934.50,Atieh Dade Pardaz-a
13970119,3939.09,3971,3851,3956.54,406313,3861.04,Atieh Dade Pardaz-a
13970120,3902.36,3948,3759,3825.23,908313,3759.12,Atieh Dade Pardaz-a
13970121,3846.35,3944,3778,3903.74,567673,3851.86,Atieh Dade Pardaz-a
13970122,3897.77,3972,3742,3847.73,287996,3819.73,Atieh Dade Pardaz-a
13970126,3840.84,3932,3744,3900.99,606533,3849.57,Atieh Dade Pardaz-a
13970127,3810.54,3890,3736,3811.92,378511,3754.99,Atieh Dade Pardaz-a
13970128,3787.59,3855,3755,3819.73,358541,3793.10,Atieh Dade Pardaz-a
13970129,3792.18,3817,3673,3735.71,574099,3727.90,Atieh Dade Pardaz-a
13970201,3742.60,3796,3714,3762.80,588031,3750.86,Atieh Dade Pardaz-a
13970202,3764.63,3850,3736,3810.54,488987,3764.17,Atieh Dade Pardaz-a
13970203,3788.51,3819,3688,3733.41,177930,3716.43,Atieh Dade Pardaz-a
13970204,3718.72,3800,3547,3601.19,1590976,3620.47,Atieh Dade Pardaz-a
13970205,3649.86,3667,3494,3568.14,427417,3534.62,Atieh Dade Pardaz-a
13970208,3644.81,3645,3498,3614.51,753232,3557.58,Atieh Dade Pardaz-a
13970209,3480.45,3602,3434,3510.75,997394,3434.08,Atieh Dade Pardaz-a
13970210,3335.37,3335,3335,3335.37,925676,3335.37,Atieh Dade Pardaz-a
13970211,3177.44,3250,3169,3170.56,3418667,3168.72,Atieh Dade Pardaz-a
13970215,3209.12,3227,3048,3150.81,567194,3098.94,Atieh Dade Pardaz-a
13970216,3085.16,3085,2993,2999.31,348215,2993.34,Atieh Dade Pardaz-a
13970217,2984.16,3149,2984,3052.11,2556223,3103.53,Atieh Dade Pardaz-a
13970218,3158.62,3205,3127,3176.52,1261559,3167.80,Atieh Dade Pardaz-a
13970219,3192.59,3255,3065,3167.34,1224611,3137.96,Atieh Dade Pardaz-a
13970222,3158.62,3250,3145,3204.99,1064747,3232.08,Atieh Dade Pardaz-a
13970223,3259.16,3296,3241,3274.77,928424,3282.58,Atieh Dade Pardaz-a
13970224,3291.76,3317,3239,3285.33,825486,3286.71,Atieh Dade Pardaz-a
13970225,3300.02,3438,3261,3347.77,1387222,3373.48,Atieh Dade Pardaz-a
13970226,3401.94,3411,3351,3384.96,505481,3371.18,Atieh Dade Pardaz-a
13970229,3388.17,3426,3351,3391.84,614383,3398.27,Atieh Dade Pardaz-a
13970230,3397.35,3425,3351,3409.75,1225716,3378.07,Atieh Dade Pardaz-a
13970231,3406.07,3406,3337,3371.18,661620,3348.69,Atieh Dade Pardaz-a
13970301,3372.10,3397,3312,3359.71,562912,3328.03,Atieh Dade Pardaz-a
13970302,3373.94,3379,3324,3347.77,589982,3337.67,Atieh Dade Pardaz-a
13970305,3346.39,3369,3296,3330.78,726169,3326.19,Atieh Dade Pardaz-a
13970306,3333.08,3351,3288,3327.57,511255,3305.07,Atieh Dade Pardaz-a
13970307,3319.30,3341,3288,3311.96,452920,3295.43,Atieh Dade Pardaz-a
13970308,3300.94,3306,3275,3290.84,296092,3275.23,Atieh Dade Pardaz-a
13970309,3298.64,3350,3276,3311.04,270280,3283.49,Atieh Dade Pardaz-a
13970312,3300.94,3305,3244,3264.21,624539,3255.03,Atieh Dade Pardaz-a
13970313,3268.80,3273,3236,3255.95,578631,3236.67,Atieh Dade Pardaz-a
13970319,3250.44,3294,3200,3250.90,431015,3199.94,Atieh Dade Pardaz-a
13970320,3255.03,3260,3149,3232.08,481273,3238.04,Atieh Dade Pardaz-a
13970321,3227.48,3278,3221,3248.60,797504,3253.65,Atieh Dade Pardaz-a
13970322,3259.16,3272,3237,3255.03,305770,3255.03,Atieh Dade Pardaz-a
13970323,3259.62,3333,3247,3285.79,932237,3258.70,Atieh Dade Pardaz-a
13970327,3327.57,3450,3328,3401.48,1165561,3449.69,Atieh Dade Pardaz-a
13970328,3534.62,3571,3469,3544.26,1259086,3525.44,Atieh Dade Pardaz-a
13970329,3521.31,3665,3469,3581.91,1615201,3629.20,Atieh Dade Pardaz-a
13970330,3644.35,3761,3604,3749.94,1071181,3760.96,Atieh Dade Pardaz-a
13970402,3925.32,3928,3737,3811.92,1040057,3805.95,Atieh Dade Pardaz-a
13970403,3820.18,3833,3673,3748.11,1410856,3691.64,Atieh Dade Pardaz-a
13970404,3741.68,3800,3572,3660.88,1376112,3622.31,Atieh Dade Pardaz-a
13970405,3658.58,3659,3485,3579.16,835660,3580.99,Atieh Dade Pardaz-a
13970406,3653.99,3657,3420,3570.43,989381,3434.08,Atieh Dade Pardaz-a
13970409,3535.08,3649,3494,3585.12,458762,3569.97,Atieh Dade Pardaz-a
13970410,3578.70,3579,3443,3513.96,198969,3499.73,Atieh Dade Pardaz-a
13970411,3575.94,3576,3439,3493.76,546946,3534.62,Atieh Dade Pardaz-a
13970412,3580.53,3641,3503,3617.72,3665330,3534.62,Atieh Dade Pardaz-a
13970413,3539.67,3579,3444,3507.08,641483,3479.07,Atieh Dade Pardaz-a
13970416,3489.17,3524,3420,3457.03,664372,3443.26,Atieh Dade Pardaz-a
13970417,3516.72,3517,3347,3437.75,737902,3372.56,Atieh Dade Pardaz-a
13970419,3415.72,3443,3287,3384.96,958618,3392.76,Atieh Dade Pardaz-a
13970420,3360.62,3418,3300,3380.36,6051896,3351.44,Atieh Dade Pardaz-a
