<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970419,1361.97,1362,1362,1361.97,40000000,1361.97,Binalood AGRI&Husb-a
13970420,1429.89,1430,1430,1429.89,400969,1429.89,Binalood AGRI&Husb-a
13970423,1501.38,1501,1501,1501.38,146806,1501.38,Binalood AGRI&Husb-a
13970424,1576.45,1576,1576,1576.45,520710,1576.45,Binalood AGRI&Husb-a
13970425,1655.10,1655,1655,1655.10,1611452,1655.10,Binalood AGRI&Husb-a
13970426,1737.32,1824,1737,1796.30,44278514,1824.00,Binalood AGRI&Husb-a
13970507,1986.44,1997,1888,1915.73,12794938,1888.02,Binalood AGRI&Husb-a
13970508,1863.18,1882,1820,1827.83,2822007,1820.19,Binalood AGRI&Husb-a
13970509,1737.06,1901,1737,1807.76,12861510,1844.07,Binalood AGRI&Husb-a
13970510,1845.03,1858,1718,1757.12,6957292,1720.82,Binalood AGRI&Husb-a
13970513,1730.37,1739,1670,1674.00,4878487,1675.91,Binalood AGRI&Husb-a
13970514,1657.75,1757,1658,1728.46,3767225,1719.86,Binalood AGRI&Husb-a
13970515,1724.64,1729,1642,1652.02,5654410,1642.47,Binalood AGRI&Husb-a
13970516,1614.76,1710,1593,1626.22,3340394,1619.53,Binalood AGRI&Husb-a
13970517,1600.43,1707,1600,1690.24,4495940,1707.44,Binalood AGRI&Husb-a
13970520,1774.32,1774,1727,1768.59,4511130,1774.32,Binalood AGRI&Husb-a
13970521,1848.85,1849,1729,1787.70,4310971,1786.74,Binalood AGRI&Husb-a
13970522,1801.08,1801,1720,1739.93,1893482,1732.28,Binalood AGRI&Husb-a
13970523,1707.44,1806,1705,1764.77,2289431,1759.99,Binalood AGRI&Husb-a
13970524,1758.08,1783,1710,1728.46,2943787,1719.86,Binalood AGRI&Husb-a
13970527,1701.71,1806,1702,1770.50,4542167,1758.08,Binalood AGRI&Husb-a
13970528,1777.19,1811,1744,1781.01,2359378,1791.52,Binalood AGRI&Husb-a
13970529,1763.81,1849,1764,1817.32,4138801,1833.56,Binalood AGRI&Husb-a
13970530,1807.76,1835,1756,1782.92,2624838,1768.59,Binalood AGRI&Husb-a
13970603,1776.23,1835,1768,1805.85,2816460,1822.10,Binalood AGRI&Husb-a
13970604,1844.07,1936,1835,1908.09,3327265,1910.96,Binalood AGRI&Husb-a
13970605,1935.80,1936,1835,1861.27,2790707,1853.63,Binalood AGRI&Husb-a
13970606,1842.16,1857,1777,1822.10,2047714,1810.63,Binalood AGRI&Husb-a
13970607,1822.10,1848,1796,1825.92,1855566,1825.92,Binalood AGRI&Husb-a
13970610,1826.87,1836,1786,1810.63,1212045,1812.54,Binalood AGRI&Husb-a
13970611,1815.41,1849,1769,1811.59,1404523,1798.21,Binalood AGRI&Husb-a
13970612,1824.01,1882,1775,1842.16,1442814,1835.47,Binalood AGRI&Husb-a
13970613,1862.23,1886,1796,1843.12,1721515,1843.12,Binalood AGRI&Husb-a
13970614,1848.85,1935,1834,1921.47,5097781,1934.84,Binalood AGRI&Husb-a
13970617,2017.01,2017,1981,2017.01,2835731,2017.01,Binalood AGRI&Husb-a
13970618,2117.34,2117,2048,2100.14,7393842,2117.34,Binalood AGRI&Husb-a
13970619,2164.16,2195,2102,2133.58,4675642,2167.02,Binalood AGRI&Husb-a
13970620,2167.02,2240,2064,2193.78,5939469,2239.64,Binalood AGRI&Husb-a
13970621,2302.70,2303,2207,2286.46,3090262,2245.37,Binalood AGRI&Husb-a
13970624,2274.04,2370,2173,2248.24,4667316,2216.71,Binalood AGRI&Husb-a
13970625,2216.71,2226,2136,2151.74,4513770,2149.83,Binalood AGRI&Husb-a
13970626,2159.38,2259,2159,2245.37,3620188,2245.37,Binalood AGRI&Husb-a
13970627,2210.98,2259,2157,2190.91,2418733,2225.31,Binalood AGRI&Husb-a
13970631,2299.84,2300,2300,2299.84,1636219,2299.84,Binalood AGRI&Husb-a
13970701,2414.49,2414,2414,2414.49,1283407,2414.49,Binalood AGRI&Husb-a
13970702,2534.88,2535,2401,2459.40,4763547,2444.11,Binalood AGRI&Husb-a
13970703,2493.80,2582,2427,2542.53,4903628,2581.70,Binalood AGRI&Husb-a
13970704,2669.61,2670,2627,2668.65,449115,2628.52,Binalood AGRI&Husb-a
13970707,2801.46,2941,2801,2920.90,214364,2940.96,Binalood AGRI&Husb-a
13970708,3066.13,3219,3066,3186.52,545867,3217.09,Binalood AGRI&Husb-a
13970709,3344.17,3344,3028,3078.55,4664543,3027.91,Binalood AGRI&Husb-a
13970710,2924.72,2925,2925,2924.72,1545481,2924.72,Binalood AGRI&Husb-a
13970711,2778.53,2779,2779,2778.53,282954,2778.53,Binalood AGRI&Husb-a
13970714,2639.99,2865,2640,2683.94,2973612,2639.99,Binalood AGRI&Husb-a
13970715,2550.17,2627,2550,2552.08,1354015,2550.17,Binalood AGRI&Husb-a
13970716,2425.00,2425,2425,2425.00,596743,2425.00,Binalood AGRI&Husb-a
13970717,2532.02,2658,2406,2535.84,1531628,2446.02,Binalood AGRI&Husb-a
13970718,2410.67,2484,2410,2414.49,1390777,2409.72,Binalood AGRI&Husb-a
