<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970411,690.00,747,690,698.00,151183654,690.00,Day Bank-a
13970412,695.00,716,669,696.00,115048459,706.00,Day Bank-a
13970413,713.00,713,689,697.00,55152528,699.00,Day Bank-a
13970416,698.00,714,695,701.00,33421390,698.00,Day Bank-a
13970417,701.00,704,699,701.00,56928150,702.00,Day Bank-a
13970419,701.00,705,699,701.00,41714056,703.00,Day Bank-a
13970420,701.00,702,699,701.00,54209516,701.00,Day Bank-a
13970423,701.00,708,686,702.00,41662751,702.00,Day Bank-a
13970424,702.00,705,701,703.00,24740343,703.00,Day Bank-a
13970425,703.00,707,702,704.00,16219312,703.00,Day Bank-a
13970426,704.00,707,703,704.00,12371186,704.00,Day Bank-a
13970427,704.00,707,702,704.00,22355077,705.00,Day Bank-a
13970430,705.00,709,700,705.00,10124089,707.00,Day Bank-a
13970431,706.00,710,701,706.00,14135350,705.00,Day Bank-a
13970501,706.00,710,701,705.00,31576959,709.00,Day Bank-a
13970502,704.00,706,700,704.00,18949779,702.00,Day Bank-a
13970503,706.00,706,703,704.00,15194295,705.00,Day Bank-a
13970506,690.00,690,669,670.00,3362651,669.00,Day Bank-a
13970507,673.00,686,673,681.00,13056822,681.00,Day Bank-a
13970508,682.00,700,647,678.00,26830599,647.00,Day Bank-a
13970509,645.00,645,645,645.00,4303474,645.00,Day Bank-a
13970510,613.00,624,613,613.00,34882034,613.00,Day Bank-a
13970513,589.00,610,583,585.00,14666643,583.00,Day Bank-a
13970514,583.00,600,580,590.00,12492562,600.00,Day Bank-a
13970515,599.00,619,573,597.00,11937927,580.00,Day Bank-a
13970516,580.00,626,577,624.00,6606702,626.00,Day Bank-a
13970517,655.00,655,634,654.00,14070017,650.00,Day Bank-a
13970520,655.00,675,622,636.00,8802759,637.00,Day Bank-a
13970521,612.00,655,612,635.00,4233131,623.00,Day Bank-a
13970522,634.00,658,622,637.00,3852317,622.00,Day Bank-a
13970523,628.00,659,613,627.00,6091228,617.00,Day Bank-a
13970524,615.00,643,615,628.00,2223020,629.00,Day Bank-a
13970527,635.00,635,605,611.00,6774424,607.00,Day Bank-a
13970528,618.00,630,606,615.00,5091732,610.00,Day Bank-a
13970529,615.00,629,600,608.00,4134881,606.00,Day Bank-a
13970530,602.00,625,602,613.00,4975560,613.00,Day Bank-a
13970603,610.00,635,609,626.00,7697585,635.00,Day Bank-a
13970604,635.00,648,635,640.00,8734548,642.00,Day Bank-a
13970605,655.00,657,622,641.00,8632095,625.00,Day Bank-a
13970606,644.00,650,623,642.00,15954342,649.00,Day Bank-a
13970607,640.00,674,639,668.00,26451578,674.00,Day Bank-a
13970610,701.00,701,693,701.00,46816385,701.00,Day Bank-a
13970611,720.00,729,666,682.00,24002822,666.00,Day Bank-a
13970612,650.00,675,648,654.00,8134031,651.00,Day Bank-a
13970613,649.00,679,635,650.00,6177888,647.00,Day Bank-a
13970614,636.00,675,636,661.00,7168756,659.00,Day Bank-a
13970617,654.00,682,654,670.00,10775852,671.00,Day Bank-a
13970618,679.00,692,668,678.00,16656725,679.00,Day Bank-a
13970619,690.00,711,684,709.00,37116058,711.00,Day Bank-a
13970620,725.00,729,700,717.00,32505061,703.00,Day Bank-a
13970621,720.00,752,719,746.00,41162337,752.00,Day Bank-a
13970624,783.00,783,783,783.00,12438713,783.00,Day Bank-a
13970625,822.00,822,822,822.00,10787071,822.00,Day Bank-a
13970626,863.00,906,863,888.00,35218743,906.00,Day Bank-a
13970627,932.00,932,910,930.00,87145696,932.00,Day Bank-a
13970631,965.00,966,911,945.00,37767257,935.00,Day Bank-a
13970701,954.00,992,954,991.00,76126508,992.00,Day Bank-a
13970702,1040.00,1040,1035,1040.00,17608619,1035.00,Day Bank-a
13970704,1092.00,1146,1092,1145.00,65694602,1146.00,Day Bank-a
13970707,1202.00,1202,1202,1202.00,71173761,1202.00,Day Bank-a
13970708,1262.00,1262,1262,1262.00,149684279,1262.00,Day Bank-a
13970709,1325.00,1325,1300,1325.00,250951065,1325.00,Day Bank-a
13970710,1391.00,1391,1270,1350.00,184484966,1384.00,Day Bank-a
13970711,1335.00,1417,1298,1383.00,121349420,1417.00,Day Bank-a
13970714,1452.00,1452,1331,1444.00,103582528,1452.00,Day Bank-a
13970715,1372.00,1372,1304,1315.00,1865635,1304.00,Day Bank-a
13970716,1250.00,1250,1250,1250.00,16259374,1250.00,Day Bank-a
13970717,1280.00,1312,1189,1285.00,174887338,1229.00,Day Bank-a
13970718,1255.00,1255,1221,1223.00,53823901,1221.00,Day Bank-a
13970721,1170.00,1199,1162,1168.00,15336040,1162.00,Day Bank-a
13970722,1110.00,1110,1110,1110.00,4977443,1110.00,Day Bank-a
13970723,1125.00,1165,1125,1149.00,27198316,1165.00,Day Bank-a
13970724,1206.00,1206,1176,1203.00,144027035,1206.00,Day Bank-a
13970725,1188.00,1236,1143,1180.00,53456188,1190.00,Day Bank-a
13970728,1223.00,1239,1202,1235.00,53581163,1239.00,Day Bank-a
13970729,1248.00,1248,1174,1189.00,49924662,1174.00,Day Bank-a
13970730,1130.00,1130,1130,1130.00,11107992,1130.00,Day Bank-a
13970906,1180.00,1219,1140,1180.00,81311810,1161.00,Day Bank-a
13970907,1150.00,1150,1121,1124.00,35726413,1121.00,Day Bank-a
