<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,1955.42,1955,1906,1931.98,111911,1905.60,Hormozgan Co.-a
13970106,1933.93,1934,1905,1911.47,63378,1904.63,Hormozgan Co.-a
13970107,1914.40,1914,1856,1878.26,339654,1876.30,Hormozgan Co.-a
13970108,1856.77,1942,1857,1903.65,3226046,1933.93,Hormozgan Co.-a
13970114,1971.05,1971,1932,1947.60,72501,1943.70,Hormozgan Co.-a
13970115,1953.46,1953,1925,1940.77,158386,1953.46,Hormozgan Co.-a
13970118,1958.35,1963,1897,1903.65,184833,1899.74,Hormozgan Co.-a
13970119,1929.05,1929,1809,1822.58,2947325,1826.49,Hormozgan Co.-a
13970120,1846.02,1913,1844,1900.72,5192107,1913.42,Hormozgan Co.-a
13970121,1874.35,1874,1806,1827.47,1324158,1855.79,Hormozgan Co.-a
13970122,1827.47,1856,1826,1831.37,518291,1827.47,Hormozgan Co.-a
13970126,1859.70,1895,1826,1860.68,359582,1830.40,Hormozgan Co.-a
13970127,1855.79,1924,1837,1887.05,1593492,1856.77,Hormozgan Co.-a
13970128,1894.86,1912,1797,1808.91,4943342,1854.81,Hormozgan Co.-a
13970129,1875.33,1885,1788,1873.37,665234,1856.77,Hormozgan Co.-a
13970201,1893.88,1905,1872,1889.00,912539,1885.09,Hormozgan Co.-a
13970202,1808.91,1873,1809,1838.21,175518,1865.56,Hormozgan Co.-a
13970203,1806.96,1880,1807,1831.37,105910,1827.47,Hormozgan Co.-a
13970204,1864.58,1875,1844,1854.81,369593,1875.33,Hormozgan Co.-a
13970205,1858.72,1870,1855,1855.79,1546979,1855.79,Hormozgan Co.-a
13970224,1943.70,1945,1869,1923.19,372037,1938.81,Hormozgan Co.-a
13970225,1948.58,2001,1885,1926.12,1069964,1904.63,Hormozgan Co.-a
13970226,1904.63,1934,1889,1912.44,677017,1904.63,Hormozgan Co.-a
13970229,1905.60,1906,1906,1905.60,550,1905.60,Hormozgan Co.-a
13970230,1952.49,1992,1952,1973.98,798725,1951.51,Hormozgan Co.-a
13970231,1943.70,2061,1914,1998.39,4366380,2001.32,Hormozgan Co.-a
13970301,1982.77,2002,1934,1973.98,195340,1953.46,Hormozgan Co.-a
13970302,1991.56,2013,1952,2000.35,1665845,2002.30,Hormozgan Co.-a
13970305,2114.63,2206,2073,2122.44,8051242,2076.53,Hormozgan Co.-a
13970306,2148.81,2149,2081,2108.77,4042313,2099.97,Hormozgan Co.-a
13970307,2099.97,2140,2056,2099.97,2777216,2129.28,Hormozgan Co.-a
