<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,3624.97,3694,3589,3611.44,200459,3606.93,E. Azar. Pegah-a
13970106,3516.76,3652,3517,3605.13,98712,3633.08,E. Azar. Pegah-a
13970107,3606.93,3607,3517,3561.85,62106,3570.86,E. Azar. Pegah-a
13970108,3652.02,3661,3518,3592.50,78217,3606.03,E. Azar. Pegah-a
13970114,3661.04,3772,3562,3714.24,442436,3771.95,E. Azar. Pegah-a
13970115,3899.09,3899,3828,3883.76,1382917,3832.37,E. Azar. Pegah-a
13970118,3823.35,3814,3690,3696.20,463930,3689.89,E. Azar. Pegah-a
13970119,3643.00,3805,3557,3666.45,377072,3640.30,E. Azar. Pegah-a
13970120,3568.16,3775,3483,3529.38,329713,3483.39,E. Azar. Pegah-a
13970121,3597.01,3597,3428,3468.97,192892,3430.19,E. Azar. Pegah-a
13970122,3408.55,3472,3320,3395.03,148473,3388.71,E. Azar. Pegah-a
13970126,3295.83,3510,3296,3411.26,46066,3363.46,E. Azar. Pegah-a
13970127,3426.59,3427,3301,3327.40,95890,3348.13,E. Azar. Pegah-a
13970128,3416.67,3417,3266,3332.81,89723,3336.41,E. Azar. Pegah-a
13970129,3268.78,3474,3269,3425.68,145378,3442.82,E. Azar. Pegah-a
13970201,3471.67,3544,3437,3484.30,113771,3468.97,E. Azar. Pegah-a
13970202,3445.52,3556,3391,3495.12,52138,3396.83,E. Azar. Pegah-a
13970203,3471.67,3484,3321,3329.20,417913,3327.40,E. Azar. Pegah-a
13970204,3219.19,3405,3219,3344.53,77286,3344.53,E. Azar. Pegah-a
13970205,3256.16,3345,3246,3277.80,187704,3246.24,E. Azar. Pegah-a
13970208,3226.40,3333,3173,3211.97,79281,3173.20,E. Azar. Pegah-a
13970209,3110.98,3345,3111,3230.91,117026,3334.61,E. Azar. Pegah-a
13970210,3334.61,3367,3229,3268.78,138736,3247.14,E. Azar. Pegah-a
13970211,3176.81,3363,3177,3272.39,120262,3214.68,E. Azar. Pegah-a
13970215,3178.61,3332,3112,3176.81,339629,3308.46,E. Azar. Pegah-a
13970219,3178.73,3274,3083,3188.36,134317,3210.52,E. Azar. Pegah-a
13970222,3178.73,3288,3179,3246.16,189232,3236.53,E. Azar. Pegah-a
13970223,3370.42,3370,3223,3283.73,269172,3326.11,E. Azar. Pegah-a
13970224,3359.82,3381,3227,3336.71,230881,3275.06,E. Azar. Pegah-a
13970225,3231.71,3371,3232,3295.29,399795,3265.42,E. Azar. Pegah-a
13970226,3231.71,3319,3232,3265.42,184789,3236.53,E. Azar. Pegah-a
13970229,3260.61,3320,3179,3244.23,550095,3274.09,E. Azar. Pegah-a
13970230,3210.52,3406,3211,3366.57,1142329,3406.06,E. Azar. Pegah-a
13970231,3426.29,3516,3410,3441.70,337603,3428.21,E. Azar. Pegah-a
13970301,3406.06,3410,3270,3288.54,653130,3303.95,E. Azar. Pegah-a
13970302,3324.18,3452,3296,3367.53,651594,3361.75,E. Azar. Pegah-a
13970305,3323.22,3505,3323,3407.02,477983,3451.33,E. Azar. Pegah-a
13970306,3334.78,3486,3335,3377.16,217732,3395.46,E. Azar. Pegah-a
13970307,3480.23,3480,3363,3384.87,332711,3379.09,E. Azar. Pegah-a
13970308,3381.02,3419,3342,3367.53,310771,3371.38,E. Azar. Pegah-a
13970309,3366.57,3439,3362,3386.79,439185,3438.81,E. Azar. Pegah-a
13970312,3390.65,3555,3391,3501.42,542338,3555.36,E. Azar. Pegah-a
13970313,3675.77,3676,3577,3644.95,841206,3632.42,E. Azar. Pegah-a
13970319,3650.73,3709,3535,3656.51,926496,3642.06,E. Azar. Pegah-a
13970320,3614.12,3708,3516,3620.86,446620,3641.09,E. Azar. Pegah-a
13970321,3641.09,3697,3604,3638.20,229129,3612.20,E. Azar. Pegah-a
13970322,3612.20,3704,3612,3665.17,614488,3669.99,E. Azar. Pegah-a
13970323,3694.07,3795,3661,3738.38,494226,3754.76,E. Azar. Pegah-a
13970327,3804.85,3920,3720,3793.29,774660,3725.86,E. Azar. Pegah-a
13970328,3831.82,3832,3628,3692.15,488701,3638.20,E. Azar. Pegah-a
13970329,3628.57,3630,3516,3585.22,587977,3592.93,E. Azar. Pegah-a
13970330,3594.86,3764,3539,3696.00,914630,3763.43,E. Azar. Pegah-a
13970402,3696.00,3880,3696,3860.71,519001,3879.98,E. Azar. Pegah-a
13970403,3939.70,4053,3901,4017.72,571475,4053.37,E. Azar. Pegah-a
13970404,4209.41,4218,3997,4143.91,1699225,4045.66,E. Azar. Pegah-a
13970405,3969.56,4036,3937,3958.97,235259,3936.81,E. Azar. Pegah-a
13970406,3937.77,3938,3761,3793.29,525124,3761.50,E. Azar. Pegah-a
13970409,3755.72,3942,3718,3836.63,217813,3820.26,E. Azar. Pegah-a
13970410,3809.66,3810,3645,3707.56,285213,3775.95,E. Azar. Pegah-a
13970411,3777.88,3893,3761,3882.87,679729,3892.50,E. Azar. Pegah-a
13970412,3981.12,3981,3903,3932.00,986400,3950.30,E. Azar. Pegah-a
13970413,3738.38,3937,3738,3817.37,127932,3772.10,E. Azar. Pegah-a
13970416,3747.05,3813,3683,3728.75,148191,3812.55,E. Azar. Pegah-a
13970417,3811.59,3812,3635,3651.69,69832,3651.69,E. Azar. Pegah-a
13970419,3523.58,3660,3524,3589.08,87204,3545.73,E. Azar. Pegah-a
13970420,3443.63,3497,3410,3438.81,483112,3420.51,E. Azar. Pegah-a
13970423,3393.54,3610,3394,3597.75,154223,3610.27,E. Azar. Pegah-a
13970424,3756.68,3757,3566,3633.39,152716,3679.62,E. Azar. Pegah-a
13970425,3584.26,3722,3527,3591.00,84678,3611.23,E. Azar. Pegah-a
13970426,3591.00,3612,3458,3490.83,77554,3458.08,E. Azar. Pegah-a
13970427,3486.97,3597,3449,3529.36,206428,3475.41,E. Azar. Pegah-a
13970430,3641.09,3641,3484,3507.20,173640,3484.08,E. Azar. Pegah-a
13970431,3612.20,3612,3451,3486.97,190585,3467.71,E. Azar. Pegah-a
13970501,3458.08,3513,3313,3358.86,418668,3408.95,E. Azar. Pegah-a
13970502,3408.95,3468,3339,3365.60,121753,3352.12,E. Azar. Pegah-a
13970503,3512.98,3513,3331,3350.19,63254,3381.02,E. Azar. Pegah-a
13970506,3465.78,3517,3323,3498.53,232967,3469.63,E. Azar. Pegah-a
13970507,3672.88,3673,3324,3416.66,70457,3463.85,E. Azar. Pegah-a
13970508,3513.94,3514,3373,3431.10,296413,3466.74,E. Azar. Pegah-a
13970509,3337.67,3603,3325,3533.21,473814,3602.56,E. Azar. Pegah-a
13970510,3689.26,3689,3372,3482.16,415039,3407.02,E. Azar. Pegah-a
13970513,3561.14,3561,3309,3337.67,513413,3309.73,E. Azar. Pegah-a
13970514,3276.02,3461,3276,3370.42,407044,3342.49,E. Azar. Pegah-a
13970515,3323.22,3323,3220,3258.68,527741,3231.71,E. Azar. Pegah-a
13970516,3149.83,3321,3150,3273.13,125894,3265.42,E. Azar. Pegah-a
13970517,3340.56,3341,3231,3302.99,138409,3305.88,E. Azar. Pegah-a
13970520,3289.51,3365,3246,3284.69,52697,3351.15,E. Azar. Pegah-a
13970521,3268.31,3370,3263,3274.09,177486,3323.22,E. Azar. Pegah-a
13970522,3323.22,3362,3261,3315.51,453581,3323.22,E. Azar. Pegah-a
13970523,3325.15,3370,3283,3307.81,95074,3338.63,E. Azar. Pegah-a
13970524,3250.98,3351,3150,3195.11,386495,3266.39,E. Azar. Pegah-a
13970527,3312.62,3354,3275,3324.18,346402,3354.04,E. Azar. Pegah-a
13970528,3371.38,3398,3290,3359.82,148488,3304.92,E. Azar. Pegah-a
13970529,3397.39,3397,3265,3287.58,480218,3337.67,E. Azar. Pegah-a
13970530,3329.96,3451,3330,3416.66,653595,3451.33,E. Azar. Pegah-a
13970603,3587.15,3587,3587,3587.15,186945,3587.15,E. Azar. Pegah-a
13970604,3766.32,3766,3766,3766.32,278921,3766.32,E. Azar. Pegah-a
13970605,3853.01,3853,3578,3688.29,1317592,3832.78,E. Azar. Pegah-a
13970606,3804.85,3872,3752,3853.97,1147684,3852.05,E. Azar. Pegah-a
13970607,3967.64,3986,3762,3906.95,777574,3920.44,E. Azar. Pegah-a
13970610,3920.44,4031,3901,3996.53,1116143,3950.30,E. Azar. Pegah-a
13970611,4013.87,4014,3797,3810.63,623738,3797.14,E. Azar. Pegah-a
13970612,3797.14,3930,3621,3652.65,1665460,3689.26,E. Azar. Pegah-a
13970613,3784.62,3835,3660,3776.91,1213143,3834.71,E. Azar. Pegah-a
13970614,3898.28,3966,3898,3959.93,774205,3965.71,E. Azar. Pegah-a
13970617,4007.13,4157,4007,4143.91,287757,4157.40,E. Azar. Pegah-a
13970618,4348.12,4351,4181,4302.85,1634678,4238.31,E. Azar. Pegah-a
13970619,4469.49,4469,4296,4467.56,20025,4296.10,E. Azar. Pegah-a
13970620,4469.49,4469,4245,4286.47,876138,4415.55,E. Azar. Pegah-a
13970621,4500.31,4500,4431,4498.39,1857709,4430.96,E. Azar. Pegah-a
13970624,4622.65,4623,4313,4473.34,1343619,4345.23,E. Azar. Pegah-a
13970625,4478.16,4566,4250,4306.70,1113150,4426.14,E. Azar. Pegah-a
13970626,4344.27,4495,4336,4418.44,721755,4430.96,E. Azar. Pegah-a
13970627,4515.73,4639,4349,4544.62,738069,4639.02,E. Azar. Pegah-a
13970631,4769.06,4771,4624,4727.64,988052,4719.94,E. Azar. Pegah-a
13970701,4770.99,4913,4604,4704.52,900804,4633.24,E. Azar. Pegah-a
13970702,4494.53,4804,4495,4611.09,1271757,4623.61,E. Azar. Pegah-a
13970703,4594.71,4816,4595,4706.45,1588520,4748.83,E. Azar. Pegah-a
13970704,4816.26,4863,4656,4797.00,1128234,4759.43,E. Azar. Pegah-a
13970707,4864.42,5037,4816,4961.71,1417326,5036.85,E. Azar. Pegah-a
13970708,5209.27,5209,5047,5196.75,1825796,5209.27,E. Azar. Pegah-a
13970709,5392.29,5392,4938,4979.05,1636476,4937.63,E. Azar. Pegah-a
13970710,4777.73,4786,4731,4744.02,165570,4730.53,E. Azar. Pegah-a
13970711,4507.06,4507,4507,4507.06,189253,4507.06,E. Azar. Pegah-a
13970714,4283.58,4575,4283,4352.94,892097,4282.62,E. Azar. Pegah-a
13970715,4136.20,4136,4136,4136.20,53000,4136.20,E. Azar. Pegah-a
13970716,3930.07,3930,3734,3748.98,1034141,3793.29,E. Azar. Pegah-a
13970717,3664.21,3936,3616,3838.56,531066,3727.79,E. Azar. Pegah-a
13970718,3669.99,3670,3647,3647.84,1025521,3647.84,E. Azar. Pegah-a
13970721,3679.62,3682,3466,3484.08,249372,3465.78,E. Azar. Pegah-a
13970722,3342.49,3477,3342,3397.39,1007412,3412.80,E. Azar. Pegah-a
13970723,3566.92,3567,3564,3566.92,136126,3566.92,E. Azar. Pegah-a
13970724,3745.12,3745,3745,3745.12,338938,3745.12,E. Azar. Pegah-a
13970725,3932.00,3932,3932,3932.00,992703,3932.00,E. Azar. Pegah-a
13970728,4128.50,4128,3965,4096.71,683730,4102.49,E. Azar. Pegah-a
13970730,4141.98,4142,3935,3950.30,444197,3934.89,E. Azar. Pegah-a
13970801,3753.79,3834,3753,3767.28,399778,3766.32,E. Azar. Pegah-a
13970802,3853.01,3853,3593,3643.02,411570,3623.75,E. Azar. Pegah-a
13970805,3623.75,3631,3487,3572.70,334245,3592.93,E. Azar. Pegah-a
13970806,3746.09,3751,3742,3749.94,210760,3750.90,E. Azar. Pegah-a
13970807,3755.72,3930,3751,3817.37,253609,3775.95,E. Azar. Pegah-a
13970809,3987.86,3988,3853,3884.80,169828,3910.80,E. Azar. Pegah-a
13970812,3978.23,4078,3885,4010.02,443548,4078.41,E. Azar. Pegah-a
13970813,4210.38,4210,4210,4210.38,181317,4210.38,E. Azar. Pegah-a
13970814,4420.36,4420,4420,4420.36,216941,4420.36,E. Azar. Pegah-a
13970815,4640.95,4641,4624,4640.95,515787,4623.61,E. Azar. Pegah-a
13970819,4864.42,5096,4624,4842.27,3634800,4816.26,E. Azar. Pegah-a
13970820,4869.24,5004,4665,4857.68,2178058,4719.94,E. Azar. Pegah-a
13970821,4768.10,4950,4768,4883.69,1188336,4823.97,E. Azar. Pegah-a
13970822,4745.94,4864,4640,4702.60,1703027,4671.77,E. Azar. Pegah-a
13970823,4692.00,4861,4653,4794.11,1295678,4719.94,E. Azar. Pegah-a
13970826,4758.47,4862,4643,4722.83,677813,4642.88,E. Azar. Pegah-a
13970827,4575.45,4768,4487,4528.25,549587,4574.48,E. Azar. Pegah-a
13970828,4469.49,4755,4469,4646.73,387159,4576.41,E. Azar. Pegah-a
13970829,4671.77,4672,4469,4514.76,234965,4531.14,E. Azar. Pegah-a
13970830,4450.23,4650,4450,4610.12,302607,4641.91,E. Azar. Pegah-a
13970903,4433.85,4537,4431,4506.09,254851,4459.86,E. Azar. Pegah-a
13970905,4344.27,4431,4308,4341.38,393323,4430.96,E. Azar. Pegah-a
13970906,4334.63,4489,4334,4387.61,189458,4392.43,E. Azar. Pegah-a
13970907,4306.70,4431,4288,4337.52,175533,4319.22,E. Azar. Pegah-a
13970910,4480.09,4554,4132,4262.39,220574,4334.63,E. Azar. Pegah-a
13970911,4195.93,4469,4190,4292.25,424385,4408.81,E. Azar. Pegah-a
13970912,4410.73,4414,4142,4252.76,242000,4190.15,E. Azar. Pegah-a
13970913,4200.74,4271,4116,4171.85,164694,4271.06,E. Azar. Pegah-a
13970914,4151.62,4218,4056,4149.69,166498,4175.70,E. Azar. Pegah-a
13970917,4141.98,4305,4142,4210.38,228266,4304.77,E. Azar. Pegah-a
13970918,4311.52,4351,4161,4269.13,255834,4238.31,E. Azar. Pegah-a
13970919,4312.48,4312,4056,4099.60,610158,4123.68,E. Azar. Pegah-a
13970924,4412.66,4527,4335,4440.59,1193545,4440.59,E. Azar. Pegah-a
13970925,4527.29,4527,4260,4399.17,793090,4430.96,E. Azar. Pegah-a
13970926,4496.46,4496,4315,4342.34,528293,4315.37,E. Azar. Pegah-a
13970927,4248.91,4559,4249,4488.76,1080481,4559.07,E. Azar. Pegah-a
13970928,4695.85,4696,4509,4586.04,538388,4586.04,E. Azar. Pegah-a
13971001,4527.29,4604,4469,4499.35,329552,4488.76,E. Azar. Pegah-a
13971002,4479.12,4604,4445,4500.31,217627,4489.72,E. Azar. Pegah-a
13971003,4346.19,4568,4346,4407.84,469637,4442.52,E. Azar. Pegah-a
13971004,4440.59,4563,4412,4479.12,228401,4546.55,E. Azar. Pegah-a
13971005,4542.70,4543,4431,4449.26,520768,4431.92,E. Azar. Pegah-a
13971008,4555.22,4603,4442,4530.18,156946,4527.29,E. Azar. Pegah-a
13971009,4450.23,4601,4450,4501.28,164199,4498.39,E. Azar. Pegah-a
13971010,4459.86,4526,4453,4460.82,296558,4454.08,E. Azar. Pegah-a
13971011,4470.45,4565,4469,4529.21,319595,4553.29,E. Azar. Pegah-a
13971012,4618.79,4756,4614,4720.90,975223,4755.58,E. Azar. Pegah-a
13971015,4527.29,4730,4527,4587.01,286056,4548.48,E. Azar. Pegah-a
13971016,4709.34,4710,4538,4631.32,554870,4671.77,E. Azar. Pegah-a
13971017,4672.74,4720,4547,4585.08,880799,4632.28,E. Azar. Pegah-a
13971018,4671.77,4718,4578,4610.12,284432,4605.31,E. Azar. Pegah-a
13971019,4567.74,4840,4568,4727.64,2021313,4840.34,E. Azar. Pegah-a
13971022,4963.64,4964,4964,4963.64,323703,4963.64,E. Azar. Pegah-a
13971023,5153.40,5211,4964,5166.88,1808019,5211.19,E. Azar. Pegah-a
13971024,5403.84,5404,5033,5262.25,2583399,5330.64,E. Azar. Pegah-a
13971025,5355.68,5385,5106,5247.80,591191,5278.62,E. Azar. Pegah-a
13971026,5155.33,5424,5155,5313.30,1123768,5423.11,E. Azar. Pegah-a
13971029,5436.60,5537,5204,5409.62,868902,5394.21,E. Azar. Pegah-a
13971030,5442.37,5679,5442,5644.66,1267769,5679.33,E. Azar. Pegah-a
13971101,5679.33,5927,5394,5802.63,1672736,5926.89,E. Azar. Pegah-a
13971102,6092.57,6093,6093,6092.57,418298,6092.57,E. Azar. Pegah-a
13971103,6395.03,6397,6097,6395.99,490170,6396.96,E. Azar. Pegah-a
13971106,6715.79,6716,6464,6693.64,2861832,6715.79,E. Azar. Pegah-a
13971107,7027.89,7028,7028,7027.89,259842,7027.89,E. Azar. Pegah-a
13971109,7378.51,7747,7379,7722.39,2285810,7747.44,E. Azar. Pegah-a
13971110,8089.39,8090,7337,7669.41,1859898,7994.99,E. Azar. Pegah-a
13971113,8038.34,8038,7754,7863.03,455115,7888.07,E. Azar. Pegah-a
13971114,7715.65,7927,7470,7722.39,692317,7888.07,E. Azar. Pegah-a
13971115,7340.94,7889,7338,7465.20,394250,7338.06,E. Azar. Pegah-a
13971116,7156.96,7799,7157,7444.01,732097,7656.89,E. Azar. Pegah-a
13971117,7628.96,7629,7302,7568.27,55784,7609.69,E. Azar. Pegah-a
13971121,7703.13,7703,7200,7616.44,531971,7702.16,E. Azar. Pegah-a
13971123,7465.20,7994,7236,7449.79,2145674,7235.95,E. Azar. Pegah-a
13971124,7185.86,7822,7186,7732.03,2648987,7821.61,E. Azar. Pegah-a
13971127,8118.29,8118,8118,8118.29,1315536,8118.29,E. Azar. Pegah-a
13971128,8523.82,8524,8524,8523.82,153624,8523.82,E. Azar. Pegah-a
13971129,8949.58,8950,8098,8721.29,9117795,8098.06,E. Azar. Pegah-a
13971130,8285.90,8286,8286,8285.90,623616,8285.90,E. Azar. Pegah-a
13971201,7871.70,7872,7872,7871.70,862305,7871.70,E. Azar. Pegah-a
13971204,7478.69,7479,7479,7478.69,26075,7478.69,E. Azar. Pegah-a
13971205,7104.95,7273,7105,7110.73,3677622,7104.95,E. Azar. Pegah-a
13971206,6987.43,7059,6755,6771.66,1506648,6755.29,E. Azar. Pegah-a
13971207,6627.18,7078,6627,6887.25,1039725,6829.46,E. Azar. Pegah-a
13971208,6838.13,6984,6543,6562.64,1607405,6550.11,E. Azar. Pegah-a
13971211,6563.60,6594,6267,6517.36,1696330,6501.95,E. Azar. Pegah-a
13971212,6665.71,6843,6454,6763.96,1586083,6552.04,E. Azar. Pegah-a
13971213,6741.80,6791,6426,6570.34,2365086,6425.86,E. Azar. Pegah-a
13971214,6451.86,6452,6242,6253.43,658260,6241.87,E. Azar. Pegah-a
13971215,6029.96,6228,5941,5989.50,896964,6044.41,E. Azar. Pegah-a
13971218,6020.33,6165,5972,6078.12,764199,5992.39,E. Azar. Pegah-a
13971219,6147.48,6372,6071,6233.20,1077766,6199.49,E. Azar. Pegah-a
13971220,6050.19,6250,5922,6024.18,707540,5922.07,E. Azar. Pegah-a
13971221,5856.57,5943,5724,5778.55,1812310,5723.64,E. Azar. Pegah-a
13971222,5683.19,5889,5544,5694.75,4343381,5828.64,E. Azar. Pegah-a
13971225,5895.10,5979,5832,5954.82,1701859,5978.91,E. Azar. Pegah-a
13971226,6017.44,6242,5979,6105.09,650061,6131.10,E. Azar. Pegah-a
13971227,6237.06,6237,5801,5968.31,581326,5970.24,E. Azar. Pegah-a
13971228,6020.33,6020,5847,5950.97,262945,6010.69,E. Azar. Pegah-a
13980105,6145.55,6213,5951,6146.51,430786,6184.08,E. Azar. Pegah-a
13980106,5911.48,6454,5911,6326.64,1204087,6441.27,E. Azar. Pegah-a
13980107,6642.59,6643,6465,6610.80,1500354,6636.81,E. Azar. Pegah-a
13980110,6707.12,6941,6695,6865.10,2057580,6694.60,E. Azar. Pegah-a
13980111,6742.77,6886,6522,6573.23,1045986,6559.75,E. Azar. Pegah-a
13980117,6559.75,6646,6271,6519.29,622873,6569.38,E. Azar. Pegah-a
13980118,6525.07,6671,6292,6448.97,1066330,6357.46,E. Azar. Pegah-a
13980119,6281.37,6420,6252,6288.11,889271,6261.14,E. Azar. Pegah-a
13980120,6073.31,6498,6073,6369.99,672254,6376.73,E. Azar. Pegah-a
13980121,6558.78,6679,6454,6571.31,2226027,6488.47,E. Azar. Pegah-a
13980124,6867.99,6900,6646,6818.86,3969951,6899.78,E. Azar. Pegah-a
13980125,7145.40,7158,6743,6964.31,1235513,7114.58,E. Azar. Pegah-a
13980126,6983.58,7312,6984,7276.41,1460371,7291.82,E. Azar. Pegah-a
13980127,7036.56,7321,6913,7025.00,494211,6913.26,E. Azar. Pegah-a
13980128,6821.75,7117,6674,6818.86,405414,6921.93,E. Azar. Pegah-a
13980131,6929.64,7158,6695,6990.32,551895,6839.09,E. Azar. Pegah-a
13980202,7147.33,7147,6648,6866.06,924535,6848.72,E. Azar. Pegah-a
13980203,6836.20,7001,6649,6858.36,425147,6987.43,E. Azar. Pegah-a
13980204,6783.22,7022,6783,6867.99,402470,6887.25,E. Azar. Pegah-a
13980207,6762.03,7031,6762,6920.00,594666,6935.42,E. Azar. Pegah-a
13980208,6935.42,7051,6849,6954.68,854231,7017.29,E. Azar. Pegah-a
13980209,7048.12,7263,6957,7077.01,731274,7147.33,E. Azar. Pegah-a
13980210,7301.45,7301,6955,7092.43,581546,7070.27,E. Azar. Pegah-a
13980211,7139.63,7140,6738,6933.49,1584231,6887.25,E. Azar. Pegah-a
13980214,6983.58,7279,6934,7223.43,1268564,7227.28,E. Azar. Pegah-a
13980215,7279.30,7490,6863,7209.94,1369320,7270.63,E. Azar. Pegah-a
13980216,7224.39,7234,6850,6889.18,856683,6849.69,E. Azar. Pegah-a
13980217,6666.67,6743,6545,6571.31,235677,6545.30,E. Azar. Pegah-a
13980218,6242.84,6737,6243,6292.93,1179793,6395.99,E. Azar. Pegah-a
13980221,6395.99,6607,6262,6545.30,884116,6569.38,E. Azar. Pegah-a
13980222,6579.01,6743,6219,6291.00,865869,6389.25,E. Azar. Pegah-a
13980228,6500.00,6605,6500,6597.00,75930,6605.00,E. Azar. Pegah-a
13980229,6926.00,6926,6926,6926.00,843723,6926.00,E. Azar. Pegah-a
13980230,7272.00,7272,6926,7221.00,1935129,7272.00,E. Azar. Pegah-a
13980231,7520.00,7577,7140,7395.00,1179904,7450.00,E. Azar. Pegah-a
13980301,7590.00,7690,7311,7536.00,1073573,7420.00,E. Azar. Pegah-a
13980304,7420.00,7440,7160,7226.00,895805,7290.00,E. Azar. Pegah-a
13980305,7398.00,7489,7200,7352.00,1177868,7360.00,E. Azar. Pegah-a
13980307,7401.00,7719,7401,7712.00,1873155,7719.00,E. Azar. Pegah-a
13980308,8080.00,8097,7703,7994.00,1779558,7819.00,E. Azar. Pegah-a
13980311,7995.00,7995,7595,7747.00,786171,7810.00,E. Azar. Pegah-a
13980312,7760.00,8047,7760,7966.00,898287,7907.00,E. Azar. Pegah-a
13980313,8097.00,8364,8000,8353.00,1760641,8364.00,E. Azar. Pegah-a
13980318,8770.00,8770,8770,8770.00,405571,8770.00,E. Azar. Pegah-a
13980319,9208.00,9208,9000,9194.00,1549170,9208.00,E. Azar. Pegah-a
13980320,9653.00,9653,9601,9653.00,3391761,9653.00,E. Azar. Pegah-a
13980321,10135.00,10135,10135,10135.00,1050839,10135.00,E. Azar. Pegah-a
13980327,10641.00,10641,9728,10293.00,3245530,10390.00,E. Azar. Pegah-a
13980328,10750.00,10807,10200,10649.00,3095115,10284.00,E. Azar. Pegah-a
13980329,10530.00,10530,10117,10184.00,154635,10117.00,E. Azar. Pegah-a
13980401,9675.00,9675,9675,9675.00,79509,9675.00,E. Azar. Pegah-a
13980402,9192.00,9799,9192,9344.00,2466337,9350.00,E. Azar. Pegah-a
13980403,9499.00,9720,9300,9512.00,1079159,9500.00,E. Azar. Pegah-a
13980404,9720.00,9850,9037,9579.00,1685404,9790.00,E. Azar. Pegah-a
13980405,9789.00,9789,9105,9456.00,1695003,9600.00,E. Azar. Pegah-a
13980409,9599.00,9737,9538,9590.00,577396,9570.00,E. Azar. Pegah-a
13980410,9748.00,9748,9210,9382.00,500709,9450.00,E. Azar. Pegah-a
13980411,9590.00,9590,9201,9321.00,895576,9343.00,E. Azar. Pegah-a
13980412,9499.00,9787,9400,9702.00,1171324,9787.00,E. Azar. Pegah-a
13980415,10187.00,10187,9900,10182.00,484262,10187.00,E. Azar. Pegah-a
13980416,10691.00,10691,10691,10691.00,242567,10691.00,E. Azar. Pegah-a
13980417,11225.00,11225,10670,11090.00,3916911,11225.00,E. Azar. Pegah-a
13980418,11200.00,11644,10700,11456.00,1829166,11644.00,E. Azar. Pegah-a
13980419,12000.00,12028,11126,11753.00,1329538,11700.00,E. Azar. Pegah-a
13980422,11600.00,11900,11166,11228.00,1980980,11167.00,E. Azar. Pegah-a
13980423,11167.00,11167,10667,10763.00,781818,10741.00,E. Azar. Pegah-a
13980424,11160.00,11160,10225,10294.00,503252,10225.00,E. Azar. Pegah-a
13980425,10225.00,10225,9780,9801.00,350844,9780.00,E. Azar. Pegah-a
13980426,9311.00,10111,9311,9693.00,496435,9545.00,E. Azar. Pegah-a
