<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,1044.58,1045,1036,1040.98,294395,1039.17,Omid Taban Hoor-a
13970106,1017.56,1045,1018,1041.88,163297,1035.57,Omid Taban Hoor-a
13970107,1035.57,1036,1036,1035.57,22400,1036.47,Omid Taban Hoor-a
13970108,1018.46,1049,1018,1041.88,285437,1049.08,Omid Taban Hoor-a
13970114,1053.58,1072,1028,1049.98,52134,1058.99,Omid Taban Hoor-a
13970115,1031.07,1054,1031,1050.88,170028,1052.68,Omid Taban Hoor-a
13970118,1037.37,1054,1013,1031.07,618573,1035.57,Omid Taban Hoor-a
13970119,1043.68,1045,1012,1022.06,882505,1017.56,Omid Taban Hoor-a
13970120,1031.97,1032,1001,1012.16,498140,1017.56,Omid Taban Hoor-a
13970121,1030.17,1030,991,1001.35,630257,1007.66,Omid Taban Hoor-a
13970122,991.45,991,964,983.34,884906,981.54,Omid Taban Hoor-a
13970126,966.23,994,935,950.02,2531535,981.54,Omid Taban Hoor-a
13970127,981.54,997,982,992.35,902503,992.35,Omid Taban Hoor-a
13970128,990.55,1000,973,994.15,154288,990.55,Omid Taban Hoor-a
13970129,973.44,1000,973,980.64,166642,986.04,Omid Taban Hoor-a
13970201,990.55,1000,959,985.14,634498,966.23,Omid Taban Hoor-a
13970202,957.23,957,937,943.72,337950,945.52,Omid Taban Hoor-a
13970203,924.81,944,925,932.92,386549,936.52,Omid Taban Hoor-a
13970204,923.91,963,924,942.82,118232,941.92,Omid Taban Hoor-a
13970205,941.92,957,937,941.92,120239,940.12,Omid Taban Hoor-a
13970208,954.53,966,895,921.21,969012,900.50,Omid Taban Hoor-a
13970209,910.40,938,892,919.41,119111,902.30,Omid Taban Hoor-a
13970210,905.90,952,905,936.52,647041,941.02,Omid Taban Hoor-a
13970211,937.42,937,919,929.31,38056,936.52,Omid Taban Hoor-a
13970215,954.53,955,928,946.42,389005,936.52,Omid Taban Hoor-a
13970216,952.73,964,941,950.02,422916,959.03,Omid Taban Hoor-a
13970217,953.63,954,931,945.52,74468,945.52,Omid Taban Hoor-a
13970218,959.93,960,938,950.93,784383,954.53,Omid Taban Hoor-a
13970219,927.51,928,904,905.00,1090244,904.10,Omid Taban Hoor-a
13970222,900.50,936,900,928.41,190615,933.82,Omid Taban Hoor-a
13970223,945.52,974,946,966.23,808022,954.53,Omid Taban Hoor-a
13970224,987.85,991,952,978.84,333229,962.63,Omid Taban Hoor-a
13970225,981.54,982,950,968.03,874539,950.02,Omid Taban Hoor-a
13970226,978.84,991,974,979.74,561307,977.04,Omid Taban Hoor-a
13970229,989.65,990,969,976.14,332991,975.24,Omid Taban Hoor-a
13970230,977.94,982,964,979.74,343470,981.54,Omid Taban Hoor-a
13970231,979.74,980,954,961.73,507371,959.93,Omid Taban Hoor-a
13970301,972.54,973,963,968.03,197889,971.64,Omid Taban Hoor-a
13970302,968.03,977,968,972.54,72938,977.04,Omid Taban Hoor-a
13970305,990.55,1001,973,986.95,202811,992.35,Omid Taban Hoor-a
13970306,993.25,1003,972,995.05,224493,995.95,Omid Taban Hoor-a
13970307,1001.35,1002,981,994.15,384043,1001.35,Omid Taban Hoor-a
13970308,986.95,1012,987,1004.05,106793,1008.56,Omid Taban Hoor-a
13970309,982.44,1011,982,996.85,135885,990.55,Omid Taban Hoor-a
13970312,995.05,1013,985,998.65,118096,995.95,Omid Taban Hoor-a
13970313,1002.25,1002,984,989.65,185141,998.65,Omid Taban Hoor-a
13970319,1002.25,1038,983,1017.56,695585,1037.37,Omid Taban Hoor-a
13970320,1009.46,1051,1009,1036.47,271783,1044.58,Omid Taban Hoor-a
13970321,1027.47,1045,1024,1031.07,137378,1040.07,Omid Taban Hoor-a
13970322,1013.06,1040,1007,1017.56,293922,1026.57,Omid Taban Hoor-a
13970323,1031.07,1067,1013,1053.58,536417,1044.58,Omid Taban Hoor-a
13970327,1035.57,1106,1036,1091.40,1408309,1105.81,Omid Taban Hoor-a
13970328,1145.43,1145,1099,1108.51,1052498,1107.61,Omid Taban Hoor-a
13970329,1112.11,1163,1107,1153.54,1493144,1163.44,Omid Taban Hoor-a
13970330,1130.12,1211,1130,1210.27,1887902,1211.17,Omid Taban Hoor-a
13970402,1269.70,1270,1270,1269.70,5000,1269.70,Omid Taban Hoor-a
13970403,1331.84,1332,1216,1241.79,373687,1224.68,Omid Taban Hoor-a
13970404,1261.60,1262,1202,1225.58,943979,1232.78,Omid Taban Hoor-a
13970405,1244.49,1261,1180,1219.27,783744,1228.28,Omid Taban Hoor-a
13970406,1215.67,1218,1159,1194.06,1053063,1211.17,Omid Taban Hoor-a
13970409,1232.78,1233,1180,1194.96,203728,1202.16,Omid Taban Hoor-a
13970410,1232.78,1233,1144,1175.15,330455,1185.96,Omid Taban Hoor-a
13970411,1193.16,1216,1171,1192.26,268036,1193.16,Omid Taban Hoor-a
13970412,1202.16,1218,1175,1193.16,316169,1186.86,Omid Taban Hoor-a
13970413,1206.67,1223,1162,1176.95,675813,1169.75,Omid Taban Hoor-a
13970416,1188.66,1196,1144,1173.35,1228791,1161.64,Omid Taban Hoor-a
13970417,1188.66,1197,1118,1132.83,1191522,1118.42,Omid Taban Hoor-a
13970419,1170.65,1171,1127,1155.34,115558,1151.74,Omid Taban Hoor-a
13970420,1125.62,1153,1099,1116.62,516237,1099.51,Omid Taban Hoor-a
