<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970921,2999.40,2999,2999,2999.40,20000000,2999.40,Isfahan Kesht Agr.-a
13970924,3148.89,3149,3149,3148.89,53495,3148.89,Isfahan Kesht Agr.-a
13970925,3306.01,3306,3306,3306.01,64023,3306.01,Isfahan Kesht Agr.-a
13970926,3470.74,3471,3471,3470.74,127283,3470.74,Isfahan Kesht Agr.-a
13970927,3644.03,3644,3644,3644.03,95257,3644.03,Isfahan Kesht Agr.-a
13970928,3825.90,3826,3826,3825.90,132621,3825.90,Isfahan Kesht Agr.-a
13971001,4016.34,4016,4016,4016.34,186761,4016.34,Isfahan Kesht Agr.-a
13971002,4216.30,4216,4216,4216.30,200243,4216.30,Isfahan Kesht Agr.-a
13971003,4426.73,4427,4427,4426.73,317708,4426.73,Isfahan Kesht Agr.-a
13971004,4647.64,4648,4648,4647.64,99516,4647.64,Isfahan Kesht Agr.-a
13971008,4879.98,5124,4880,5084.70,1912463,5123.74,Isfahan Kesht Agr.-a
13971009,5338.93,5339,5339,5338.93,631937,5338.93,Isfahan Kesht Agr.-a
13971010,5605.55,5606,5606,5605.55,304079,5605.55,Isfahan Kesht Agr.-a
13971011,5885.49,5885,5885,5885.49,365549,5885.49,Isfahan Kesht Agr.-a
13971012,6179.72,6180,6063,6178.77,15248937,6179.72,Isfahan Kesht Agr.-a
13971015,6008.32,6137,5870,5917.87,13021324,5870.26,Isfahan Kesht Agr.-a
13971016,5827.41,5855,5623,5678.87,9216935,5746.47,Isfahan Kesht Agr.-a
13971017,5827.41,5963,5826,5927.39,8782978,5884.54,Isfahan Kesht Agr.-a
13971018,5903.58,6057,5742,5916.91,2944108,5868.35,Isfahan Kesht Agr.-a
13971019,5894.06,5980,5809,5868.35,1521935,5868.35,Isfahan Kesht Agr.-a
13971022,5855.97,5979,5828,5916.91,2140201,5908.34,Isfahan Kesht Agr.-a
13971023,5987.38,6161,5932,6049.27,3336622,6017.85,Isfahan Kesht Agr.-a
13971024,6074.98,6126,5904,5999.75,1449566,5918.82,Isfahan Kesht Agr.-a
13971025,5988.33,6017,5828,5921.67,1991231,5941.67,Isfahan Kesht Agr.-a
13971026,6027.37,6046,5889,5951.19,1316489,5894.06,Isfahan Kesht Agr.-a
13971029,5922.63,5989,5866,5946.43,1403982,5904.54,Isfahan Kesht Agr.-a
13971030,5989.28,5989,5780,5883.59,569704,5860.73,Isfahan Kesht Agr.-a
13971101,5951.19,5951,5619,5760.75,634128,5763.61,Isfahan Kesht Agr.-a
13971102,5713.14,5855,5487,5584.60,1920310,5596.98,Isfahan Kesht Agr.-a
13971108,5689.34,5703,5415,5552.22,887473,5475.10,Isfahan Kesht Agr.-a
13971109,5446.53,5580,5275,5374.16,1807068,5332.27,Isfahan Kesht Agr.-a
13971110,5327.51,5361,5106,5157.07,1854619,5168.49,Isfahan Kesht Agr.-a
13971113,5046.61,5261,4961,5114.22,1370885,5078.99,Isfahan Kesht Agr.-a
13971114,5075.18,5236,5009,5173.25,667701,5208.48,Isfahan Kesht Agr.-a
13971115,5256.09,5427,5172,5342.74,1075613,5341.79,Isfahan Kesht Agr.-a
