<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,3100.00,3100,2869,2965.00,805240,2869.00,Iranian Investment-a
13970106,2820.00,2929,2817,2827.00,953698,2817.00,Iranian Investment-a
13970107,2700.00,2968,2690,2910.00,1017307,2968.00,Iranian Investment-a
13970108,2968.00,3055,2961,3038.00,470803,3055.00,Iranian Investment-a
13970114,3100.00,3100,3000,3055.00,417597,3000.00,Iranian Investment-a
13970115,3000.00,3049,2920,3029.00,233765,3049.00,Iranian Investment-a
13970118,2930.00,3029,2880,2919.00,211740,2976.00,Iranian Investment-a
13970119,2999.00,3057,2902,2984.00,102231,2947.00,Iranian Investment-a
13970120,2890.00,2985,2835,2840.00,516847,2835.00,Iranian Investment-a
13970121,2761.00,2970,2761,2917.00,95667,2890.00,Iranian Investment-a
13970122,2778.00,2962,2772,2792.00,156007,2772.00,Iranian Investment-a
13970126,2919.00,2919,2653,2694.00,235159,2653.00,Iranian Investment-a
13970127,2591.00,2767,2560,2575.00,1938701,2670.00,Iranian Investment-a
13970128,2680.00,2680,2508,2607.00,123794,2629.00,Iranian Investment-a
13970129,2574.00,2737,2574,2693.00,1253810,2737.00,Iranian Investment-a
13970201,2820.00,2827,2794,2821.00,343822,2827.00,Iranian Investment-a
13970202,2900.00,2900,2790,2849.00,430894,2850.00,Iranian Investment-a
13970203,2899.00,2950,2723,2864.00,885203,2949.00,Iranian Investment-a
13970204,2950.00,2950,2835,2885.00,108553,2900.00,Iranian Investment-a
13970205,2844.00,2944,2800,2913.00,995080,2900.00,Iranian Investment-a
13970208,2821.00,2938,2770,2864.00,459304,2900.00,Iranian Investment-a
13970209,2900.00,3000,2881,2975.00,6028222,2990.00,Iranian Investment-a
13970210,2980.00,2980,2870,2944.00,1487427,2938.00,Iranian Investment-a
13970211,2895.00,2899,2865,2882.00,20800,2875.00,Iranian Investment-a
13970215,2770.00,2980,2770,2801.00,1529908,2848.00,Iranian Investment-a
13970216,2800.00,2854,2731,2813.00,85587,2833.00,Iranian Investment-a
13970217,2830.00,2949,2812,2906.00,306656,2870.00,Iranian Investment-a
