<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,3227.00,3227,3080,3097.00,67866,3080.00,Kharazmi Info.-a
13970106,3021.00,3100,3005,3038.00,132698,3099.00,Kharazmi Info.-a
13970107,3040.00,3110,3001,3042.00,246632,3008.00,Kharazmi Info.-a
13970108,3010.00,3194,3004,3149.00,362759,3070.00,Kharazmi Info.-a
13970114,3101.00,3101,3011,3030.00,242455,3021.00,Kharazmi Info.-a
13970115,3011.00,3050,2993,3004.00,398381,2994.00,Kharazmi Info.-a
13970118,3002.00,3003,2854,2897.00,488224,2865.00,Kharazmi Info.-a
13970119,2860.00,2860,2770,2803.00,599239,2799.00,Kharazmi Info.-a
13970120,2800.00,2800,2663,2676.00,413956,2663.00,Kharazmi Info.-a
13970121,2553.00,2663,2543,2551.00,1152463,2588.00,Kharazmi Info.-a
13970122,2579.00,2599,2424,2463.00,595600,2424.00,Kharazmi Info.-a
13970126,2399.00,2516,2351,2406.00,275408,2398.00,Kharazmi Info.-a
13970127,2311.00,2390,2286,2295.00,428863,2286.00,Kharazmi Info.-a
13970128,2296.00,2409,2192,2370.00,482375,2409.00,Kharazmi Info.-a
13970129,2480.00,2480,2390,2456.00,286178,2390.00,Kharazmi Info.-a
13970201,2421.00,2475,2390,2419.00,240352,2403.00,Kharazmi Info.-a
13970202,2435.00,2528,2417,2474.00,198224,2427.00,Kharazmi Info.-a
13970203,2490.00,2490,2402,2426.00,45964,2425.00,Kharazmi Info.-a
13970204,2433.00,2450,2334,2415.00,132851,2360.00,Kharazmi Info.-a
13970205,2450.00,2455,2350,2357.00,174307,2350.00,Kharazmi Info.-a
13970208,2400.00,2400,2240,2258.00,399744,2291.00,Kharazmi Info.-a
13970209,2235.00,2272,2155,2186.00,275134,2200.00,Kharazmi Info.-a
13970210,2250.00,2250,2130,2151.00,279886,2136.00,Kharazmi Info.-a
13970211,2200.00,2200,2133,2159.00,87143,2140.00,Kharazmi Info.-a
13970215,2071.00,2141,2052,2057.00,846357,2089.00,Kharazmi Info.-a
13970216,2119.00,2145,2060,2097.00,391645,2086.00,Kharazmi Info.-a
13970217,2189.00,2201,2150,2196.00,599599,2201.00,Kharazmi Info.-a
13970218,2290.00,2305,2282,2296.00,449406,2305.00,Kharazmi Info.-a
13970219,2311.00,2361,2185,2331.00,1670268,2340.00,Kharazmi Info.-a
13970222,2373.00,2420,2350,2392.00,396147,2394.00,Kharazmi Info.-a
13970223,2371.00,2392,2273,2313.00,784730,2355.00,Kharazmi Info.-a
13970224,2352.00,2428,2352,2422.00,933243,2428.00,Kharazmi Info.-a
13970225,2430.00,2450,2323,2365.00,182493,2323.00,Kharazmi Info.-a
13970226,2350.00,2350,2253,2283.00,225483,2325.00,Kharazmi Info.-a
13970229,2319.00,2397,2319,2395.00,1090865,2397.00,Kharazmi Info.-a
13970230,2463.00,2463,2396,2441.00,948189,2458.00,Kharazmi Info.-a
13970231,2476.00,2550,2350,2508.00,631319,2498.00,Kharazmi Info.-a
13970301,2520.00,2520,2417,2440.00,238231,2417.00,Kharazmi Info.-a
13970302,2500.00,2540,2430,2466.00,475729,2431.00,Kharazmi Info.-a
13970305,2499.00,2499,2366,2416.00,887116,2380.00,Kharazmi Info.-a
13970306,2448.00,2451,2372,2395.00,128404,2395.00,Kharazmi Info.-a
13970307,2370.00,2420,2350,2373.00,338033,2370.00,Kharazmi Info.-a
13970308,2400.00,2419,2332,2376.00,75481,2370.00,Kharazmi Info.-a
13970309,2376.00,2390,2343,2373.00,163121,2350.00,Kharazmi Info.-a
13970312,2332.00,2379,2310,2334.00,542766,2379.00,Kharazmi Info.-a
13970313,2302.00,2440,2302,2381.00,516410,2412.00,Kharazmi Info.-a
13970319,2450.00,2490,2302,2408.00,524734,2321.00,Kharazmi Info.-a
13970320,2443.00,2443,2319,2348.00,183406,2322.00,Kharazmi Info.-a
13970321,2310.00,2321,2260,2285.00,907580,2278.00,Kharazmi Info.-a
13970322,2282.00,2345,2280,2301.00,283962,2300.00,Kharazmi Info.-a
13970323,2319.00,2379,2310,2344.00,507825,2357.00,Kharazmi Info.-a
13970327,2387.00,2461,2387,2457.00,1259864,2461.00,Kharazmi Info.-a
13970328,2491.00,2579,2480,2556.00,2187618,2520.00,Kharazmi Info.-a
13970329,2556.00,2586,2429,2494.00,893739,2520.00,Kharazmi Info.-a
13970330,2559.00,2618,2559,2614.00,2221952,2618.00,Kharazmi Info.-a
13970402,2744.00,2744,2626,2719.00,1382189,2650.00,Kharazmi Info.-a
13970403,2632.00,2710,2584,2629.00,1514040,2645.00,Kharazmi Info.-a
13970404,2686.00,2689,2531,2599.00,2091608,2570.00,Kharazmi Info.-a
13970405,2552.00,2630,2500,2544.00,320873,2502.00,Kharazmi Info.-a
13970406,2583.00,2671,2561,2647.00,2244853,2610.00,Kharazmi Info.-a
13970409,2645.00,2690,2552,2626.00,397247,2581.00,Kharazmi Info.-a
13970410,2566.00,2640,2495,2514.00,382280,2495.00,Kharazmi Info.-a
13970411,2470.00,2571,2389,2422.00,667904,2483.00,Kharazmi Info.-a
13970412,2470.00,2470,2315,2348.00,1747661,2325.00,Kharazmi Info.-a
13970413,2345.00,2379,2320,2341.00,379528,2330.00,Kharazmi Info.-a
13970416,2350.00,2380,2310,2329.00,239360,2341.00,Kharazmi Info.-a
13970417,2350.00,2362,2234,2266.00,479436,2237.00,Kharazmi Info.-a
13970419,2224.00,2298,2201,2222.00,941610,2223.00,Kharazmi Info.-a
13970420,2154.00,2220,2151,2161.00,704941,2164.00,Kharazmi Info.-a
13970423,2211.00,2269,2210,2260.00,391352,2269.00,Kharazmi Info.-a
13970424,2292.00,2360,2268,2317.00,869103,2325.00,Kharazmi Info.-a
13970425,2360.00,2360,2214,2262.00,202983,2317.00,Kharazmi Info.-a
13970426,2349.00,2350,2204,2252.00,359200,2280.00,Kharazmi Info.-a
13970501,2250.00,2250,2154,2168.00,120453,2160.00,Kharazmi Info.-a
13970502,2155.00,2177,2100,2147.00,345088,2145.00,Kharazmi Info.-a
13970503,2168.00,2254,2060,2138.00,853369,2151.00,Kharazmi Info.-a
13970506,2239.00,2244,2160,2213.00,360001,2200.00,Kharazmi Info.-a
13970507,2290.00,2290,2150,2179.00,333467,2179.00,Kharazmi Info.-a
13970508,2130.00,2150,2071,2095.00,997989,2077.00,Kharazmi Info.-a
13970509,2109.00,2199,2109,2193.00,738549,2199.00,Kharazmi Info.-a
13970510,2130.00,2240,2100,2141.00,468291,2150.00,Kharazmi Info.-a
13970513,2100.00,2139,2050,2084.00,555554,2071.00,Kharazmi Info.-a
13970514,2067.00,2100,1982,2029.00,1685535,2000.00,Kharazmi Info.-a
13970515,1983.00,1984,1928,1940.00,1342306,1928.00,Kharazmi Info.-a
13970516,1870.00,2020,1870,1921.00,2242014,1993.00,Kharazmi Info.-a
13970517,2000.00,2017,1998,2014.00,502939,2017.00,Kharazmi Info.-a
13970520,2114.00,2114,2020,2093.00,1816846,2094.00,Kharazmi Info.-a
13970521,2114.00,2114,2000,2052.00,666437,2020.00,Kharazmi Info.-a
13970522,2090.00,2106,2050,2076.00,548769,2102.00,Kharazmi Info.-a
13970523,2090.00,2114,2032,2070.00,432202,2052.00,Kharazmi Info.-a
13970524,2050.00,2120,2041,2097.00,404270,2080.00,Kharazmi Info.-a
13970527,2119.00,2201,2067,2173.00,1147402,2201.00,Kharazmi Info.-a
13970528,2244.00,2281,2222,2275.00,1705817,2281.00,Kharazmi Info.-a
13970529,2290.00,2382,2256,2314.00,1108267,2291.00,Kharazmi Info.-a
13970530,2295.00,2319,2260,2273.00,636918,2295.00,Kharazmi Info.-a
13970603,2299.00,2386,2275,2357.00,1484602,2386.00,Kharazmi Info.-a
13970604,2386.00,2474,2386,2455.00,2015670,2410.00,Kharazmi Info.-a
13970605,2490.00,2490,2333,2367.00,1365499,2333.00,Kharazmi Info.-a
13970606,2330.00,2330,2249,2269.00,1152278,2272.00,Kharazmi Info.-a
13970607,2260.00,2378,2200,2304.00,753866,2306.00,Kharazmi Info.-a
13970610,2375.00,2377,2280,2320.00,339506,2301.00,Kharazmi Info.-a
13970611,2295.00,2300,2250,2271.00,449940,2260.00,Kharazmi Info.-a
13970612,2300.00,2319,2261,2290.00,589692,2263.00,Kharazmi Info.-a
13970613,2259.00,2325,2220,2259.00,941906,2220.00,Kharazmi Info.-a
13970614,2290.00,2329,2285,2301.00,879387,2300.00,Kharazmi Info.-a
13970617,2314.00,2416,2300,2378.00,2469880,2416.00,Kharazmi Info.-a
13970618,2450.00,2496,2424,2475.00,2755257,2496.00,Kharazmi Info.-a
13970619,2583.00,2598,2580,2594.00,1309722,2598.00,Kharazmi Info.-a
13970620,2723.00,2723,2723,2723.00,688052,2723.00,Kharazmi Info.-a
13970621,2859.00,3001,2859,2966.00,261113,3001.00,Kharazmi Info.-a
13970624,3110.00,3114,2859,3024.00,3039231,2860.00,Kharazmi Info.-a
13970625,2896.00,2980,2873,2880.00,2154577,2918.00,Kharazmi Info.-a
13970626,2971.00,3024,2890,2968.00,2012061,3023.00,Kharazmi Info.-a
13970627,3098.00,3116,3096,3115.00,1368946,3116.00,Kharazmi Info.-a
13970631,3270.00,3270,3250,3270.00,1759168,3270.00,Kharazmi Info.-a
13970701,3429.00,3429,3275,3380.00,3092464,3380.00,Kharazmi Info.-a
13970702,3381.00,3478,3381,3412.00,225606,3478.00,Kharazmi Info.-a
13970707,3582.00,3761,3582,3722.00,4179049,3681.00,Kharazmi Info.-a
13970708,3850.00,3908,3760,3883.00,3600326,3908.00,Kharazmi Info.-a
13970709,4070.00,4070,3689,3847.00,3496496,3750.00,Kharazmi Info.-a
13970710,3655.00,3655,3655,3655.00,347815,3655.00,Kharazmi Info.-a
13970711,3473.00,3473,3473,3473.00,481701,3473.00,Kharazmi Info.-a
13970714,3350.00,3500,3300,3386.00,1179541,3300.00,Kharazmi Info.-a
13970715,3217.00,3217,3217,3217.00,125630,3217.00,Kharazmi Info.-a
13970716,3057.00,3057,3057,3057.00,121049,3057.00,Kharazmi Info.-a
13970717,3057.00,3057,2905,2972.00,128525,2905.00,Kharazmi Info.-a
13970718,2824.00,2824,2824,2824.00,423362,2824.00,Kharazmi Info.-a
13970721,2683.00,2683,2683,2683.00,84410,2683.00,Kharazmi Info.-a
13970722,2549.00,2549,2549,2549.00,80400,2549.00,Kharazmi Info.-a
13970723,2422.00,2650,2422,2489.00,3356388,2502.00,Kharazmi Info.-a
13970724,2549.00,2613,2549,2604.00,1866958,2613.00,Kharazmi Info.-a
13970725,2615.00,2697,2474,2526.00,1310832,2568.00,Kharazmi Info.-a
13970728,2640.00,2652,2639,2652.00,706484,2652.00,Kharazmi Info.-a
13970729,2784.00,2784,2600,2710.00,1752175,2697.00,Kharazmi Info.-a
13970730,2737.00,2793,2663,2729.00,913690,2700.00,Kharazmi Info.-a
13970801,2729.00,2729,2593,2618.00,371235,2593.00,Kharazmi Info.-a
13970802,2488.00,2488,2488,2488.00,317491,2488.00,Kharazmi Info.-a
13970805,2364.00,2364,2364,2364.00,518569,2364.00,Kharazmi Info.-a
13970806,2265.00,2443,2265,2319.00,1131256,2439.00,Kharazmi Info.-a
13970807,2430.00,2434,2363,2415.00,1046954,2434.00,Kharazmi Info.-a
13970809,2535.00,2535,2450,2530.00,1022454,2535.00,Kharazmi Info.-a
13970812,2599.00,2620,2480,2552.00,609479,2480.00,Kharazmi Info.-a
13970813,2552.00,2552,2431,2466.00,546401,2451.00,Kharazmi Info.-a
13970814,2500.00,2557,2500,2528.00,303637,2557.00,Kharazmi Info.-a
13970815,2473.00,2560,2473,2519.00,465396,2510.00,Kharazmi Info.-a
13970819,2560.00,2600,2519,2566.00,380852,2560.00,Kharazmi Info.-a
13970820,2566.00,2566,2489,2512.00,123622,2510.00,Kharazmi Info.-a
13970821,2412.00,2580,2412,2542.00,429642,2520.00,Kharazmi Info.-a
13970822,2500.00,2580,2467,2526.00,1162870,2530.00,Kharazmi Info.-a
13970823,2570.00,2570,2450,2498.00,566610,2500.00,Kharazmi Info.-a
13970826,2479.00,2505,2413,2456.00,542849,2430.00,Kharazmi Info.-a
13970827,2456.00,2456,2351,2394.00,364451,2434.00,Kharazmi Info.-a
13970828,2487.00,2513,2485,2509.00,876398,2513.00,Kharazmi Info.-a
13970829,2550.00,2572,2521,2548.00,563503,2544.00,Kharazmi Info.-a
13970830,2510.00,2669,2500,2622.00,917559,2666.00,Kharazmi Info.-a
13970903,2666.00,2725,2520,2582.00,383906,2530.00,Kharazmi Info.-a
13970905,2501.00,2507,2455,2474.00,426824,2456.00,Kharazmi Info.-a
13970906,2546.00,2546,2460,2490.00,284985,2460.00,Kharazmi Info.-a
13970907,2371.00,2540,2371,2406.00,483492,2400.00,Kharazmi Info.-a
13970910,2498.00,2498,2286,2310.00,501041,2305.00,Kharazmi Info.-a
13970911,2388.00,2425,2250,2338.00,797412,2425.00,Kharazmi Info.-a
13970912,2353.00,2426,2353,2396.00,161258,2410.00,Kharazmi Info.-a
13970913,2425.00,2425,2311,2394.00,238837,2417.00,Kharazmi Info.-a
13970914,2417.00,2446,2395,2432.00,93101,2444.00,Kharazmi Info.-a
13970917,2389.00,2488,2353,2393.00,683116,2378.00,Kharazmi Info.-a
13970918,2395.00,2430,2341,2368.00,448120,2353.00,Kharazmi Info.-a
13970919,2390.00,2435,2341,2390.00,480866,2341.00,Kharazmi Info.-a
13970921,2445.00,2445,2350,2381.00,670656,2399.00,Kharazmi Info.-a
13970924,2380.00,2420,2362,2391.00,57498,2362.00,Kharazmi Info.-a
13970925,2314.00,2480,2312,2394.00,1227383,2400.00,Kharazmi Info.-a
13970926,2331.00,2400,2282,2342.00,896728,2303.00,Kharazmi Info.-a
13970927,2369.00,2369,2300,2333.00,172714,2330.00,Kharazmi Info.-a
13970928,2301.00,2347,2301,2332.00,233946,2310.00,Kharazmi Info.-a
13971001,2280.00,2348,2280,2313.00,192182,2300.00,Kharazmi Info.-a
13971002,2300.00,2400,2300,2343.00,447229,2400.00,Kharazmi Info.-a
13971003,2399.00,2422,2351,2401.00,381013,2390.00,Kharazmi Info.-a
13971004,2350.00,2500,2346,2434.00,471533,2387.00,Kharazmi Info.-a
13971005,2450.00,2450,2380,2401.00,55245,2415.00,Kharazmi Info.-a
13971008,2401.00,2509,2401,2472.00,546082,2466.00,Kharazmi Info.-a
13971009,2513.00,2550,2472,2508.00,293844,2480.00,Kharazmi Info.-a
13971010,2450.00,2522,2434,2498.00,345878,2521.00,Kharazmi Info.-a
13971011,2451.00,2530,2450,2515.00,376420,2502.00,Kharazmi Info.-a
13971012,2520.00,2540,2460,2507.00,463932,2460.00,Kharazmi Info.-a
13971015,2488.00,2589,2480,2500.00,226162,2491.00,Kharazmi Info.-a
13971016,2473.00,2541,2470,2511.00,492921,2470.00,Kharazmi Info.-a
13971017,2470.00,2523,2470,2494.00,166839,2470.00,Kharazmi Info.-a
13971018,2490.00,2500,2430,2460.00,340271,2455.00,Kharazmi Info.-a
13971019,2440.00,2484,2430,2444.00,142578,2451.00,Kharazmi Info.-a
13971022,2440.00,2515,2411,2466.00,918731,2515.00,Kharazmi Info.-a
13971023,2500.00,2589,2461,2570.00,1430578,2589.00,Kharazmi Info.-a
13971024,2633.00,2698,2600,2694.00,2901648,2698.00,Kharazmi Info.-a
13971025,2828.00,2828,2746,2812.00,3098501,2828.00,Kharazmi Info.-a
13971026,2841.00,2910,2800,2861.00,2078209,2828.00,Kharazmi Info.-a
13971029,2842.00,2934,2744,2826.00,1059725,2910.00,Kharazmi Info.-a
13971030,2884.00,2935,2800,2848.00,820621,2800.00,Kharazmi Info.-a
