<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970122,4083.16,4251,4083,4107.70,1900,4250.66,Kaspian Daroo-a
13970201,3902.51,3903,3903,3902.51,2992,3902.51,Kaspian Daroo-a
13970202,3798.27,3798,3798,3798.27,6561,3798.27,Kaspian Daroo-a
13970204,3987.52,3988,3988,3988.03,10000,3988.03,Kaspian Daroo-a
13970215,3798.27,3798,3792,3792.95,600,3792.19,Kaspian Daroo-a
13970216,3618.12,3982,3618,3868.60,1475,3618.37,Kaspian Daroo-a
13970217,3947.04,3947,3947,3947.04,400,3947.04,Kaspian Daroo-a
13970218,3795.23,3795,3795,3795.23,600,3795.23,Kaspian Daroo-a
13970223,3618.37,3618,3618,3618.12,5000,3618.12,Kaspian Daroo-a
13970224,3668.72,3799,3669,3787.89,5203,3799.03,Kaspian Daroo-a
13970226,3946.79,3970,3947,3959.69,9033,3969.81,Kaspian Daroo-a
13970229,3969.81,3970,3821,3959.69,350310,3820.53,Kaspian Daroo-a
13970230,3871.13,3871,3770,3795.23,100085,3769.93,Kaspian Daroo-a
13970231,3947.04,3960,3795,3904.28,610,3795.23,Kaspian Daroo-a
13970301,3795.23,3795,3770,3776.51,29000,3795.23,Kaspian Daroo-a
13970302,3795.23,3795,3795,3795.23,164392,3795.23,Kaspian Daroo-a
13970305,3845.83,3846,3795,3803.58,60,3795.23,Kaspian Daroo-a
13970306,3620.90,3795,3614,3617.61,97015,3613.57,Kaspian Daroo-a
13970307,3794.47,3795,3794,3794.98,590,3794.98,Kaspian Daroo-a
13970309,3794.98,3825,3795,3805.60,25873,3825.09,Kaspian Daroo-a
13970312,3795.23,3820,3631,3790.93,86,3819.77,Kaspian Daroo-a
13970313,3631.02,3631,3603,3630.52,15293,3602.94,Kaspian Daroo-a
13970319,3542.21,3745,3542,3625.96,1421,3592.82,Kaspian Daroo-a
13970402,3807.09,3807,3807,3807.09,44100,3807.09,Kaspian Daroo-a
13970403,3997.34,3997,3620,3808.01,511283,3993.39,Kaspian Daroo-a
13970404,3947.80,3948,3860,3914.07,4560,3859.67,Kaspian Daroo-a
13970405,3920.45,3920,3738,3903.43,3075,3738.11,Kaspian Daroo-a
13970406,3734.76,3735,3708,3713.19,5500,3708.32,Kaspian Daroo-a
13970410,3859.06,3859,3556,3569.44,3762,3555.76,Kaspian Daroo-a
13970411,3707.72,3732,3708,3728.08,1200,3732.03,Kaspian Daroo-a
13970412,3856.02,3856,3856,3856.02,103,3856.02,Kaspian Daroo-a
13970413,3856.02,3856,3663,3681.88,7243,3663.34,Kaspian Daroo-a
13970416,3498.02,3504,3498,3501.06,41965,3501.06,Kaspian Daroo-a
13970417,3501.06,3501,3501,3501.06,5280,3501.06,Kaspian Daroo-a
13970419,3501.06,3501,3501,3501.06,30520,3501.06,Kaspian Daroo-a
13970420,3343.02,3343,3343,3343.02,2338,3343.02,Kaspian Daroo-a
13970423,3510.17,3510,3440,3508.65,4724,3510.17,Kaspian Daroo-a
13970424,3346.36,3346,3346,3346.36,303,3346.36,Kaspian Daroo-a
13970425,3343.02,3514,3343,3350.92,19667,3358.22,Kaspian Daroo-a
13970426,3518.38,3518,3365,3487.08,6366,3364.60,Kaspian Daroo-a
13970431,3343.33,3647,3343,3472.18,119390,3343.02,Kaspian Daroo-a
13970501,3349.10,3349,3343,3343.33,2825,3343.02,Kaspian Daroo-a
13970502,3488.60,3489,3489,3488.60,2500,3488.60,Kaspian Daroo-a
13970503,3343.02,3489,3343,3464.89,2149,3488.60,Kaspian Daroo-a
13970506,3525.06,3525,3292,3298.04,32680,3291.66,Kaspian Daroo-a
13970507,3160.68,3461,3133,3290.45,10000,3461.24,Kaspian Daroo-a
13970508,3194.41,3313,3191,3207.78,9797,3191.07,Kaspian Daroo-a
13970509,3048.53,3337,3049,3260.36,100396,3336.64,Kaspian Daroo-a
13970510,3251.85,3421,3252,3287.10,506,3420.52,Kaspian Daroo-a
13970513,3419.00,3420,3419,3419.00,10306,3419.00,Kaspian Daroo-a
13970514,3415.35,3415,3248,3267.65,52360,3415.05,Kaspian Daroo-a
13970515,3143.35,3161,3143,3152.77,743,3143.05,Kaspian Daroo-a
13970516,3152.77,3310,3153,3280.11,7919,3309.59,Kaspian Daroo-a
13970517,3343.02,3343,3164,3279.50,5413,3332.69,Kaspian Daroo-a
13970520,3341.20,3341,3328,3328.74,1379,3327.83,Kaspian Daroo-a
13970521,3328.74,3329,3191,3195.93,5180,3191.07,Kaspian Daroo-a
13970522,3192.59,3196,3193,3194.11,871,3195.62,Kaspian Daroo-a
13970523,3297.44,3297,3221,3270.69,10027,3282.24,Kaspian Daroo-a
13970524,3343.02,3404,3343,3345.76,6706,3403.50,Kaspian Daroo-a
13970528,3251.85,3403,3237,3290.45,12015,3241.52,Kaspian Daroo-a
13970529,3343.02,3389,3297,3301.39,7300,3297.44,Kaspian Daroo-a
13970530,3343.02,3388,3286,3378.58,5407,3388.30,Kaspian Daroo-a
13970603,3385.57,3386,3343,3356.70,47578,3384.05,Kaspian Daroo-a
13970604,3374.63,3524,3374,3480.09,254194,3524.46,Kaspian Daroo-a
13970605,3589.80,3654,3590,3653.31,103804,3653.92,Kaspian Daroo-a
13970606,3835.97,3836,3592,3710.45,22582,3738.11,Kaspian Daroo-a
13970607,3859.67,3887,3647,3667.90,606609,3646.93,Kaspian Daroo-a
13970610,3851.16,4044,3851,4000.69,286045,4020.74,Kaspian Daroo-a
13970611,4184.86,4191,3881,4019.22,172413,3932.61,Kaspian Daroo-a
13970612,3818.95,4027,3818,3859.97,57801,3818.34,Kaspian Daroo-a
13970613,3944.77,3945,3678,3711.06,48216,3679.15,Kaspian Daroo-a
13970614,3666.99,3667,3546,3611.98,74444,3665.78,Kaspian Daroo-a
13970617,3764.85,3793,3708,3719.57,1712845,3792.51,Kaspian Daroo-a
13970618,3905.26,3905,3905,3905.26,1064386,3905.26,Kaspian Daroo-a
13970619,4100.37,4100,4072,4100.06,162937,4100.37,Kaspian Daroo-a
13970620,4304.90,4305,4305,4304.90,245415,4304.90,Kaspian Daroo-a
13970621,4520.07,4520,4520,4520.07,7000,4520.07,Kaspian Daroo-a
13970624,4745.57,4746,4746,4745.57,75702,4745.57,Kaspian Daroo-a
13970625,4508.52,4863,4509,4662.60,408466,4741.01,Kaspian Daroo-a
13970626,4801.79,4802,4531,4755.90,140541,4801.79,Kaspian Daroo-a
13970627,4801.79,4994,4735,4872.30,590353,4993.56,Kaspian Daroo-a
13970631,5115.74,5116,5115,5115.74,526001,5115.43,Kaspian Daroo-a
13970701,5354.91,5371,5167,5340.02,875340,5367.07,Kaspian Daroo-a
13970702,5579.81,5580,5166,5394.12,214339,5344.58,Kaspian Daroo-a
13970703,5344.58,5345,5125,5229.09,913566,5232.44,Kaspian Daroo-a
13970704,5379.23,5379,5151,5197.49,1362236,5272.55,Kaspian Daroo-a
13970707,5402.63,5455,5166,5323.61,152851,5166.49,Kaspian Daroo-a
13970710,5057.69,5288,5058,5071.97,479143,5084.43,Kaspian Daroo-a
13970711,4832.49,5160,4819,4886.59,560259,4884.15,Kaspian Daroo-a
13970714,5075.31,5121,4643,4838.26,472250,4642.55,Kaspian Daroo-a
13970715,4596.35,4977,4596,4624.61,97245,4596.35,Kaspian Daroo-a
13970716,4393.64,4625,4394,4488.77,332946,4393.64,Kaspian Daroo-a
13970717,4315.54,4624,4264,4381.79,216392,4264.48,Kaspian Daroo-a
13970718,4193.36,4458,4163,4167.53,159424,4162.97,Kaspian Daroo-a
13970721,4163.28,4163,3959,3974.85,81252,3959.35,Kaspian Daroo-a
13970722,3792.81,4173,3784,4107.97,261742,4173.31,Kaspian Daroo-a
13970723,4313.11,4313,4313,4313.11,149648,4313.11,Kaspian Daroo-a
13970724,4528.58,4529,4529,4528.58,137247,4528.58,Kaspian Daroo-a
13970725,4754.99,4755,4755,4754.99,246761,4754.99,Kaspian Daroo-a
13970728,4992.65,4993,4993,4992.65,2000,4992.65,Kaspian Daroo-a
13970729,5242.16,5504,4990,5183.51,204010,5105.40,Kaspian Daroo-a
13970730,5166.49,5166,4925,4961.96,367488,4924.57,Kaspian Daroo-a
13970801,5014.53,5130,4741,4915.15,163034,4968.95,Kaspian Daroo-a
13970802,5037.02,5038,4772,4870.17,111645,4778.09,Kaspian Daroo-a
13970805,4626.74,4627,4627,4626.74,23552,4626.74,Kaspian Daroo-a
13970806,4395.47,4816,4395,4532.83,49602,4564.74,Kaspian Daroo-a
13970807,4558.67,4759,4559,4730.38,36745,4710.62,Kaspian Daroo-a
13970809,4856.50,4953,4711,4812.13,73063,4741.32,Kaspian Daroo-a
13970812,4573.86,4923,4574,4602.13,37352,4649.84,Kaspian Daroo-a
13970813,4649.84,4764,4407,4602.13,15511,4692.39,Kaspian Daroo-a
13970814,4710.62,4831,4646,4693.30,20310,4710.32,Kaspian Daroo-a
13970815,4809.39,4832,4469,4586.63,15294,4649.84,Kaspian Daroo-a
13970819,4710.62,4711,4408,4476.31,3997,4413.40,Kaspian Daroo-a
13970820,4409.75,4559,4253,4278.16,98291,4402.15,Kaspian Daroo-a
13970821,4078.79,4492,4079,4484.51,111680,4491.81,Kaspian Daroo-a
13970822,4692.08,4708,4562,4679.93,284108,4708.49,Kaspian Daroo-a
13970823,4911.20,4911,4619,4844.34,396005,4741.01,Kaspian Daroo-a
13970826,4892.66,4893,4602,4607.90,184083,4602.13,Kaspian Daroo-a
13970827,4377.84,4798,4378,4541.04,18935,4472.36,Kaspian Daroo-a
13970828,4762.29,4762,4379,4623.70,12375,4558.67,Kaspian Daroo-a
13970829,4831.58,4832,4590,4757.42,195726,4813.34,Kaspian Daroo-a
13970830,4847.08,4861,4559,4784.78,137849,4710.62,Kaspian Daroo-a
13970903,4939.77,4940,4650,4671.11,27301,4693.60,Kaspian Daroo-a
13970905,4598.17,4905,4598,4770.19,192471,4904.52,Kaspian Daroo-a
13970906,4724.30,4940,4724,4845.56,15608,4741.01,Kaspian Daroo-a
13970907,4741.01,4923,4698,4782.34,33101,4862.58,Kaspian Daroo-a
13970910,4990.22,4990,4608,4867.14,77526,4889.93,Kaspian Daroo-a
13970911,4709.10,4974,4708,4860.75,320673,4741.62,Kaspian Daroo-a
13970912,4892.97,4893,4683,4744.36,10778,4741.01,Kaspian Daroo-a
13970913,4892.97,4981,4559,4921.54,172055,4949.80,Kaspian Daroo-a
13970914,5008.45,5008,4712,4817.60,27374,4862.58,Kaspian Daroo-a
13970917,4981.10,4981,4681,4841.61,71264,4862.58,Kaspian Daroo-a
13970918,5014.53,5057,4819,4870.78,71160,4820.33,Kaspian Daroo-a
13970919,4923.36,4923,4718,4817.60,25318,4857.71,Kaspian Daroo-a
13970921,4857.71,4914,4821,4868.05,3765,4820.94,Kaspian Daroo-a
13970924,4629.17,4816,4629,4698.47,20510,4795.72,Kaspian Daroo-a
13970925,4592.10,4832,4498,4617.32,32075,4562.01,Kaspian Daroo-a
13970926,4465.06,4680,4465,4568.70,5754,4558.67,Kaspian Daroo-a
13970927,4390.00,4721,4390,4509.13,18470,4558.67,Kaspian Daroo-a
13970928,4467.49,4697,4467,4618.23,30018,4619.45,Kaspian Daroo-a
13971001,4619.45,4619,4467,4489.98,11989,4470.84,Kaspian Daroo-a
13971002,4589.06,4617,4528,4535.26,13265,4543.47,Kaspian Daroo-a
13971003,4573.56,4708,4443,4565.35,50750,4558.67,Kaspian Daroo-a
13971004,4706.67,4707,4528,4587.84,40318,4558.67,Kaspian Daroo-a
13971005,4816.99,4817,4559,4654.40,186342,4589.06,Kaspian Daroo-a
13971008,4654.09,4680,4501,4620.36,34304,4588.75,Kaspian Daroo-a
13971009,4807.87,4808,4560,4663.21,87569,4764.41,Kaspian Daroo-a
13971010,4680.23,4802,4620,4703.02,71888,4801.49,Kaspian Daroo-a
13971011,4634.04,4770,4634,4731.29,66006,4710.62,Kaspian Daroo-a
13971012,4710.62,4862,4656,4744.66,26142,4692.39,Kaspian Daroo-a
13971015,4510.04,4863,4510,4706.06,20995,4765.93,Kaspian Daroo-a
13971016,4581.46,4713,4523,4542.86,98226,4522.50,Kaspian Daroo-a
13971017,4517.94,4650,4413,4565.05,28065,4570.82,Kaspian Daroo-a
