<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,3323.75,3518,3324,3344.58,63200,3328.37,Mobin One Kish-a
13970106,3323.75,3412,3310,3355.69,65887,3356.15,Mobin One Kish-a
13970107,3356.15,3356,3333,3338.56,42202,3333.47,Mobin One Kish-a
13970108,3314.49,3379,3240,3291.34,109802,3356.15,Mobin One Kish-a
13970114,3394.57,3395,3333,3363.09,27219,3345.04,Mobin One Kish-a
13970115,3286.71,3338,3287,3290.88,17527,3337.63,Mobin One Kish-a
13970118,3264.49,3347,3264,3265.42,47645,3263.57,Mobin One Kish-a
13970119,3267.73,3272,3240,3260.79,47758,3240.42,Mobin One Kish-a
13970120,3263.57,3347,3112,3186.72,192520,3235.33,Mobin One Kish-a
13970121,3180.24,3314,3148,3187.19,97666,3148.30,Mobin One Kish-a
13970122,3194.13,3240,3056,3128.39,245588,3194.13,Mobin One Kish-a
13970126,3128.39,3236,3125,3148.30,251165,3189.50,Mobin One Kish-a
13970127,3229.31,3240,3148,3207.09,97645,3235.79,Mobin One Kish-a
13970128,3170.98,3254,3171,3235.79,99713,3252.46,Mobin One Kish-a
13970129,3249.22,3250,3174,3239.03,43306,3244.59,Mobin One Kish-a
13970201,3249.68,3287,3250,3276.99,57753,3286.71,Mobin One Kish-a
13970202,3291.80,3356,3292,3332.08,197980,3356.15,Mobin One Kish-a
13970203,3333.00,3397,3333,3368.19,118863,3379.30,Mobin One Kish-a
13970204,3379.30,3495,3379,3471.42,591741,3470.95,Mobin One Kish-a
13970205,3527.43,3680,3527,3636.68,448498,3680.19,Mobin One Kish-a
13970208,3701.02,3934,3614,3758.89,793296,3842.21,Mobin One Kish-a
13970209,3960.72,3961,3704,3780.18,809909,3758.89,Mobin One Kish-a
13970210,3708.89,3796,3709,3752.41,129191,3795.46,Mobin One Kish-a
13970211,3830.18,3832,3731,3773.24,78730,3771.85,Mobin One Kish-a
13970215,3804.72,3814,3754,3785.74,182508,3765.83,Mobin One Kish-a
13970216,3703.34,3796,3680,3732.96,158061,3731.11,Mobin One Kish-a
13970217,3772.78,3796,3726,3763.98,76796,3795.92,Mobin One Kish-a
13970218,3751.48,3837,3745,3757.50,192235,3795.92,Mobin One Kish-a
13970219,3795.46,3828,3764,3801.48,188029,3827.40,Mobin One Kish-a
13970222,3805.18,3981,3805,3873.69,154032,3888.04,Mobin One Kish-a
13970223,3960.26,3960,3842,3872.77,25430,3932.94,Mobin One Kish-a
13970224,3849.16,3970,3849,3945.44,65885,3948.22,Mobin One Kish-a
13970225,3948.68,4114,3949,4051.91,235846,4110.24,Mobin One Kish-a
13970226,4110.71,4254,4074,4167.64,429192,4195.88,Mobin One Kish-a
13970229,4166.26,4328,4166,4222.73,134753,4212.55,Mobin One Kish-a
13970230,4166.26,4166,4099,4133.39,207124,4166.26,Mobin One Kish-a
13970231,4212.55,4213,4120,4146.81,169240,4120.43,Mobin One Kish-a
13970301,4143.11,4402,4143,4275.97,484880,4397.25,Mobin One Kish-a
13970307,4521.26,4758,4521,4630.23,452237,4657.60,Mobin One Kish-a
