<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,670160.71,685164,650156,669438.54,286,680163.11,Mortgage Right9608-a
13970106,661813.71,680163,660280,665592.61,160,661160.55,Mortgage Right9608-a
13970107,661658.67,661659,661161,661574.65,141,661160.55,Mortgage Right9608-a
13970108,661160.55,661161,635152,653426.70,194,635152.31,Mortgage Right9608-a
13970114,635152.31,650156,620756,632556.69,163,620755.86,Mortgage Right9608-a
13970115,600929.11,630151,600929,611883.73,126,600929.11,Mortgage Right9608-a
13970118,581694.49,599014,581290,586091.55,1745,581290.40,Mortgage Right9608-a
13970119,581639.48,600144,581290,590852.69,905,590141.52,Mortgage Right9608-a
13970120,591263.79,614147,591264,609407.14,5578,614147.28,Mortgage Right9608-a
13970121,610146.32,624150,610146,620741.86,2075,624149.68,Mortgage Right9608-a
13970122,610269.35,650146,610269,634835.24,12570,630151.12,Mortgage Right9608-a
13970126,636674.68,650156,635152,641623.87,1787,640153.51,Mortgage Right9608-a
13970127,640153.51,651778,612246,637055.77,1035,640153.51,Mortgage Right9608-a
13970128,635152.31,650156,626162,639265.30,5238,640153.51,Mortgage Right9608-a
13970129,631151.36,650156,631151,640099.50,2306,640153.51,Mortgage Right9608-a
13970201,640151.51,650156,630163,641890.93,1905,631418.42,Mortgage Right9608-a
13970202,620148.72,630151,609797,614508.36,1100,609797.23,Mortgage Right9608-a
13970203,583783.00,610146,583783,603536.73,618,610146.32,Mortgage Right9608-a
13970204,603536.73,630151,595765,616058.74,1011,630151.12,Mortgage Right9608-a
13970205,605267.15,646860,605267,632287.63,1009,636152.55,Mortgage Right9608-a
13970208,640153.51,660158,611647,634388.13,1921,640153.51,Mortgage Right9608-a
13970209,641153.75,660158,620381,637626.91,2233,640153.51,Mortgage Right9608-a
13970210,620348.76,660158,620349,645211.73,1648,650155.91,Mortgage Right9608-a
13970211,650155.91,660158,640254,650767.06,1649,660158.31,Mortgage Right9608-a
13970215,645154.71,670161,640165,658367.88,1502,670160.71,Mortgage Right9608-a
13970216,660158.31,673161,646677,664595.38,6053,655157.11,Mortgage Right9608-a
13970217,655157.11,670161,650162,664893.45,3210,665157.51,Mortgage Right9608-a
13970218,670160.71,670161,650989,664784.42,1197,664159.27,Mortgage Right9608-a
13970219,652278.42,697824,631545,668059.21,1390,631546.45,Mortgage Right9608-a
13970222,650355.96,669150,634659,663613.14,1142,634659.20,Mortgage Right9608-a
13970223,641354.80,670161,641154,664551.36,1187,641153.75,Mortgage Right9608-a
13970224,657157.59,670031,650156,662085.77,1180,655157.11,Mortgage Right9608-a
13970225,660158.31,670161,641155,654250.89,18772,641154.75,Mortgage Right9608-a
13970226,651688.28,680163,645155,651410.21,18736,645154.71,Mortgage Right9608-a
13970229,660161.31,670161,646157,652670.52,18334,660158.31,Mortgage Right9608-a
13970230,652670.52,665160,650156,650955.10,22163,665059.49,Mortgage Right9608-a
13970231,655157.11,666160,650156,652267.42,19446,666159.75,Mortgage Right9608-a
13970301,665159.51,665160,650156,654509.96,8383,665159.51,Mortgage Right9608-a
13970302,660159.31,665160,650156,651474.23,4060,650155.91,Mortgage Right9608-a
13970305,650165.91,670161,630151,651095.14,1291,670160.71,Mortgage Right9608-a
13970306,632163.60,670161,622704,642652.11,1237,650165.91,Mortgage Right9608-a
13970307,640153.51,665059,610520,642131.99,14726,610520.41,Mortgage Right9608-a
13970308,660158.31,670161,630161,646006.92,24852,630161.12,Mortgage Right9608-a
13970309,641162.76,670161,630152,642269.02,18335,640153.51,Mortgage Right9608-a
13970312,650167.92,670160,635152,642937.18,22075,635152.31,Mortgage Right9608-a
13970313,640203.53,650156,630151,641247.78,19924,630161.12,Mortgage Right9608-a
13970319,641164.76,665159,620149,641363.80,18096,620148.72,Mortgage Right9608-a
13970320,650155.91,665155,640154,640988.71,23784,640153.51,Mortgage Right9608-a
13970321,660157.31,660158,640154,641784.91,27048,640153.51,Mortgage Right9608-a
13970322,645255.74,672383,645255,662667.91,1851,672161.19,Mortgage Right9608-a
13970323,662667.91,690166,652833,678436.69,1828,682171.59,Mortgage Right9608-a
13970327,680163.11,712358,665682,704407.92,6632,712170.78,Mortgage Right9608-a
13970328,687719.92,710170,687720,696296.98,4795,710170.30,Mortgage Right9608-a
