<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970219,1235.00,1235,1174,1189.00,54359,1174.00,Sabzevar Cement-a
13970222,1130.00,1130,1130,1130.00,30636,1130.00,Sabzevar Cement-a
13970223,1074.00,1119,1074,1083.00,4923060,1090.00,Sabzevar Cement-a
13970224,1115.00,1134,1081,1116.00,2015871,1122.00,Sabzevar Cement-a
13970225,1144.00,1150,1095,1120.00,1094953,1107.00,Sabzevar Cement-a
13970226,1080.00,1130,1080,1116.00,818462,1130.00,Sabzevar Cement-a
13970229,1150.00,1150,1122,1132.00,645147,1129.00,Sabzevar Cement-a
13970230,1165.00,1165,1118,1129.00,626915,1140.00,Sabzevar Cement-a
13970231,1121.00,1136,1073,1102.00,543339,1130.00,Sabzevar Cement-a
13970301,1130.00,1130,1075,1097.00,333465,1108.00,Sabzevar Cement-a
13970302,1100.00,1135,1073,1118.00,463911,1135.00,Sabzevar Cement-a
13970305,1082.00,1137,1082,1104.00,612802,1137.00,Sabzevar Cement-a
13970306,1095.00,1130,1090,1105.00,261472,1116.00,Sabzevar Cement-a
13970307,1107.00,1107,1050,1077.00,458754,1087.00,Sabzevar Cement-a
13970308,1048.00,1080,1024,1028.00,869774,1046.00,Sabzevar Cement-a
13970309,1040.00,1040,998,1010.00,894488,1000.00,Sabzevar Cement-a
13970312,965.00,1039,960,1005.00,1192507,1015.00,Sabzevar Cement-a
13970313,1000.00,1055,1000,1052.00,1131593,1055.00,Sabzevar Cement-a
13970319,1104.00,1104,1098,1104.00,727455,1104.00,Sabzevar Cement-a
13970320,1149.00,1159,1102,1141.00,1351765,1159.00,Sabzevar Cement-a
13970321,1171.00,1198,1142,1179.00,892996,1198.00,Sabzevar Cement-a
13970322,1230.00,1237,1230,1235.00,28000,1237.00,Sabzevar Cement-a
13970323,1295.00,1330,1248,1285.00,1325430,1290.00,Sabzevar Cement-a
13970327,1333.00,1349,1333,1347.00,852167,1349.00,Sabzevar Cement-a
13970328,1390.00,1400,1320,1366.00,1554551,1370.00,Sabzevar Cement-a
13970329,1360.00,1386,1320,1353.00,652752,1370.00,Sabzevar Cement-a
13970330,1379.00,1400,1362,1390.00,785185,1400.00,Sabzevar Cement-a
13970402,1400.00,1459,1346,1450.00,760348,1459.00,Sabzevar Cement-a
13970403,1522.00,1522,1471,1513.00,833851,1471.00,Sabzevar Cement-a
13970404,1522.00,1580,1515,1541.00,1111100,1539.00,Sabzevar Cement-a
13970409,1574.00,1574,1464,1478.00,705472,1510.00,Sabzevar Cement-a
13970410,1499.00,1499,1405,1407.00,650738,1405.00,Sabzevar Cement-a
13970411,1400.00,1450,1340,1400.00,437185,1400.00,Sabzevar Cement-a
13970412,1450.00,1450,1330,1377.00,457498,1398.00,Sabzevar Cement-a
13970413,1331.00,1348,1309,1314.00,671589,1309.00,Sabzevar Cement-a
13970416,1251.00,1379,1255,1367.00,626117,1379.00,Sabzevar Cement-a
13970417,1311.00,1348,1299,1301.00,2079766,1329.00,Sabzevar Cement-a
13970419,1251.00,1300,1251,1270.00,120540,1275.00,Sabzevar Cement-a
13970424,1333.00,1399,1333,1393.00,412276,1399.00,Sabzevar Cement-a
13970425,1450.00,1462,1332,1384.00,630444,1390.00,Sabzevar Cement-a
13970426,1336.00,1440,1326,1398.00,464170,1374.00,Sabzevar Cement-a
13970427,1420.00,1420,1330,1348.00,179015,1360.00,Sabzevar Cement-a
13970430,1340.00,1415,1285,1385.00,1483204,1415.00,Sabzevar Cement-a
13970431,1401.00,1454,1361,1433.00,488941,1454.00,Sabzevar Cement-a
13970501,1381.00,1451,1381,1429.00,857497,1451.00,Sabzevar Cement-a
13970502,1463.00,1500,1430,1492.00,1215715,1500.00,Sabzevar Cement-a
13970503,1495.00,1566,1495,1566.00,657871,1566.00,Sabzevar Cement-a
13970506,1579.00,1579,1501,1526.00,1105545,1501.00,Sabzevar Cement-a
13970507,1450.00,1560,1450,1496.00,1160822,1460.00,Sabzevar Cement-a
13970508,1435.00,1570,1435,1527.00,1360740,1570.00,Sabzevar Cement-a
13970509,1577.00,1603,1577,1598.00,679825,1603.00,Sabzevar Cement-a
13970510,1607.00,1644,1531,1597.00,1368145,1600.00,Sabzevar Cement-a
13970513,1530.00,1568,1518,1540.00,225402,1555.00,Sabzevar Cement-a
13970514,1599.00,1599,1500,1541.00,427142,1545.00,Sabzevar Cement-a
13970515,1495.00,1578,1465,1530.00,983976,1537.00,Sabzevar Cement-a
13970516,1500.00,1606,1497,1573.00,1322053,1597.00,Sabzevar Cement-a
13970517,1605.00,1605,1531,1581.00,422977,1585.00,Sabzevar Cement-a
13970520,1620.00,1620,1540,1586.00,594151,1546.00,Sabzevar Cement-a
13970524,1660.00,1660,1507,1514.00,377150,1507.00,Sabzevar Cement-a
13970527,1500.00,1550,1470,1532.00,729804,1525.00,Sabzevar Cement-a
13970528,1575.00,1575,1523,1549.00,504935,1535.00,Sabzevar Cement-a
13970529,1550.00,1550,1472,1487.00,695990,1500.00,Sabzevar Cement-a
13970530,1472.00,1480,1414,1430.00,714911,1422.00,Sabzevar Cement-a
13970603,1422.00,1501,1422,1492.00,678415,1501.00,Sabzevar Cement-a
13970604,1540.00,1566,1501,1557.00,207264,1566.00,Sabzevar Cement-a
13970605,1568.00,1634,1568,1631.00,779480,1634.00,Sabzevar Cement-a
13970606,1712.00,1712,1600,1684.00,841058,1660.00,Sabzevar Cement-a
13970607,1684.00,1750,1673,1722.00,140349,1750.00,Sabzevar Cement-a
13970610,1788.00,1876,1740,1774.00,790051,1750.00,Sabzevar Cement-a
