<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13980301,496100.00,520000,496100,507562.00,565,510000.00,Mortgage Right9802-a
13980304,500010.00,500011,482184,487200.00,78227,490110.00,Mortgage Right9802-a
13980305,490110.00,493000,470000,481020.00,61913,470000.00,Mortgage Right9802-a
13980307,494000.00,494000,457001,483076.00,43657,457001.00,Mortgage Right9802-a
13980308,487701.00,494860,481000,489256.00,43938,481001.00,Mortgage Right9802-a
13980311,487001.00,499986,466333,484345.00,46759,475000.00,Mortgage Right9802-a
13980312,500000.00,501000,480050,496081.00,49318,480556.00,Mortgage Right9802-a
13980313,497020.00,510000,496000,500890.00,43919,496000.00,Mortgage Right9802-a
13980318,510000.00,510001,495100,501866.00,35931,501000.00,Mortgage Right9802-a
13980319,500022.00,505999,490000,498209.00,30879,500000.00,Mortgage Right9802-a
13980320,496100.00,509990,496100,502187.00,42456,497001.00,Mortgage Right9802-a
13980321,507000.00,509995,490000,502119.00,33170,501000.00,Mortgage Right9802-a
13980322,500122.00,509000,493107,500483.00,29667,499000.00,Mortgage Right9802-a
13980325,500100.00,505000,480001,496303.00,34265,500000.00,Mortgage Right9802-a
13980326,500000.00,500000,471488,492010.00,26914,483000.00,Mortgage Right9802-a
13980327,500000.00,500000,482115,491766.00,29362,492300.00,Mortgage Right9802-a
13980328,499900.00,499999,470000,480827.00,28627,496000.00,Mortgage Right9802-a
13980329,495000.00,495000,464700,478416.00,25898,480999.00,Mortgage Right9802-a
13980401,493000.00,495500,456555,474124.00,27951,490000.00,Mortgage Right9802-a
13980402,490000.00,490000,450418,466096.00,12113,471010.00,Mortgage Right9802-a
13980403,450000.00,482000,442792,450705.00,12653,482000.00,Mortgage Right9802-a
13980404,460000.00,473240,429300,452411.00,10874,457000.00,Mortgage Right9802-a
13980405,460000.00,475031,443255,459855.00,8090,475000.00,Mortgage Right9802-a
13980409,462455.00,482000,448000,460803.00,9217,458100.00,Mortgage Right9802-a
13980410,470000.00,470000,438000,448248.00,7972,454975.00,Mortgage Right9802-a
13980411,441779.00,470000,441779,453301.00,9794,469999.00,Mortgage Right9802-a
13980412,455200.00,469000,450007,455835.00,8051,458000.00,Mortgage Right9802-a
13980415,452522.00,469900,447122,461596.00,8321,469900.00,Mortgage Right9802-a
13980416,470000.00,478000,438517,465282.00,15571,438517.00,Mortgage Right9802-a
13980417,461433.00,482847,450401,464573.00,8015,470000.00,Mortgage Right9802-a
13980418,451122.00,470000,441345,453884.00,7005,441449.00,Mortgage Right9802-a
13980419,446122.00,469899,431555,450125.00,5065,450000.00,Mortgage Right9802-a
13980422,432111.00,471998,429619,451850.00,10354,438555.00,Mortgage Right9802-a
13980423,450122.00,464000,440122,448532.00,8707,464000.00,Mortgage Right9802-a
13980424,446123.00,459999,426106,447104.00,7488,440000.00,Mortgage Right9802-a
13980425,450020.00,459998,424749,443647.00,5803,429700.00,Mortgage Right9802-a
13980426,443647.00,460000,437010,445315.00,7032,441000.00,Mortgage Right9802-a
13980429,441555.00,464998,423339,445351.00,8502,439999.00,Mortgage Right9802-a
13980430,440322.00,452879,430000,445656.00,8077,430000.00,Mortgage Right9802-a
13980431,435322.00,454960,424522,440281.00,7037,449999.00,Mortgage Right9802-a
13980501,440000.00,462295,431911,445876.00,9689,450000.00,Mortgage Right9802-a
13980502,450000.00,460000,431222,446457.00,9150,457000.00,Mortgage Right9802-a
13980505,440622.00,465000,424135,443416.00,6431,424501.00,Mortgage Right9802-a
13980506,430155.00,465000,422000,443393.00,6686,439000.00,Mortgage Right9802-a
13980507,425209.00,460000,425209,445945.00,5796,457000.00,Mortgage Right9802-a
13980508,436555.00,463870,436555,455698.00,6267,458879.00,Mortgage Right9802-a
13980509,435555.00,478482,435555,466919.00,3608,475000.00,Mortgage Right9802-a
13980512,461001.00,488955,448525,468946.00,7923,450000.00,Mortgage Right9802-a
13980513,450000.00,478999,450000,465935.00,6518,470000.00,Mortgage Right9802-a
13980514,454125.00,469999,454125,466073.00,5598,460866.00,Mortgage Right9802-a
13980515,462159.00,480000,462159,472319.00,7551,480000.00,Mortgage Right9802-a
13980516,465222.00,478000,449100,461673.00,4819,467000.00,Mortgage Right9802-a
13980519,460000.00,470000,438590,449443.00,6498,449999.00,Mortgage Right9802-a
13980520,450126.00,465000,442522,453026.00,5544,450016.00,Mortgage Right9802-a
13980522,470000.00,470000,430375,453240.00,4518,440000.00,Mortgage Right9802-a
13980523,448444.00,464000,430578,447973.00,3816,440000.00,Mortgage Right9802-a
13980526,444522.00,470000,425575,448785.00,4953,425575.00,Mortgage Right9802-a
13980527,460000.00,460000,426500,448052.00,4501,426500.00,Mortgage Right9802-a
13980528,440000.00,454000,426000,447693.00,5554,454000.00,Mortgage Right9802-a
13980530,445000.00,455000,425309,438370.00,2447,425309.00,Mortgage Right9802-a
13980602,418552.00,460288,418552,441626.00,5958,435000.00,Mortgage Right9802-a
13980603,432667.00,460000,419545,442573.00,5636,430000.00,Mortgage Right9802-a
13980604,430111.00,432133,420445,426030.00,1920,421000.00,Mortgage Right9802-a
13980605,405122.00,430000,404729,410924.00,2853,410052.00,Mortgage Right9802-a
13980606,409000.00,423231,401822,413802.00,2123,404000.00,Mortgage Right9802-a
13980609,402443.00,420000,393177,407906.00,2138,393177.00,Mortgage Right9802-a
13980610,407906.00,419000,390000,401970.00,3044,390000.00,Mortgage Right9802-a
13980611,400000.00,422068,387622,420425.00,3916,407777.00,Mortgage Right9802-a
13980612,441446.00,441446,406000,425508.00,5324,410000.00,Mortgage Right9802-a
13980613,424999.00,430000,408011,421478.00,3603,430000.00,Mortgage Right9802-a
13980616,410010.00,436000,400405,423944.00,6657,400405.00,Mortgage Right9802-a
13980617,415655.00,430000,405202,422329.00,3361,417000.00,Mortgage Right9802-a
13980620,420000.00,440000,404444,427840.00,2657,440000.00,Mortgage Right9802-a
13980623,421222.00,449232,408225,424207.00,4555,429787.00,Mortgage Right9802-a
13980624,430000.00,435000,402997,419176.00,4119,402997.00,Mortgage Right9802-a
13980625,412822.00,429898,398255,415458.00,4208,398333.00,Mortgage Right9802-a
13980626,407666.00,430000,394686,414986.00,3704,400000.00,Mortgage Right9802-a
13980627,402122.00,425000,402122,413987.00,4371,424999.00,Mortgage Right9802-a
13980630,412222.00,434000,403020,420691.00,6406,434000.00,Mortgage Right9802-a
13980631,408000.00,435000,399657,416335.00,4003,399657.00,Mortgage Right9802-a
13980701,400500.00,437151,395570,422474.00,5092,395570.00,Mortgage Right9802-a
13980702,403011.00,430000,401351,414780.00,5039,403000.00,Mortgage Right9802-a
